tf,fast_ema,slow_ema,hold_bars,atr_mult,n,avg_r,total_r,win_rate,pf,y2019_n,y2019_total,y2019_avg,y2020_n,y2020_total,y2020_avg,y2021_n,y2021_total,y2021_avg,y2022_n,y2022_total,y2022_avg,y2023_n,y2023_total,y2023_avg,y2024_n,y2024_total,y2024_avg,y2025_n,y2025_total,y2025_avg,y2026_n,y2026_total,y2026_avg,y2022_positive,r2025_share,flag_2025_conc
1d,30,100,30,2.0,230,0.2902155512890903,66.74957679649077,0.5956521739130435,1.8188843428195158,0,0.0,,0,0.0,,29,-6.358692130158497,-0.21926524586753438,9,8.636009321236607,0.9595565912485119,42,9.152935519094191,0.21792703616890932,67,0.19500777096340527,0.0029105637457224665,79,53.75399005579217,0.680430253870787,4,1.3703262595628902,0.34258156489072256,True,0.8053083275670773,True
4h,20,50,30,2.0,2910,0.2553645807590447,743.1109300088202,0.49553264604811,1.5794983146975798,3,-1.4232380709126593,-0.4744126903042198,123,10.797739653586811,0.08778650124867327,303,-6.684116978627946,-0.022059792008673088,347,201.608655999709,0.5810047723334553,569,136.75521417751628,0.24034308291303388,739,192.25513075675252,0.26015579263430655,627,237.32843480624868,0.3785142500897108,199,-27.52689033545253,-0.13832608208770117,True,0.31937147634664953,False
8h,10,50,30,2.0,1730,0.2454330687260958,424.59920889614574,0.49884393063583815,1.5596721531554598,0,0.0,,50,-26.849807258981926,-0.5369961451796386,137,0.9694091731303764,0.007075979365915156,266,118.73529011576939,0.446373271111915,313,66.55962969682196,0.21265057411125227,406,93.43890195771363,0.23014507871358036,436,181.98824452622767,0.41740423056474235,122,-10.242459314535346,-0.08395458454537169,True,0.4286118313770595,True
4h,10,50,30,2.0,3935,0.23945004396833222,942.2359230153872,0.4836086404066074,1.520402663455257,2,0.3619224649885764,0.1809612324942882,136,24.037712233379846,0.17674788406896946,395,25.18040163092253,0.06374785223018362,571,232.58085539291503,0.407321988428923,737,125.36006658935564,0.1700950699991257,945,331.5629711872529,0.350860286970638,859,242.05372677396264,0.2817854793643337,290,-38.901733257389914,-0.13414390778410315,True,0.25689290851842184,False
1d,30,50,30,2.0,313,0.23514640875165302,73.6008259392674,0.5654952076677316,1.6087775249808542,0,0.0,,1,-1.0,-1.0,22,2.1675079545579004,0.09852308884354093,29,32.979940495317955,1.137239327424757,58,10.422648844265145,0.1797008421425025,101,-17.181471255440048,-0.17011357678653513,93,48.6749394824582,0.5233864460479376,9,-2.462739581891774,-0.2736377313213082,True,0.6613368649235392,True
6h,10,50,30,2.0,2444,0.2306857677358743,563.7960163464768,0.4938625204582651,1.5076040359938347,1,0.9480150213053277,0.9480150213053277,81,-11.36521545065218,-0.14031130185990345,204,1.3334810984813559,0.0065366720513791955,363,190.018542420323,0.5234670590091542,453,64.93149178241312,0.1433366264512431,601,49.33366933734438,0.08208597227511545,575,290.15123906205366,0.504610850542702,166,-21.555206924791833,-0.129850644125252,True,0.514638682519075,True
1d,30,100,30,3.0,228,0.22608744642777512,51.547937785532724,0.6666666666666666,1.9440802596351254,0,0.0,,0,0.0,,29,-3.053203292553606,-0.1052828721570209,9,5.090672880824407,0.5656303200916007,42,9.415169057302743,0.2241706918405415,67,-3.1077462089145236,-0.04638427177484364,77,42.62282784249845,0.5535432187337461,4,0.5802175063752605,0.14505437659381512,True,0.8268580601581473,True
1d,30,200,30,2.0,177,0.22069583556951083,39.063162895803416,0.5706214689265536,1.609591295458175,0,0.0,,3,-3.0,-1.0,29,3.824957891648806,0.13189509971202779,12,2.4450639019601694,0.20375532516334746,18,1.5676687759011934,0.08709270977228852,64,-7.08936116197986,-0.11077126815593531,50,40.481134903484204,0.8096226980696841,1,0.8336985847888944,0.8336985847888944,True,1.0362994673898545,True
1d,20,50,30,2.0,357,0.21745846165850458,77.63267081208613,0.5574229691876751,1.5662281028286904,0,0.0,,2,-2.0,-1.0,18,-1.5469791975171465,-0.08594328875095258,41,43.18469531910636,1.053285251685521,54,15.293733094562871,0.28321727952894205,125,-22.997894523006465,-0.18398315618405173,108,42.35362111329133,0.3921631584564012,9,3.345495005649172,0.3717216672943524,True,0.5455643953794975,True
1d,30,100,20,2.0,231,0.21699780280824021,50.12649244870349,0.5714285714285714,1.6686190874559064,0,0.0,,0,0.0,,29,-8.408450246149473,-0.2899465602120508,9,5.924892552559907,0.6583213947288785,43,9.86622564741748,0.22944710807947627,67,-1.7723505373151895,-0.026452993094256562,79,43.25995830253078,0.5475944088927946,4,1.2562167296599958,0.31405418241499894,True,0.8630158662467852,True
6h,10,50,20,2.0,2473,0.20087190605356806,496.7562236704738,0.5305297209866559,1.5220147074880386,1,0.6890695331020061,0.6890695331020061,81,-0.36489244640116425,-0.004504845017298324,205,-20.495202919118825,-0.09997659960545768,368,196.00650963948414,0.5326263848899025,461,82.86936489510074,0.1797600106184398,609,73.51026763390632,0.12070651499820415,581,189.96793440554936,0.3269671848632519,167,-25.42682707114873,-0.1522564495278367,True,0.3824168180559439,False
4h,10,100,30,2.0,3134,0.19861544199429942,622.4607952101344,0.48181238034460755,1.4358416514316366,2,-2.0,-1.0,119,-14.89645985083469,-0.12518033488096378,338,-60.22486875960901,-0.1781800850876006,399,230.2599973869442,0.5770927252805619,601,26.146962163346483,0.0435057606711256,792,213.60868143980338,0.26970793111086283,673,262.14960349877043,0.3895239279327941,210,-32.58312066828634,-0.1551577174680302,True,0.4211503849174505,True
1d,20,200,30,2.0,207,0.19799231917881155,40.98441007001399,0.5507246376811594,1.525157891461876,0,0.0,,5,-5.0,-1.0,33,-3.041970438116419,-0.09218092236716421,8,6.42663270367861,0.8033290879598263,30,-6.237582482535691,-0.20791941608452305,80,2.9239893779275796,0.03654986722409474,50,46.72826481492175,0.934565296298435,1,-0.8149239058618394,-0.8149239058618394,True,1.140147308088502,True
4h,20,50,20,2.0,2922,0.19714962221653684,576.0711961167207,0.5154004106776181,1.5096148408025218,3,-2.0767694149756495,-0.6922564716585499,123,5.399361232184643,0.04389724579011905,304,-18.57154770925609,-0.061090617464658194,350,144.2892321041516,0.4122549488690046,574,76.71297387975031,0.13364629595775315,742,163.81838446861195,0.22077949389300802,627,210.03664668244218,0.3349866773244692,199,-3.537085126188317,-0.017774297116524205,True,0.3646018896592872,False
8h,30,50,30,2.0,1089,0.19673936469027178,214.24916814770597,0.49586776859504134,1.456574704078018,0,0.0,,43,-22.832049915611634,-0.530977905014224,92,7.4421828139667365,0.08089329145616019,159,76.86539633428343,0.4834301656244241,180,26.45738436406122,0.146985468689229,335,81.4300370486806,0.24307473745874808,218,30.25477340358305,0.1387833642366195,62,14.631444098742554,0.23599103385068634,True,0.14121302624020013,False
4h,30,50,30,2.0,2487,0.19326038633975265,480.6385808269648,0.47366304784881386,1.4254533435912367,2,-0.4232380709126592,-0.2116190354563296,102,-15.49518100190398,-0.15191353923435275,273,-27.994790090217258,-0.10254501864548446,292,185.22929884556578,0.6343469138546773,474,104.91142337444168,0.22133211682371662,643,42.678578524825134,0.0663741501163688,541,195.15081110375053,0.3607223865134021,160,-3.418321858584432,-0.0213645116161527,True,0.4060240248878543,True
4h,10,50,20,2.0,4014,0.1911872116008634,767.4254673658658,0.5009965122072746,1.4743027523882402,2,-0.3912889885357088,-0.1956444942678544,140,14.453391720708536,0.10323851229077526,407,9.683894377131391,0.023793352277964107,580,171.93226600272766,0.2964349413840132,751,96.10149822957473,0.1279647113576228,964,246.1727580708134,0.25536593160872756,870,250.61520112238725,0.28806344956596236,300,-21.142253168941533,-0.0704741772298051,True,0.32656617714630504,False
