timeframe,filter_mode,don_n,don_exit_n,atr_mult,symbols,trades,total_r,avg_r,median_r,pf,max_dd_r,win_rate_pct
1d,ema200_price_below,10,5,2.0,290,8386,-389.48299743794246,-0.04644443088933251,-0.20742517304403496,0.8399662118529375,-389.40926222011103,38.0872883377057
1d,ema200_price_below,10,5,3.0,290,7362,-266.5610896848249,-0.03620770031035383,-0.15090136242873248,0.8454507851962842,-266.2226753838439,37.8293941863624
1d,ema200_price_below,15,7,2.0,290,6824,-180.7697384788811,-0.026490289929496057,-0.2009732858721324,0.9085718597366913,-179.8688757650728,39.09730363423212
1d,ema200_price_below,15,7,3.0,290,5745,-166.69383752462142,-0.029015463450760906,-0.16271501627150203,0.8849965177111193,-166.00220368762268,38.572671888598784
1d,ema200_price_below,20,10,2.0,290,5901,-196.61420420308815,-0.03331879413711034,-0.2299731697968574,0.8905359596493707,-197.7902789658835,38.68835790543976
1d,ema200_price_below,20,10,3.0,290,4716,-56.5014937409926,-0.01198080868129614,-0.1990999611553597,0.957927178389478,-56.23647194261189,38.5284139100933
1d,ema200_price_below,25,12,2.0,290,5020,-119.52876199469785,-0.023810510357509532,-0.19339838195082243,0.9208757211245566,-120.25093241018823,40.537848605577686
1d,ema200_price_below,25,12,3.0,290,3887,79.4399984948413,0.020437354899624723,-0.14994837582400106,1.0738162399403568,-28.63278306040118,40.648314895806536
1d,ema200_price_below,30,15,2.0,290,4525,-102.43064694743984,-0.0226366070602077,-0.18742768993443953,0.9238900254230067,-103.5241618088829,40.64088397790056
1d,ema200_price_below,30,15,3.0,290,3423,89.91995649350217,0.026269341657464848,-0.1501837109614201,1.0917575490698892,-23.288068082266435,41.86386210926088
1d,ema200_price_below,40,20,2.0,290,4090,-97.47595317863946,-0.023832751388420406,-0.18554665028594003,0.919131517019496,-98.0479044713429,40.85574572127139
1d,ema200_price_below,40,20,3.0,290,2954,135.65635653086696,0.04592293721424068,-0.12251212766922057,1.1623254704823922,-19.932615920083066,43.432633716993905
1d,ema200_price_below,55,27,2.0,290,3440,-27.54545338302208,-0.008007399239250604,-0.1490989220459557,0.971022350181112,-63.169308194556386,42.03488372093023
1d,ema200_price_below,55,27,3.0,290,2488,45.78693975701657,0.018403110834813732,-0.16079611562216295,1.0635177207468025,-29.482160396639337,40.9967845659164
4h,ema200_price_below,10,5,2.0,58,12912,-247.42908458042484,-0.01916272340306884,-0.2128944984815048,0.9363594414608319,-283.57820627035227,37.80204460966542
4h,ema200_price_below,10,5,3.0,58,10847,104.19262500976701,0.009605662856989676,-0.17922205809945954,1.0369161714880444,-60.856176743828875,37.99207154051811
4h,ema200_price_below,15,7,2.0,58,10599,-148.0957089419594,-0.013972611467304406,-0.20503427085795375,0.9535150981633091,-199.37094032636816,38.34323992829512
4h,ema200_price_below,15,7,3.0,58,8585,85.23872278548544,0.009928797062956952,-0.1948220064724905,1.035510434601462,-53.337320789319804,38.13628421665696
4h,ema200_price_below,20,10,2.0,58,9159,-99.91819630452855,-0.010909291003879086,-0.2172995780590713,0.9643001705366481,-149.3173130426673,38.06092368162463
4h,ema200_price_below,20,10,3.0,58,7243,13.511812944328085,0.001865499509088511,-0.2150210970464143,1.0062078126523475,-60.846960192671666,38.105757282893826
4h,ema200_price_below,25,12,2.0,58,8290,5.666468289076565,0.00068353055356774,-0.22045573028558374,1.0022183816732624,-95.52994359488943,38.04583835946924
4h,ema200_price_below,25,12,3.0,58,6511,7.103376269916067,0.0010909808431755594,-0.22274881516587652,1.0035176239059471,-56.99319030654258,38.39655966825373
4h,ema200_price_below,30,15,2.0,58,7523,26.169046753331543,0.0034785387150513816,-0.2231541111277519,1.011220748139842,-72.07746799341719,37.91040808188223
4h,ema200_price_below,30,15,3.0,58,5847,7.344945224066642,0.0012561903923493487,-0.21882581271227602,1.0040045014208594,-47.006782248500315,38.737814263724985
4h,ema200_price_below,40,20,2.0,58,6466,158.66078696704682,0.02453770290241986,-0.197901417491211,1.081777420494985,-50.00438557577469,38.756572842561084
4h,ema200_price_below,40,20,3.0,58,4913,150.18752349348787,0.03056941247577608,-0.19889247808029437,1.0998272209737403,-30.034877748879836,39.05963769590881
4h,ema200_price_below,55,27,2.0,58,5515,240.40190936882726,0.04359055473596143,-0.17850719424460204,1.1483157395387893,-31.726818285785328,38.94832275611967
4h,ema200_price_below,55,27,3.0,58,4226,117.46238456761489,0.027795169088408636,-0.21129310652597,1.0900065056217478,-35.698547797860385,38.40511121628017
6h,ema200_price_below,10,5,2.0,58,8738,-300.18250222650806,-0.03435368530859557,-0.21049975395844758,0.8850121226956223,-319.8326360440246,36.95353627832456
6h,ema200_price_below,10,5,3.0,58,7251,19.964092054594786,0.0027532881057226294,-0.17414423396477263,1.010477454689536,-63.051287134984506,37.89822093504344
6h,ema200_price_below,15,7,2.0,58,7222,-259.98343320324915,-0.03599881379164347,-0.21710427265091453,0.8822254705643758,-265.65867852606675,36.95652173913043
6h,ema200_price_below,15,7,3.0,58,5818,-47.88327274392496,-0.008230194696446367,-0.20024774853608834,0.9713007951156786,-91.90069331424064,37.88243382605707
6h,ema200_price_below,20,10,2.0,58,6250,-209.50586075087628,-0.033520937720140205,-0.22585402488282685,0.8926570541014133,-218.94883281291985,37.376
6h,ema200_price_below,20,10,3.0,58,4908,-39.10724381580859,-0.007968061087165563,-0.19978337802299506,0.973526857286256,-85.75046639764224,39.20130399348003
6h,ema200_price_below,25,12,2.0,58,5508,-120.80233607945985,-0.02193215978203701,-0.2170483025746181,0.9286668432736757,-141.45625811359676,37.58169934640523
6h,ema200_price_below,25,12,3.0,58,4298,-16.505898889316107,-0.0038403673544244086,-0.21029056069941876,0.9873950611721921,-64.12443876881605,38.29688227082364
6h,ema200_price_below,30,15,2.0,58,5050,-14.805375617968718,-0.0029317575481126175,-0.20631791794980558,0.9902925337669177,-52.764953805162236,38.257425742574256
6h,ema200_price_below,30,15,3.0,58,3874,19.150520646490445,0.004943345546332072,-0.19698618747992447,1.016271449854931,-47.921618234609426,38.71966959215281
6h,ema200_price_below,40,20,2.0,58,4484,-109.10224978277893,-0.02433145624058406,-0.21279844331009828,0.9202693968445365,-122.85404374048265,37.02051739518287
6h,ema200_price_below,40,20,3.0,58,3374,-59.227692116985224,-0.017554147041193013,-0.21143818334735046,0.9432285717576713,-91.18912251958226,38.44101956135152
6h,ema200_price_below,55,27,2.0,58,3807,8.905992926559382,0.002339372977819643,-0.19266935329111473,1.0078765960151064,-36.57746165846024,38.849487785658
6h,ema200_price_below,55,27,3.0,58,2791,59.466678149407585,0.021306584790185448,-0.1725653481378662,1.071172338115263,-38.10474283453426,41.02472232174848
