symbol,r,entry_ts,exit_ts,entry_price,year
ATOMUSDT,0.8500363365950926,1583971200000,1586131200000,1.599,2020
BATUSDT,-1.0,1583971200000,1584057600000,0.1095,2020
ETCUSDT,0.9630597070136834,1583971200000,1586131200000,3.68,2020
ONTUSDT,0.7479330196144318,1583971200000,1586131200000,0.3052,2020
IOSTUSDT,0.7841769100356828,1584144000000,1586304000000,0.002591,2020
VETUSDT,0.9581934130910147,1584144000000,1586304000000,0.002534,2020
ZECUSDT,1.0415078181569233,1584403200000,1586563200000,25.01,2020
CRVUSDT,-0.6050259768865855,1600905600000,1603065600000,0.989,2020
CRVUSDT,1.2774660859686577,1603152000000,1605312000000,0.359,2020
SNXUSDT,2.3857117531438146,1604361600000,1606521600000,2.559,2020
FILUSDT,-1.0,1608595200000,1608681600000,24.611,2020
DOGEUSDT,-0.06978089299824591,1624233600000,1626393600000,0.17835,2021
FILUSDT,-0.017027201008533104,1624233600000,1626393600000,46.074,2021
ANKRUSDT,0.30359608902188534,1624320000000,1626480000000,0.05475,2021
MANAUSDT,0.7851413012278089,1624320000000,1626480000000,0.4364,2021
STORJUSDT,0.7115347943471574,1624320000000,1626480000000,0.578,2021
GTCUSDT,-0.11940005881776322,1624579200000,1626739200000,5.735,2021
LTCUSDT,3.671429907040795,1626739200000,1628899200000,107.23,2021
NEOUSDT,4.755490942187957,1626739200000,1628899200000,25.817,2021
1000XECUSDT,-0.3441699002977332,1638662400000,1640822400000,0.12054,2021
NEOUSDT,-0.3010078353590468,1638662400000,1640822400000,28.207,2021
AXSUSDT,-1.0,1641600000000,1642809600000,70.27,2022
ENSUSDT,0.07924410494347882,1642723200000,1644883200000,17.841,2022
1INCHUSDT,0.4315097079898118,1642809600000,1644969600000,1.611,2022
ANKRUSDT,1.0654226253087673,1642809600000,1644969600000,0.06247,2022
IOSTUSDT,1.2521701320726246,1642809600000,1644969600000,0.021099,2022
RSRUSDT,0.1420034373942638,1642809600000,1644969600000,0.018256,2022
ZILUSDT,0.7141604526348098,1642809600000,1644969600000,0.04278,2022
ALICEUSDT,0.529687034663118,1642896000000,1645056000000,6.846,2022
PEOPLEUSDT,0.8575722136776909,1642896000000,1645056000000,0.03744,2022
SKLUSDT,1.1206146689575989,1642896000000,1645056000000,0.11343,2022
ZENUSDT,0.09958088217401942,1642896000000,1645056000000,35.633,2022
DASHUSDT,0.617925879580863,1642982400000,1645142400000,90.37,2022
FILUSDT,0.45783393332757144,1642982400000,1645142400000,18.395,2022
SOLUSDT,-0.07266195450360496,1642982400000,1645142400000,91.85,2022
VETUSDT,0.12011824087878582,1642982400000,1645142400000,0.05136,2022
KSMUSDT,-0.5999365836229658,1643155200000,1645315200000,164.96,2022
AXSUSDT,-1.0,1651190400000,1651276800000,34.3,2022
1INCHUSDT,-1.0,1651276800000,1652313600000,1.1166,2022
MANAUSDT,-1.0,1651276800000,1652054400000,1.4302,2022
SANDUSDT,-1.0,1651276800000,1652227200000,1.9603,2022
XRPUSDT,-1.0,1651276800000,1652054400000,0.5839,2022
ATOMUSDT,-1.0,1652054400000,1652313600000,12.483,2022
KSMUSDT,-1.0,1652054400000,1652313600000,94.14,2022
JASMYUSDT,0.4622409317191799,1652227200000,1654387200000,0.00936,2022
KAVAUSDT,0.5948335252965701,1652227200000,1654387200000,1.9055,2022
LINKUSDT,0.3217651346291804,1652227200000,1654387200000,6.936,2022
SUSHIUSDT,0.36159484246987933,1652227200000,1654387200000,1.326,2022
