symbol,entry_ts,r,funding,year,tf,level
1000BONKUSDT,1708819200000,-1.0,0.00026466,2024,4h,2
1000BONKUSDT,1711296000000,-1.0,0.00023841,2024,4h,2
1000CATUSDT,1772049600000,0.4284779806967073,0.00028099,2026,4h,2
1000FLOKIUSDT,1703980800000,-1.0,0.00046672,2023,4h,2
1000PEPEUSDT,1704024000000,-1.0,0.00037613,2023,4h,2
1000PEPEUSDT,1712376000000,-1.0,0.00020871,2024,4h,2
1000RATSUSDT,1707724800000,-1.0,0.00043641,2024,4h,2
1000RATSUSDT,1708588800000,-1.0,0.00039758,2024,4h,2
1000RATSUSDT,1711324800000,0.643061392382849,0.00038369,2024,4h,2
1000RATSUSDT,1712419200000,1.0892862180972478,0.00020737,2024,4h,2
1000RATSUSDT,1714478400000,-1.0,0.00044878,2024,4h,2
1000RATSUSDT,1714924800000,1.7661360534313615,0.00031607,2024,4h,2
1000RATSUSDT,1716336000000,-0.0916258760910414,0.0003904,2024,4h,2
1000RATSUSDT,1718611200000,1.647555458630068,0.00032194,2024,4h,2
1000RATSUSDT,1729382400000,0.8496184380582218,0.00023051,2024,4h,2
1000RATSUSDT,1729886400000,-1.0,0.00053382,2024,4h,2
1000RATSUSDT,1731801600000,0.6608352199350096,0.00029086,2024,4h,2
1000RATSUSDT,1732320000000,0.13791347418580632,0.00064738,2024,4h,2
1000RATSUSDT,1732824000000,-1.0,0.00026248,2024,4h,2
1000RATSUSDT,1734523200000,1.9808665566164316,0.00022146,2024,4h,2
1000RATSUSDT,1735056000000,0.21699408617066784,0.00026777,2024,4h,2
1000RATSUSDT,1735502400000,-1.0,0.00027128,2024,4h,2
1000RATSUSDT,1735776000000,-1.0,0.00038309,2025,4h,2
1000RATSUSDT,1736179200000,4.090008129111581,0.00028815,2025,4h,2
1000RATSUSDT,1736985600000,-1.0,0.00060548,2025,4h,2
1000RATSUSDT,1737216000000,2.4714090271048894,0.00053737,2025,4h,2
1000RATSUSDT,1737820800000,0.8984379184038445,0.0006492,2025,4h,2
1000RATSUSDT,1740139200000,-1.0,0.00025157,2025,4h,2
1000RATSUSDT,1740499200000,-1.0,0.00030233,2025,4h,2
1000RATSUSDT,1747886400000,1.0783288172461818,0.00026787,2025,4h,2
1000RATSUSDT,1749556800000,0.22400092234551025,0.00021115,2025,4h,2
1000RATSUSDT,1750536000000,-1.0,0.00043129,2025,4h,2
1000RATSUSDT,1751270400000,-1.0,0.0002452,2025,4h,2
1000RATSUSDT,1754078400000,0.9536010828820813,0.00056205,2025,4h,2
1000RATSUSDT,1754697600000,0.08016250523463003,0.00037213,2025,4h,2
1000RATSUSDT,1764691200000,-1.0,0.00062342,2025,4h,2
1000RATSUSDT,1770940800000,-1.0,0.00025706,2026,4h,2
1000RATSUSDT,1771272000000,1.2601285000515985,0.00050309,2026,4h,2
1000RATSUSDT,1777824000000,0.14246723851754967,0.00026214,2026,4h,2
1000RATSUSDT,1778328000000,2.499929998241754,0.0003711,2026,4h,2
1000RATSUSDT,1780531200000,-0.1676208580035945,0.00054349,2026,4h,2
1000SATSUSDT,1707652800000,-1.0,0.00032319,2024,4h,2
1000SATSUSDT,1708056000000,-1.0,0.00022691,2024,4h,2
1000SATSUSDT,1708891200000,-1.0,0.00024455,2024,4h,2
1000SATSUSDT,1711540800000,-1.0,0.00031956,2024,4h,2
1000SATSUSDT,1717776000000,1.6303886585136753,0.00017157,2024,4h,2
1000SATSUSDT,1732320000000,-1.0,0.00021083,2024,4h,2
1000SHIBUSDT,1627790400000,0.955045637259777,0.00041716,2021,4h,2
1000SHIBUSDT,1630915200000,-1.0,0.00072887,2021,4h,2
1000SHIBUSDT,1638532800000,1.1865601526497043,0.00022349,2021,4h,2
1000XECUSDT,1637899200000,0.14895659788937546,0.00051693,2021,4h,2
1000XECUSDT,1665619200000,-0.5809415165838058,0.0001,2022,4h,2
1000XECUSDT,1681891200000,0.7978649003684568,0.00029021,2023,4h,2
1INCHUSDT,1615118400000,-1.0,0.00029469,2021,4h,2
1INCHUSDT,1615536000000,-1.0,0.001828,2021,4h,2
1INCHUSDT,1641398400000,2.13302120889718,0.0001,2022,4h,2
1INCHUSDT,1743624000000,1.7984046281003427,0.0001,2025,4h,2
1MBABYDOGEUSDT,1731153600000,-1.0,0.00031381,2024,4h,2
1MBABYDOGEUSDT,1732752000000,-1.0,0.00020469,2024,4h,2
1MBABYDOGEUSDT,1733198400000,-1.0,0.00036126,2024,4h,2
AAVEUSDT,1615881600000,0.03584291378125239,0.00023943,2021,4h,2
AAVEUSDT,1616702400000,-1.0,0.0002272,2021,4h,2
AAVEUSDT,1616904000000,-1.0,0.00088198,2021,4h,2
AAVEUSDT,1617868800000,-1.0,0.00106073,2021,4h,2
AAVEUSDT,1630195200000,-1.0,0.00036968,2021,4h,2
AAVEUSDT,1633881600000,0.035302040821624955,0.00032075,2021,4h,2
AAVEUSDT,1634644800000,-1.0,0.00023815,2021,4h,2
AAVEUSDT,1635076800000,-1.0,0.00037963,2021,4h,2
AAVEUSDT,1636185600000,-1.0,0.00043075,2021,4h,2
AAVEUSDT,1636574400000,0.2944167030911872,0.00047334,2021,4h,2
AAVEUSDT,1637020800000,0.5301865141277932,0.00025922,2021,4h,2
AAVEUSDT,1637539200000,-1.0,0.00027048,2021,4h,2
AAVEUSDT,1637755200000,1.348150855056788,0.00035027,2021,4h,2
AAVEUSDT,1703289600000,-1.0,0.00034025,2023,4h,2
ACEUSDT,1710705600000,0.8906876542144896,0.00037376,2024,4h,2
ACEUSDT,1711396800000,-1.0,0.00022583,2024,4h,2
ACEUSDT,1711944000000,1.7690343114255447,0.00026498,2024,4h,2
ACEUSDT,1712620800000,-1.0,0.00031023,2024,4h,2
ACEUSDT,1712923200000,4.700279118468117,0.0003337,2024,4h,2
ACEUSDT,1776384000000,-1.0,0.00025515,2026,4h,2
ACEUSDT,1777564800000,-1.0,0.0002214,2026,4h,2
ACEUSDT,1777881600000,-1.0,0.00023785,2026,4h,2
ACHUSDT,1682524800000,0.6645407132299003,0.0001,2023,4h,2
ACHUSDT,1691956800000,-1.0,0.00020596,2023,4h,2
ACHUSDT,1693929600000,-1.0,0.00031042,2023,4h,2
ACHUSDT,1697400000000,-1.0,0.00032299,2023,4h,2
ACHUSDT,1780401600000,1.8826509684198334,0.0001,2026,4h,2
ACTUSDT,1775217600000,-0.31168515530756785,0.0003077,2026,4h,2
ADAUSDT,1597939200000,2.012620807357743,0.00046678,2020,4h,2
ADAUSDT,1598630400000,-1.0,0.00054318,2020,4h,2
ADAUSDT,1633780800000,0.7983240610992098,0.00020389,2021,4h,2
ADAUSDT,1634328000000,0.24885286581515922,0.00030715,2021,4h,2
ADAUSDT,1635177600000,2.7072295844651997,0.00066682,2021,4h,2
ADAUSDT,1635753600000,-1.0,0.00046665,2021,4h,2
ADAUSDT,1636171200000,-1.0,0.00045308,2021,4h,2
ADAUSDT,1711267200000,-1.0,0.00025702,2024,4h,2
ADAUSDT,1711713600000,2.105232512256448,0.00039291,2024,4h,2
ADAUSDT,1712606400000,7.72811820017299,0.00027296,2024,4h,2
ADAUSDT,1717300800000,-1.0,0.00020642,2024,4h,2
AEVOUSDT,1716465600000,-1.0,0.00021512,2024,4h,2
AGLDUSDT,1710705600000,0.7322276813989222,0.00024876,2024,4h,2
AKTUSDT,1737115200000,1.2720646123307198,0.00061913,2025,4h,2
AKTUSDT,1750132800000,2.7237701233427045,0.00027753,2025,4h,2
AKTUSDT,1751486400000,-1.0,0.00031772,2025,4h,2
AKTUSDT,1755734400000,1.8490120836437096,0.00024294,2025,4h,2
AKTUSDT,1756425600000,1.3554317197485006,0.00038033,2025,4h,2
AKTUSDT,1757073600000,-1.0,0.00045698,2025,4h,2
AKTUSDT,1757923200000,-0.2881618630340897,0.00041645,2025,4h,2
AKTUSDT,1758499200000,1.997623089318899,0.00042788,2025,4h,2
AKTUSDT,1760097600000,3.5057500933972645,0.00012984,2025,4h,2
ALCHUSDT,1747771200000,0.6676674497334297,0.00056136,2025,4h,2
ALCHUSDT,1749772800000,-1.0,0.00020705,2025,4h,2
ALCHUSDT,1750420800000,-1.0,0.00020675,2025,4h,2
ALCHUSDT,1751025600000,-1.0,0.00020007,2025,4h,2
ALCHUSDT,1751342400000,-1.0,0.00021681,2025,4h,2
ALCHUSDT,1754812800000,-1.0,0.00033062,2025,4h,2
ALCHUSDT,1757721600000,0.49671355074829726,0.0002074,2025,4h,2
ALCHUSDT,1758427200000,-1.0,0.00025959,2025,4h,2
ALCHUSDT,1761566400000,-1.0,0.00068871,2025,4h,2
ALCHUSDT,1768017600000,-1.0,0.000629,2026,4h,2
ALCHUSDT,1770523200000,0.8377664808876806,0.00023578,2026,4h,2
ALCHUSDT,1778990400000,-1.0,0.00031202,2026,4h,2
ALGOUSDT,1603713600000,2.106011282212657,0.00032566,2020,4h,2
ALGOUSDT,1605427200000,-1.0,0.00027568,2020,4h,2
ALGOUSDT,1634644800000,-1.0,0.00030176,2021,4h,2
ALGOUSDT,1637524800000,1.2823693540111452,0.00022297,2021,4h,2
ALGOUSDT,1659398400000,-1.0,0.0001,2022,4h,2
ALGOUSDT,1661515200000,-0.3207104908724321,0.0001,2022,4h,2
ALICEUSDT,1623830400000,1.1508518053447656,0.0001,2021,4h,2
ALICEUSDT,1634227200000,0.9668998847839542,0.0003927,2021,4h,2
ALICEUSDT,1634688000000,-1.0,0.00037892,2021,4h,2
ALICEUSDT,1635076800000,-1.0,0.00078953,2021,4h,2
ALICEUSDT,1635177600000,-1.0,0.00039934,2021,4h,2
ALICEUSDT,1743624000000,0.9987503497188442,0.0001,2025,4h,2
ANKRUSDT,1635321600000,-1.0,0.00047845,2021,4h,2
ANKRUSDT,1645430400000,-0.025278101109187098,0.0001,2022,4h,2
ANKRUSDT,1751385600000,-1.0,0.0001,2025,4h,2
ANKRUSDT,1760097600000,3.0584612502242936,0.0001,2025,4h,2
ANKRUSDT,1769644800000,2.9539798987001067,0.0001,2026,4h,2
APEUSDT,1710979200000,-0.7206655126028547,0.00025631,2024,4h,2
APEUSDT,1712246400000,-1.0,0.00020902,2024,4h,2
APEUSDT,1712822400000,4.884421444720243,0.00030758,2024,4h,2
APEUSDT,1717776000000,0.6345384251406452,0.00028239,2024,4h,2
API3USDT,1711929600000,2.685209911129277,0.00033728,2024,4h,2
APTUSDT,1708632000000,-1.0,0.00042855,2024,4h,2
APTUSDT,1717776000000,0.012692505806224417,0.00025192,2024,4h,2
ARBUSDT,1708833600000,-1.0,0.00021944,2024,4h,2
ARBUSDT,1709136000000,-1.0,0.00076286,2024,4h,2
ARBUSDT,1710561600000,1.1627642235769202,0.00025565,2024,4h,2
ARBUSDT,1711425600000,1.0375815236302994,0.00040866,2024,4h,2
ARBUSDT,1712620800000,8.335485003462335,0.00021393,2024,4h,2
ARBUSDT,1717776000000,-0.15851030731353982,0.00025857,2024,4h,2
ARBUSDT,1719964800000,4.126012907717282,0.0001,2024,4h,2
ARCUSDT,1744228800000,-1.0,0.00036415,2025,4h,2
ARCUSDT,1747800000000,-1.0,0.00048876,2025,4h,2
ARCUSDT,1749412800000,-1.0,0.00022935,2025,4h,2
ARCUSDT,1749672000000,0.6801786716221816,0.00026962,2025,4h,2
ARCUSDT,1750420800000,-0.12120591622681781,0.00031339,2025,4h,2
ARCUSDT,1752624000000,-1.0,0.00053768,2025,4h,2
ARCUSDT,1753286400000,1.2297219318831967,0.00039773,2025,4h,2
ARCUSDT,1753732800000,2.3470833870331314,0.00031918,2025,4h,2
ARCUSDT,1754409600000,-1.0,0.00022783,2025,4h,2
ARCUSDT,1754726400000,-1.0,0.00045556,2025,4h,2
ARCUSDT,1755907200000,-1.0,0.00034034,2025,4h,2
ARCUSDT,1756425600000,0.4890951985392623,0.00028597,2025,4h,2
ARCUSDT,1757073600000,-1.0,0.00028134,2025,4h,2
ARCUSDT,1757592000000,-1.0,0.00045775,2025,4h,2
ARCUSDT,1757923200000,-1.0,0.00048065,2025,4h,2
ARCUSDT,1758499200000,-1.0,0.000382,2025,4h,2
ARCUSDT,1759219200000,-1.0,0.00044424,2025,4h,2
ARCUSDT,1760947200000,-1.0,0.00046469,2025,4h,2
ARCUSDT,1761249600000,-1.0,0.00048725,2025,4h,2
ARCUSDT,1761883200000,-1.0,0.00025859,2025,4h,2
ARCUSDT,1767888000000,-1.0,0.00025734,2026,4h,2
ARCUSDT,1769644800000,0.6936532616777752,0.00044467,2026,4h,2
ARCUSDT,1774411200000,-1.0,0.00023021,2026,4h,2
ARCUSDT,1778486400000,-1.0,0.00033376,2026,4h,2
ARKMUSDT,1765540800000,0.8517754170464193,0.0001,2025,4h,2
ARKUSDT,1701964800000,2.207283299904044,0.00022133,2023,4h,2
ARKUSDT,1702742400000,0.6469982518259468,0.00036496,2023,4h,2
ARKUSDT,1703203200000,-1.0,0.0004691,2023,4h,2
ARKUSDT,1703721600000,0.12004060293630478,0.00057108,2023,4h,2
ARKUSDT,1708992000000,-1.0,0.00054015,2024,4h,2
ARKUSDT,1726560000000,-1.0,0.00036304,2024,4h,2
ARPAUSDT,1702670400000,-1.0,0.00023897,2023,4h,2
ARPAUSDT,1707782400000,-1.0,0.00041024,2024,4h,2
ARUSDT,1637812800000,-1.0,0.00022313,2021,4h,2
ARUSDT,1760097600000,2.989717346668523,0.0001,2025,4h,2
ARUSDT,1772006400000,-1.0,0.0001,2026,4h,2
ASTRUSDT,1708588800000,0.539696853421677,0.00032031,2024,4h,2
ASTRUSDT,1709107200000,-1.0,0.00062277,2024,4h,2
ASTRUSDT,1709366400000,1.1578414197787466,0.00106281,2024,4h,2
