variant,time,event,open_positions,open_risk_amount,equity,portfolio_heat_pct,reserved_margin,cash
T5_1D_LONG_max10,2024-03-24 00:00:00+00:00,entry,1,25.0,10000.0,0.25,127.85015060240968,9872.14984939759
T5_1D_LONG_max10,2024-03-25 00:00:00+00:00,entry,2,50.0,10000.0,0.5,243.01115374958283,9756.988846250417
T5_1D_LONG_max10,2024-03-25 00:00:00+00:00,entry,3,75.0,10000.0,0.75,385.2459847964478,9614.754015203553
T5_1D_LONG_max10,2024-03-25 00:00:00+00:00,entry,4,100.0,10000.0,1.0,503.57011702227175,9496.429882977729
T5_1D_LONG_max10,2024-03-27 00:00:00+00:00,entry,5,125.0,10000.0,1.25,631.0516895038442,9368.948310496156
T5_1D_LONG_max10,2024-03-28 00:00:00+00:00,entry,6,150.0,10000.0,1.5,757.6147544918457,9242.385245508154
T5_1D_LONG_max10,2024-04-02 00:00:00+00:00,exit,5,125.0,9982.007374407294,1.2522531321754526,642.4537513446726,9339.553623062622
T5_1D_LONG_max10,2024-04-03 00:00:00+00:00,exit,4,100.0,9956.507374407294,1.0043682612744809,514.9721788631001,9441.535195544195
T5_1D_LONG_max10,2024-04-03 00:00:00+00:00,exit,3,75.0,9931.007374407296,0.7552103948012239,388.40911387509857,9542.598260532197
T5_1D_LONG_max10,2024-04-08 00:00:00+00:00,entry,4,99.82751843601824,9931.007374407296,1.0052103948012239,575.112930826057,9355.89444358124
T5_1D_LONG_max10,2024-04-08 00:00:00+00:00,entry,5,124.65503687203648,9931.007374407296,1.2552103948012239,841.1288749885771,9089.878499418719
T5_1D_LONG_max10,2024-04-09 00:00:00+00:00,exit,4,99.65503687203648,9917.689724098855,1.004821078742624,698.8940439417121,9218.795680157142
T5_1D_LONG_max10,2024-04-12 00:00:00+00:00,exit,3,74.65503687203648,9929.866681930178,0.7518231539592529,571.0438933393024,9358.822788590876
T5_1D_LONG_max10,2024-04-12 00:00:00+00:00,exit,2,49.82751843601824,9904.54261312544,0.5030774300469676,384.34007638834396,9520.202536737097
T5_1D_LONG_max10,2024-04-12 00:00:00+00:00,exit,1,25.0,9879.218544320702,0.2530564526722797,118.32413222582394,9760.894412094878
T5_1D_LONG_max10,2024-04-23 00:00:00+00:00,entry,2,49.698046360801754,9879.218544320702,0.5030564526722797,260.5458823487353,9618.672661971967
T5_1D_LONG_max10,2024-04-24 00:00:00+00:00,exit,1,25.0,9854.026537032683,0.2537033963329287,118.32413222582394,9735.70240480686
T5_1D_LONG_max10,2024-04-27 00:00:00+00:00,exit,0,0.0,9895.758987397352,0.0,0.0,9895.758987397352
