variant,trade_id,symbol,side,timeframe,entry_time,reason,equity,cash,reserved_margin,open_risk_pct,stop_pct,requested_risk_pct,requested_notional,requested_margin
T5_4H_ALL_max5,489,XUSD/USDT,LONG,4h,2025-12-10 16:00:00+00:00,STOP_TOO_TIGHT,10000.0,8785.283284983905,1214.7167150160956,1.0,0.00042848573142504877,0.25,3500.0,1166.6666666666667
T5_4H_ALL_max5,496,BFUSD/USDT,LONG,4h,2025-12-11 08:00:00+00:00,STOP_TOO_TIGHT,9974.5,8853.52390059952,1120.9760994004796,0.7519173893428241,0.0003859458532262583,0.25,3491.075,1163.6916666666666
T5_4H_ALL_max5,513,XUSD/USDT,SHORT,4h,2026-01-15 04:00:00+00:00,STOP_TOO_TIGHT,9873.844081649615,9357.165954755292,516.6781268943239,1.0083926955321003,0.000499950004999445,0.25,3455.845428577365,1151.948476192455
T5_4H_ALL_max5,527,U/USDT,LONG,4h,2026-02-04 16:00:00+00:00,STOP_TOO_TIGHT,10126.813580776172,10047.653114794995,79.16046598117613,0.24296885556916734,0.0009413509812870748,0.25,3544.38475327166,1181.4615844238867
T5_4H_ALL_max5,532,XUSD/USDT,SHORT,4h,2026-02-26 00:00:00+00:00,STOP_TOO_TIGHT,10258.509017005144,9709.141475296736,549.367541708409,0.989814928473642,0.0007857928650006676,0.25,3590.4781559518,1196.8260519839334
T5_4H_ALL_max5,555,BFUSD/USDT,LONG,4h,2026-04-29 08:00:00+00:00,STOP_TOO_TIGHT,10266.337733909637,9710.457619326957,555.8801145826809,0.9996790682875354,0.0002286628937289584,0.25,3593.218206868373,1197.7394022894575
T5_4H_ALL_max5,571,BFUSD/USDT,LONG,4h,2026-05-12 00:00:00+00:00,STOP_TOO_TIGHT,10428.61572169565,9889.229874853956,539.3858468416955,0.9908578907515524,0.00021437146287120394,0.25,3650.0155025934773,1216.6718341978258
T5_4H_LONG_max5,388,XUSD/USDT,LONG,4h,2025-12-10 16:00:00+00:00,STOP_TOO_TIGHT,10000.0,10000.0,0.0,0.0,0.00042848573142504877,0.25,3500.0,1166.6666666666667
T5_4H_LONG_max5,391,BFUSD/USDT,LONG,4h,2025-12-11 08:00:00+00:00,STOP_TOO_TIGHT,10000.0,10000.0,0.0,0.0,0.0003859458532262583,0.25,3500.0,1166.6666666666667
T5_4H_LONG_max5,395,XUSD/USDT,LONG,4h,2025-12-18 04:00:00+00:00,STOP_TOO_TIGHT,10000.0,10000.0,0.0,0.0,0.00045691439994274027,0.25,3500.0,1166.6666666666667
T5_4H_LONG_max5,393,BFUSD/USDT,LONG,4h,2025-12-26 04:00:00+00:00,STOP_TOO_TIGHT,9948.999999999998,9782.651525942501,166.34847405749764,0.5012815358327471,0.00044294573200358994,0.25,3482.149999999999,1160.7166666666665
T5_4H_LONG_max5,415,XUSD/USDT,LONG,4h,2026-01-20 04:00:00+00:00,STOP_TOO_TIGHT,9678.62264701984,9522.839012307028,155.78363471281202,0.25065074131441156,0.0004281432852861587,0.25,3387.5179264569438,1129.1726421523147
T5_4H_LONG_max5,411,BFUSD/USDT,LONG,4h,2026-01-22 20:00:00+00:00,STOP_TOO_TIGHT,9678.62264701984,9522.839012307028,155.78363471281202,0.25065074131441156,0.0003857142857142115,0.25,3387.5179264569438,1129.1726421523147
T5_4H_LONG_max5,412,U/USDT,LONG,4h,2026-01-26 00:00:00+00:00,STOP_TOO_TIGHT,9678.62264701984,9522.839012307028,155.78363471281202,0.25065074131441156,0.00047100466722795097,0.25,3387.5179264569438,1129.1726421523147
T5_4H_LONG_max5,418,U/USDT,LONG,4h,2026-02-04 16:00:00+00:00,STOP_TOO_TIGHT,9781.548779891575,9781.548779891575,0.0,0.0,0.0009413509812870748,0.25,3423.542072962051,1141.1806909873503
T5_4H_LONG_max5,429,U/USDT,LONG,4h,2026-02-11 08:00:00+00:00,STOP_TOO_TIGHT,9781.548779891575,9601.006484170872,180.54229572070255,0.5,0.0015842884261307838,0.25,3423.542072962051,1141.1806909873503
T5_4H_LONG_max5,452,U/USDT,LONG,4h,2026-03-19 12:00:00+00:00,STOP_TOO_TIGHT,9528.21384433388,9016.839924389626,511.3739199442557,1.0043895273878605,0.00037139143228534955,0.25,3334.874845516858,1111.6249485056194
