variant,time,event,trade_id,symbol,side,equity,cash,reserved_margin,open_positions,open_risk_amount,portfolio_heat_pct,peak_equity,drawdown_pct,pnl_usdt,net_r
T5_4H_ALL_max5,2025-12-10 08:00:00+00:00,entry,490,TRX/USDT,SHORT,10000.0,9260.227272727252,739.7727272727471,1,25.0,0.25,10000.0,0.0,0.0,
T5_4H_ALL_max5,2025-12-10 08:00:00+00:00,entry,491,SAHARA/USDT,SHORT,10000.0,9083.190567266187,916.809432733813,2,50.0,0.5,10000.0,0.0,0.0,
T5_4H_ALL_max5,2025-12-10 08:00:00+00:00,entry,493,MLN/USDT,SHORT,10000.0,8879.02390059952,1120.9760994004796,3,75.0,0.75,10000.0,0.0,0.0,
T5_4H_ALL_max5,2025-12-10 16:00:00+00:00,entry,488,SAPIEN/USDT,SHORT,10000.0,8785.283284983905,1214.7167150160956,4,100.0,1.0,10000.0,0.0,0.0,
T5_4H_ALL_max5,2025-12-11 08:00:00+00:00,exit,488,SAPIEN/USDT,SHORT,9974.5,8853.52390059952,1120.9760994004796,3,75.0,0.7519173893428241,10000.0,-0.255,-25.499999999999982,-1.0199999999999994
T5_4H_ALL_max5,2025-12-12 12:00:00+00:00,entry,503,ADA/USDT,SHORT,9974.5,8722.672668037112,1251.827331962888,4,99.93625,1.0019173893428241,10000.0,-0.255,0.0,
T5_4H_ALL_max5,2025-12-15 00:00:00+00:00,exit,490,TRX/USDT,SHORT,9949.0,9436.94539530986,512.0546046901409,3,74.93625,0.7532038395818675,10000.0,-0.51,-25.49999999999981,-1.0199999999999925
T5_4H_ALL_max5,2025-12-15 08:00:00+00:00,entry,494,ASTER/USDT,SHORT,9949.0,9266.04117182501,682.9588281749895,4,99.80875,1.0032038395818674,10000.0,-0.51,0.0,
T5_4H_ALL_max5,2025-12-17 08:00:00+00:00,exit,491,SAHARA/USDT,SHORT,10002.416741271263,9496.494618557339,505.9221227139237,3,74.80875,0.747906750288952,10002.416741271263,0.0,53.41674127126225,2.13666965085049
T5_4H_ALL_max5,2025-12-17 16:00:00+00:00,entry,492,SAHARA/USDT,SHORT,10002.416741271263,9432.290753972722,570.1259872985403,4,99.81479185317816,0.9979067502889521,10002.416741271263,0.0,0.0,
T5_4H_ALL_max5,2025-12-20 04:00:00+00:00,exit,492,SAHARA/USDT,SHORT,9976.91057858102,9470.988455867096,505.9221227139237,3,74.80875,0.7498187881988593,10002.416741271263,-0.2550000000000077,-25.50616269024172,-1.02
T5_4H_ALL_max5,2025-12-20 12:00:00+00:00,entry,506,UNI/USDT,LONG,9976.91057858102,9365.939381006456,610.9711975745644,4,99.75102644645256,0.9998187881988592,10002.416741271263,-0.2550000000000077,0.0,
T5_4H_ALL_max5,2025-12-21 00:00:00+00:00,exit,493,MLN/USDT,SHORT,10044.743911914353,9637.939381006456,406.8045309078978,3,74.75102644645256,0.7441805097468763,10044.743911914353,0.0,67.83333333333326,2.7133333333333303
T5_4H_ALL_max5,2025-12-21 00:00:00+00:00,entry,497,TRX/USDT,LONG,10044.743911914353,8782.582837579528,1262.1610743348251,4,99.86288622623843,0.9941805097468762,10044.743911914353,0.0,0.0,
T5_4H_ALL_max5,2025-12-22 08:00:00+00:00,exit,494,ASTER/USDT,SHORT,10147.612695680586,9056.35584483061,1091.2568508499762,3,74.99038622623843,0.7389953526523406,10147.612695680586,0.0,102.86878376623386,4.135844155844159
T5_4H_ALL_max5,2025-12-22 08:00:00+00:00,entry,495,BTC/USDT,LONG,10147.612695680587,8497.095323095125,1650.517372585462,4,100.3594179654399,0.9889953526523405,10147.612695680586,1.7925293939530468e-14,0.0,
T5_4H_ALL_max5,2025-12-22 16:00:00+00:00,exit,495,BTC/USDT,LONG,10121.7362833066,9030.479432456625,1091.2568508499762,3,74.99038622623843,0.7408846084037702,10147.612695680586,-0.2550000000000016,-25.876412373985495,-1.02
T5_4H_ALL_max5,2025-12-22 16:00:00+00:00,entry,498,DOGS/USDT,SHORT,10121.736283306602,8838.353882634601,1283.3824006720001,4,100.29472693450494,0.9908846084037701,10147.612695680586,-0.2549999999999837,0.0,
T5_4H_ALL_max5,2025-12-24 20:00:00+00:00,exit,497,TRX/USDT,LONG,10096.12218633122,9668.096329086147,428.02585724507287,3,75.18286715471905,0.7446707336457007,10147.612695680586,-0.5074150038391065,-25.614096975381383,-1.0199999999999914
T5_4H_ALL_max5,2025-12-25 00:00:00+00:00,entry,501,ZBT/USDT,LONG,10096.12218633122,9606.137165359003,489.98502097221694,4,100.4231726205471,0.9946707336457007,10147.612695680586,-0.5074150038391065,0.0,
T5_4H_ALL_max5,2025-12-25 08:00:00+00:00,entry,499,TRX/USDT,SHORT,10096.12218633122,8827.954224646359,1268.1679616848614,5,125.66347808637516,1.2446707336457008,10147.612695680586,-0.5074150038391065,0.0,
T5_4H_ALL_max5,2025-12-26 08:00:00+00:00,exit,498,DOGS/USDT,SHORT,10070.311758808788,8994.26934694595,1076.0424118628375,4,100.35913737810866,0.9965842148861148,10147.612695680586,-0.7617647538391111,-25.810427522431855,-1.020000000000001
T5_4H_ALL_max5,2025-12-26 20:00:00+00:00,entry,505,KITE/USDT,LONG,10070.311758808788,8813.110746430244,1257.2010123785435,5,125.53491677513063,1.2465842148861146,10147.612695680586,-0.7617647538391111,0.0,
T5_4H_ALL_max5,2025-12-27 16:00:00+00:00,exit,499,TRX/USDT,SHORT,10044.566647233643,9565.548575567744,479.018071665899,4,100.29461130930258,0.9984961505225768,10147.612695680586,-1.0154708455793215,-25.745111575144815,-1.020000000000008
T5_4H_ALL_max5,2025-12-27 20:00:00+00:00,entry,500,APT/USDT,LONG,10044.566647233642,9409.032211715301,635.5344355183411,5,125.40602792738669,1.2484961505225771,10147.612695680586,-1.0154708455793395,0.0,
T5_4H_ALL_max5,2025-12-31 16:00:00+00:00,exit,500,APT/USDT,LONG,10018.953002283197,9539.934930617297,479.018071665899,4,100.29461130930258,1.001048825026394,10147.612695680586,-1.2678813949231016,-25.61364495044578,-1.0199999999999996
T5_4H_ALL_max5,2025-12-31 16:00:00+00:00,entry,502,OSMO/USDT,SHORT,10018.953002283195,9340.016512088972,678.9364901942233,5,125.34199381501057,1.2510488250263943,10147.612695680586,-1.2678813949231196,0.0,
T5_4H_ALL_max5,2025-12-31 20:00:00+00:00,exit,501,ZBT/USDT,LONG,10078.217990158015,9461.240663690936,616.9773264670793,4,100.10168834918252,0.9932478980603301,10147.612695680586,-0.6838525237774322,59.264987874819084,2.3480297397769547
T5_4H_ALL_max5,2026-01-01 08:00:00+00:00,exit,502,OSMO/USDT,SHORT,10052.669660002193,9635.610752063438,417.05890793875494,3,75.05430584347452,0.7466106853396608,10147.612695680586,-0.9356194262203722,-25.548330155822182,-1.0200000000000011
T5_4H_ALL_max5,2026-01-01 08:00:00+00:00,entry,507,PUMP/USDT,LONG,10052.669660002193,9482.682310327935,569.987349674258,4,100.18597999348,0.9966106853396608,10147.612695680586,-0.9356194262203722,0.0,
T5_4H_ALL_max5,2026-01-01 16:00:00+00:00,entry,508,APT/USDT,LONG,10052.669660002191,9300.354478259267,752.3151817429248,5,125.3176541434855,1.2466106853396612,10147.612695680586,-0.9356194262203901,0.0,
T5_4H_ALL_max5,2026-01-06 12:00:00+00:00,exit,503,ADA/USDT,SHORT,10027.234685002191,9405.770735821676,621.4639491805164,4,100.3814041434855,1.001087610860716,10147.612695680586,-1.1862692663628576,-25.43497500000001,-1.0200000000000002
T5_4H_ALL_max5,2026-01-07 08:00:00+00:00,entry,504,RAD/USDT,LONG,10027.234685002191,9263.439710154005,763.794974848186,5,125.44949085599097,1.2510876108607163,10147.612695680586,-1.1862692663628576,0.0,
T5_4H_ALL_max5,2026-01-07 12:00:00+00:00,exit,504,RAD/USDT,LONG,10001.665236555435,9380.201287374919,621.4639491805164,4,100.3814041434855,1.0036469104824466,10147.612695680586,-1.4382442797336434,-25.56944844675562,-1.0200000000000011
T5_4H_ALL_max5,2026-01-07 20:00:00+00:00,exit,505,KITE/USDT,LONG,9975.985941570472,9535.680592905663,440.3053486648104,3,75.20562474646351,0.753866587091684,10147.612695680586,-1.6913017796113528,-25.679294984962436,-1.0200000000000011
T5_4H_ALL_max5,2026-01-07 20:00:00+00:00,entry,516,ZEC/USDT,SHORT,9975.985941570474,9403.641278342755,572.3446632277189,4,100.1455896003897,1.0038665870916839,10147.612695680586,-1.6913017796113352,0.0,
T5_4H_ALL_max5,2026-01-08 00:00:00+00:00,entry,518,FF/USDT,SHORT,9975.985941570474,9280.121949731036,695.863991839438,5,125.08555445431588,1.2538665870916839,10147.612695680586,-1.6913017796113352,0.0,
T5_4H_ALL_max5,2026-01-08 04:00:00+00:00,exit,506,UNI/USDT,LONG,9950.544819595092,9359.729902616295,590.8149169787974,4,100.14327800786333,1.0064099988842456,10147.612695680586,-1.942012195335136,-25.441121975381627,-1.020000000000001
T5_4H_ALL_max5,2026-01-08 04:00:00+00:00,exit,507,PUMP/USDT,LONG,10001.033030242761,9563.146554999466,437.8864752432944,3,75.01160385785785,0.750038557327283,10147.612695680586,-1.4444743786902452,50.48821064766889,2.008947368421052
T5_4H_ALL_max5,2026-01-08 04:00:00+00:00,entry,524,SAPIEN/USDT,SHORT,10001.033030242761,9456.518529049868,544.514501192893,4,100.01418643346476,1.000038557327283,10147.612695680586,-1.4444743786902452,0.0,
T5_4H_ALL_max5,2026-01-10 00:00:00+00:00,entry,509,TON/USDT,SHORT,10001.033030242761,9283.609102563141,717.4239276796203,5,125.01676900907165,1.250038557327283,10147.612695680586,-1.4444743786902452,0.0,
T5_4H_ALL_max5,2026-01-11 20:00:00+00:00,exit,508,APT/USDT,LONG,9975.398722609756,9440.302626998802,535.0960956109535,4,99.88509485906617,1.0013143096994355,10147.612695680586,-1.697088549153377,-25.634307633005573,-1.0199999999999991
T5_4H_ALL_max5,2026-01-11 20:00:00+00:00,entry,510,BIO/USDT,SHORT,9975.398722609754,9278.1219509925,697.2767716172553,5,124.82359166559057,1.2513143096994357,10147.612695680586,-1.6970885491533947,0.0,
T5_4H_ALL_max5,2026-01-13 20:00:00+00:00,exit,509,TON/USDT,SHORT,9949.896088382635,9425.528743252107,524.3673451305281,4,99.82100908998366,1.003236699190591,10147.612695680586,-1.9484051394877384,-25.502634227119053,-1.0200000000000005
T5_4H_ALL_max5,2026-01-13 20:00:00+00:00,exit,510,BIO/USDT,SHORT,9924.45882163998,9562.272152515754,362.18666912422617,3,74.88251228345928,0.7545248927848865,10147.612695680586,-2.19907756368739,-25.437266742654852,-1.019999999999999
T5_4H_ALL_max5,2026-01-13 20:00:00+00:00,entry,511,SUI/USDT,LONG,9924.458821639979,9409.389653605896,515.0691680340833,4,99.69365933755923,1.0045248927848867,10147.612695680586,-2.1990775636874083,0.0,
T5_4H_ALL_max5,2026-01-13 20:00:00+00:00,entry,512,WLD/USDT,LONG,9924.45882163998,9274.974176232106,649.4846454078738,5,124.50480639165917,1.2545248927848864,10147.612695680586,-2.19907756368739,0.0,
T5_4H_ALL_max5,2026-01-15 00:00:00+00:00,exit,511,SUI/USDT,LONG,9899.151451644799,9402.549305146782,496.6021464980166,4,99.69365933755921,1.0070929798835895,10147.612695680586,-2.4484699158999876,-25.307369995181972,-1.020000000000001
T5_4H_ALL_max5,2026-01-15 00:00:00+00:00,exit,512,WLD/USDT,LONG,9873.844081649617,9511.65741252539,362.18666912422617,3,74.88251228345928,0.7583926955321002,10147.612695680586,-2.6978622681125843,-25.30736999518197,-1.020000000000001
T5_4H_ALL_max5,2026-01-15 00:00:00+00:00,entry,525,LTC/USDT,SHORT,9873.844081649615,9357.165954755292,516.6781268943239,4,99.5671224875833,1.0083926955321003,10147.612695680586,-2.6978622681126025,0.0,
T5_4H_ALL_max5,2026-01-16 12:00:00+00:00,entry,514,APT/USDT,SHORT,9873.844081649617,9209.514748609748,664.3293330398678,5,124.25173269170735,1.2583926955321,10147.612695680586,-2.6978622681125843,0.0,
T5_4H_ALL_max5,2026-01-17 04:00:00+00:00,exit,514,APT/USDT,SHORT,9848.66577924141,9331.987652347087,516.6781268943239,4,99.5671224875833,1.0109706707424935,10147.612695680586,-2.945982719328901,-25.178302408206523,-1.0200000000000002
T5_4H_ALL_max5,2026-01-17 12:00:00+00:00,entry,515,DODO/USDT,LONG,9848.66577924141,9209.905232791909,638.7605464495014,5,124.18878693568684,1.2609706707424937,10147.612695680586,-2.945982719328901,0.0,
T5_4H_ALL_max5,2026-01-18 00:00:00+00:00,exit,515,DODO/USDT,LONG,9823.551681504345,9306.873554610022,516.6781268943239,4,99.5671224875833,1.0135552365958127,10147.612695680586,-3.1934704633946076,-25.11409773706562,-1.020000000000001
T5_4H_ALL_max5,2026-01-18 04:00:00+00:00,entry,517,LAYER/USDT,SHORT,9823.551681504347,9081.354384287313,742.1972972170327,5,124.12600169134417,1.2635552365958127,10147.612695680586,-3.19347046339459,0.0,
T5_4H_ALL_max5,2026-01-19 12:00:00+00:00,exit,516,ZEC/USDT,SHORT,9899.194921525474,9289.03693887135,610.1579826541241,4,99.18603683741799,1.00196064047331,10147.612695680586,-2.448041540458606,75.64324002112765,3.033013096216112
T5_4H_ALL_max5,2026-01-20 04:00:00+00:00,entry,523,SAGA/USDT,SHORT,9899.194921525474,9206.421133070004,692.7737884554701,5,123.93402414123167,1.25196064047331,10147.612695680586,-2.448041540458606,0.0,
T5_4H_ALL_max5,2026-01-25 08:00:00+00:00,exit,517,LAYER/USDT,SHORT,9943.311931477758,9476.057313344996,467.2546181327615,4,99.37514493747082,0.9994169510349643,10147.612695680586,-2.0132889412481236,44.11700995228441,1.7963771712158787
T5_4H_ALL_max5,2026-01-25 12:00:00+00:00,entry,519,AAVE/USDT,SHORT,9943.311931477758,9149.264996890186,794.0469345875722,5,124.23342476616521,1.2494169510349642,10147.612695680586,-2.0132889412481236,0.0,
T5_4H_ALL_max5,2026-01-26 12:00:00+00:00,exit,518,FF/USDT,SHORT,9917.873167326752,9247.3455613509,670.527605975853,4,99.29345991223903,1.0011567826794707,10147.612695680586,-2.2639761217101246,-25.43876415100471,-1.02
T5_4H_ALL_max5,2026-01-26 12:00:00+00:00,entry,520,WLFI/USDT,SHORT,9917.873167326752,9131.786535277675,786.086632049077,5,124.08814283055591,1.2511567826794707,10147.612695680586,-2.2639761217101246,0.0,
T5_4H_ALL_max5,2026-01-27 16:00:00+00:00,exit,519,AAVE/USDT,SHORT,9892.517721901484,9433.223406307217,459.2943155942663,4,99.2298630018615,1.003079961961272,10147.612695680586,-2.5138422349099394,-25.35544542526836,-1.0200000000000031
T5_4H_ALL_max5,2026-01-27 16:00:00+00:00,entry,521,ZEC/USDT,LONG,9892.517721901482,9310.015859340738,582.5018625607453,5,123.96115730661522,1.2530799619612725,10147.612695680586,-2.513842234909957,0.0,
T5_4H_ALL_max5,2026-01-27 20:00:00+00:00,exit,520,WLFI/USDT,SHORT,9867.227145324801,9400.28430883728,466.9428364875213,4,99.16647438829834,1.005008529020075,10147.612695680586,-2.7630690957995734,-25.290576576683197,-1.0199999999999991
