variant,trade_id,symbol,side,timeframe,entry_time,exit_time,entry_price,initial_stop,stop_pct,risk_pct,risk_amount,notional,margin_reserved,net_r_raw,extra_cost_r,net_r_after_extra_cost,pnl_usdt,equity_after_exit,peak_equity,drawdown_pct,portfolio_heat_before_entry_pct,cash_after_exit,equity_before_entry,portfolio_heat_after_entry_pct
T5_1D_LONG_max10,366,APT/USDT,LONG,1d,2024-03-25 00:00:00+00:00,2024-04-02 00:00:00+00:00,17.3341,13.571085714285717,0.21708737608034354,0.0025,25.0,115.16100314717313,115.16100314717313,-0.7197050237081973,0.0,-0.7197050237081973,-17.992625592704933,9982.007374407294,10000.0,-0.17992625592705735,,9339.553623062622,10000.0,0.5
T5_1D_LONG_max10,368,SUI/USDT,LONG,1d,2024-03-27 00:00:00+00:00,2024-04-03 00:00:00+00:00,2.0754,1.6684,0.19610677459766793,0.0025,25.0,127.48157248157247,127.48157248157247,-1.02,0.0,-1.02,-25.5,9956.507374407294,10000.0,-0.43492625592705736,,9441.535195544195,10000.0,1.25
T5_1D_LONG_max10,369,DOGE/USDT,LONG,1d,2024-03-28 00:00:00+00:00,2024-04-03 00:00:00+00:00,0.22001,0.1765514285714285,0.1975299824033976,0.0025,25.0,126.56306498800147,126.56306498800147,-1.0200000000000002,0.0,-1.0200000000000002,-25.500000000000007,9931.007374407296,10000.0,-0.6899262559270392,,9542.598260532197,10000.0,1.5
T5_1D_LONG_max10,370,ICP/USDT,LONG,1d,2024-03-25 00:00:00+00:00,2024-04-09 00:00:00+00:00,17.655,14.551857142857145,0.17576566735445234,0.0025,25.0,142.23483104686497,142.23483104686497,-0.5327060123377224,0.0,-0.5327060123377224,-13.31765030844306,9917.689724098855,10000.0,-0.8231027590114536,,9218.795680157142,10000.0,0.75
T5_1D_LONG_max10,371,BCH/USDT,LONG,1d,2024-03-24 00:00:00+00:00,2024-04-12 00:00:00+00:00,485.1,390.2428571428572,0.19554142003121588,0.0025,25.0,127.85015060240968,127.85015060240968,0.4870783132530123,0.0,0.4870783132530123,12.176957831325307,9929.866681930178,10000.0,-0.7013331806982205,,9358.822788590876,10000.0,0.25
T5_1D_LONG_max10,372,CHZ/USDT,LONG,1d,2024-04-08 00:00:00+00:00,2024-04-12 00:00:00+00:00,0.15791,0.1369114285714285,0.13297809783149583,0.0025,24.82751843601824,186.70381695095844,186.70381695095844,-1.0199999999999998,0.0,-1.0199999999999998,-25.3240688047386,9904.54261312544,10000.0,-0.9545738687455924,,9520.202536737097,9931.007374407296,1.0052103948012239
T5_1D_LONG_max10,373,ETH/USDT,LONG,1d,2024-04-08 00:00:00+00:00,2024-04-12 00:00:00+00:00,3694.61,3349.788571428572,0.09333094117415044,0.0025,24.82751843601824,266.01594416252,266.01594416252,-1.0199999999999996,0.0,-1.0199999999999996,-25.324068804738594,9879.218544320702,10000.0,-1.2078145567929823,,9760.894412094878,9931.007374407296,1.2552103948012239
T5_1D_LONG_max10,374,HBAR/USDT,LONG,1d,2024-04-23 00:00:00+00:00,2024-04-24 00:00:00+00:00,0.1563,0.1291571428571428,0.17365871492550985,0.0025,24.698046360801754,142.22175012291132,142.22175012291132,-1.02,0.0,-1.02,-25.19200728801779,9854.026537032683,10000.0,-1.4597346296731666,,9735.70240480686,9879.218544320702,0.5030564526722797
T5_1D_LONG_max10,375,PENDLE/USDT,LONG,1d,2024-03-25 00:00:00+00:00,2024-04-27 00:00:00+00:00,4.0049,3.158728571428572,0.21128403420096084,0.0025,25.0,118.32413222582394,118.32413222582394,1.6692980145867098,0.0,1.6692980145867098,41.73245036466774,9895.758987397352,10000.0,-1.0424101260264798,,9895.758987397352,10000.0,1.0
T5_1D_LONG_max10,376,TRX/USDT,LONG,1d,2024-05-09 00:00:00+00:00,2024-05-19 00:00:00+00:00,0.1262,0.1199971428571428,0.04915100747113474,0.0025,24.739397468493387,503.33449386611795,503.33449386611795,-0.830916628281898,0.0,-0.830916628281898,-20.55637673024625,9875.202610667107,10000.0,-1.2479738933289264,,8906.83357550779,9895.758987397354,0.75
T5_1D_LONG_max10,379,NEAR/USDT,LONG,1d,2024-05-15 00:00:00+00:00,2024-05-30 00:00:00+00:00,8.052,6.855,0.14865871833084937,0.0025,24.739397468493387,166.41740051487793,166.41740051487793,-0.660768588137009,0.0,-0.660768588137009,-16.34701673661667,9858.855593930492,10000.0,-1.4114440606950849,,9056.903959286052,9895.758987397354,1.0
T5_1D_LONG_max10,382,PEPE/USDT,LONG,1d,2024-05-04 00:00:00+00:00,2024-06-07 00:00:00+00:00,8.67e-06,6.718571428571428e-06,0.22507826660075797,0.0025,24.73939746849338,109.91464365760345,109.91464365760345,2.1630161054172765,0.0,2.1630161054172765,53.511715162670576,9912.36730909316,10000.0,-0.8763269090683935,,8983.34698618585,9895.758987397352,0.25
T5_1D_LONG_max10,383,LINK/USDT,LONG,1d,2024-05-16 00:00:00+00:00,2024-06-07 00:00:00+00:00,15.516,13.970571428571429,0.09960225389459727,0.0025,24.739397468493387,248.38190403475724,248.38190403475724,0.4989498983176196,0.0,0.4989498983176196,12.34371985134395,9924.711028944505,10000.0,-0.752889710554955,,9244.072610071951,9895.758987397354,1.5
T5_1D_LONG_max10,386,PHA/USDT,LONG,1d,2024-06-06 00:00:00+00:00,2024-06-07 00:00:00+00:00,0.2173,0.1947,0.10400368154624934,0.0025,24.647138984826228,236.9833319204754,236.9833319204754,-1.0199999999999996,0.0,-1.0199999999999996,-25.14008176452274,9899.570947179982,10000.0,-1.0042905282001813,,9455.915860227904,9858.85559393049,1.2537431721273595
T5_1D_LONG_max10,387,ARKM/USDT,LONG,1d,2024-05-05 00:00:00+00:00,2024-06-10 00:00:00+00:00,2.6324,2.1242,0.19305576660082052,0.0025,24.73939746849338,128.14637917367568,128.14637917367568,-1.02,0.0,-1.02,-25.234185417863248,9874.336761762119,10000.0,-1.2566323823788117,,9558.828053983716,9895.758987397354,0.49999999999999994
T5_1D_LONG_max10,389,BTC/USDT,LONG,1d,2024-05-15 00:00:00+00:00,2024-06-14 00:00:00+00:00,66206.5,61015.17285714285,0.07841114003696244,0.0025,24.739397468493387,315.5087077784026,315.5087077784026,-0.0513041339002485,0.0,-0.0513041339002485,-1.2692333603350536,9873.067528401783,10000.0,-1.2693247159821657,,9735.950436513154,9895.758987397354,1.25
T5_1D_LONG_max10,390,INJ/USDT,LONG,1d,2024-06-12 00:00:00+00:00,2024-06-15 00:00:00+00:00,31.24,25.615714285714287,0.1800347539784159,0.0025,24.685841904405297,137.11709188862972,137.11709188862972,-1.0199999999999998,0.0,-1.0199999999999998,-25.1795587424934,9847.88796965929,10000.0,-1.5211203034070968,,9847.88796965929,9874.336761762119,0.5005423712536875
T5_1D_LONG_max10,391,UNI/USDT,LONG,1d,2024-06-16 00:00:00+00:00,2024-06-18 00:00:00+00:00,11.984,9.817857142857145,0.1807529086400914,0.0025,24.619719924148228,136.2064937675228,136.2064937675228,-1.0199999999999998,0.0,-1.0199999999999998,-25.11211432263119,9822.77585533666,10000.0,-1.7722414466333978,,9822.77585533666,9847.88796965929,0.25
T5_1D_LONG_max10,392,AAVE/USDT,LONG,1d,2024-07-01 00:00:00+00:00,2024-07-03 00:00:00+00:00,98.34,86.39285714285714,0.12148813155524572,0.0025,24.55693963834165,202.1344745694322,202.1344745694322,-1.0200000000000005,0.0,-1.0200000000000005,-25.048078431108493,9797.727776905553,10000.0,-2.0227222309444732,,9146.296568343785,9822.77585533666,0.5
T5_1D_LONG_max10,393,TRX/USDT,LONG,1d,2024-06-21 00:00:00+00:00,2024-07-22 00:00:00+00:00,0.11835,0.1138885714285714,0.037696903856599934,0.0025,24.55693963834165,651.4312085617676,651.4312085617676,3.330144092219022,0.0,3.330144092219022,81.77814745960256,9879.505924365158,10000.0,-1.2049407563484238,,9093.337064371226,9822.77585533666,0.25
T5_1D_LONG_max10,394,AAVE/USDT,LONG,1d,2024-07-14 00:00:00+00:00,2024-07-24 00:00:00+00:00,104.4,90.4857142857143,0.13327859879584014,0.0025,24.494319442263883,183.7828403327151,183.7828403327151,-1.0199999999999996,0.0,-1.0199999999999996,-24.98420583110915,9854.521718534048,10000.0,-1.45478281465952,,9252.135698872831,9797.727776905553,0.7506391297809415
T5_1D_LONG_max10,396,NEAR/USDT,LONG,1d,2024-07-15 00:00:00+00:00,2024-07-31 00:00:00+00:00,5.915,5.018714285714285,0.15152759328583512,0.0025,24.494319442263883,161.64923438108633,161.64923438108633,-1.0200000000000005,0.0,-1.0200000000000005,-24.984205831109172,9829.537512702938,10000.0,-1.7046248729706166,,9038.188932757948,9797.727776905554,1.0006391297809412
T5_1D_LONG_max10,398,BTC/USDT,LONG,1d,2024-07-15 00:00:00+00:00,2024-08-02 00:00:00+00:00,64724.14,59180.55,0.08564949646298887,0.0025,24.494319442263887,285.9832276170876,285.9832276170876,-0.6018990942692366,0.0,-0.6018990942692366,-14.743108687039985,9814.794404015898,10000.0,-1.8520559598410182,,9099.446560953415,9797.727776905554,1.2506391297809414
