variant,input_signals,executed_trades,skipped_entries,acceptance_rate_pct,initial_capital,final_equity,return_pct,max_drawdown_pct,profit_factor_pnl,profit_factor_r,win_rate_pct,avg_net_r,median_net_r,best_net_r,worst_net_r,max_losing_streak,max_open_positions_observed,max_heat_pct_observed,max_reserved_margin_pct,kill_switch_triggered
T5_1D_LONG_max10,188,132,56,70.2127659574468,10000.0,11714.048403186298,17.14048403186299,-3.491203030344012,1.8741497448866304,1.8747731646009032,31.818181818181817,0.5155905509926902,-0.8852859808968142,69.24829815895825,-1.0200000000000016,14,6,1.5000000000000002,22.745329707805308,False
T5_1D_LONG_max3,78,77,1,98.71794871794873,10000.0,11943.049574920293,19.430495749202926,-1.776047742365456,2.846595866772455,2.888234756759335,35.064935064935064,0.9982712450711927,-0.533409961685823,69.24829815895825,-1.0200000000000016,8,3,0.751972080121565,12.345753516862185,False
T5_1D_LONG_max5,122,121,1,99.18032786885246,10000.0,11902.712437154449,19.02712437154448,-2.726540533844989,2.0707667083712358,2.0760637223164093,33.057851239669425,0.6165227918936046,-0.8017059483726148,69.24829815895825,-1.0200000000000016,12,5,1.259057915717025,21.86869175081929,False
T5_1D_LONG_max8,166,132,34,79.51807228915662,10000.0,11648.795009367746,16.487950093677473,-3.3100440919620744,1.8297835046258906,1.8362310639921868,31.060606060606062,0.49848225379835076,-0.9005866029188322,69.24829815895825,-1.0200000000000016,14,6,1.5000000000000002,25.642022363696558,False
T5_1D_LONG_uncap,298,132,166,44.29530201342282,10000.0,11714.048403186298,17.14048403186299,-3.491203030344012,1.8741497448866304,1.8747731646009032,31.818181818181817,0.5155905509926902,-0.8852859808968142,69.24829815895825,-1.0200000000000016,14,6,1.5000000000000002,22.745329707805308,False
