timestamp,open,high,low,close,volume
1710460800000,11.557,11.706,9.975,10.81,20216540.26
1710547200000,10.811,10.899,9.502,9.682,13825011.98
1710633600000,9.684,10.252,9.19,10.083,9420189.81
1710720000000,10.083,10.456,9.602,9.902,9838197.4
1710806400000,9.901,9.994,8.6,8.766,15363075.8
1710892800000,8.766,9.567,8.488,9.483,12729562.23
1710979200000,9.483,9.583,9.067,9.179,7536093.12
1711065600000,9.179,9.367,8.694,8.936,6104700.92
1711152000000,8.939,9.224,8.852,8.968,3464506.12
1711238400000,8.967,9.43,8.952,9.37,3551552.34
1711324800000,9.372,9.832,9.287,9.735,6350466.97
1711411200000,9.737,10.057,9.525,9.689,8244078.96
1711497600000,9.689,9.814,9.304,9.445,7078224.52
1711584000000,9.448,9.659,9.3,9.522,5433742.81
1711670400000,9.524,9.81,9.344,9.601,6430200.46
1711756800000,9.601,9.699,9.387,9.429,3097586.67
1711843200000,9.429,9.649,9.414,9.647,2347041.29
1711929600000,9.647,9.747,8.923,9.143,6554213.02
1712016000000,9.143,9.143,8.37,8.582,8040640.57
1712102400000,8.582,8.78,8.284,8.416,5456340.4
1712188800000,8.416,8.711,8.263,8.486,5143837.32
1712275200000,8.486,8.511,8.076,8.379,4594358.61
1712361600000,8.379,8.555,8.329,8.494,3135750.79
1712448000000,8.495,8.741,8.458,8.704,3777830.16
1712534400000,8.704,9.096,8.57,9.043,5282323.07
1712620800000,9.043,9.137,8.632,8.659,6315720.0
1712707200000,8.657,8.701,8.122,8.408,6364196.82
1712793600000,8.408,8.528,8.183,8.384,4548223.43
1712880000000,8.382,8.49,6.503,7.24,18112289.17
1712966400000,7.24,7.334,5.693,6.388,21049661.8
1713052800000,6.389,6.929,6.193,6.855,15785330.1
1713139200000,6.855,7.206,6.429,6.708,9782724.46
1713225600000,6.708,6.821,6.371,6.702,5720075.35
1713312000000,6.7,6.779,6.326,6.583,4881081.63
1713398400000,6.58,6.829,6.445,6.784,3726348.91
1713484800000,6.783,6.917,6.274,6.682,7702126.65
1713571200000,6.681,7.283,6.608,7.241,3963964.15
1713657600000,7.241,7.288,6.962,7.14,2994106.76
1713744000000,7.139,7.583,7.089,7.466,5143305.97
1713830400000,7.467,7.543,7.205,7.242,4802056.52
1713916800000,7.243,7.5,6.857,6.931,6094306.22
1714003200000,6.932,7.001,6.703,6.862,4296277.37
1714089600000,6.863,6.951,6.714,6.764,4650325.63
1714176000000,6.765,6.866,6.511,6.807,3888055.62
1714262400000,6.808,6.951,6.69,6.728,2445507.2
1714348800000,6.726,6.826,6.47,6.587,3658934.18
1714435200000,6.588,6.669,6.04,6.425,7667235.19
1714521600000,6.423,6.935,6.129,6.899,9928379.44
1714608000000,6.9,7.409,6.694,7.273,5866303.67
1714694400000,7.272,7.386,7.002,7.245,6917886.48
1714780800000,7.244,7.28,7.105,7.122,3557671.87
1714867200000,7.122,7.4,7.014,7.302,4163778.64
1714953600000,7.303,7.473,7.06,7.121,4753151.15
1715040000000,7.119,7.295,6.979,6.993,3682848.45
1715126400000,6.992,7.189,6.893,6.983,3774626.84
1715212800000,6.982,7.089,6.782,7.05,3379414.81
1715299200000,7.049,7.149,6.69,6.746,4044018.42
1715385600000,6.745,6.809,6.635,6.659,2377967.87
1715472000000,6.659,6.793,6.586,6.617,1576234.91
1715558400000,6.616,6.826,6.431,6.669,3606786.8
1715644800000,6.671,6.698,6.469,6.485,2744202.98
1715731200000,6.485,7.029,6.461,6.961,4442558.01
1715817600000,6.961,7.066,6.812,7.025,3415709.35
1715904000000,7.025,7.299,6.999,7.199,4256397.78
1715990400000,7.198,7.232,7.063,7.157,1889934.65
1716076800000,7.157,7.18,6.889,6.931,1874582.61
1716163200000,6.93,7.584,6.851,7.575,4828245.07
1716249600000,7.574,7.671,7.428,7.61,4957810.67
1716336000000,7.609,7.701,7.38,7.467,4310060.98
1716422400000,7.466,7.604,6.895,7.2,8045710.66
