variant,time,event,equity,peak,drawdown_pct,open_positions,long_positions,short_positions,portfolio_heat_pct,effective_cluster_positions,max_same_side,max_per_cluster,max_beta_cluster,cluster_ALT_OTHER,beta_OTHER_BETA,cluster_EXCHANGE,cluster_GAMING,beta_HIGH_CRYPTO_BETA,cluster_BTC_BETA,cluster_L1_L2,cluster_MEME,cluster_DEFI,cluster_AI
ACT4_ATR3,2025-09-27 18:00:00+00:00,entry,10000.0,10000.0,0.0,1,1,0,0.25,1.0,2,1,1,1.0,1.0,,,,,,,,
ACT4_ATR3,2025-09-29 18:00:00+00:00,entry,10000.0,10000.0,0.0,2,2,0,0.5,2.0,2,1,1,1.0,2.0,1.0,,,,,,,
ACT4_ATR3,2025-09-30 12:00:00+00:00,exit,10077.15459262106,10077.15459262106,0.0,1,1,0,0.2480859033194361,1.0,2,1,1,,1.0,1.0,,,,,,,
ACT4_ATR3,2025-09-30 12:00:00+00:00,exit,10052.15459262106,10077.15459262106,-0.2480859033194361,0,0,0,0.0,0.0,2,1,1,,,,,,,,,,
ACT4_ATR3,2025-09-30 12:00:00+00:00,entry,10052.15459262106,10077.15459262106,-0.2480859033194361,1,0,1,0.25,1.0,2,1,1,1.0,1.0,,,,,,,,
ACT4_ATR3,2025-09-30 12:00:00+00:00,entry,10052.15459262106,10077.15459262106,-0.2480859033194361,2,0,2,0.5,2.0,2,1,1,1.0,1.0,,1.0,1.0,,,,,
ACT4_ATR3,2025-10-01 00:00:00+00:00,exit,10027.024206139507,10077.15459262106,-0.49746568856113804,1,0,1,0.25062656641604014,1.0,2,1,1,,,,1.0,1.0,,,,,
ACT4_ATR3,2025-10-01 00:00:00+00:00,entry,10027.024206139507,10077.15459262106,-0.49746568856113804,2,0,2,0.5006265664160401,2.0,2,1,1,1.0,1.0,,1.0,1.0,,,,,
ACT4_ATR3,2025-10-01 06:00:00+00:00,exit,10001.893819657955,10077.15459262106,-0.7468454738028399,1,0,1,0.2506281407035176,1.0,2,1,1,1.0,1.0,,,,,,,,
ACT4_ATR3,2025-10-01 06:00:00+00:00,entry,10001.893819657955,10077.15459262106,-0.7468454738028399,2,1,1,0.5006281407035176,2.0,2,1,1,1.0,1.0,,,1.0,1.0,,,,
ACT4_ATR3,2025-10-01 18:00:00+00:00,exit,9976.826259142606,10077.15459262106,-0.9956018095814325,1,1,0,0.25062814465903865,1.0,2,1,1,,,,,1.0,1.0,,,,
ACT4_ATR3,2025-10-02 06:00:00+00:00,entry,9976.826259142606,10077.15459262106,-0.9956018095814325,2,2,0,0.5006281446590387,2.0,2,1,1,,1.0,1.0,,1.0,1.0,,,,
ACT4_ATR3,2025-10-05 18:00:00+00:00,entry,9976.826259142606,10077.15459262106,-0.9956018095814325,3,2,1,0.7506281446590386,3.0,2,1,1,1.0,2.0,1.0,,1.0,1.0,,,,
ACT4_ATR3,2025-10-09 12:00:00+00:00,exit,10108.037718032147,10108.037718032147,0.0,2,1,1,0.49412953918740576,2.0,2,1,1,1.0,1.0,,,1.0,1.0,,,,
ACT4_ATR3,2025-10-10 18:00:00+00:00,exit,10083.032983483,10108.037718032147,-0.24737476498073158,1,0,1,0.24736669699200697,1.0,2,1,1,1.0,1.0,,,,,,,,
ACT4_ATR3,2025-10-10 18:00:00+00:00,exit,10235.242587666875,10235.242587666875,0.0,0,0,0,0.0,0.0,2,1,1,,,,,,,,,,
ACT4_ATR3,2025-10-10 18:00:00+00:00,entry,10235.242587666875,10235.242587666875,0.0,1,0,1,0.25,1.0,2,1,1,1.0,1.0,,,,,,,,
ACT4_ATR3,2025-10-10 18:00:00+00:00,entry,10235.242587666875,10235.242587666875,0.0,2,0,2,0.5,2.0,2,1,1,1.0,1.0,,,1.0,,1.0,,,
ACT4_ATR3,2025-10-11 12:00:00+00:00,exit,10209.654481197707,10235.242587666875,-0.2500000000000035,1,0,1,0.2506265664160401,1.0,2,1,1,,,,,1.0,,1.0,,,
ACT4_ATR3,2025-10-13 00:00:00+00:00,exit,10184.06637472854,10235.242587666875,-0.500000000000007,0,0,0,0.0,0.0,2,1,1,,,,,,,,,,
ACT4_ATR3,2025-10-16 12:00:00+00:00,entry,10184.06637472854,10235.242587666875,-0.500000000000007,1,0,1,0.25,1.0,2,1,1,1.0,1.0,,,,,,,,
ACT4_ATR3,2025-10-16 12:00:00+00:00,entry,10184.06637472854,10235.242587666875,-0.500000000000007,2,0,2,0.5,2.0,2,1,1,1.0,1.0,,,1.0,1.0,,,,
ACT4_ATR3,2025-10-20 18:00:00+00:00,exit,10158.606208791718,10235.242587666875,-0.7487500000000114,1,0,1,0.25062656641604014,1.0,2,1,1,,,,,1.0,1.0,,,,
ACT4_ATR3,2025-10-21 00:00:00+00:00,entry,10158.606208791718,10235.242587666875,-0.7487500000000114,2,0,2,0.5006265664160401,2.0,2,1,1,1.0,1.0,,,1.0,1.0,,,,
ACT4_ATR3,2025-10-21 12:00:00+00:00,exit,10133.146042854896,10235.242587666875,-0.9975000000000156,1,0,1,0.2506281407035176,1.0,2,1,1,1.0,1.0,,,,,,,,
ACT4_ATR3,2025-10-22 18:00:00+00:00,entry,10133.146042854896,10235.242587666875,-0.9975000000000156,2,0,2,0.5006281407035176,2.0,2,1,1,1.0,1.0,,,1.0,,,1.0,,
ACT4_ATR3,2025-10-23 12:00:00+00:00,exit,10107.81317774776,10235.242587666875,-1.245006250000013,1,0,1,0.25125628140703515,1.0,2,1,1,1.0,1.0,,,,,,,,
ACT4_ATR3,2025-10-24 12:00:00+00:00,entry,10107.81317774776,10235.242587666875,-1.245006250000013,2,0,2,0.5012562814070353,2.0,2,1,1,1.0,1.0,,,1.0,1.0,,,,
ACT4_ATR3,2025-11-03 12:00:00+00:00,exit,10179.073580555576,10235.242587666875,-0.5487804185411365,1,0,1,0.2482498308356877,1.0,2,1,1,,,,,1.0,1.0,,,,
ACT4_ATR3,2025-11-03 12:00:00+00:00,entry,10179.073580555576,10235.242587666875,-0.5487804185411365,2,0,2,0.49824983083568775,2.0,2,1,1,1.0,1.0,,,1.0,1.0,,,,
ACT4_ATR3,2025-11-07 18:00:00+00:00,exit,10153.625896604188,10235.242587666875,-0.7974084674947762,1,0,1,0.2488720108628448,1.0,2,1,1,,,,,1.0,1.0,,,,
ACT4_ATR3,2025-11-08 06:00:00+00:00,entry,10153.625896604188,10235.242587666875,-0.7974084674947762,2,1,1,0.49887201086284483,2.0,2,1,1,1.0,1.0,,,1.0,1.0,,,,
ACT4_ATR3,2025-11-13 18:00:00+00:00,exit,10128.241831862677,10235.242587666875,-1.0454149463260434,1,0,1,0.24949575023844092,1.0,2,1,1,,,,,1.0,1.0,,,,
ACT4_ATR3,2025-11-13 18:00:00+00:00,entry,10128.241831862677,10235.242587666875,-1.0454149463260434,2,0,2,0.49949575023844095,2.0,2,1,1,1.0,1.0,,,1.0,1.0,,,,
ACT4_ATR3,2025-11-14 00:00:00+00:00,exit,10102.921227283021,10235.242587666875,-1.2928014089602213,1,0,1,0.2501210528706175,1.0,2,1,1,,,,,1.0,1.0,,,,
ACT4_ATR3,2025-11-16 12:00:00+00:00,entry,10102.921227283021,10235.242587666875,-1.2928014089602213,2,0,2,0.5001210528706174,2.0,2,1,1,1.0,1.0,,,1.0,1.0,,,,
ACT4_ATR3,2025-11-29 06:00:00+00:00,exit,10077.663924214814,10235.242587666875,-1.5395694054378148,1,0,1,0.2507479226773107,1.0,2,1,1,,,,,1.0,1.0,,,,
ACT4_ATR3,2025-11-29 12:00:00+00:00,entry,10077.663924214814,10235.242587666875,-1.5395694054378148,2,0,2,0.5007479226773107,2.0,2,1,1,1.0,1.0,,,1.0,1.0,,,,
ACT4_ATR3,2025-12-02 06:00:00+00:00,exit,10052.469764404277,10235.242587666875,-1.7857204819242183,1,0,1,0.2513763635862764,1.0,2,1,1,,,,,1.0,1.0,,,,
ACT4_ATR3,2025-12-03 00:00:00+00:00,entry,10052.469764404277,10235.242587666875,-1.7857204819242183,2,1,1,0.5013763635862765,2.0,2,1,1,1.0,1.0,,,1.0,1.0,,,,
