variant,max_same_side,max_per_cluster,max_beta_cluster,input_trades,accepted_trades,skipped_trades,acceptance_rate_pct,return_pct,final_equity,max_dd_pct,total_r,avg_r,pf_r,win_rate_pct,max_dd_r,best_r,worst_r,max_losing_streak,max_open_observed,max_same_side_observed,max_heat_observed_pct,avg_effective_cluster_positions,min_effective_cluster_positions
ACT3_ATR3,4,1,2,886,110,776,12.415349887133182,-0.6657021806883323,9933.429781931167,-6.82662253586194,-1.6409737894099834,-0.014917943540090758,0.9806944260069413,22.727272727272727,-27.971777452274544,9.513561741613136,-1.0,16,4,4,1.0158424056741122,2.5454545454545454,0.0
ACT3_ATR3,5,1,2,886,110,776,12.415349887133182,-0.6657021806883323,9933.429781931167,-6.82662253586194,-1.6409737894099834,-0.014917943540090758,0.9806944260069413,22.727272727272727,-27.971777452274544,9.513561741613136,-1.0,16,4,4,1.0158424056741122,2.5454545454545454,0.0
ACT3_ATR3,3,1,1,886,85,801,9.593679458239277,-0.6718393767880859,9932.816062321192,-5.858553930651317,-1.9577370113500514,-0.023032200133530016,0.9707800446067157,21.176470588235293,-24.077036640104954,9.513561741613136,-1.0,21,3,3,0.7582069033088722,1.7823529411764707,0.0
ACT3_ATR3,4,1,1,886,85,801,9.593679458239277,-0.6718393767880859,9932.816062321192,-5.858553930651317,-1.9577370113500514,-0.023032200133530016,0.9707800446067157,21.176470588235293,-24.077036640104954,9.513561741613136,-1.0,21,3,3,0.7582069033088722,1.7823529411764707,0.0
ACT3_ATR3,5,1,1,886,85,801,9.593679458239277,-0.6718393767880859,9932.816062321192,-5.858553930651317,-1.9577370113500514,-0.023032200133530016,0.9707800446067157,21.176470588235293,-24.077036640104954,9.513561741613136,-1.0,21,3,3,0.7582069033088722,1.7823529411764707,0.0
ACT5_ATR3,4,2,3,670,112,558,16.716417910447763,-0.877625840573315,9912.237415942669,-8.618873240729357,-2.4659928254853565,-0.022017793084690682,0.9731957301577682,17.857142857142858,-35.91004446547244,8.720481226351023,-1.0,15,5,4,1.2773220296547545,2.9159580498866213,0.0
ACT4_ATR3,4,1,5,782,99,683,12.65984654731458,-0.9739748155093708,9902.602518449063,-7.310827379784499,-2.8117646144994666,-0.028401662772721884,0.9652868566111177,18.181818181818183,-30.207864844386023,8.720481226351023,-1.0,18,5,4,1.2830187029372293,3.51010101010101,0.0
ACT4_ATR3,3,2,5,782,104,678,13.299232736572892,-1.1768634349052842,9882.313656509472,-6.086003761852569,-4.199522964521845,-0.040380028505017734,0.9494033377768453,20.192307692307693,-25.160768996425638,8.720481226351023,-1.0,17,5,3,1.2734844292487053,2.5445054945054943,0.0
ACT4_ATR3,5,1,5,782,104,678,13.299232736572892,-1.2336019208080473,9876.639807919195,-7.588053231690564,-3.3893651822765456,-0.03259004982958217,0.9605887769502727,17.307692307692307,-31.196501150804473,9.513561741613136,-1.0,18,5,5,1.2843452976429863,3.5288461538461537,0.0
ACT5_ATR3,4,2,5,670,102,568,15.223880597014924,-1.2624333981521185,9873.756660184788,-5.630768115918026,-4.4855848381205625,-0.043976321942358454,0.9459568091792704,18.627450980392158,-22.910044465472442,6.944465361445782,-1.0,16,5,4,1.2744029936250294,2.9089324618736376,0.0
ACT4_ATR3,3,2,2,782,116,666,14.83375959079284,-1.605106612109053,9839.489338789095,-8.110253011901104,-5.4706635033803686,-0.04716089227052042,0.9418014520916983,18.96551724137931,-33.692558783106804,8.720481226351023,-1.0,21,5,3,1.2659313561757801,2.2853311439518333,0.0
ACT3_ATR3,2,1,1,886,83,803,9.367945823927764,-1.7574294470818264,9824.257055291817,-6.535813341271258,-6.52644569569684,-0.07863187585176916,0.8980242860047369,22.89156626506024,-26.909340263893416,8.720481226351023,-1.0,16,3,2,0.7550631268084024,1.5240963855421688,0.0
ACT5_ATR3,3,2,2,670,101,569,15.074626865671641,-2.1522496703407334,9784.775032965927,-8.392415690309608,-8.07896756343826,-0.07998977785582435,0.9038218147209731,16.831683168316832,-35.02573659472969,8.720481226351023,-1.0,14,5,3,1.2681918403594594,2.4188118811881187,0.0
