symbol,signal_ts_ms,consec,comp_low,atr,ema200,signal_close,stop_loss,risk_unit,funding_rate,run_date
1000FLOKIUSDT,1784822400000,72,0.02109,0.00031286,0.02301087,0.02108,0.02170571,0.00062571,0.0001,2026-07-26
BATUSDT,1784520000000,53,0.077,0.00101429,0.0855691,0.0757,0.07772857,0.00202857,0.0001,2026-07-26
BATUSDT,1784923200000,15,0.07642,0.00104643,0.08369433,0.07632,0.07841286,0.00209286,0.0001,2026-07-26
BATUSDT,1784937600000,16,0.07612,0.00101571,0.08361359,0.07558,0.07761143,0.00203143,0.0001,2026-07-26
BATUSDT,1784952000000,17,0.07545,0.00102071,0.08353077,0.07529,0.07733143,0.00204143,0.0001,2026-07-26
BATUSDT,1784966400000,18,0.07503,0.00104857,0.08344111,0.07452,0.07661714,0.00209714,0.0001,2026-07-26
C98USDT,1784908800000,17,0.01255,0.00020214,0.01355515,0.01254,0.01294429,0.00040429,0.0001,2026-07-26
CHRUSDT,1784808000000,39,0.01493,0.00047357,0.01546314,0.01346,0.01440714,0.00094714,0.0001,2026-07-26
CHZUSDT,1784764800000,64,0.01478,0.00019643,0.01914469,0.01475,0.01514286,0.00039286,0.0001,2026-07-26
CKBUSDT,1784808000000,17,0.000898,1.321e-05,0.00096929,0.000897,0.00092343,2.643e-05,0.0001,2026-07-26
DASHUSDT,1784692800000,56,33.58,0.58571429,35.01165266,33.46,34.63142857,1.17142857,0.0001,2026-07-26
DOTUSDT,1784808000000,30,0.8161,0.01318571,0.88660429,0.8142,0.84057143,0.02637143,0.0001,2026-07-26
DOTUSDT,1784880000000,35,0.805,0.01241429,0.88294847,0.8032,0.82802857,0.02482857,0.0001,2026-07-26
DOTUSDT,1784894400000,36,0.799,0.01240714,0.8821052,0.7982,0.82301429,0.02481429,0.0001,2026-07-26
ETCUSDT,1784520000000,50,6.8,0.08592857,7.18325913,6.794,6.96585714,0.17185714,0.0001,2026-07-26
HOTUSDT,1784836800000,18,0.0003355,5.79e-06,0.00033604,0.0003344,0.00034599,1.159e-05,0.0001,2026-07-26
IOSTUSDT,1784822400000,67,0.0006535,9.25e-06,0.00072613,0.0006509,0.0006694,1.85e-05,0.0001,2026-07-26
IOSTUSDT,1784894400000,72,0.0006427,9.52e-06,0.00072241,0.0006392,0.00065824,1.904e-05,0.0001,2026-07-26
IOTXUSDT,1784822400000,42,0.002332,4.357e-05,0.00278728,0.002325,0.00241214,8.714e-05,0.0001,2026-07-26
IOTXUSDT,1784894400000,47,0.002308,4e-05,0.00276475,0.002269,0.002349,8e-05,0.0001,2026-07-26
MANAUSDT,1784779200000,23,0.06866,0.00094214,0.07041588,0.06844,0.07032429,0.00188429,0.0001,2026-07-26
MANAUSDT,1784808000000,25,0.06793,0.00091571,0.07036274,0.06717,0.06900143,0.00183143,0.0001,2026-07-26
MANAUSDT,1784822400000,26,0.06697,0.00092643,0.07032818,0.06689,0.06874286,0.00185286,0.0001,2026-07-26
ZENUSDT,1784779200000,30,4.093,0.05528571,4.36004019,4.077,4.18757143,0.11057143,0.0001,2026-07-26
ZENUSDT,1784894400000,38,4.059,0.06935714,4.33967338,4.011,4.14971429,0.13871429,0.0001,2026-07-26
