symbol,timeframe,side,don_n,entry_time,exit_time,entry_price,exit_price,initial_stop,initial_risk_per_unit,net_r,fee_r,net_r_after_fee,max_favorable_r,chandelier_active
BCH/USDT,1d,LONG,20,2024-03-24 00:00:00+00:00,2024-04-12 00:00:00+00:00,485.1,533.2,390.2428571428572,94.85714285714285,0.5070783132530123,0.010228012048192773,0.49685030120481954,2.4710843373493976,False
APT/USDT,1d,LONG,20,2024-03-25 00:00:00+00:00,2024-04-02 00:00:00+00:00,17.3341,14.7011,13.571085714285715,3.763014285714285,-0.6997050237081973,0.009212880251773845,-0.7089179039599711,0.5400723584056853,False
ICP/USDT,1d,LONG,20,2024-03-25 00:00:00+00:00,2024-04-09 00:00:00+00:00,17.655,16.064,14.551857142857143,3.1031428571428576,-0.5127060123377224,0.011378786483749194,-0.5240847988214716,1.0731056072184875,False
ADX/USDT,1d,LONG,20,2024-03-26 00:00:00+00:00,2024-04-11 00:00:00+00:00,0.2851,0.261,0.23227142857142857,0.05282857142857143,-0.4561925365062197,0.010793401838831802,-0.46698593834505153,1.9288804759329363,False
SUI/USDT,1d,LONG,20,2024-03-27 00:00:00+00:00,2024-04-03 00:00:00+00:00,2.0754,1.6684,1.6684,0.40700000000000003,-1.0,0.0101985257985258,-1.0101985257985258,0.2262899262899259,False
DOGE/USDT,1d,LONG,20,2024-03-28 00:00:00+00:00,2024-04-03 00:00:00+00:00,0.22001,0.17655142857142858,0.17655142857142858,0.04345857142857142,-1.0000000000000002,0.010125045199040138,-1.0101250451990404,0.11344137273593877,False
LTC/USDT,1d,LONG,20,2024-03-29 00:00:00+00:00,2024-04-02 00:00:00+00:00,109.06,94.65142857142857,94.65142857142857,14.408571428571433,-1.0000000000000002,0.015138211382113817,-1.0151382113821141,0.25956771762839537,False
ANKR/USDT,1d,LONG,20,2024-04-01 00:00:00+00:00,2024-04-03 00:00:00+00:00,0.06741,0.054599999999999996,0.054599999999999996,0.01281,-1.0000000000000002,0.010524590163934425,-1.0105245901639346,0.0039032006245127535,False
ATA/USDT,1d,LONG,20,2024-04-04 00:00:00+00:00,2024-04-05 00:00:00+00:00,0.248,0.2035142857142857,0.2035142857142857,0.04448571428571428,-1.0000000000000002,0.011149646756583174,-1.0111496467565835,0.11239563262684661,False
ATM/USDT,1d,LONG,20,2024-04-04 00:00:00+00:00,2024-04-13 00:00:00+00:00,3.609,2.9954285714285716,2.9954285714285716,0.6135714285714287,-0.9999999999999997,0.011763911525029102,-1.0117639115250288,1.7455180442374847,False
ALCX/USDT,1d,LONG,20,2024-04-07 00:00:00+00:00,2024-04-12 00:00:00+00:00,39.0,32.504285714285714,32.504285714285714,6.495714285714284,-1.0000000000000002,0.012007917308115245,-1.0120079173081156,0.6989223663954256,False
ETH/USDT,1d,LONG,20,2024-04-08 00:00:00+00:00,2024-04-12 00:00:00+00:00,3694.61,3349.7885714285717,3349.7885714285717,344.8214285714286,-0.9999999999999996,0.021429120662868978,-1.0214291206628685,0.09491869497669606,False
AR/USDT,1d,LONG,20,2024-05-05 00:00:00+00:00,2024-05-26 00:00:00+00:00,40.569,38.434,30.83257142857143,9.736428571428572,-0.21927958330276626,0.008333445822023328,-0.2276130291247896,0.922412148778519,False
ARKM/USDT,1d,LONG,20,2024-05-05 00:00:00+00:00,2024-06-10 00:00:00+00:00,2.6324,2.1242,2.1242,0.5082,-1.0,0.010359700905155452,-1.0103597009051555,0.46084218811491534,False
TRX/USDT,1d,LONG,20,2024-05-09 00:00:00+00:00,2024-05-19 00:00:00+00:00,0.1262,0.12117,0.11999714285714286,0.006202857142857149,-0.810916628281898,0.040690925840626405,-0.8516075541225244,0.23698756333486834,False
BTC/USDT,1d,LONG,20,2024-05-15 00:00:00+00:00,2024-06-14 00:00:00+00:00,66206.5,66043.99,61015.172857142854,5191.327142857145,-0.03130413390024854,0.025506579792835788,-0.056810713693084325,1.1154219028495056,False
NEAR/USDT,1d,LONG,20,2024-05-15 00:00:00+00:00,2024-05-30 00:00:00+00:00,8.052,7.285,6.855,1.1969999999999996,-0.640768588137009,0.013453634085213037,-0.654222222222222,0.39097744360902265,False
LINK/USDT,1d,LONG,20,2024-05-16 00:00:00+00:00,2024-06-07 00:00:00+00:00,15.516,16.318,13.970571428571429,1.5454285714285716,0.5189498983176196,0.02007986688851913,0.49887003142910047,2.396746163801071,False
SOL/USDT,1d,LONG,20,2024-05-16 00:00:00+00:00,2024-06-11 00:00:00+00:00,159.37,149.31,139.92000000000002,19.44999999999999,-0.5172236503856046,0.016387660668380474,-0.5336113110539851,1.5177377892030848,False
AAVE/USDT,1d,LONG,20,2024-05-20 00:00:00+00:00,2024-06-07 00:00:00+00:00,98.03,97.44,88.02571428571429,10.004285714285718,-0.05897472511780697,0.019597601028130796,-0.07857232614593776,1.6682850207054112,False
ADA/USDT,1d,LONG,20,2024-05-20 00:00:00+00:00,2024-05-23 00:00:00+00:00,0.502,0.45784285714285716,0.45784285714285716,0.04415714285714284,-1.0,0.022736978324166948,-1.0227369783241669,0.1947589776771284,False
AVAX/USDT,1d,LONG,20,2024-05-20 00:00:00+00:00,2024-05-30 00:00:00+00:00,40.13,35.61,35.61,4.5200000000000005,-1.0000000000000007,0.017756637168141593,-1.0177566371681424,0.3694690265486713,False
AXS/USDT,1d,LONG,20,2024-05-20 00:00:00+00:00,2024-06-10 00:00:00+00:00,7.853,7.184,7.042571428571428,0.8104285714285716,-0.825489159175039,0.01937986955755332,-0.8448690287325923,1.0549973558963515,False
BCH/USDT,1d,LONG,20,2024-05-20 00:00:00+00:00,2024-05-28 00:00:00+00:00,517.9,465.15714285714284,465.15714285714284,52.74285714285715,-0.9999999999999998,0.019638678223185265,-1.019638678223185,0.23131094257854906,False
DOT/USDT,1d,LONG,20,2024-05-20 00:00:00+00:00,2024-05-23 00:00:00+00:00,7.575,6.903857142857143,6.903857142857143,0.671142857142857,-0.9999999999999997,0.02257343550446999,-1.0225734355044696,0.18773946360153176,False
ETH/USDT,1d,LONG,20,2024-05-20 00:00:00+00:00,2024-06-07 00:00:00+00:00,3661.78,3678.32,3356.488571428572,305.29142857142836,0.05417774117470886,0.02398875079549285,0.03018899037921601,1.0325216186875306,False
LTC/USDT,1d,LONG,20,2024-05-20 00:00:00+00:00,2024-05-23 00:00:00+00:00,88.64,82.62571428571428,82.62571428571428,6.014285714285715,-1.0000000000000007,0.029476484560570067,-1.0294764845605708,0.1646080760095003,False
UNI/USDT,1d,LONG,20,2024-05-20 00:00:00+00:00,2024-06-11 00:00:00+00:00,9.328,8.978,8.309,1.019,-0.34347399411187407,0.018308145240431797,-0.36178213935230585,2.5907752698724247,False
1INCH/USDT,1d,LONG,20,2024-05-21 00:00:00+00:00,2024-05-23 00:00:00+00:00,0.4286,0.38418571428571424,0.38418571428571424,0.044414285714285726,-1.0000000000000002,0.01930009649404953,-1.0193000964940497,0.0,False
ACH/USDT,1d,LONG,20,2024-05-21 00:00:00+00:00,2024-06-07 00:00:00+00:00,0.03218,0.02803142857142857,0.02803142857142857,0.0041485714285714285,-1.0,0.015513774104683195,-1.0155137741046831,0.3832644628099176,False
ALCX/USDT,1d,LONG,20,2024-05-21 00:00:00+00:00,2024-05-31 00:00:00+00:00,25.98,24.32,22.908571428571427,3.071428571428573,-0.5404651162790696,0.016917209302325573,-0.5573823255813951,2.708837209302323,False
BNB/USDT,1d,LONG,20,2024-05-21 00:00:00+00:00,2024-06-18 00:00:00+00:00,618.5,579.1142857142858,579.1142857142858,39.38571428571429,-0.9999999999999988,0.03140732680449764,-1.0314073268044963,2.6227783822995994,False
DOGE/USDT,1d,LONG,20,2024-05-21 00:00:00+00:00,2024-06-07 00:00:00+00:00,0.17024,0.14869999999999997,0.14869999999999997,0.02154000000000002,-1.0000000000000004,0.01580687093779014,-1.0158068709377905,0.22098421541318394,False
API3/USDT,1d,LONG,20,2024-05-23 00:00:00+00:00,2024-06-11 00:00:00+00:00,2.876,2.831,2.4714285714285715,0.4045714285714285,-0.11122881355932188,0.014217514124293788,-0.12544632768361566,2.014477401129944,False
AUDIO/USDT,1d,LONG,20,2024-05-23 00:00:00+00:00,2024-06-07 00:00:00+00:00,0.2088,0.18134285714285714,0.18134285714285714,0.027457142857142864,-1.0000000000000004,0.015209157127991672,-1.0152091571279922,2.2872008324661803,False
AVA/USDT,1d,LONG,20,2024-05-25 00:00:00+00:00,2024-06-17 00:00:00+00:00,0.7082,0.6908,0.6336857142857143,0.07451428571428574,-0.23351226993865132,0.019008435582822083,-0.2525207055214734,2.035851226993864,False
AGLD/USDT,1d,LONG,20,2024-05-26 00:00:00+00:00,2024-06-14 00:00:00+00:00,1.265,1.325,1.1042857142857143,0.16071428571428564,0.37333333333333385,0.015742222222222227,0.35759111111111164,3.0177777777777797,False
1INCH/USDT,1d,LONG,20,2024-05-28 00:00:00+00:00,2024-06-11 00:00:00+00:00,0.4595,0.40435714285714286,0.40435714285714286,0.055142857142857146,-1.0000000000000002,0.016665803108808292,-1.0166658031088085,1.3727979274611397,False
AUCTION/USDT,1d,LONG,20,2024-05-29 00:00:00+00:00,2024-06-07 00:00:00+00:00,24.26,19.604285714285716,19.604285714285716,4.655714285714287,-0.9999999999999998,0.010421601718318503,-1.0104216017183183,0.9923289352562128,False
ALICE/USDT,1d,LONG,20,2024-05-31 00:00:00+00:00,2024-06-04 00:00:00+00:00,1.612,2.203785714285714,1.401857142857143,0.21014285714285716,2.8161114887831387,0.01534194425560843,2.80076954452753,5.6009517335146155,True
ATA/USDT,1d,LONG,20,2024-05-31 00:00:00+00:00,2024-06-08 00:00:00+00:00,0.1797,0.15704285714285715,0.15704285714285715,0.02265714285714286,-0.9999999999999996,0.015862547288776795,-1.0158625472887763,0.9224464060529635,False
ATM/USDT,1d,LONG,20,2024-06-04 00:00:00+00:00,2024-06-07 00:00:00+00:00,3.535,2.9995714285714286,2.9995714285714286,0.5354285714285714,-1.0000000000000004,0.013204375667022416,-1.0132043756670228,1.1486125933831381,False
ARK/USDT,1d,LONG,20,2024-06-09 00:00:00+00:00,2024-06-12 00:00:00+00:00,0.8759,0.7570142857142858,0.7570142857142858,0.11888571428571422,-1.0000000000000004,0.014735159817351606,-1.014735159817352,0.23972602739726015,False
UNI/USDT,1d,LONG,20,2024-06-16 00:00:00+00:00,2024-06-18 00:00:00+00:00,11.984,9.817857142857143,9.817857142857143,2.1661428571428574,-0.9999999999999998,0.011064828859724327,-1.0110648288597242,0.000923300138495329,False
TRX/USDT,1d,LONG,20,2024-06-21 00:00:00+00:00,2024-07-22 00:00:00+00:00,0.11835,0.13329642857142857,0.11388857142857142,0.0044614285714285684,3.350144092219022,0.0530547550432277,3.297089337175794,5.197886647454375,True
AAVE/USDT,1d,LONG,20,2024-07-01 00:00:00+00:00,2024-07-03 00:00:00+00:00,98.34,86.39285714285714,86.39285714285714,11.94714285714286,-1.0000000000000004,0.016462513452110486,-1.016462513452111,0.10630156642353188,False
1INCH/USDT,1d,LONG,20,2024-07-14 00:00:00+00:00,2024-07-23 00:00:00+00:00,0.4242,0.3987,0.3715857142857143,0.05261428571428572,-0.48465924518055975,0.016124898180830845,-0.5007841433613905,0.23947868585392343,False
