symbol,trades,total_r,avg_r,best_trade_r,worst_trade_r
XRP/USDT,6,39.927072660315204,6.654512110052534,40.28150343106668,-1.0000000000000002
ALGO/USDT,2,20.93234762802388,10.46617381401194,19.128180961357213,1.8041666666666665
DOGE/USDT,5,17.106403158649343,3.4212806317298687,20.42014947389124,-1.0000000000000009
ADA/USDT,4,13.338664675013073,3.334666168753268,14.22093392630242,-1.0
TRX/USDT,7,9.215424960722189,1.3164892801031698,5.165706051873201,-1.0000000000000016
SUI/USDT,5,5.762384295825647,1.1524768591651293,3.554998977714168,-1.0000000000000002
ASR/USDT,4,5.732248751779556,1.433062187944889,7.056227525335078,-0.9999999999999992
LINK/USDT,5,5.1697548463261604,1.033950969265232,6.658995815899583,-1.0000000000000004
ANKR/USDT,1,4.467005076142131,4.467005076142131,4.467005076142131,4.467005076142131
AVAX/USDT,3,3.361517015980182,1.1205056719933941,3.910841938046069,-0.3028846153846153
AMP/USDT,2,2.98195370733621,1.490976853668105,3.9819537073362095,-0.9999999999999996
ETH/USDT,5,2.697334682356282,0.5394669364712563,2.2349149174705,-1.0000000000000009
BTC/USDT,5,2.3785356312778427,0.47570712625556855,3.96922893910994,-0.9999999999999988
ATOM/USDT,2,1.655787505842031,0.8278937529210155,2.65578750584203,-0.9999999999999992
BCH/USDT,3,1.4453219892080533,0.4817739964026844,2.194636218799788,-0.6864623243933586
ALCX/USDT,3,1.4240282685512369,0.47467608951707896,3.424028268551237,-1.0000000000000002
ALPINE/USDT,4,0.6750599520383687,0.16876498800959217,3.6750599520383695,-1.0000000000000009
AUDIO/USDT,1,-0.6393924546790798,-0.6393924546790798,-0.6393924546790798,-0.6393924546790798
ARDR/USDT,3,-0.873184198565499,-0.291061399521833,0.6473941368078174,-0.9999999999999996
NEAR/USDT,4,-0.9063546984574533,-0.22658867461436333,1.348395108903324,-1.0000000000000004
API3/USDT,1,-0.9268590998043056,-0.9268590998043056,-0.9268590998043056,-0.9268590998043056
ACM/USDT,1,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996
1000CHEEMS/USDT,1,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996
AWE/USDT,1,-0.9999999999999998,-0.9999999999999998,-0.9999999999999998,-0.9999999999999998
AR/USDT,1,-1.0,-1.0,-1.0,-1.0
ARB/USDT,1,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002
AXL/USDT,1,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002
1MBABYDOGE/USDT,1,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002
AI/USDT,1,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002
AVA/USDT,2,-1.0032313657906073,-0.5016156828953037,-0.0032313657906071,-1.0000000000000002
ARKM/USDT,2,-1.0310701510280489,-0.5155350755140244,-0.4847801578354007,-0.5462899931926483
1INCH/USDT,2,-1.3420655861289104,-0.6710327930644552,-0.3420655861289106,-0.9999999999999998
ALICE/USDT,3,-1.5750160978750811,-0.5250053659583603,0.4249839021249188,-1.0
ARK/USDT,3,-1.6601664386445294,-0.5533888128815098,-0.3031088082901554,-1.0000000000000004
APE/USDT,2,-2.0,-1.0,-1.0,-1.0000000000000002
ARPA/USDT,2,-2.0000000000000004,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002
DOT/USDT,3,-2.0302861070538696,-0.6767620356846232,-0.0302861070538709,-0.9999999999999996
AUCTION/USDT,4,-2.0593281778637023,-0.5148320444659256,0.940671822136298,-1.0000000000000002
AAVE/USDT,5,-2.1055775552699334,-0.4211155110539867,1.578275666477595,-1.0000000000000004
UNI/USDT,5,-2.1916332668561647,-0.43832665337123294,0.5545422963348972,-1.0000000000000002
ATM/USDT,4,-2.4961820453841734,-0.6240455113460434,0.0086256469235192,-1.0
ACH/USDT,4,-2.8513958813608196,-0.7128489703402049,-0.2942000560381063,-1.0000000000000002
APT/USDT,3,-2.9999999999999996,-0.9999999999999999,-0.9999999999999992,-1.0000000000000002
ATA/USDT,3,-3.000000000000001,-1.0000000000000002,-1.0,-1.0000000000000004
AXS/USDT,4,-3.0404572309273057,-0.7601143077318264,-0.0404572309273052,-1.0000000000000004
ADX/USDT,4,-3.342082616179001,-0.8355206540447503,-0.3420826161790017,-1.0000000000000002
BNB/USDT,6,-3.428563117265277,-0.5714271862108795,0.8016213450867757,-1.0000000000000009
ICP/USDT,5,-3.435746687601254,-0.6871493375202509,0.214195272931907,-0.9999999999999998
SOL/USDT,7,-3.49679467821858,-0.49954209688836854,0.978425914209794,-1.0000000000000004
LTC/USDT,5,-4.491978605450956,-0.8983957210901912,-0.6370899915895706,-0.9999999999999998
AGLD/USDT,6,-5.735800344234079,-0.9559667240390132,-0.7358003442340796,-1.0
