timeframe,side,block_size,trades,mc_runs,total_r_p05,total_r_p50,total_r_p95,dd_r_p05,dd_r_p50,dd_r_p95,pf_p05,pf_p50,pf_p95,prob_total_r_positive,prob_pf_above_1
1d,ALL,1,167,2000,-12.515656524179454,63.81353872519145,164.94203349579413,-42.83995031803179,-21.868468313387368,-12.16944023320422,0.8818434955495452,1.6124193051026086,2.6469357676746705,0.906,0.906
1d,ALL,3,167,2000,-19.022066160504796,64.70505046433524,172.38682419957865,-48.26741600186364,-25.426394119949595,-13.78205592328021,0.825914644406286,1.6217595833133824,2.738988949670249,0.881,0.881
1d,ALL,5,167,2000,-24.117781864513518,63.054210635031275,172.1244243586207,-55.81961864016874,-29.27068873663437,-15.531213634390031,0.7801313869646785,1.6039801736232033,2.738766270031922,0.875,0.875
1d,ALL,10,167,2000,-43.33181511348628,65.21388389590905,204.59574954913978,-70.0073947354673,-35.31691818458807,-18.554688313151008,0.6256071624900778,1.621267316427513,3.162874119437718,0.82,0.82
1d,ALL,20,167,2000,-58.3516620785304,59.163787927222344,230.3852612963059,-79.55628644925395,-41.90264747951081,-19.786768942972465,0.49575006482666756,1.5692272822843072,3.5154559809781514,0.79,0.79
1d,LONG,1,167,2000,-9.74781510904906,66.20336636946968,166.03255667522603,-40.03650029080877,-21.664730104190816,-11.898619431960983,0.9152636337464168,1.632643616277269,2.681634797689797,0.9175,0.9175
1d,LONG,3,167,2000,-18.865440251569115,66.22578547156103,173.73432876603763,-48.6044699100226,-24.79910755086506,-13.762119278650708,0.8266511666671724,1.6338272565062897,2.7949787009482896,0.894,0.894
1d,LONG,5,167,2000,-27.052400658922124,64.27108483423322,182.2832162508211,-56.846035105199256,-29.000602220381534,-15.270779983663472,0.7616652369483624,1.6130461770802031,2.9046532545230312,0.865,0.865
1d,LONG,10,167,2000,-44.26296614098495,65.23216518690484,197.71256880212843,-68.91448196282242,-36.17026236250916,-18.01381330057985,0.6176226087871572,1.623225999685961,3.06483291155709,0.8365,0.8365
1d,LONG,20,167,2000,-60.517486841577615,61.50838036744261,225.2408387127911,-80.67938530907912,-42.29798070804688,-20.00951384146497,0.4735383187558779,1.5846775513153488,3.442496346483087,0.7665,0.7665
ALL_TF,ALL,1,167,2000,-10.56250428384389,65.43899847885248,161.43235716217433,-41.85516524229609,-21.49203992411259,-12.120765516824642,0.9061395634334739,1.6248083653084233,2.587929355233596,0.9155,0.9155
ALL_TF,ALL,3,167,2000,-17.548427471942023,64.29266223187415,168.74978677916621,-47.95552151849666,-25.751590214858055,-14.418904052192739,0.8405793777768604,1.6189312064886558,2.735035352043713,0.8845,0.8845
ALL_TF,ALL,5,167,2000,-25.075821464215963,64.30260868707228,183.87984234316505,-58.42584222926898,-29.16200916479039,-15.780704118499582,0.7782725373632918,1.6112141294417806,2.8940777340765957,0.8615,0.8615
ALL_TF,ALL,10,167,2000,-42.323779320754326,64.31018611476884,203.2385869501047,-71.79697465817011,-35.768531430108595,-18.054581496883632,0.6247964144197303,1.6171042883631346,3.1351887677143684,0.8195,0.8195
ALL_TF,ALL,20,167,2000,-63.84395410814114,58.1352294712936,236.31289701550082,-80.0416120238256,-41.536539098292124,-20.402978480843704,0.4483438478499442,1.5620309808303943,3.594151073719011,0.7535,0.7535
