symbol,side,timeframe,filter_mode,keltner_n,keltner_mult,stop_mult,entry_time,exit_time,entry_price,exit_price,initial_stop,initial_risk,net_r,exit_reason
ALT/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:53.184000+00:00,1970-01-01 00:28:53.702400+00:00,0.1799,0.14641500000000002,0.14641500000000002,0.033485,-0.9999999999999996,stop
AMP/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:51.715200+00:00,1970-01-01 00:28:52.147200+00:00,0.005227,0.0043752,0.0043752,0.0008518,-0.9999999999999998,stop
AMP/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:52.752000+00:00,1970-01-01 00:28:54.480000+00:00,0.007997,0.008304,0.006366200000000001,0.0016308,0.18825116507235712,midline_exit
AMP/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:57.072000+00:00,1970-01-01 00:28:57.244800+00:00,0.009385,0.0079917,0.0079917,0.0013933,-1.0,stop
ANKR/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:31.929600+00:00,1970-01-01 00:28:32.102400+00:00,0.06741,0.054085999999999995,0.054085999999999995,0.013323999999999999,-1.0000000000000002,stop
ANKR/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:51.283200+00:00,1970-01-01 00:28:53.702400+00:00,0.03039,0.04447,0.027004,0.003386,4.158298877731838,midline_exit
APE/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:49.382400+00:00,1970-01-01 00:28:49.555200+00:00,1.491,1.2944,1.2944,0.19660000000000002,-1.0000000000000004,stop
APE/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:53.184000+00:00,1970-01-01 00:28:53.702400+00:00,1.894,1.5746,1.5746,0.31939999999999996,-0.9999999999999998,stop
API3/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:53.184000+00:00,1970-01-01 00:28:53.702400+00:00,2.593,2.1596,2.1596,0.43339999999999995,-0.9999999999999997,stop
API3/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:15.561600+00:00,1970-01-01 00:29:16.425600+00:00,1.37,1.1456000000000002,1.1456000000000002,0.22440000000000002,-0.9999999999999997,stop
APT/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:46.876800+00:00,1970-01-01 00:28:47.740800+00:00,8.25,7.377,7.377,0.873,-1.0000000000000002,stop
APT/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:51.283200+00:00,1970-01-01 00:28:51.369600+00:00,13.72,11.8366,11.8366,1.8834000000000004,-0.9999999999999998,stop
APT/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:19.363200+00:00,1970-01-01 00:29:20.054400+00:00,5.227,4.7403,4.7403,0.4866999999999999,-1.0,stop
