timeframe,filter_mode,keltner_n,keltner_mult,stop_mult,symbols,trades,total_r,avg_r,median_r,pf,max_dd_r,win_rate_pct
1d,ema200_price,10,1.5,2.0,63,415,19.882110953290436,0.04790870109226611,-0.45387994143484617,1.105700581431404,-52.73016532577033,27.469879518072286
1d,ema50_slope,10,1.5,2.0,63,815,-22.5665848997919,-0.027689061226738525,-0.4254638515674989,0.9364671905075298,-88.77585166315858,29.07975460122699
1d,ema200_price,10,1.5,3.0,63,409,14.104986357849308,0.034486519212345496,-0.28218694885361917,1.1124338940888003,-34.55712244075693,27.87286063569682
1d,ema50_slope,10,1.5,3.0,63,806,-11.43270448237502,-0.014184496876395806,-0.2782178655583413,0.9517773543733119,-55.45588944070911,29.528535980148884
1d,ema200_price,10,2.0,2.0,63,284,28.149671234651535,0.09911856068539272,-0.4771932312346383,1.1983318924062185,-36.679830712095075,26.408450704225352
1d,ema50_slope,10,2.0,2.0,63,555,-26.600959042780666,-0.04792965593293814,-0.5047489823609221,0.9049866497643668,-76.10510923535163,27.56756756756757
1d,ema200_price,10,2.0,3.0,63,281,15.675176078756127,0.05578354476425668,-0.3158769742310867,1.159917018074034,-28.37634935178994,26.690391459074732
1d,ema50_slope,10,2.0,3.0,63,550,-19.423522323713883,-0.03531549513402524,-0.3347320157654292,0.8977872212890557,-53.158416160955944,27.81818181818182
1d,ema200_price,10,2.5,2.0,63,200,12.913291101108184,0.06456645550554092,-0.5752427646007383,1.122319466194491,-34.91043714110163,28.000000000000004
1d,ema50_slope,10,2.5,2.0,63,353,-32.44261201734864,-0.09190541647974118,-0.649739583333334,0.8338990020894801,-62.80650048936694,26.628895184135974
1d,ema200_price,10,2.5,3.0,63,197,7.247301330740171,0.03678833162812269,-0.3235747303543917,1.099921592488369,-26.939731046873945,29.441624365482234
1d,ema50_slope,10,2.5,3.0,63,349,-24.98608917437685,-0.07159337872314284,-0.41944356289008794,0.8159320444063464,-47.640798317186295,27.507163323782237
1d,ema200_price,10,3.0,2.0,63,138,6.338503667725733,0.045931185998012554,-0.6761684643040573,1.0800380758231758,-38.41319896072509,26.08695652173913
1d,ema50_slope,10,3.0,2.0,63,231,-20.148009530943668,-0.08722082048027562,-0.6966773847802794,0.8494004718633666,-53.46588267705317,25.97402597402597
1d,ema200_price,10,3.0,3.0,63,137,6.842334335568444,0.04994404624502514,-0.39965439032293015,1.1267042676293513,-24.03675226698214,28.467153284671532
1d,ema50_slope,10,3.0,3.0,63,229,-11.687270846703345,-0.05103611723451242,-0.44009274437700313,0.87386166437378,-32.77259483141485,27.510917030567683
1d,ema200_price,15,1.5,2.0,63,388,71.46049341784038,0.18417652942742366,-0.5793738041384396,1.3604354889683425,-43.10745131350891,26.804123711340207
1d,ema50_slope,15,1.5,2.0,63,768,1.2731356578794504,0.001657728721197201,-0.5438554989539703,1.0033702509253306,-92.93070566807832,26.5625
1d,ema200_price,15,1.5,3.0,63,372,52.6159676257664,0.14144077318754408,-0.35867701695892595,1.3990443408692914,-28.57133283902794,27.688172043010752
1d,ema50_slope,15,1.5,3.0,63,749,7.535254492293454,0.010060419882901808,-0.3542757417102957,1.0300231142748224,-59.039370128536234,27.102803738317753
1d,ema200_price,15,2.0,2.0,63,292,65.69459593755673,0.2249814929368381,-0.6851577730704433,1.38860946753945,-38.65646339454074,26.71232876712329
1d,ema50_slope,15,2.0,2.0,63,554,-3.8681664153001734,-0.006982249847112226,-0.6842064661210496,0.9878494859278517,-83.46410947690477,25.812274368231048
1d,ema200_price,15,2.0,3.0,63,281,49.16656000587659,0.17496996443372453,-0.40840415486307785,1.4342996754520974,-26.581449546297844,28.11387900355872
1d,ema50_slope,15,2.0,3.0,63,541,-0.014221961047066856,-2.6288282896611562e-05,-0.4149899396378272,0.9999339510791542,-59.32623913374492,26.617375231053604
1d,ema200_price,15,2.5,2.0,63,214,74.72707294762147,0.34919192966178253,-0.9634295499021515,1.5729587557015032,-27.361048790553216,27.570093457943923
1d,ema50_slope,15,2.5,2.0,63,384,10.828699009070085,0.02819973700278668,-0.999999999999999,1.0444754712583,-69.75141067450163,25.260416666666668
1d,ema200_price,15,2.5,3.0,63,205,50.42433675276835,0.24597237440374803,-0.4247266610597137,1.5512518821705346,-22.1001195758817,29.756097560975608
1d,ema50_slope,15,2.5,3.0,63,373,5.950779474279141,0.01595383237072156,-0.49868766404199477,1.0347697234901514,-52.688593852376044,26.541554959785525
1d,ema200_price,15,3.0,2.0,63,167,69.60767840074877,0.4168124455134657,-0.9999999999999991,1.6659700289802901,-19.9635590171427,25.748502994011975
1d,ema50_slope,15,3.0,2.0,63,272,15.33974719913142,0.056396129408571395,-0.9999999999999996,1.085572200047525,-48.08715577234424,22.794117647058822
1d,ema200_price,15,3.0,3.0,63,158,53.30338843099374,0.3373632179176819,-0.4277764346187012,1.7551973571584292,-16.00814684226006,30.37974683544304
1d,ema50_slope,15,3.0,3.0,63,262,17.656750206875273,0.06739217636211936,-0.5407468804124155,1.140881703477269,-37.06659485802632,25.954198473282442
1d,ema200_price,20,1.5,2.0,63,368,57.49064638046416,0.15622458255560914,-0.5829304317173616,1.288368328901784,-36.71202245239044,26.902173913043477
