rsi_n,overbought,hold_bars,atr_mult,filter_mode,num_trades,win_rate,avg_r,pf,max_dd_r,total_r
7,70,10,2.0,none,2763,0.4307,-0.1039,0.7942,309.15,-287.01
7,70,10,3.0,none,2436,0.4815,-0.0993,0.7455,251.8,-241.95
7,70,15,2.0,none,2625,0.4023,-0.0913,0.8366,267.33,-239.63
7,70,15,3.0,none,2255,0.4616,-0.1019,0.7716,250.29,-229.8
7,70,20,2.0,none,2517,0.3683,-0.1207,0.8007,314.46,-303.84
7,70,20,3.0,none,2144,0.4496,-0.1255,0.7459,279.35,-269.14
7,70,25,2.0,none,2409,0.3375,-0.1541,0.7611,375.52,-371.19
7,70,25,3.0,none,2014,0.4121,-0.1649,0.6931,338.92,-332.11
7,75,10,2.0,none,1987,0.4207,-0.1375,0.7386,276.03,-273.16
7,75,10,3.0,none,1758,0.4659,-0.1281,0.6895,230.58,-225.18
7,75,15,2.0,none,1933,0.3839,-0.13,0.7754,253.63,-251.21
7,75,15,3.0,none,1673,0.4477,-0.1353,0.7135,234.34,-226.39
7,75,20,2.0,none,1884,0.354,-0.1599,0.7435,303.11,-301.31
7,75,20,3.0,none,1619,0.4175,-0.1809,0.6581,297.67,-292.83
7,75,25,2.0,none,1822,0.3189,-0.2045,0.6919,373.01,-372.64
7,75,25,3.0,none,1548,0.3779,-0.2271,0.6054,354.45,-351.54
7,80,10,2.0,none,1270,0.4016,-0.1584,0.7086,202.46,-201.22
7,80,10,3.0,none,1145,0.4603,-0.1381,0.6755,162.83,-158.09
7,80,15,2.0,none,1255,0.3657,-0.1591,0.7356,201.55,-199.67
7,80,15,3.0,none,1114,0.4354,-0.1598,0.6763,182.95,-177.97
7,80,20,2.0,none,1242,0.3309,-0.1928,0.7009,243.55,-239.45
7,80,20,3.0,none,1102,0.3929,-0.1958,0.6428,224.1,-215.79
7,80,25,2.0,none,1210,0.2917,-0.257,0.6313,312.52,-310.98
