variant,filter_label,max_same_side,max_cluster,max_high_beta,input_trades,accepted_trades,skipped_trades,acceptance_rate_pct,return_pct,max_dd_pct,pf_r,total_r,avg_r,win_rate_pct,max_dd_r,best_r,worst_r,max_losing_streak,max_open_observed,max_heat_observed_pct,avg_effective_clusters,min_effective_clusters,final_equity
ACT3_ATR3,SAME5_CLUSTER2_BETA4,5,2,4,886,136,750,15.349887133182843,-3.176173411453387,-9.613039565439582,0.8906032542620018,-11.705451793965809,-0.08606949848504271,21.323529411764707,-40.02239488021473,9.513561741613136,-1.0,18,5,1.2767092983957988,2.715289449112978,0.0,9682.382658854662
ACT3_ATR3,SAME3_CLUSTER3_BETA3,3,3,3,886,108,778,12.18961625282167,-4.071880058804167,-10.453583395760308,0.8277466172009574,-15.158297686315754,-0.14035460820662735,18.51851851851852,-43.74436642916379,9.513561741613136,-1.0,28,4,1.016161324653348,1.656172839506173,0.0,9592.811994119584
ACT4_ATR3,SAME3_CLUSTER3_BETA3,3,3,3,782,97,685,12.404092071611252,-4.382802445211798,-7.724960686425677,0.7844724815068205,-17.24220147945437,-0.17775465442736463,17.525773195876287,-32.0,6.497282608695648,-1.0,32,4,1.0112829765242144,1.8257731958762888,0.0,9561.71975547882
ACT5_ATR3,SAME3_CLUSTER3_BETA3,3,3,3,670,91,579,13.582089552238804,-4.441354679645393,-7.584917043281446,0.7682847409663992,-17.84207494558727,-0.19606675764381618,15.384615384615385,-31.436205384681365,6.497282608695648,-1.0,15,4,1.0083506462714786,1.6934065934065936,0.0,9555.86453203546
ACT3_ATR3,SAME4_CLUSTER3_BETA4,4,3,4,886,148,738,16.70428893905192,-5.621361998133123,-11.05140136675167,0.817183382899042,-21.572360817913044,-0.14575919471562868,20.27027027027027,-46.231757933451746,9.513561741613136,-1.0,24,5,1.2691408887057536,1.8988719238719234,0.0,9437.863800186688
ACT5_ATR3,SAME5_CLUSTER2_BETA4,5,2,4,670,102,568,15.223880597014924,-5.6617748906200855,-9.05590449268325,0.7423641810741229,-22.671952065477186,-0.22227403985761945,13.725490196078432,-37.64175056269933,8.720481226351023,-1.0,19,5,1.2760983409223394,2.871724245253657,0.0,9433.822510937991
ACT5_ATR3,SAME4_CLUSTER2_BETA3,4,2,3,670,88,582,13.134328358208954,-5.914079922919136,-9.140541483526063,0.6845831888284059,-23.971677649041162,-0.2724054278300132,13.636363636363635,-38.220994919912286,6.525059774564505,-1.0,24,4,1.013664559810767,2.2234848484848486,0.0,9408.592007708086
ACT3_ATR3,BASE_MAX5_ONLY,5,99,99,886,146,740,16.478555304740404,-5.967032106969638,-11.300102115989814,0.7927715757839326,-23.62404036063168,-0.1618084956207649,21.91780821917808,-47.5445273650962,9.513561741613136,-1.0,19,5,1.2821034478537756,1.5616547075451184,0.0,9403.296789303036
ACT3_ATR3,SAME4_CLUSTER2_BETA3,4,2,3,886,131,755,14.785553047404063,-6.02022553077457,-10.686753266819823,0.7730092855793386,-23.834025014169455,-0.18193912224556835,19.84732824427481,-45.05463889149279,9.513561741613136,-1.0,16,4,1.0080849710218924,2.221119592875318,0.0,9397.977446922543
ACT5_ATR3,SAME3_CLUSTER2_BETA3,3,2,3,670,76,594,11.343283582089553,-6.2904714681597085,-7.0576315906595255,0.6097365655844197,-25.75738667142831,-0.33891298251879354,13.157894736842104,-29.22099491991228,6.497282608695648,-1.0,19,4,1.0033803852256564,1.774561403508772,0.0,9370.95285318403
ACT4_ATR3,SAME4_CLUSTER2_BETA3,4,2,3,782,104,678,13.299232736572892,-6.699877222225592,-8.949500138369013,0.6927033483028343,-27.042105349350575,-0.26002024374375554,15.384615384615385,-37.00722180820058,6.497282608695648,-1.0,35,4,1.0132730806224595,2.226923076923077,0.0,9330.012277777441
