variant,filter_label,time,event,equity,peak,drawdown_pct,open_positions,long_positions,short_positions,portfolio_heat_pct,effective_clusters,max_cluster_count
ACT4_ATR3,BASE_MAX5_ONLY,2025-09-27 18:00:00+00:00,entry,10000.0,10000.0,0.0,1,1,0,0.25,1.0,1
ACT4_ATR3,BASE_MAX5_ONLY,2025-09-28 00:00:00+00:00,entry,10000.0,10000.0,0.0,2,1,1,0.5,1.0,2
ACT4_ATR3,BASE_MAX5_ONLY,2025-09-28 06:00:00+00:00,entry,10000.0,10000.0,0.0,3,1,2,0.75,1.0,3
ACT4_ATR3,BASE_MAX5_ONLY,2025-09-29 00:00:00+00:00,exit,9975.0,10000.0,-0.25,2,1,1,0.5012531328320802,1.0,2
ACT4_ATR3,BASE_MAX5_ONLY,2025-09-29 12:00:00+00:00,entry,9975.0,10000.0,-0.25,3,1,2,0.7512531328320802,1.0,3
ACT4_ATR3,BASE_MAX5_ONLY,2025-09-29 18:00:00+00:00,entry,9975.0,10000.0,-0.25,4,2,2,1.0012531328320802,1.6,3
ACT4_ATR3,BASE_MAX5_ONLY,2025-09-30 06:00:00+00:00,entry,9975.0,10000.0,-0.25,5,2,3,1.2512531328320802,1.4705882352941173,4
ACT4_ATR3,BASE_MAX5_ONLY,2025-09-30 12:00:00+00:00,exit,10052.15459262106,10052.15459262106,0.0,4,1,3,0.9929463288723088,1.6,3
ACT4_ATR3,BASE_MAX5_ONLY,2025-09-30 12:00:00+00:00,exit,10027.21709262106,10052.15459262106,-0.24808114290547975,3,0,3,0.7467176516513225,1.0,3
ACT4_ATR3,BASE_MAX5_ONLY,2025-09-30 12:00:00+00:00,entry,10027.21709262106,10052.15459262106,-0.24808114290547975,4,0,4,0.9967176516513225,1.0,4
ACT4_ATR3,BASE_MAX5_ONLY,2025-09-30 12:00:00+00:00,entry,10027.21709262106,10052.15459262106,-0.24808114290547975,5,0,5,1.2467176516513225,1.0,5
ACT4_ATR3,BASE_MAX5_ONLY,2025-10-01 00:00:00+00:00,exit,10002.149049889507,10052.15459262106,-0.4974609400482181,4,0,4,0.9992156908785188,1.0,4
ACT4_ATR3,BASE_MAX5_ONLY,2025-10-01 00:00:00+00:00,entry,10002.149049889507,10052.15459262106,-0.4974609400482181,5,0,5,1.249215690878519,1.0,5
ACT4_ATR3,BASE_MAX5_ONLY,2025-10-01 06:00:00+00:00,exit,9977.149049889507,10052.15459262106,-0.7461638402040875,4,0,4,1.0017733007344751,1.0,4
ACT4_ATR3,BASE_MAX5_ONLY,2025-10-01 06:00:00+00:00,exit,9952.081007157954,10052.15459262106,-0.9955436373468258,3,0,3,0.7524091953317771,1.0,3
ACT4_ATR3,BASE_MAX5_ONLY,2025-10-01 06:00:00+00:00,entry,9952.081007157954,10052.15459262106,-0.9955436373468258,4,1,3,1.0024091953317769,1.0,4
ACT4_ATR3,BASE_MAX5_ONLY,2025-10-01 12:00:00+00:00,exit,9927.143507157954,10052.15459262106,-1.2436247802523055,3,1,2,0.7537221063508104,1.0,3
ACT4_ATR3,BASE_MAX5_ONLY,2025-10-01 18:00:00+00:00,exit,9902.13813453323,10052.15459262106,-1.49238112790219,2,1,1,0.5031004601335346,1.0,2
ACT4_ATR3,BASE_MAX5_ONLY,2025-10-01 18:00:00+00:00,entry,9902.13813453323,10052.15459262106,-1.49238112790219,3,2,1,0.7531004601335347,1.7999999999999998,2
ACT4_ATR3,BASE_MAX5_ONLY,2025-10-01 18:00:00+00:00,entry,9902.13813453323,10052.15459262106,-1.49238112790219,4,3,1,1.0031004601335345,1.6,3
ACT4_ATR3,BASE_MAX5_ONLY,2025-10-02 00:00:00+00:00,entry,9902.13813453323,10052.15459262106,-1.49238112790219,5,4,1,1.2531004601335347,1.4705882352941173,4
ACT4_ATR3,BASE_MAX5_ONLY,2025-10-02 06:00:00+00:00,exit,9877.20063453323,10052.15459262106,-1.7404622708076696,4,4,0,1.0037888486364588,1.6,3
ACT4_ATR3,BASE_MAX5_ONLY,2025-10-02 06:00:00+00:00,entry,9877.20063453323,10052.15459262106,-1.7404622708076696,5,5,0,1.2537888486364588,2.2727272727272725,3
ACT4_ATR3,BASE_MAX5_ONLY,2025-10-07 12:00:00+00:00,exit,9852.445289196898,10052.15459262106,-1.986731317987909,4,4,0,1.0056782034155376,2.6666666666666665,2
ACT4_ATR3,BASE_MAX5_ONLY,2025-10-07 12:00:00+00:00,entry,9852.445289196898,10052.15459262106,-1.986731317987909,5,4,1,1.2556782034155374,2.2727272727272725,3
ACT4_ATR3,BASE_MAX5_ONLY,2025-10-08 12:00:00+00:00,exit,9827.814175973905,10052.15459262106,-2.2317644896929467,4,4,0,1.0081987001659525,2.6666666666666665,2
ACT4_ATR3,BASE_MAX5_ONLY,2025-10-08 12:00:00+00:00,entry,9827.814175973905,10052.15459262106,-2.2317644896929467,5,5,0,1.2581987001659523,2.2727272727272725,3
ACT4_ATR3,BASE_MAX5_ONLY,2025-10-09 06:00:00+00:00,exit,9803.24464053397,10052.15459262106,-2.476185078468707,4,4,0,1.0107255139508295,2.6666666666666665,2
ACT4_ATR3,BASE_MAX5_ONLY,2025-10-09 06:00:00+00:00,entry,9803.24464053397,10052.15459262106,-2.476185078468707,5,4,1,1.2607255139508295,2.2727272727272725,3
ACT4_ATR3,BASE_MAX5_ONLY,2025-10-09 12:00:00+00:00,exit,9933.145860755598,10052.15459262106,-1.1839126703525085,4,3,1,0.995646355930717,1.6,3
ACT4_ATR3,BASE_MAX5_ONLY,2025-10-09 12:00:00+00:00,entry,9933.145860755598,10052.15459262106,-1.1839126703525085,5,4,1,1.2456463559307172,1.4705882352941173,4
ACT4_ATR3,BASE_MAX5_ONLY,2025-10-09 18:00:00+00:00,exit,9908.312996103708,10052.15459262106,-1.4309528886766314,4,3,1,0.9981417102062327,1.6,3
ACT4_ATR3,BASE_MAX5_ONLY,2025-10-10 12:00:00+00:00,exit,9883.557650767376,10052.15459262106,-1.6772219358568703,3,2,1,0.7501717708886563,1.0,3
