variant,filter_label,trade_id,symbol,side,cluster,beta_bucket,entry_time,entry_price,initial_stop,final_stop,net_r,risk_amount,equity_before_entry,heat_before_entry_pct,same_side_before,cluster_before,beta_before,exit_time,pnl_usdt,equity_after_exit,drawdown_pct,open_after_exit
ACT4_ATR3,BASE_MAX5_ONLY,1749,ARDR/USDT,SHORT,ALT_OTHER,HIGH_CRYPTO_BETA,2025-09-28 06:00:00+00:00,0.07544,0.0786585714285714,0.0786585714285714,-1.0,25.0,10000.0,0.5,1,2,2,2025-09-29 00:00:00+00:00,-25.0,9975.0,-0.25,2
ACT4_ATR3,BASE_MAX5_ONLY,1491,ALPINE/USDT,LONG,ALT_OTHER,HIGH_CRYPTO_BETA,2025-09-27 18:00:00+00:00,6.251,4.764142857142858,10.839714285714283,3.0861837048424285,25.0,10000.0,0.0,0,0,0,2025-09-30 12:00:00+00:00,77.15459262106071,10052.15459262106,0.0,4
ACT4_ATR3,BASE_MAX5_ONLY,120,BNB/USDT,LONG,EXCHANGE,OTHER,2025-09-29 18:00:00+00:00,1029.79,995.2114285714284,995.2114285714284,-1.0,24.9375,9975.0,0.7512531328320802,1,0,0,2025-09-30 12:00:00+00:00,-24.9375,10027.21709262106,-0.24808114290547975,3
ACT4_ATR3,BASE_MAX5_ONLY,1687,AR/USDT,SHORT,ALT_OTHER,HIGH_CRYPTO_BETA,2025-09-30 12:00:00+00:00,5.38,5.648571428571429,5.648571428571429,-1.0,25.06804273155265,10027.21709262106,0.7467176516513225,3,3,3,2025-10-01 00:00:00+00:00,-25.06804273155265,10002.149049889507,-0.4974609400482181,4
ACT4_ATR3,BASE_MAX5_ONLY,2328,BABY/USDT,SHORT,ALT_OTHER,HIGH_CRYPTO_BETA,2025-09-28 00:00:00+00:00,0.04645,0.0507957142857142,0.0507957142857142,-1.0,25.0,10000.0,0.25,0,1,1,2025-10-01 06:00:00+00:00,-25.0,9977.149049889507,-0.7461638402040875,4
ACT4_ATR3,BASE_MAX5_ONLY,949,A/USDT,SHORT,ALT_OTHER,HIGH_CRYPTO_BETA,2025-09-30 12:00:00+00:00,0.3852,0.4007857142857142,0.4007857142857142,-1.0,25.06804273155265,10027.21709262106,0.9967176516513225,4,4,4,2025-10-01 06:00:00+00:00,-25.06804273155265,9952.081007157954,-0.9955436373468258,3
ACT4_ATR3,BASE_MAX5_ONLY,1163,ADX/USDT,SHORT,ALT_OTHER,HIGH_CRYPTO_BETA,2025-09-30 06:00:00+00:00,0.104,0.1074285714285714,0.1074285714285714,-1.0,24.9375,9975.0,1.0012531328320802,2,3,3,2025-10-01 12:00:00+00:00,-24.9375,9927.143507157954,-1.2436247802523055,3
ACT4_ATR3,BASE_MAX5_ONLY,1434,ALICE/USDT,SHORT,ALT_OTHER,HIGH_CRYPTO_BETA,2025-10-01 00:00:00+00:00,0.288,0.3088571428571428,0.3088571428571428,-1.0,25.00537262472377,10002.149049889507,0.9992156908785188,4,4,4,2025-10-01 18:00:00+00:00,-25.00537262472377,9902.13813453323,-1.49238112790219,2
ACT4_ATR3,BASE_MAX5_ONLY,766,1000CHEEMS/USDT,SHORT,ALT_OTHER,HIGH_CRYPTO_BETA,2025-09-29 12:00:00+00:00,0.001056,0.0010978571428571,0.0010978571428571,-1.0,24.9375,9975.0,0.5012531328320802,1,2,2,2025-10-02 06:00:00+00:00,-24.9375,9877.20063453323,-1.7404622708076696,4
ACT4_ATR3,BASE_MAX5_ONLY,192,XRP/USDT,LONG,ALT_OTHER,HIGH_CRYPTO_BETA,2025-10-02 00:00:00+00:00,2.9648,2.852028571428572,2.852028571428572,-1.0,24.755345336333075,9902.13813453323,1.0031004601335345,3,3,4,2025-10-07 12:00:00+00:00,-24.755345336333075,9852.445289196898,-1.986731317987909,4
