trades,total_r,avg_r,win_rate,profit_factor,max_dd_r,n,pass_avg_r,pass_pf,stable
538,492.28639541884263,0.915030474756213,0.3828996282527881,2.7083184985841116,-9.467149660302994,15,True,True,True
461,507.6,1.1011,0.412,3.072,-22.48,20,True,True,True
423,487.30652057241696,1.1520248713295909,0.4160756501182033,3.1712668770887995,-9.177096815557093,25,True,True,True
