entry_n,exit_n,trades,total_r,avg_r,profit_factor
15,7,537,374.0331898384084,0.6965236309840008,2.7126464024879025
20,10,460,372.76027911757416,0.8103484328642917,2.892916637052642
25,12,422,356.90248877462886,0.8457404947266087,2.9343575001575264
