symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,initial_risk,exit_reason,bars_held,net_r,mae_r,mfe_r,addon_triggered,month
FET/USDT,2020-12-18 00:00:00+00:00,2020-12-23 00:00:00+00:00,0.05995,0.04886121699504761,0.04886121699504761,0.011088783004952392,initial_stop,6,-0.49999999999999994,-1.1678468227051038,0.380564756124752,False,2020-12
ETH/USDT,2020-12-16 00:00:00+00:00,2020-12-23 00:00:00+00:00,637.18,568.3411599657123,568.3411599657123,68.83884003428763,initial_stop,8,-0.4999999999999999,-1.247842060633422,0.5675575006862383,False,2020-12
BTC/USDT,2020-12-16 00:00:00+00:00,2021-01-04 00:00:00+00:00,22187.542139241195,29680.4458970878,19631.475721517607,1704.044278482392,chandelier_stop,20,4.397129729821177,-0.06192327355130448,7.888638910235279,True,2021-01
ADA/USDT,2020-12-29 00:00:00+00:00,2021-01-08 00:00:00+00:00,0.19067,0.2634787054714428,0.15729533722536895,0.03337466277463106,chandelier_stop,11,1.0907781445328426,-0.6813551991088662,4.932783923891495,False,2021-01
HBAR/USDT,2021-01-08 00:00:00+00:00,2021-01-09 00:00:00+00:00,0.06091,0.053452936706277245,0.053452936706277245,0.007457063293722756,initial_stop,2,-0.4999999999999999,-1.6843091583482765,0.17299035145456015,False,2021-01
IOST/USDT,2021-01-08 00:00:00+00:00,2021-01-10 00:00:00+00:00,0.009110678974377562,0.010275968163217228,0.007521642051244878,0.0010593579487551221,chandelier_stop,3,1.099995700423098,-0.6173550694253361,4.685857132457749,True,2021-01
FET/USDT,2021-01-06 00:00:00+00:00,2021-01-11 00:00:00+00:00,0.07311,0.059112473124272556,0.059112473124272556,0.013997526875727436,initial_stop,6,-0.5000000000000001,-1.5059803197487691,0.7908539914430216,False,2021-01
CELR/USDT,2021-01-06 00:00:00+00:00,2021-01-11 00:00:00+00:00,0.007731352018436695,0.005657295963126609,0.005657295963126609,0.0013827040368733913,initial_stop,6,-1.4999999999999996,-1.2945648181136418,1.0559020304167137,True,2021-01
BTC/USDT,2021-01-06 00:00:00+00:00,2021-01-11 00:00:00+00:00,38915.88250576898,32476.314988462036,32476.314988462036,4293.045011537965,initial_stop,6,-1.4999999999999996,-1.4789875211966084,1.2067518477156747,True,2021-01
ETH/USDT,2020-12-27 00:00:00+00:00,2021-01-11 00:00:00+00:00,685.11,1023.3832979089193,602.4912571370107,82.61874286298932,chandelier_stop,16,2.047194656967211,-0.04926242955245069,8.027476296750846,False,2021-01
TRX/USDT,2021-01-09 00:00:00+00:00,2021-01-11 00:00:00+00:00,0.03382,0.0284527646609406,0.0284527646609406,0.005367235339059402,initial_stop,3,-0.5000000000000001,-1.281851747757666,0.5440417301529624,False,2021-01
ETH/USDT,2021-01-19 00:00:00+00:00,2021-01-21 00:00:00+00:00,1365.36,1106.7970456352675,1106.7970456352675,258.56295436473243,initial_stop,3,-0.4999999999999999,-1.0804331992816374,0.16464075491630692,False,2021-01
ADA/USDT,2021-01-17 00:00:00+00:00,2021-01-22 00:00:00+00:00,0.38081,0.29622104744220357,0.29622104744220357,0.0845889525577964,initial_stop,6,-0.5000000000000001,-1.1917631907206834,0.1942334016817859,False,2021-01
ZRX/USDT,2021-01-05 00:00:00+00:00,2021-02-06 00:00:00+00:00,0.48014860351196625,1.487408339948828,0.3738027929760674,0.07089720702393258,chandelier_stop,33,14.207326053011421,-0.892841941977093,21.79634522807587,True,2021-02
MTL/USDT,2021-02-04 00:00:00+00:00,2021-02-06 00:00:00+00:00,0.5739442698406152,0.7763426285245313,0.43941146031876976,0.08968853968123026,chandelier_stop,3,2.25668027825269,0.0,5.494570451826987,True,2021-02
VTHO/USDT,2021-02-09 00:00:00+00:00,2021-02-10 00:00:00+00:00,0.003037289060049608,0.002409421879900784,0.002409421879900784,0.000418578120099216,initial_stop,2,-1.4999999999999996,-1.0225092508384115,2.1381910735990157,True,2021-02
VTHO/USDT,2021-02-12 00:00:00+00:00,2021-02-14 00:00:00+00:00,0.005264629032408524,0.0063598065335146855,0.004062741935182953,0.0008012580648170474,chandelier_stop,3,1.3668224373582127,-0.4767502715710239,5.111961027107098,True,2021-02
FET/USDT,2021-01-15 00:00:00+00:00,2021-02-15 00:00:00+00:00,0.08851,0.1941719899772643,0.06678178263928555,0.021728217360714452,chandelier_stop,32,2.4314463589706556,-0.6765396238431521,9.148932777127904,False,2021-02
ETC/USDT,2021-01-04 00:00:00+00:00,2021-02-15 00:00:00+00:00,7.531168924614987,14.14609478181734,6.049862150770024,0.9875378492299757,chandelier_stop,43,6.698402357297278,-0.7793119024248931,11.283213102858133,True,2021-02
CELR/USDT,2021-02-03 00:00:00+00:00,2021-02-15 00:00:00+00:00,0.011350735159880276,0.01754478096345554,0.008048529680239447,0.0022014703197605536,chandelier_stop,13,2.8135949633193187,-0.24529061107611685,6.700067617356889,True,2021-02
VET/USDT,2020-12-28 00:00:00+00:00,2021-02-15 00:00:00+00:00,0.020212,0.04443001581415286,0.01639823231643256,0.0038137676835674427,chandelier_stop,50,3.175077485514147,-0.5144518918794562,10.635676676052233,False,2021-02
ZEC/USDT,2021-01-09 00:00:00+00:00,2021-02-15 00:00:00+00:00,85.46098672792891,147.49922357401954,64.39802654414217,14.04197345585783,chandelier_stop,38,4.4180568380301555,-0.1951292678777256,7.99032987440907,True,2021-02
IOST/USDT,2021-01-14 00:00:00+00:00,2021-02-15 00:00:00+00:00,0.016389842064854512,0.027124207850515288,0.011560315870290976,0.003219684129709023,chandelier_stop,33,3.333981022116877,-0.5882564635839507,7.211887584170715,True,2021-02
QTUM/USDT,2021-01-06 00:00:00+00:00,2021-02-15 00:00:00+00:00,3.2510040742586037,6.653740171982655,2.5369918514827923,0.47600814851720763,chandelier_stop,41,7.148482874345254,-0.9705716203370802,12.262395125340996,True,2021-02
ADA/USDT,2021-02-01 00:00:00+00:00,2021-02-15 00:00:00+00:00,0.45051307541989216,0.740371736725228,0.3252538491602157,0.08350615083978433,chandelier_stop,15,3.4711055220526377,-0.24046132887295524,6.840693700467482,True,2021-02
ICX/USDT,2020-12-29 00:00:00+00:00,2021-02-15 00:00:00+00:00,0.4673,1.1945543438854207,0.3805488522260336,0.08675114777396643,chandelier_stop,49,4.191612229617473,-0.4876016177931655,16.706407202544558,False,2021-02
