symbol,entry_ts,r,funding,year,tf,cb,ap,hb,am
1000FLOKIUSDT,1693180800000,-1.0,0.0001,2023,8h,5,15,10,2.0
1000FLOKIUSDT,1693468800000,0.8257038326798938,0.0001,2023,8h,5,15,10,2.0
1000FLOKIUSDT,1694966400000,-0.265169638523746,0.0001,2023,8h,5,15,10,2.0
1000FLOKIUSDT,1695283200000,-1.0,0.0001,2023,8h,5,15,10,2.0
1000FLOKIUSDT,1695571200000,-0.1944251814160689,0.0001,2023,8h,5,15,10,2.0
1000FLOKIUSDT,1730620800000,-1.0,0.0001,2024,8h,5,15,10,2.0
1000FLOKIUSDT,1740700800000,-1.0,0.0001,2025,8h,5,15,10,2.0
1000PEPEUSDT,1692892800000,0.37203779644912033,0.0001,2023,8h,5,15,10,2.0
1000PEPEUSDT,1694304000000,1.0826584849242715,0.0001,2023,8h,5,15,10,2.0
1000PEPEUSDT,1696838400000,0.6085398581083138,0.0001,2023,8h,5,15,10,2.0
1000PEPEUSDT,1697529600000,-0.001880798340490333,0.0001,2023,8h,5,15,10,2.0
1000PEPEUSDT,1743264000000,-0.6752389141662561,0.0001,2025,8h,5,15,10,2.0
1000PEPEUSDT,1756656000000,-0.34893947942320636,0.0001,2025,8h,5,15,10,2.0
1000PEPEUSDT,1756972800000,-0.6738427431352272,0.0001,2025,8h,5,15,10,2.0
1000PEPEUSDT,1758816000000,-0.5048846074448935,0.0001,2025,8h,5,15,10,2.0
1000PEPEUSDT,1759219200000,-1.0,0.0001,2025,8h,5,15,10,2.0
1000PEPEUSDT,1759564800000,-1.0,0.0001,2025,8h,5,15,10,2.0
1000PEPEUSDT,1759824000000,1.1447969513332459,0.00020436,2025,8h,5,15,10,2.0
1000PEPEUSDT,1761811200000,-0.19286007556584417,0.0001,2025,8h,5,15,10,2.0
1000PEPEUSDT,1763654400000,0.5862825501230812,0.0001,2025,8h,5,15,10,2.0
1000PEPEUSDT,1765526400000,0.5193651221203831,0.0001,2025,8h,5,15,10,2.0
1000PEPEUSDT,1769673600000,1.2160845101382909,0.0001,2026,8h,5,15,10,2.0
1000RATSUSDT,1718611200000,1.1670749248277466,0.00032194,2024,8h,5,15,10,2.0
1000RATSUSDT,1725868800000,-1.0,0.00024968,2024,8h,5,15,10,2.0
1000RATSUSDT,1726416000000,-1.0,0.00019788,2024,8h,5,15,10,2.0
1000RATSUSDT,1730361600000,0.9566691106991063,0.00021393,2024,8h,5,15,10,2.0
1000RATSUSDT,1734537600000,0.5395661001400609,0.00020838,2024,8h,5,15,10,2.0
1000RATSUSDT,1735171200000,-0.293307452331227,0.00021915,2024,8h,5,15,10,2.0
1000RATSUSDT,1735488000000,-0.3082995025214795,0.00026717,2024,8h,5,15,10,2.0
1000RATSUSDT,1736208000000,2.0968396036651553,0.00033735,2025,8h,5,15,10,2.0
1000RATSUSDT,1737216000000,1.6406187431134014,0.00053737,2025,8h,5,15,10,2.0
1000RATSUSDT,1746259200000,0.43090651683435083,0.00016372,2025,8h,5,15,10,2.0
1000RATSUSDT,1749657600000,-0.7130041858079981,0.00039211,2025,8h,5,15,10,2.0
1000RATSUSDT,1750521600000,-1.0,0.00043129,2025,8h,5,15,10,2.0
1000RATSUSDT,1754121600000,0.1268834157486808,0.00024115,2025,8h,5,15,10,2.0
1000RATSUSDT,1754928000000,-1.0,0.00067139,2025,8h,5,15,10,2.0
1000RATSUSDT,1755158400000,-1.0,0.0009032,2025,8h,5,15,10,2.0
1000RATSUSDT,1756425600000,-1.0,0.00018038,2025,8h,5,15,10,2.0
1000RATSUSDT,1779177600000,-1.0,0.00031686,2026,8h,5,15,10,2.0
1000RATSUSDT,1780531200000,1.1347668573206433,0.00054349,2026,8h,5,15,10,2.0
1000SATSUSDT,1712620800000,0.4274262558378238,0.00020208,2024,8h,5,15,10,2.0
1000SHIBUSDT,1660032000000,-1.0,0.0001,2022,8h,5,15,10,2.0
1000SHIBUSDT,1663516800000,0.2469290229688679,0.0001,2022,8h,5,15,10,2.0
1000SHIBUSDT,1664697600000,-1.0,0.0001,2022,8h,5,15,10,2.0
1000SHIBUSDT,1665129600000,0.38945213677757295,0.0001,2022,8h,5,15,10,2.0
1000SHIBUSDT,1665619200000,-1.0,0.0001,2022,8h,5,15,10,2.0
1000SHIBUSDT,1666080000000,0.4063419069287755,0.0001,2022,8h,5,15,10,2.0
1000SHIBUSDT,1670774400000,0.41873324119903277,0.0001,2022,8h,5,15,10,2.0
