tf,cb,ap,hb,am,n,avg_r,total_r,win_rate,pf,y2019_n,y2019_total,y2019_avg,y2020_n,y2020_total,y2020_avg,y2021_n,y2021_total,y2021_avg,y2022_n,y2022_total,y2022_avg,y2023_n,y2023_total,y2023_avg,y2024_n,y2024_total,y2024_avg,y2025_n,y2025_total,y2025_avg,y2026_n,y2026_total,y2026_avg,y2022_positive,r2025_share,flag_2025_conc
8h,15,20,15,2.0,1848,0.28875023878536377,533.6104412753523,0.5351731601731602,1.7850045433220791,0,0.0,,20,3.5178564598164783,0.17589282299082393,50,-9.752130072691074,-0.19504260145382146,516,93.84435395042141,0.18186890300469266,289,177.34142040869386,0.6136381329020549,274,115.75044250121265,0.42244687044238194,460,103.45026124897842,0.22489187228038787,239,49.458236778920664,0.20693822920050486,True,0.1938685101470799,False
8h,15,15,15,2.0,1521,0.2776996726576529,422.38120211229,0.5266272189349113,1.7290552344617531,0,0.0,,11,-0.3192218436243167,-0.02902016760221061,33,-6.691225019872011,-0.20276439454157608,462,71.70426483818426,0.15520403644628628,231,140.6318582748036,0.6087959232675481,207,92.96006313815516,0.4490824306191071,384,83.43169804968977,0.21727004700440045,193,40.663764674953555,0.21069308121737593,True,0.197527015010269,False
8h,15,25,15,2.0,2138,0.2611207189565739,558.276097129155,0.5332086061739943,1.7040742477940742,0,0.0,,25,1.3575370731333236,0.05430148292533295,62,-16.67419453462385,-0.26893862152619114,561,102.0831910498112,0.18196647245955652,340,187.26520085897482,0.5507800025263966,333,117.87925609837512,0.35399176005518057,544,111.60587818576062,0.20515786431205996,273,54.75922839772369,0.20058325420411607,True,0.19991161856951406,False
8h,15,20,20,2.0,1777,0.23409454490561762,415.98600629728253,0.5008441193021947,1.5571370196583487,0,0.0,,20,-0.11278915150724211,-0.005639457575362106,48,-8.372315535509413,-0.17442324032311277,493,77.64539991480352,0.15749574019229923,280,162.5838535706169,0.5806566198950603,271,56.11436874088635,0.20706409129478356,439,90.37936757643212,0.2058755525659046,226,37.74812118156032,0.1670270848741607,True,0.21726540366322541,False
8h,15,25,20,2.0,2054,0.22422676463522315,460.56177456074835,0.5024342745861733,1.5364574568899283,0,0.0,,25,-2.231939968286408,-0.08927759873145633,59,-15.746021039781407,-0.26688171253866794,533,91.72010303171957,0.17208274490003672,329,174.99751770101352,0.5319073486352994,328,57.77678665813139,0.1761487398113762,520,105.30122459640756,0.20250235499309147,260,48.74410358154411,0.18747732146747734,True,0.22863648355714392,False
8h,15,15,20,2.0,1471,0.2188611709532344,321.9447824722078,0.48810333106730114,1.5036547369761863,0,0.0,,11,-2.761132470184287,-0.2510120427440261,32,-7.079334938878755,-0.2212292168399611,447,54.29696649493469,0.12146972370231475,224,132.91420003504584,0.593366964442169,204,44.5772684400963,0.21851602176517793,365,67.06626245105386,0.18374318479740784,188,32.930552460140134,0.1751625130858518,True,0.2083160408317641,False
8h,10,20,15,2.0,2486,0.214074452699624,532.1890894112653,0.5120675784392599,1.5465644210601353,0,0.0,,33,1.2194121063194556,0.03695188200968047,74,-15.479281006356562,-0.20917947305887247,696,114.12669623176832,0.16397513826403495,392,173.06522881730854,0.44149293065639933,373,135.78715745071966,0.3640406365971037,602,87.42547687296461,0.14522504463947608,316,36.04439893854118,0.11406455360297842,True,0.1642752146040407,False
8h,10,15,15,2.0,2069,0.21330963344808368,441.3376316040851,0.5118414693088449,1.536481136655622,0,0.0,,22,-0.9969292303175377,-0.04531496501443353,52,-9.176553499716187,-0.17647218268684975,609,95.85138417014491,0.15739143541895717,315,146.0031789055735,0.46350215525578886,290,120.843541563967,0.41670186746195514,512,61.51269699680797,0.12014198632189056,269,27.30031269762549,0.10148815129228807,True,0.1393778653617957,False
8h,10,20,20,2.0,2348,0.20723679805301262,486.59200182847366,0.4833901192504259,1.471116477554975,0,0.0,,30,1.7747529830514328,0.05915843276838109,70,-12.397825994086421,-0.1771117999155203,654,117.31110106822774,0.17937477227557758,363,177.11393274151226,0.4879171700868106,365,101.12782586781552,0.2770625366241521,570,83.2571921843707,0.14606524944626437,296,18.405022977582426,0.06217913168102171,True,0.17110267302280754,False
8h,10,25,15,2.0,2834,0.2013443765680987,570.6099631939917,0.5141143260409315,1.5210593435329758,0,0.0,,40,-1.5316536788528383,-0.03829134197132096,93,-15.763745019673207,-0.169502634620142,757,117.08971561923539,0.15467597836094504,451,180.2569310128363,0.39968277386438206,434,154.65066844811503,0.35633794573298394,695,99.60450061070645,0.14331582821684383,364,36.30354620162454,0.09973501703743005,True,0.1745579415633927,False
