rsi_n,overbought,hold_bars,atr_mult,filter_mode,num_trades,win_rate,avg_r,pf,max_dd_r,total_r
7,70,10,2.0,ema200_price_below,1120,0.4562,-0.012,0.9751,63.47,-13.4
7,70,10,3.0,ema200_price_below,1022,0.5059,-0.0301,0.9185,52.61,-30.74
7,70,15,2.0,ema200_price_below,1081,0.4468,0.0549,1.1053,20.85,59.33
7,70,15,3.0,ema200_price_below,964,0.5145,0.0129,1.0316,33.67,12.44
7,70,20,2.0,ema200_price_below,1035,0.4048,0.0178,1.0311,40.01,18.39
7,70,20,3.0,ema200_price_below,922,0.4816,-0.0331,0.9293,61.72,-30.55
7,70,25,2.0,ema200_price_below,975,0.359,-0.0628,0.8986,91.29,-61.24
7,70,25,3.0,ema200_price_below,855,0.4409,-0.0838,0.834,93.23,-71.65
7,75,10,2.0,ema200_price_below,695,0.446,-0.027,0.9465,38.03,-18.76
7,75,10,3.0,ema200_price_below,629,0.4928,-0.0527,0.8668,43.85,-33.15
7,75,15,2.0,ema200_price_below,678,0.4277,0.0205,1.0377,22.94,13.92
7,75,15,3.0,ema200_price_below,609,0.4959,-0.0289,0.935,35.44,-17.59
7,75,20,2.0,ema200_price_below,666,0.3874,-0.0266,0.9555,39.08,-17.73
7,75,20,3.0,ema200_price_below,599,0.4558,-0.0856,0.8311,62.16,-51.3
7,75,25,2.0,ema200_price_below,638,0.3386,-0.1256,0.8054,86.21,-80.13
7,75,25,3.0,ema200_price_below,570,0.4035,-0.1673,0.7016,100.18,-95.35
7,80,10,2.0,ema200_price_below,376,0.4309,-0.0356,0.93,29.73,-13.39
7,80,10,3.0,ema200_price_below,351,0.4758,-0.0659,0.8337,32.37,-23.13
7,80,15,2.0,ema200_price_below,375,0.4053,-0.0065,0.9885,28.91,-2.45
7,80,15,3.0,ema200_price_below,346,0.4769,-0.0551,0.882,36.39,-19.06
7,80,20,2.0,ema200_price_below,374,0.3663,-0.0466,0.9243,45.16,-17.43
7,80,20,3.0,ema200_price_below,344,0.439,-0.0773,0.8513,45.71,-26.58
7,80,25,2.0,ema200_price_below,358,0.3073,-0.1799,0.7362,74.47,-64.42
7,80,25,3.0,ema200_price_below,327,0.3761,-0.1797,0.6894,67.11,-58.77
7,85,10,2.0,ema200_price_below,152,0.3816,-0.1756,0.6955,37.81,-26.69
7,85,10,3.0,ema200_price_below,149,0.443,-0.1452,0.6745,32.5,-21.64
7,85,15,2.0,ema200_price_below,152,0.3355,-0.1437,0.7753,38.57,-21.85
7,85,15,3.0,ema200_price_below,149,0.4094,-0.116,0.7707,31.4,-17.28
7,85,20,2.0,ema200_price_below,152,0.3092,-0.1877,0.7203,41.13,-28.53
7,85,20,3.0,ema200_price_below,149,0.396,-0.1643,0.7037,35.38,-24.48
7,85,25,2.0,ema200_price_below,145,0.269,-0.2417,0.6595,43.18,-35.05
7,85,25,3.0,ema200_price_below,141,0.3475,-0.22,0.6365,36.83,-31.03
10,70,10,2.0,ema200_price_below,576,0.4306,-0.0538,0.8939,54.17,-30.96
10,70,10,3.0,ema200_price_below,519,0.4875,-0.0465,0.8779,41.51,-24.13
10,70,15,2.0,ema200_price_below,565,0.4177,-0.0181,0.9674,35.2,-10.25
10,70,15,3.0,ema200_price_below,501,0.501,-0.0374,0.9144,32.34,-18.73
10,70,20,2.0,ema200_price_below,559,0.3721,-0.0435,0.928,46.59,-24.3
10,70,20,3.0,ema200_price_below,491,0.4664,-0.0509,0.8961,39.35,-24.97
