exit_time,trade_id,symbol,timeframe,side,pnl_R,equity_R,peak_R,dd_R
2024-04-02 00:00:00+00:00,154,LTC/USDT,1d,LONG,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,0.0
2024-04-02 00:00:00+00:00,237,APT/USDT,1d,LONG,-0.6997050237081973,-1.6997050237081974,-1.0000000000000002,-0.6997050237081972
2024-04-03 00:00:00+00:00,75,SUI/USDT,1d,LONG,-1.0,-2.6997050237081974,-1.0000000000000002,-1.6997050237081972
2024-04-03 00:00:00+00:00,100,DOGE/USDT,1d,LONG,-1.0000000000000002,-3.699705023708198,-1.0000000000000002,-2.699705023708198
2024-04-09 00:00:00+00:00,165,ICP/USDT,1d,LONG,-0.5127060123377224,-4.21241103604592,-1.0000000000000002,-3.2124110360459204
2024-04-12 00:00:00+00:00,11,ETH/USDT,1d,LONG,-0.9999999999999996,-5.2124110360459195,-1.0000000000000002,-4.2124110360459195
2024-04-12 00:00:00+00:00,230,CHZ/USDT,1d,LONG,-0.9999999999999999,-6.2124110360459195,-1.0000000000000002,-5.2124110360459195
2024-04-24 00:00:00+00:00,223,HBAR/USDT,1d,LONG,-1.0,-7.2124110360459195,-1.0000000000000002,-6.2124110360459195
2024-04-26 00:00:00+00:00,253,PENDLE/USDT,1d,LONG,1.62626620745543,-5.5861448285904896,-1.0000000000000002,-4.5861448285904896
2024-05-19 00:00:00+00:00,65,TRX/USDT,1d,LONG,-0.810916628281898,-6.397061456872388,-1.0000000000000002,-5.397061456872388
2024-05-23 00:00:00+00:00,116,ADA/USDT,1d,LONG,-1.0,-7.397061456872388,-1.0000000000000002,-6.397061456872388
2024-05-23 00:00:00+00:00,155,LTC/USDT,1d,LONG,-1.0000000000000007,-8.397061456872388,-1.0000000000000002,-7.397061456872388
2024-05-23 00:00:00+00:00,181,DOT/USDT,1d,LONG,-0.9999999999999997,-9.397061456872388,-1.0000000000000002,-8.397061456872388
2024-05-30 00:00:00+00:00,19,NEAR/USDT,1d,LONG,-0.640768588137009,-10.037830045009397,-1.0000000000000002,-9.037830045009397
2024-05-30 00:00:00+00:00,90,FET/USDT,1d,LONG,-1.0000000000000004,-11.037830045009397,-1.0000000000000002,-10.037830045009397
2024-05-30 00:00:00+00:00,144,AVAX/USDT,1d,LONG,-1.0000000000000007,-12.037830045009397,-1.0000000000000002,-11.037830045009397
2024-05-31 00:00:00+00:00,110,INJ/USDT,1d,LONG,-1.0000000000000002,-13.037830045009397,-1.0000000000000002,-12.037830045009397
2024-05-31 00:00:00+00:00,261,GRT/USDT,1d,LONG,-0.8150823461427331,-13.85291239115213,-1.0000000000000002,-12.85291239115213
2024-06-04 00:00:00+00:00,25,ZEC/USDT,1d,LONG,-0.9999999999999994,-14.85291239115213,-1.0000000000000002,-13.85291239115213
2024-06-07 00:00:00+00:00,12,ETH/USDT,1d,LONG,0.05417774117470886,-14.79873464997742,-1.0000000000000002,-13.79873464997742
2024-06-07 00:00:00+00:00,101,DOGE/USDT,1d,LONG,-1.0000000000000004,-15.79873464997742,-1.0000000000000002,-14.79873464997742
2024-06-07 00:00:00+00:00,123,TIA/USDT,1d,LONG,-1.0000000000000004,-16.798734649977423,-1.0000000000000002,-15.798734649977423
2024-06-07 00:00:00+00:00,125,LINK/USDT,1d,LONG,0.5189498983176196,-16.279784751659804,-1.0000000000000002,-15.279784751659804
2024-06-07 00:00:00+00:00,131,PEPE/USDT,1d,LONG,2.1061493411420202,-14.173635410517784,-1.0000000000000002,-13.173635410517784
2024-06-07 00:00:00+00:00,149,PHA/USDT,1d,LONG,-0.9999999999999996,-15.173635410517784,-1.0000000000000002,-14.173635410517784
2024-06-07 00:00:00+00:00,196,AAVE/USDT,1d,LONG,-0.05897472511780697,-15.232610135635591,-1.0000000000000002,-14.232610135635591
2024-06-07 00:00:00+00:00,231,CHZ/USDT,1d,LONG,-1.0000000000000002,-16.232610135635593,-1.0000000000000002,-15.232610135635593
2024-06-07 00:00:00+00:00,254,PENDLE/USDT,1d,LONG,-1.0000000000000002,-17.232610135635593,-1.0000000000000002,-16.232610135635593
2024-06-11 00:00:00+00:00,34,SOL/USDT,1d,LONG,-0.5172236503856046,-17.7498337860212,-1.0000000000000002,-16.7498337860212
2024-06-11 00:00:00+00:00,186,UNI/USDT,1d,LONG,-0.34347399411187407,-18.093307780133074,-1.0000000000000002,-17.093307780133074
2024-06-14 00:00:00+00:00,1,BTC/USDT,1d,LONG,-0.03130413390024854,-18.124611914033324,-1.0000000000000002,-17.124611914033324
2024-06-14 00:00:00+00:00,274,ORDI/USDT,1d,LONG,-0.44544431946006763,-18.570056233493393,-1.0000000000000002,-17.570056233493393
2024-06-15 00:00:00+00:00,111,INJ/USDT,1d,LONG,-0.9999999999999999,-19.570056233493393,-1.0000000000000002,-18.570056233493393
2024-06-18 00:00:00+00:00,47,BNB/USDT,1d,LONG,-0.9999999999999988,-20.570056233493393,-1.0000000000000002,-19.570056233493393
2024-06-18 00:00:00+00:00,187,UNI/USDT,1d,LONG,-0.9999999999999998,-21.570056233493393,-1.0000000000000002,-20.570056233493393
2024-07-03 00:00:00+00:00,197,AAVE/USDT,1d,LONG,-1.0000000000000004,-22.570056233493393,-1.0000000000000002,-21.570056233493393
2024-07-22 00:00:00+00:00,66,TRX/USDT,1d,LONG,3.1492154979186684,-19.420840735574725,-1.0000000000000002,-18.420840735574725
2024-07-23 00:00:00+00:00,270,JTO/USDT,1d,LONG,-1.0,-20.420840735574725,-1.0000000000000002,-19.420840735574725
2024-07-24 00:00:00+00:00,198,AAVE/USDT,1d,LONG,-0.9999999999999997,-21.420840735574725,-1.0000000000000002,-20.420840735574725
2024-07-25 00:00:00+00:00,112,INJ/USDT,1d,LONG,-1.0000000000000002,-22.420840735574725,-1.0000000000000002,-21.420840735574725
2024-07-29 00:00:00+00:00,166,ICP/USDT,1d,LONG,-1.0000000000000004,-23.420840735574725,-1.0000000000000002,-22.420840735574725
2024-07-31 00:00:00+00:00,20,NEAR/USDT,1d,LONG,-1.0000000000000004,-24.420840735574725,-1.0000000000000002,-23.420840735574725
2024-08-01 00:00:00+00:00,102,DOGE/USDT,1d,LONG,-1.0000000000000002,-25.420840735574725,-1.0000000000000002,-24.420840735574725
2024-08-02 00:00:00+00:00,2,BTC/USDT,1d,LONG,-0.5818990942692366,-26.00273982984396,-1.0000000000000002,-25.00273982984396
2024-08-02 00:00:00+00:00,35,SOL/USDT,1d,LONG,-0.3050098879367164,-26.307749717780677,-1.0000000000000002,-25.307749717780677
2024-08-02 00:00:00+00:00,48,BNB/USDT,1d,LONG,-0.930018416206261,-27.23776813398694,-1.0000000000000002,-26.23776813398694
2024-08-02 00:00:00+00:00,57,XRP/USDT,1d,LONG,-0.2627648839556012,-27.50053301794254,-1.0000000000000002,-26.50053301794254
2024-08-02 00:00:00+00:00,271,JTO/USDT,1d,LONG,-0.9999999999999998,-28.50053301794254,-1.0000000000000002,-27.50053301794254
2024-08-05 00:00:00+00:00,199,AAVE/USDT,1d,LONG,-0.9999999999999997,-29.50053301794254,-1.0000000000000002,-28.50053301794254
2024-08-16 00:00:00+00:00,76,SUI/USDT,1d,LONG,-1.0,-30.50053301794254,-1.0000000000000002,-29.50053301794254
2024-08-26 00:00:00+00:00,26,ZEC/USDT,1d,LONG,2.3530006743088343,-28.147532343633706,-1.0000000000000002,-27.147532343633706
2024-08-27 00:00:00+00:00,3,BTC/USDT,1d,LONG,-1.0000000000000002,-29.147532343633706,-1.0000000000000002,-28.147532343633706
2024-08-27 00:00:00+00:00,49,BNB/USDT,1d,LONG,-1.0000000000000002,-30.147532343633706,-1.0000000000000002,-29.147532343633706
2024-08-27 00:00:00+00:00,132,PEPE/USDT,1d,LONG,-1.0000000000000002,-31.147532343633706,-1.0000000000000002,-30.147532343633706
2024-09-03 00:00:00+00:00,67,TRX/USDT,1d,LONG,1.1478060046189382,-29.999726339014767,-1.0000000000000002,-28.999726339014767
2024-10-01 00:00:00+00:00,4,BTC/USDT,1d,LONG,-0.20404175245449932,-30.203768091469268,-1.0000000000000002,-29.203768091469268
2024-10-01 00:00:00+00:00,50,BNB/USDT,1d,LONG,-0.45859660791486595,-30.662364699384135,-1.0000000000000002,-29.662364699384135
2024-10-01 00:00:00+00:00,91,FET/USDT,1d,LONG,0.1600537995965032,-30.50231089978763,-1.0000000000000002,-29.50231089978763
2024-10-01 00:00:00+00:00,103,DOGE/USDT,1d,LONG,-0.9999999999999996,-31.50231089978763,-1.0000000000000002,-30.50231089978763
2024-10-01 00:00:00+00:00,145,AVAX/USDT,1d,LONG,-0.9999999999999999,-32.50231089978763,-1.0000000000000002,-31.50231089978763
2024-10-01 00:00:00+00:00,167,ICP/USDT,1d,LONG,-0.9999999999999998,-33.50231089978763,-1.0000000000000002,-32.50231089978763
2024-10-01 00:00:00+00:00,188,UNI/USDT,1d,LONG,-0.9999999999999998,-34.50231089978763,-1.0000000000000002,-33.50231089978763
2024-10-01 00:00:00+00:00,200,AAVE/USDT,1d,LONG,1.5995719178082188,-32.90273898197941,-1.0000000000000002,-31.90273898197941
2024-10-01 00:00:00+00:00,238,APT/USDT,1d,LONG,-1.0000000000000002,-33.90273898197941,-1.0000000000000002,-32.90273898197941
2024-10-01 00:00:00+00:00,275,ORDI/USDT,1d,LONG,-1.0000000000000002,-34.90273898197941,-1.0000000000000002,-33.90273898197941
2024-10-02 00:00:00+00:00,21,NEAR/USDT,1d,LONG,-0.9999999999999998,-35.90273898197941,-1.0000000000000002,-34.90273898197941
2024-10-02 00:00:00+00:00,36,SOL/USDT,1d,LONG,-0.192823744663548,-36.09556272664296,-1.0000000000000002,-35.09556272664296
2024-10-02 00:00:00+00:00,58,XRP/USDT,1d,LONG,-1.000000000000001,-37.09556272664296,-1.0000000000000002,-36.09556272664296
2024-10-19 00:00:00+00:00,68,TRX/USDT,1d,LONG,0.3790613718411555,-36.71650135480181,-1.0000000000000002,-35.71650135480181
2024-10-22 00:00:00+00:00,77,SUI/USDT,1d,LONG,5.3491386965015115,-31.367362658300294,-1.0000000000000002,-30.367362658300294
2024-10-22 00:00:00+00:00,232,CHZ/USDT,1d,LONG,-1.0000000000000002,-32.367362658300294,-1.0000000000000002,-31.367362658300294
2024-10-23 00:00:00+00:00,156,LTC/USDT,1d,LONG,-0.9999999999999997,-33.367362658300294,-1.0000000000000002,-32.367362658300294
2024-10-25 00:00:00+00:00,133,PEPE/USDT,1d,LONG,0.16645807259073833,-33.20090458570956,-1.0000000000000002,-32.20090458570956
2024-10-25 00:00:00+00:00,217,SEI/USDT,1d,LONG,-0.9999999999999998,-34.20090458570956,-1.0000000000000002,-33.20090458570956
2024-10-25 00:00:00+00:00,239,APT/USDT,1d,LONG,-0.10096153846153869,-34.3018661241711,-1.0000000000000002,-33.3018661241711
2024-10-25 00:00:00+00:00,245,ARKM/USDT,1d,LONG,-0.9999999999999997,-35.3018661241711,-1.0000000000000002,-34.3018661241711
2024-11-03 00:00:00+00:00,189,UNI/USDT,1d,LONG,-0.9999999999999998,-36.3018661241711,-1.0000000000000002,-35.3018661241711
2024-11-05 00:00:00+00:00,69,TRX/USDT,1d,LONG,-0.8346883468834648,-37.136554471054566,-1.0000000000000002,-36.136554471054566
2024-11-12 00:00:00+00:00,82,TAO/USDT,1d,LONG,-0.9999999999999999,-38.136554471054566,-1.0000000000000002,-37.136554471054566
2024-11-12 00:00:00+00:00,157,LTC/USDT,1d,LONG,-1.0000000000000002,-39.136554471054566,-1.0000000000000002,-38.136554471054566
2024-11-12 00:00:00+00:00,240,APT/USDT,1d,LONG,-1.0,-40.136554471054566,-1.0000000000000002,-39.136554471054566
2024-11-13 00:00:00+00:00,70,TRX/USDT,1d,LONG,-1.0000000000000009,-41.136554471054566,-1.0000000000000002,-40.136554471054566
2024-11-13 00:00:00+00:00,92,FET/USDT,1d,LONG,-1.0000000000000002,-42.136554471054566,-1.0000000000000002,-41.136554471054566
2024-11-13 00:00:00+00:00,262,GRT/USDT,1d,LONG,-1.0000000000000002,-43.136554471054566,-1.0000000000000002,-42.136554471054566
2024-11-14 00:00:00+00:00,168,ICP/USDT,1d,LONG,-1.0000000000000002,-44.136554471054566,-1.0000000000000002,-43.136554471054566
2024-11-14 00:00:00+00:00,182,DOT/USDT,1d,LONG,-1.0000000000000007,-45.136554471054566,-1.0000000000000002,-44.136554471054566
2024-11-15 00:00:00+00:00,190,UNI/USDT,1d,LONG,-1.0000000000000002,-46.136554471054566,-1.0000000000000002,-45.136554471054566
2024-11-15 00:00:00+00:00,201,AAVE/USDT,1d,LONG,-0.9999999999999997,-47.136554471054566,-1.0000000000000002,-46.136554471054566
2024-11-20 00:00:00+00:00,140,ENA/USDT,1d,LONG,0.3199152542372887,-46.81663921681728,-1.0000000000000002,-45.81663921681728
2024-11-20 00:00:00+00:00,158,LTC/USDT,1d,LONG,-0.9999999999999998,-47.81663921681728,-1.0000000000000002,-46.81663921681728
2024-11-20 00:00:00+00:00,255,PENDLE/USDT,1d,LONG,1.3367419738406656,-46.47989724297661,-1.0000000000000002,-45.47989724297661
2024-11-20 00:00:00+00:00,276,ORDI/USDT,1d,LONG,-0.7191780821917801,-47.199075325168394,-1.0000000000000002,-46.199075325168394
2024-12-02 00:00:00+00:00,83,TAO/USDT,1d,LONG,-0.9999999999999999,-48.199075325168394,-1.0000000000000002,-47.199075325168394
2024-12-09 00:00:00+00:00,113,INJ/USDT,1d,LONG,1.3783403656821374,-46.82073495948626,-1.0000000000000002,-45.82073495948626
2024-12-09 00:00:00+00:00,117,ADA/USDT,1d,LONG,13.96024056130973,-32.86049439817653,-1.0000000000000002,-31.860494398176527
2024-12-09 00:00:00+00:00,124,TIA/USDT,1d,LONG,-0.33371087314662284,-33.19420527132315,-1.0000000000000002,-32.19420527132315
2024-12-09 00:00:00+00:00,218,SEI/USDT,1d,LONG,1.4580863674851818,-31.736118903837966,-1.0000000000000002,-30.736118903837966
2024-12-09 00:00:00+00:00,229,ALT/USDT,1d,LONG,-1.0000000000000002,-32.73611890383797,-1.0000000000000002,-31.73611890383797
2024-12-09 00:00:00+00:00,241,APT/USDT,1d,LONG,-1.0000000000000004,-33.73611890383797,-1.0000000000000002,-32.73611890383797
2024-12-09 00:00:00+00:00,246,ARKM/USDT,1d,LONG,-1.0000000000000002,-34.73611890383797,-1.0000000000000002,-33.73611890383797
2024-12-09 00:00:00+00:00,256,PENDLE/USDT,1d,LONG,-1.0000000000000002,-35.73611890383797,-1.0000000000000002,-34.73611890383797
2024-12-09 00:00:00+00:00,277,ORDI/USDT,1d,LONG,-1.0,-36.73611890383797,-1.0000000000000002,-35.73611890383797
2024-12-18 00:00:00+00:00,22,NEAR/USDT,1d,LONG,0.17687487366080448,-36.55924403017716,-1.0000000000000002,-35.55924403017716
2024-12-18 00:00:00+00:00,43,WLD/USDT,1d,LONG,-0.9999999999999998,-37.55924403017716,-1.0000000000000002,-36.55924403017716
2024-12-18 00:00:00+00:00,93,FET/USDT,1d,LONG,-0.8345498783454992,-38.39379390852266,-1.0000000000000002,-37.39379390852266
2024-12-18 00:00:00+00:00,104,DOGE/USDT,1d,LONG,16.14564423578508,-22.24814967273758,-1.0000000000000002,-21.24814967273758
2024-12-18 00:00:00+00:00,134,PEPE/USDT,1d,LONG,4.9647058823529395,-17.283443790384638,-1.0000000000000002,-16.283443790384638
2024-12-18 00:00:00+00:00,150,PHA/USDT,1d,LONG,-0.7357446808510638,-18.0191884712357,-1.0000000000000002,-17.0191884712357
2024-12-18 00:00:00+00:00,210,DASH/USDT,1d,LONG,6.3524011299435,-11.666787341292201,-1.0000000000000002,-10.666787341292201
2024-12-18 00:00:00+00:00,264,BCH/USDT,1d,LONG,1.6649842271293376,-10.001803114162863,-1.0000000000000002,-9.001803114162863
2024-12-18 00:00:00+00:00,272,JTO/USDT,1d,LONG,0.3300438596491232,-9.67175925451374,-1.0000000000000002,-8.67175925451374
2024-12-19 00:00:00+00:00,13,ETH/USDT,1d,LONG,1.9369279988115655,-7.734831255702174,-1.0000000000000002,-6.734831255702174
2024-12-19 00:00:00+00:00,27,ZEC/USDT,1d,LONG,3.4831150930392827,-4.251716162662891,-1.0000000000000002,-3.251716162662891
2024-12-19 00:00:00+00:00,37,SOL/USDT,1d,LONG,1.8781875444478318,-2.3735286182150594,-1.0000000000000002,-1.3735286182150592
2024-12-19 00:00:00+00:00,146,AVAX/USDT,1d,LONG,2.747451343836886,0.3739227256218265,0.3739227256218265,0.0
2024-12-19 00:00:00+00:00,159,LTC/USDT,1d,LONG,-0.007580445544554484,0.366342280077272,0.3739227256218265,-0.007580445544554504
2024-12-19 00:00:00+00:00,169,ICP/USDT,1d,LONG,-0.5717304189435339,-0.20538813886626195,0.3739227256218265,-0.5793108644880884
2024-12-19 00:00:00+00:00,175,FIL/USDT,1d,LONG,0.479393939393939,0.27400580052767703,0.3739227256218265,-0.09991692509414946
2024-12-19 00:00:00+00:00,183,DOT/USDT,1d,LONG,0.24761146496815278,0.5216172654958298,0.5216172654958298,0.0
2024-12-19 00:00:00+00:00,191,UNI/USDT,1d,LONG,-0.3440518400782486,0.17756542541758114,0.5216172654958298,-0.3440518400782486
2024-12-19 00:00:00+00:00,233,CHZ/USDT,1d,LONG,0.9778067885117497,1.155372213929331,1.155372213929331,0.0
2024-12-19 00:00:00+00:00,247,ARB/USDT,1d,LONG,0.008871186747533696,1.1642434006768647,1.1642434006768647,0.0
2024-12-19 00:00:00+00:00,250,ATOM/USDT,1d,LONG,0.7777777777777775,1.9420211784546422,1.9420211784546422,0.0
2024-12-19 00:00:00+00:00,263,GRT/USDT,1d,LONG,-0.20420974889217117,1.737811429562471,1.9420211784546422,-0.20420974889217125
2024-12-31 00:00:00+00:00,126,LINK/USDT,1d,LONG,4.791512915129154,6.5293243446916245,6.5293243446916245,0.0
2025-01-08 00:00:00+00:00,202,AAVE/USDT,1d,LONG,2.3518931861531596,8.881217530844784,8.881217530844784,0.0
2025-01-09 00:00:00+00:00,71,TRX/USDT,1d,LONG,2.4117140396210175,11.292931570465802,11.292931570465802,0.0
2025-01-13 00:00:00+00:00,141,ENA/USDT,1d,LONG,0.04457861219088602,11.337510182656688,11.337510182656688,0.0
2025-01-13 00:00:00+00:00,151,PHA/USDT,1d,LONG,1.6443396226415101,12.981849805298198,12.981849805298198,0.0
2025-01-13 00:00:00+00:00,177,POND/USDT,1d,LONG,0.06992230854606069,13.051772113844258,13.051772113844258,0.0
2025-01-19 00:00:00+00:00,105,DOGE/USDT,1d,LONG,-1.0000000000000004,12.051772113844258,13.051772113844258,-1.0
2025-01-19 00:00:00+00:00,265,BCH/USDT,1d,LONG,-0.9999999999999999,11.051772113844258,13.051772113844258,-2.0
2025-01-20 00:00:00+00:00,38,SOL/USDT,1d,LONG,-0.9999999999999996,10.051772113844258,13.051772113844258,-3.0
2025-01-25 00:00:00+00:00,78,SUI/USDT,1d,LONG,4.521385361021688,14.573157474865946,14.573157474865946,0.0
2025-01-26 00:00:00+00:00,51,BNB/USDT,1d,LONG,1.0278828302276022,15.601040305093548,15.601040305093548,0.0
