trade_id,symbol,timeframe,side,filter_mode,entry_time,exit_time,entry_price,exit_price,initial_stop,exit_reason,bars_held,risk_per_unit,pnl_R,pnl_pct_on_price,mae_R,mfe_R,donchian_entry,donchian_exit,atr_mult,ema_slope_n,ema_slope_lb,filter_param
154,LTC/USDT,1d,LONG,ema200_price,2024-03-29 00:00:00+00:00,2024-04-02 00:00:00+00:00,109.06,94.65142857142857,94.65142857142857,initial_stop,4,14.408571428571433,-1.0000000000000002,-13.211600429645543,-1.1076740035693042,0.25956771762839537,20,10,2.0,50,10,EMA200_PRICE
237,APT/USDT,1d,LONG,ema200_price,2024-03-25 00:00:00+00:00,2024-04-02 00:00:00+00:00,17.3341,14.7011,13.571085714285715,donchian_exit,8,3.763014285714285,-0.6997050237081973,-15.18971276270472,-0.7148790293495715,0.5400723584056853,20,10,2.0,50,10,EMA200_PRICE
75,SUI/USDT,1d,LONG,ema200_price,2024-03-27 00:00:00+00:00,2024-04-03 00:00:00+00:00,2.0754,1.6684,1.6684,initial_stop,7,0.40700000000000003,-1.0,-19.61067745976679,-1.078869778869779,0.2262899262899259,20,10,2.0,50,10,EMA200_PRICE
100,DOGE/USDT,1d,LONG,ema200_price,2024-03-28 00:00:00+00:00,2024-04-03 00:00:00+00:00,0.22001,0.17655142857142858,0.17655142857142858,initial_stop,6,0.04345857142857142,-1.0000000000000002,-19.752998240339725,-1.1502909174583351,0.11344137273593877,20,10,2.0,50,10,EMA200_PRICE
165,ICP/USDT,1d,LONG,ema200_price,2024-03-25 00:00:00+00:00,2024-04-09 00:00:00+00:00,17.655,16.064,14.551857142857143,donchian_exit,15,3.1031428571428576,-0.5127060123377224,-9.011611441517985,-0.5526655004143269,1.0731056072184875,20,10,2.0,50,10,EMA200_PRICE
11,ETH/USDT,1d,LONG,ema200_price,2024-04-08 00:00:00+00:00,2024-04-12 00:00:00+00:00,3694.61,3349.7885714285717,3349.7885714285717,initial_stop,4,344.8214285714286,-0.9999999999999996,-9.333094117415053,-1.724399792853444,0.09491869497669606,20,10,2.0,50,10,EMA200_PRICE
230,CHZ/USDT,1d,LONG,ema200_price,2024-04-08 00:00:00+00:00,2024-04-12 00:00:00+00:00,0.15791,0.13691142857142857,0.13691142857142857,initial_stop,4,0.020998571428571425,-0.9999999999999999,-13.297809783149528,-2.353017212055242,0.221919858493775,20,10,2.0,50,10,EMA200_PRICE
223,HBAR/USDT,1d,LONG,ema200_price,2024-04-23 00:00:00+00:00,2024-04-24 00:00:00+00:00,0.1563,0.12915714285714286,0.12915714285714286,initial_stop,1,0.027142857142857135,-1.0,-17.365871492550955,-1.422105263157895,0.9357894736842111,20,10,2.0,50,10,EMA200_PRICE
253,PENDLE/USDT,1d,LONG,ema200_price,2024-03-25 00:00:00+00:00,2024-04-26 00:00:00+00:00,4.0049,5.381,3.158728571428572,donchian_exit,32,0.8461714285714284,1.62626620745543,34.36040849958801,-0.19322325769854135,4.175040518638575,20,10,2.0,50,10,EMA200_PRICE
65,TRX/USDT,1d,LONG,ema200_price,2024-05-09 00:00:00+00:00,2024-05-19 00:00:00+00:00,0.1262,0.12117,0.11999714285714286,donchian_exit,10,0.006202857142857149,-0.810916628281898,-3.98573692551506,-0.9140948871487798,0.23698756333486834,20,10,2.0,50,10,EMA200_PRICE
