symbol,timeframe,trades,total_R,avg_R,median_R,win_rate_pct,profit_factor,max_dd_R_local,best_trade_R,worst_trade_R,avg_bars_held,avg_mfe_R,avg_mae_R
币安人生/USDT,4h,4,72.49706088928471,18.124265222321178,-0.94769048559021,25.0,26.038867634654768,-1.0000000000000002,75.39244186046513,-1.0000000000000002,34.5,26.192961838322084,-0.9074982894400707
TON/USDT,2h,8,62.9270964998565,7.865887062482063,-0.059361404026247955,50.0,19.97227292204831,-2.118722808052502,62.58823529411766,-1.0000000000000038,27.25,12.822777020281142,-0.6492706116387645
OSMO/USDT,2h,10,37.8606442577029,3.7860644257702902,-0.8571428571428559,30.0,7.09251746675678,-2.9285714285714404,41.03921568627434,-1.0000000000000027,18.9,14.25916199813253,-1.0665327448808992
TON/USDT,4h,11,35.948690947600724,3.2680628134182474,-0.5759493670886092,36.36363636363637,7.428672007984205,-3.575949367088608,38.81481481481481,-1.000000000000001,17.545454545454547,6.39150691660522,-0.603422352003565
RENDER/USDT,4h,9,25.799062029149628,2.866562447683292,-0.5575221238938057,44.44444444444444,6.84960258884212,-2.0,23.342105263157816,-1.0000000000000009,24.11111111111111,5.352026409866455,-0.7213471077003949
SAHARA/USDT,2h,9,24.41622012183948,2.712913346871053,-0.22093487814622423,44.44444444444444,8.157406823938407,-2.6360593738208165,25.334862385321067,-1.0,28.88888888888889,6.736936685655839,-0.6908131303997336
SAHARA/USDT,4h,8,20.681384374124477,2.5851730467655596,-0.9999999999999989,25.0,4.495274902995306,-2.91695501730104,18.214532871972306,-1.0000000000000018,19.5,5.813614121674834,-1.0249626424220062
DOGS/USDT,4h,8,19.301168301517386,2.4126460376896732,-0.8465346534653468,25.0,4.652329477786076,-4.284618602705343,24.468468468468537,-1.0000000000000007,15.75,7.00202511131142,-1.0827089188582393
ONDO/USDT,2h,14,18.75669350599926,1.33976382185709,-0.9999999999999981,21.428571428571427,2.8871217739388495,-6.447010197704372,26.203703703703628,-1.0000000000000038,17.214285714285715,3.8678003933669345,-0.9990040015529322
ZEC/USDT,2h,12,18.087867141847795,1.5073222618206497,-0.44374023121928585,33.33333333333333,4.063207479879357,-2.765488565488565,13.368454729657662,-1.0000000000000009,24.833333333333332,3.5474019700187522,-0.7586956382979521
DOGS/USDT,2h,11,17.54405323653959,1.5949139305945081,-0.9999999999999973,27.27272727272727,3.3708180049377816,-2.931578947368421,20.43999999999997,-1.0000000000000024,21.0,6.273623646104204,-1.0712612383419606
BIO/USDT,2h,9,17.27019185529825,1.91891020614425,-0.8255528255528254,33.33333333333333,4.242891850106757,-2.0,18.20000000000001,-1.0000000000000007,17.333333333333332,5.749413961344789,-0.7918985457298738
LUNC/USDT,2h,10,17.09485815884585,1.709485815884585,0.9097391551522716,70.0,7.767748928782686,-1.5259297203155422,7.927063339731279,-0.999999999999999,27.7,5.129324988304838,-0.6069262326648586
LUNC/USDT,4h,13,17.01476856964525,1.308828351511173,-0.7597374179431067,30.76923076923077,3.1446067091693317,-3.4156769596199545,15.53296089385474,-1.0000000000000007,17.153846153846153,5.1892204116726806,-0.8328608739767898
ZEC/USDT,4h,10,15.056883832621164,1.5056883832621164,-0.5063169830811844,30.0,4.012605534142339,-3.1659925860850513,10.44846123880016,-1.0000000000000004,22.4,3.5422736066663747,-0.6921736340340239
DASH/USDT,2h,8,12.186636281205008,1.523329535150626,-0.19428191077675455,25.0,4.469831210041143,-2.3885638215535128,11.18925831202044,-1.0000000000000036,23.5,4.27352745841442,-0.5722918748153
PENDLE/USDT,2h,9,11.941254479989443,1.3268060533321604,-0.22303921568627286,44.44444444444444,4.180361378595613,-2.0000000000000036,9.063318777292585,-1.0000000000000029,29.555555555555557,3.5227700429381312,-0.6543853838474765
币安人生/USDT,2h,10,11.821600544032659,1.182160054403266,-0.6402511961722492,30.0,3.2290521570616475,-2.000000000000002,11.383838383838388,-1.0000000000000013,25.5,4.036725575729964,-0.8464857474566566
BIO/USDT,4h,8,10.915572405937365,1.3644465507421706,-0.7967836257309934,37.5,3.3762735600449276,-2.9999999999999982,8.56470588235294,-1.0,19.625,5.396693271421032,-1.0494488335629732
ICP/USDT,2h,10,10.841164394011495,1.0841164394011495,-0.4834513362968899,30.0,3.044938815822644,-5.301461496123188,15.181434599156157,-1.0000000000000016,18.3,3.6684888766045702,-0.7190769886915171
ZBT/USDT,2h,9,10.702594481797062,1.189177164644118,-0.48461538461538417,22.22222222222222,3.099289205271188,-1.809529730327144,9.178571428571418,-0.9999999999999997,22.77777777777778,4.488590580508656,-0.8129968634046943
SPK/USDT,2h,11,9.960950890937026,0.9055409900851842,-0.361549497847919,45.45454545454545,2.8578492831102786,-3.3615494978479186,7.891746979774675,-1.000000000000001,18.636363636363637,3.9235185963366663,-0.8480902768375489
TRX/USDT,2h,16,8.808413375851794,0.5505258359907371,-0.24815267175573108,25.0,2.268327383257583,-2.791620478451508,11.479999999999919,-1.0000000000000109,24.375,2.6947878025971432,-0.694156022202113
NOT/USDT,2h,16,8.565215984510688,0.535325999031918,-0.9999999999999987,18.75,1.786999268821436,-8.372284015489331,17.937500000000018,-1.0000000000000004,14.0625,2.704143228275199,-1.0957308563053159
ONDO/USDT,4h,9,8.003075341367724,0.8892305934853026,-0.5584045584045596,33.33333333333333,2.692726390370637,-4.1695156695156665,11.0817694369973,-1.0000000000000018,20.333333333333332,3.4424738050120482,-0.7970158580263242
FET/USDT,4h,9,7.913313120643137,0.879257013404793,-0.97493036211699,33.33333333333333,2.3730305447125324,-3.0000000000000004,7.5289982425307524,-1.0000000000000013,19.0,2.879277742484108,-0.7687858471325355
NOT/USDT,4h,10,7.699212906296752,0.7699212906296752,-0.41596343178621764,30.0,2.54911098717678,-4.1381578947368425,10.038759689922482,-1.000000000000001,24.0,4.604208878815867,-0.8143820970614752
SUI/USDT,4h,10,7.444153744527292,0.7444153744527292,-1.0,30.0,2.207420940940597,-3.080435372480161,7.863462356444071,-1.0000000000000009,18.8,2.930433450674145,-0.8442186586139686
ZBT/USDT,4h,7,7.319081364538507,1.0455830520769296,-0.9999999999999997,42.857142857142854,2.829770341134626,-2.0000000000000004,5.625706214689265,-1.0000000000000002,16.285714285714285,4.219219137896941,-0.7632536963078849
VIRTUAL/USDT,4h,11,7.168234725499539,0.6516577023181399,-1.0000000000000004,18.181818181818183,1.9128582505326537,-6.852516774994218,8.659984871406953,-1.000000000000002,14.909090909090908,2.552387106814145,-1.0223610098973348
FF/USDT,2h,10,7.01232536862561,0.7012325368625609,-0.9999999999999956,30.0,2.0017607669465174,-4.9999999999999885,9.525899912203702,-1.000000000000003,16.0,8.049945417130422,-1.0561433292163487
PEPE/USDT,4h,12,6.932228692020985,0.577685724335082,-0.9999999999999996,25.0,1.7790570285413934,-6.759999999999998,13.827868852459003,-1.0000000000000007,21.583333333333332,2.3550746149337356,-1.0672764795867706
FET/USDT,2h,9,6.307886366417195,0.7008762629352439,-0.5704845814977962,44.44444444444444,2.3801351375197153,-3.5704845814977926,4.908045977011492,-1.000000000000001,23.88888888888889,2.7620292601196303,-0.940744056983094
ICP/USDT,4h,8,5.994895660334625,0.7493619575418281,0.04853595100260033,75.0,3.9974478301673155,-1.954022988505745,6.057873485868102,-1.0000000000000009,22.875,3.450411445810644,-0.722001662703829
DASH/USDT,4h,9,5.793908519640057,0.6437676132933396,-0.1209914121100122,33.33333333333333,2.366795075363545,-4.239046967665561,6.79207920792078,-1.0000000000000004,15.555555555555555,2.793330324798041,-0.7875119723320041
VIC/USDT,4h,4,4.833647835829716,1.208411958957429,-0.72661870503597,25.0,2.9703139272150474,-1.4532374100719416,7.286885245901656,-1.0,37.25,6.672487755235279,-0.8826533695038352
TIA/USDT,4h,5,4.719483629994958,0.9438967259989915,0.45977011494252906,60.0,3.9196360815312388,-1.1566928613335306,4.38742393509127,-1.0,22.8,3.2047013068231798,-0.6257958066585763
INJ/USDT,2h,12,4.540310042998875,0.3783591702499063,-0.057784076119965756,50.0,1.9148676316948545,-4.0,3.5411764705882343,-1.000000000000002,20.0,2.747212687148743,-0.7400179099025163
PENDLE/USDT,4h,10,4.351479621466113,0.4351479621466113,-0.826086956521739,30.0,1.7234319748781581,-4.015050167224081,4.931343283582089,-1.0000000000000004,16.6,2.16782386096319,-0.8476958540761584
VIC/USDT,2h,7,4.231469043968251,0.6044955777097502,-0.8310502283105016,42.857142857142854,2.104519333288495,-2.8310502283105015,3.246376811594202,-1.0000000000000007,17.714285714285715,10.2561035186813,-0.6972458080179126
TAO/USDT,2h,13,3.8798465310813226,0.29844973316010176,-0.7902097902097891,23.076923076923077,1.4639925244332703,-4.454495504495501,6.078947368421058,-1.0000000000000022,20.76923076923077,2.1167461120598117,-0.8760505450525784
RENDER/USDT,2h,12,3.829251187023368,0.31910426558528066,-0.7586956521739132,33.33333333333333,1.5520588127934012,-4.130905122837946,5.669833729216154,-1.0,23.75,2.0709978396293534,-0.8550017918691912
UNI/USDT,2h,13,3.6590922570523237,0.28146863515787107,-0.999999999999998,23.076923076923077,1.4489507510936892,-5.803951221208565,8.953846153846175,-1.000000000000002,18.153846153846153,2.2553193092481516,-0.9054646157683417
JTO/USDT,4h,13,3.512425140993678,0.270186549307206,-0.5389121338912127,46.15384615384615,1.5525322533395975,-4.725811930185712,3.1436651583710384,-1.0,18.76923076923077,2.554271720507248,-0.7525983535766462
VIRTUAL/USDT,2h,12,3.3826972025524444,0.281891433546037,-0.9999999999999987,25.0,1.417112443856176,-6.138189412963332,10.520886615515776,-1.0000000000000016,18.666666666666668,2.365301686806466,-1.0083190260547756
ENA/USDT,2h,11,3.30636980804757,0.30057907345886997,-0.348659003831417,36.36363636363637,1.640832742354967,-1.7461036773026017,3.984276729559752,-1.0,24.0,2.534298832114213,-0.7439224647198652
SPK/USDT,4h,11,2.947826599808094,0.26798423634619034,-0.9999999999999988,18.181818181818183,1.388468455662615,-5.588329391584581,10.015648790390797,-1.000000000000001,16.0,3.317704319671154,-0.9627270468997495
XRP/USDT,4h,7,2.9437365603697456,0.4205337943385351,-0.7303719008264428,42.857142857142854,1.7891268320237932,-2.7303719008264418,5.632113821138205,-1.0000000000000009,13.571428571428571,3.1965226893753615,-0.711790110050835
TIA/USDT,2h,13,2.9436904663122645,0.2264377281778665,-0.9999999999999993,15.384615384615385,1.2998376904722964,-5.8176131949103524,8.293354943273894,-1.000000000000003,15.846153846153847,2.225918714668424,-1.05369963093473
TAO/USDT,4h,12,2.8675059034777854,0.23895882528981546,-0.9999999999999991,33.33333333333333,1.4061399767577232,-3.611309220580744,5.014925373134329,-1.0000000000000009,21.5,1.9533133390309312,-0.9357611754038112
PENGU/USDT,4h,11,2.76115251377129,0.2510138648882991,-0.4980649002679364,18.181818181818183,1.4963321741449267,-4.490323800339685,4.482649842271293,-1.0000000000000009,20.454545454545453,2.2872801722912253,-0.9071828111369676
XLM/USDT,2h,10,2.2908095689047183,0.22908095689047184,-0.9999999999999987,40.0,1.381801594817453,-3.0,3.3070866141732376,-1.000000000000002,25.2,1.9195940577574568,-0.9700353359684941
WLFI/USDT,4h,5,2.0220652135285944,0.4044130427057189,-0.7777777777777776,40.0,1.7279434768702937,-2.777777777777778,4.263033175355452,-1.0000000000000004,34.8,2.155794824022457,-0.7833765492431494
KITE/USDT,4h,12,1.7034007552400512,0.14195006293667092,-0.2387712726206367,41.66666666666667,1.3841501069567037,-1.6685753216668435,2.807799442896937,-0.9999999999999997,27.0,2.065353344027909,-0.8267439395822825
CFX/USDT,4h,8,1.4075137355838256,0.1759392169479782,-0.9999999999999993,25.0,1.2476181571860434,-3.000000000000001,5.295154185022027,-1.0000000000000007,16.75,2.1780143595335293,-0.9231327807303468
JTO/USDT,2h,14,1.0279432467965526,0.07342451762832518,-0.3889816360600987,50.0,1.1468490352566503,-3.157879851677072,2.7561929595827928,-1.0000000000000009,18.857142857142858,2.1813433294962907,-0.7242410501537374
FIL/USDT,2h,11,0.9222558494527497,0.08384144085934088,-0.9999999999999986,27.27272727272727,1.12144630100535,-5.629653679653675,7.13793103448277,-1.0000000000000022,16.636363636363637,2.12964516282733,-1.1922649998384607
XPL/USDT,2h,12,0.8162459581662436,0.06802049651385363,-0.8214904679376078,33.33333333333333,1.11425336634104,-3.642980935875217,3.4207119741100316,-1.000000000000001,17.75,2.896542485859909,-0.7928361648868602
PENGU/USDT,2h,13,0.7054973271768297,0.054269025167448436,-0.5822841726618713,38.46153846153847,1.1073138561950608,-5.401128366347434,5.942921348314611,-1.0000000000000018,24.923076923076923,2.1805023217870203,-0.8166211738331209
XPL/USDT,4h,10,0.6696475449109103,0.06696475449109103,-0.03954568363453119,50.0,1.1808461405846526,-2.079091367269061,3.5357873210633968,-1.0,23.4,2.143458782138958,-0.5428430719412315
SOL/USDT,2h,13,0.2985867035670502,0.02296820796669617,-0.7965284474445515,30.76923076923077,1.0384284239386756,-6.180453932694926,5.284102564102579,-1.0000000000000064,18.153846153846153,1.8482441126587357,-0.9558165526487584
FF/USDT,4h,5,0.23834196891190762,0.047668393782381524,-1.0,20.0,1.059585492227977,-1.9999999999999998,4.238341968911906,-1.0000000000000002,12.0,11.053961653268344,-1.1213880771300775
PNUT/USDT,4h,8,0.19410608771074167,0.02426326096384271,-0.6899224806201536,25.0,1.0434757929193959,-3.0848484848484823,2.5641025641025625,-1.0000000000000007,20.25,2.796391989570618,-0.9361081952931667
AI/USDT,2h,9,0.08359886351677082,0.009288762612974535,-0.5999999999999993,22.22222222222222,1.0170762359084413,-2.5999999999999996,4.232558139534872,-1.0000000000000009,14.666666666666666,2.265769342139807,-0.7891688046786504
DODO/USDT,2h,11,0.04359032322204795,0.003962756656549813,-0.7721822541966404,36.36363636363637,1.007478156436039,-3.3992619605800125,3.978260869565215,-1.0000000000000007,27.272727272727273,3.286594787226109,-0.883298714907088
INJ/USDT,4h,9,-0.42260747067437293,-0.04695638563048588,-0.9999999999999992,44.44444444444444,0.9154785058651256,-2.000000000000002,1.7709720372836186,-1.0000000000000013,15.777777777777779,1.9311723186865768,-0.7286190531209267
WLFI/USDT,2h,7,-0.50061392455431,-0.07151627493632999,-0.805309734513276,28.57142857142857,0.8740111467043827,-2.672042495982883,3.171428571428573,-1.0000000000000022,22.857142857142858,1.4145273655187094,-0.7006995563437892
LAYER/USDT,4h,8,-1.0583091415853667,-0.13228864269817084,-0.4305684995340174,12.5,0.7404169089859203,-3.9959386417148663,3.018648018648018,-1.0000000000000007,14.75,4.063249902194952,-0.8006321020271032
TRX/USDT,4h,17,-1.1061893827296556,-0.06506996368997975,-0.443231441048028,29.411764705882355,0.8601392291859017,-3.5736027910234247,2.0432432432432353,-1.0000000000000062,18.764705882352942,1.7540902520512451,-0.810221740682839
SUI/USDT,2h,14,-1.1832373894734625,-0.0845169563909616,-0.9999999999999989,35.714285714285715,0.8685291789473931,-6.83569602424843,6.304180887372015,-1.0000000000000024,16.357142857142858,1.9139955567851683,-0.9609599434938614
CHIP/USDT,2h,2,-1.5434652278177456,-0.7717326139088728,-0.7717326139088728,0.0,0.0,-1.0000000000000007,-0.543465227817745,-1.0000000000000007,11.0,1.0701124237507014,-0.900687338004433
SAGA/USDT,2h,9,-1.5837420334818129,-0.17597133705353477,-0.9999999999999978,11.11111111111111,0.7150546609013413,-5.334651329978429,3.974313551815766,-1.000000000000002,17.666666666666668,4.395734087966087,-0.8004468573207351
APT/USDT,4h,8,-1.6376751708706325,-0.20470939635882907,-0.4355108877721944,50.0,0.5905812072823419,-2.7826086956521765,1.2173913043478233,-1.0000000000000007,17.125,1.2815997928501428,-0.9379907083089953
CFX/USDT,2h,14,-1.6489450285589988,-0.1177817877542142,-0.9999999999999976,21.428571428571427,0.8411067471696928,-4.564301555810331,3.8133891213389104,-1.000000000000001,13.285714285714286,1.6615525542539458,-0.9497202136372398
KITE/USDT,2h,13,-2.0084747896042687,-0.1544980607387899,-0.49999999999999867,15.384615384615385,0.7320351552813875,-6.4351060177698125,5.079646017699106,-1.0000000000000009,17.692307692307693,1.6470746024153995,-0.7560491141555906
NEAR/USDT,4h,12,-2.0410774645361456,-0.17008978871134547,-0.4544933874830781,25.0,0.6620657635984153,-3.130879106248166,1.8590163934426196,-1.0000000000000016,19.333333333333332,1.2233116378786997,-0.8209284308676082
WLD/USDT,2h,11,-2.505156063467471,-0.22774146031522466,-0.999999999999999,27.27272727272727,0.6157204705768045,-3.11664361456893,2.250329380764167,-1.0000000000000022,14.909090909090908,1.599095358160153,-0.9378281372732197
TRUMP/USDT,2h,7,-2.550908523074611,-0.364415503296373,-0.7585551330798468,28.57142857142857,0.3390719930028133,-3.101030927835059,1.2108731466227347,-1.0000000000000022,14.428571428571429,1.2198139950483977,-0.9859548207873683
PUMP/USDT,4h,13,-2.627301309981708,-0.2021001007678237,-0.999999999999999,30.76923076923077,0.6589990384981852,-7.7046741991891015,2.4684210526315806,-1.000000000000001,14.692307692307692,1.460624620010429,-0.84118493002865
APT/USDT,2h,14,-2.7318099655098025,-0.19512928325070017,-0.6194608490238329,28.57142857142857,0.6573762501548093,-4.540143298843138,2.320855614973258,-1.0000000000000018,15.071428571428571,1.762759998978171,-0.8759821233837366
DOGE/USDT,4h,10,-3.164727483232305,-0.31647274832323047,-0.9999999999999989,20.0,0.5395809823634721,-5.873581155439281,2.845943482224249,-1.000000000000001,16.7,1.4499442422013502,-0.9172187992412992
RAD/USDT,4h,5,-3.1919523099850995,-0.6383904619970199,-1.0,20.0,0.1068390325271059,-2.1919523099850995,0.38181818181818206,-1.000000000000001,30.4,1.762044781211283,-1.2872800531485105
AI/USDT,4h,7,-3.217213114754098,-0.4596018735362997,-0.9999999999999997,28.57142857142857,0.3565573770491803,-2.9672131147540974,1.0327868852459012,-1.0000000000000002,13.285714285714286,1.7976588691172555,-0.8462359933383601
BFUSD/USDT,2h,4,-3.318181818181934,-0.8295454545454835,-0.9999999999999536,0.0,0.0,-2.3181818181819738,-0.3181818181818182,-1.000000000000208,26.25,0.39346590909095014,-1.1122159090910375
XUSD/USDT,4h,5,-3.3708333333331133,-0.6741666666666226,-0.9333333333333333,0.0,0.0,-2.3708333333332243,0.0,-0.9999999999998908,19.4,1.4320833333335405,-1.0341256830601
SAPIEN/USDT,4h,7,-3.378843023195529,-0.48269186045650414,-1.0,28.57142857142857,0.2088811652638871,-2.3788430231955284,0.5901639344262308,-1.0000000000000004,15.571428571428571,2.3546949490055806,-0.8883053321564428
XLM/USDT,4h,10,-3.4733255818023556,-0.34733255818023556,-0.5013970027940065,30.0,0.3362519761117342,-2.6426804205120336,1.302777777777781,-1.0,11.5,1.3014022946912176,-0.7024162222792784
LINK/USDT,2h,16,-3.606984671733786,-0.22543654198336163,-0.7791411042944776,18.75,0.6553823262797684,-9.395245128007563,6.187500000000015,-1.0000000000000029,19.1875,1.2712053393978686,-0.9233270760011087
U/USDT,4h,5,-3.679902979902729,-0.7359805959805458,-0.7,0.0,0.0,-2.6799029799028635,-0.44144144144141495,-0.9999999999999327,25.4,0.9693013293013205,-1.2223032823032673
OSMO/USDT,4h,8,-3.702804191145292,-0.4628505238931615,-0.8499999999999974,25.0,0.29505731831903154,-4.25263157894736,1.0181818181818192,-1.000000000000001,12.5,1.229445017039539,-0.8546664989742665
SHIB/USDT,2h,11,-3.8667019567123235,-0.35151835970112033,-0.5773195876288666,27.27272727272727,0.38087256986045753,-4.713241917725963,1.5037037037037018,-1.0000000000000029,18.09090909090909,1.5413089105018671,-0.9110990951195537
DOT/USDT,2h,10,-3.8963007166270454,-0.3896300716627045,-0.9999999999999982,30.0,0.39110442242184656,-4.727983884943879,1.611320754716979,-1.0000000000000033,14.2,1.1958414990645088,-1.0517671722606061
ENA/USDT,4h,12,-3.9901732114404354,-0.33251443428670296,-0.9999999999999998,25.0,0.5179457506259023,-7.0121969968738815,2.2414698162729656,-1.000000000000001,14.75,1.3297419824219032,-0.8187457142640525
BTC/USDT,2h,14,-4.23462419162375,-0.3024731565445536,-0.4855357720973904,28.57142857142857,0.386628645972666,-4.749319924629651,1.6605085328448583,-1.0000000000000049,26.571428571428573,1.4406263929837368,-0.8278916727198654
DODO/USDT,4h,8,-4.347744142129971,-0.5434680177662464,-0.9999999999999994,25.0,0.26723413334888113,-3.933333333333332,1.4514038876889859,-1.0000000000000009,12.25,1.5484884866615154,-1.0234094185576523
DOGE/USDT,2h,12,-4.467861965944509,-0.37232183049537576,-0.9110738255033551,8.333333333333332,0.49855615366276373,-7.909994605736442,4.442132639791934,-1.000000000000002,19.0,1.4984865281827826,-0.8676567762642718
PNUT/USDT,2h,15,-4.509845222386542,-0.3006563481591028,-1.0,13.333333333333334,0.6297068428726902,-6.0000000000000036,7.38356164383561,-1.000000000000001,9.266666666666667,2.1865548928084553,-1.0154770839134166
ADA/USDT,2h,13,-4.644224783108575,-0.35724806023912115,-0.8023715415019786,15.384615384615385,0.4652342405199766,-5.571415263258063,2.619205298013244,-1.0000000000000029,15.76923076923077,1.460058433815739,-0.8856572202873084
ETH/USDT,4h,15,-4.714809350658405,-0.314320623377227,-0.9999999999999948,20.0,0.5299728876757304,-7.926707427614817,2.3458354179106893,-1.0000000000000042,15.6,1.3048905411298246,-0.9710545967659605
U/USDT,2h,6,-4.822866344605645,-0.8038110574342742,-0.9999999999999896,0.0,0.0,-3.8228663446055684,-0.30434782608694183,-1.0000000000001281,45.333333333333336,0.7908422820598914,-0.9103300151499557
NEAR/USDT,2h,18,-4.900141602994484,-0.27223008905524915,-0.6443274062620834,27.77777777777778,0.496858521473902,-6.1756184220954635,3.675675675675677,-1.000000000000003,16.61111111111111,1.3453456039758462,-0.9148981009206401
DOT/USDT,4h,9,-4.919774011299435,-0.5466415568110483,-1.0,22.22222222222222,0.2971751412429383,-6.000000000000002,1.1468926553672323,-1.000000000000001,15.777777777777779,0.9653232648256235,-0.9631683099027223
RAD/USDT,2h,6,-5.000000000000005,-0.8333333333333343,-1.0000000000000004,0.0,0.0,-4.000000000000005,0.0,-1.0000000000000022,5.833333333333333,0.5543674069880619,-1.1285421267385523
AVAX/USDT,4h,10,-5.189741092775002,-0.5189741092775002,-0.9999999999999993,20.0,0.2691866512089029,-5.948278837028728,1.4867256637168114,-1.0000000000000018,17.7,0.944622819242585,-1.0780033780668163
ASTER/USDT,4h,9,-5.5042880766379625,-0.6115875640708848,-0.9999999999999986,11.11111111111111,0.20730035862073495,-5.538461538461536,1.4394366197183095,-1.0000000000000029,14.444444444444445,1.0754577323900056,-1.1042231693444402
BFUSD/USDT,4h,6,-5.677419354838205,-0.9462365591397007,-0.9999999999998767,0.0,0.0,-4.677419354838328,-0.6774193548384185,-1.000000000000208,23.166666666666668,0.1184786937475248,-1.4315228520823957
BTC/USDT,4h,15,-5.6998804344517175,-0.37999202896344786,-0.5000366985029138,26.666666666666668,0.32613281459242016,-4.699880434451715,0.9321441363753252,-1.0000000000000064,16.933333333333334,1.1479735398109168,-1.0272231046704852
TRUMP/USDT,4h,7,-5.887231503579951,-0.841033071939993,-0.9999999999999997,14.285714285714285,0.0187947494033414,-5.0,0.11276849642004841,-1.0000000000000009,12.142857142857142,0.38831180285404576,-1.1612015548146395
HBAR/USDT,4h,10,-6.032183923439807,-0.6032183923439807,-0.8926896012509764,30.0,0.07006016992418608,-5.486638950552349,0.26610946346724346,-1.0000000000000016,12.7,0.9435938420391038,-0.9721028846852645
SAGA/USDT,4h,8,-6.594860206012188,-0.8243575257515235,-0.9999999999999993,0.0,0.0,-5.594860206012189,-0.09859154929577403,-1.0000000000000007,12.125,0.9841481900758026,-1.045435200319354
ADA/USDT,4h,12,-6.615126344567022,-0.5512605287139185,-0.9999999999999987,16.666666666666664,0.23617276444826527,-7.828360919020068,1.702334630350196,-1.0000000000000013,14.916666666666666,1.110402019717101,-0.9133823965138231
AVAX/USDT,2h,14,-6.639723677741484,-0.4742659769815346,-0.8559291598392842,28.57142857142857,0.2780726001482692,-7.54605521087028,1.035502958579881,-1.0000000000000022,16.5,0.9022383832614763,-0.9443348365330128
WLD/USDT,4h,12,-6.655786981396246,-0.5546489151163538,-0.9999999999999999,16.666666666666664,0.29184219322518096,-7.106838032447294,2.451051051051051,-1.0000000000000029,13.25,0.9651718406074318,-0.9808564933180302
AAVE/USDT,4h,10,-6.786026292396682,-0.6786026292396682,-0.9999999999999994,10.0,0.011218209208637068,-5.7860262923966825,0.07699076110866694,-1.0000000000000018,11.1,0.6659891406055983,-0.9244959027877753
MLN/USDT,4h,7,-6.8333333333333375,-0.9761904761904768,-1.0,0.0,0.0,-5.833333333333335,-0.8333333333333347,-1.0000000000000024,12.142857142857142,0.6689876940429977,-1.4610067485087705
SOL/USDT,4h,14,-7.089248917028483,-0.5063749226448916,-0.9999999999999991,21.428571428571427,0.30686361127207573,-7.801229053589633,1.7119801365611504,-1.000000000000002,15.0,0.8899516448497324,-0.9813197350302149
SAPIEN/USDT,2h,17,-7.27016963153295,-0.42765703714899705,-0.9999999999999982,17.647058823529413,0.4070857857950603,-7.12778505897772,3.839805825242719,-1.0000000000000022,12.117647058823529,2.5127940084407,-0.8599564452498444
PEPE/USDT,2h,15,-7.425999359128418,-0.4950666239418945,-0.9999999999999991,13.333333333333334,0.42527907200228093,-8.921052631578942,3.3561643835616453,-1.000000000000001,12.333333333333334,1.2137939426471624,-1.0846684567921507
BB/USDT,2h,11,-7.473880009413251,-0.6794436372193865,-1.0,18.181818181818183,0.13116144890571,-6.473880009413251,0.6525423728813542,-1.0000000000000013,15.909090909090908,1.4390251806389314,-1.0301577075315378
LAYER/USDT,2h,20,-7.571264651078726,-0.3785632325539363,-1.0,20.0,0.4791006162994819,-10.498093919371412,3.926829268292685,-1.000000000000003,11.6,2.425207897321348,-1.071904466210051
UNI/USDT,4h,12,-7.585466157222605,-0.6321221797685505,-1.0000000000000009,8.333333333333332,0.21010343348365215,-9.546762589928068,2.01764705882353,-1.0000000000000022,12.666666666666666,1.0187860220428402,-1.1081850146873198
LINK/USDT,4h,16,-7.614981466964878,-0.47593634168530485,-0.9999999999999989,18.75,0.33641162311712125,-10.483704915673,3.398843930635837,-1.0000000000000022,12.1875,1.0483406938278588,-0.9698933938846632
XRP/USDT,2h,15,-7.814013419887263,-0.5209342279924842,-0.999999999999997,20.0,0.33275165241260407,-7.440281973303819,2.3550821127385824,-1.0000000000000053,15.133333333333333,1.3109022069765384,-1.0848590866357593
XUSD/USDT,2h,9,-7.99999999999942,-0.8888888888888244,-0.9999999999999546,0.0,0.0,-6.999999999999419,0.0,-1.0000000000000435,12.222222222222221,1.018010167029794,-1.426114176310297
