n,avg_r,total_r,win_rate,pf,t_stat,trades_per_year,n_symbols_traded,dominant_month_share,dominant_asset_share,gate_diversification,lookback,pattern,trigger_n,exit_n,climax_volume_mult,profitable,gate_avgr,zone_frac,gate_stability,all_gates
264,0.28320637987098407,74.7664842859398,0.5303030303030303,1.858733875757272,3.7858768223315025,52.80722891566265,140,0.5425314933602914,0.07921540627786612,False,30,climax,15,10,1.75,True,True,1.0,True,False
333,0.27490820378506464,91.54443186042653,0.5255255255255256,1.7846365593237554,3.906773818045639,66.6091182913472,148,0.5730358990138827,0.06469707996777356,False,30,climax,15,10,1.5,True,True,1.0,True,False
218,0.2669055457210648,58.185408967192124,0.5275229357798165,1.7875064295386152,3.2471414880918568,43.60596933187294,128,0.5368015894537002,0.10178939245778794,False,30,climax,15,10,2.0,True,True,1.0,True,False
304,0.25981041787139225,78.98236703290324,0.5296052631578947,1.7768565399959562,3.7621100768094324,60.808324205914566,145,0.5332534102327742,0.08144614405033397,False,25,climax,15,10,1.75,True,True,1.0,True,False
245,0.25611376611544834,62.747872698284844,0.5224489795918368,1.7749020416664072,3.350798499495403,49.00670865279299,130,0.5532215670530191,0.09438817881773867,False,25,climax,15,10,2.0,True,True,1.0,True,False
188,0.25281098071715513,47.52846437482517,0.5372340425531915,1.782971029522999,2.930036854633891,37.605147864184005,116,0.695885687857609,0.11373481199006705,False,30,climax,20,10,1.75,True,True,1.0,True,False
129,0.2514234311283957,32.433622615563046,0.5658914728682171,1.7578831716032648,2.51584590155606,25.80353231106243,93,0.7136989679507372,0.12827333780443523,False,35,climax,20,10,2.0,True,True,1.0,True,False
180,0.2487848655297438,44.781275795353885,0.5333333333333333,1.7972597909540116,2.898051122586254,36.00492880613363,107,0.6079478918631986,0.12071208030228077,False,25,climax,20,10,2.0,True,False,1.0,True,False
183,0.24736842655047472,45.268422058736874,0.5355191256830601,1.6854714610559163,2.769481842304566,36.60501095290252,118,0.6717300978367867,0.12665915524736246,False,35,climax,15,10,2.0,True,False,1.0,True,False
219,0.24282012467953593,53.177607304818366,0.5388127853881278,1.7028872938345656,3.0193521415915097,43.80599671412924,129,0.6174120094732005,0.1078209492291535,False,35,climax,15,10,1.75,True,False,1.0,True,False
277,0.24216889688946616,67.08078443838212,0.5379061371841155,1.6627834068427265,3.1824843251604107,55.40758488499452,139,0.6640416667222039,0.08547395718974346,False,35,climax,15,10,1.5,True,False,1.0,True,False
389,0.23563624711641773,91.6625001282865,0.519280205655527,1.678384795984069,3.767926994418146,77.81065169769988,155,0.548050329056542,0.0701792907000696,False,25,climax,15,10,1.5,True,False,1.0,True,False
154,0.23455523472757195,36.12150614804608,0.5324675324675324,1.709435322928639,2.4936828475833983,30.80421686746988,103,0.7239526104269738,0.1496515936431889,False,30,climax,20,10,2.0,True,False,1.0,True,False
156,0.22329639727026282,34.834237974161,0.5641025641025641,1.6906893639669125,2.503419941559004,31.204271631982476,104,0.7275514152250224,0.11943332973362954,False,35,climax,20,10,1.75,True,False,1.0,True,False
237,0.22244620033405435,52.71974947917088,0.5358649789029536,1.6253993799215187,2.7621658829399904,47.4064895947426,129,0.7137284579082773,0.10253540681150358,False,30,climax,20,10,1.5,True,False,1.0,True,False
219,0.22025008346908934,48.23476827973057,0.5388127853881278,1.676747551656276,2.801778521621924,43.80599671412924,121,0.6966949531281257,0.12264582136394495,False,25,climax,20,10,1.75,True,False,1.0,True,False
161,0.2052203427288132,33.04047517933893,0.5217391304347826,1.6659634954490508,2.5299647774080603,32.204408543263966,110,0.8844481687336397,0.11726013499220114,False,30,climax,25,10,1.5,True,False,1.0,True,False
198,0.19594909786352982,38.797921376978906,0.5606060606060606,1.5477542697511326,2.3420944054227997,39.605421686746986,119,0.7520820799210798,0.10828330519936052,False,35,climax,20,10,1.5,True,False,1.0,True,False
285,0.18308501195029028,52.17922840583273,0.5298245614035088,1.5242320276332113,2.6113296330415174,57.007803943044905,139,0.7211219223945676,0.11337447782776777,False,25,climax,20,10,1.5,True,False,1.0,True,False
134,0.16893896510282855,22.637821323779026,0.5074626865671642,1.518318484120226,1.8815019007150318,26.80366922234392,98,1.0897418104344845,0.17114414520385463,False,30,climax,25,10,1.75,True,False,1.0,True,False
133,0.15664892078938045,20.8343064649876,0.5263157894736842,1.4947575601123217,1.8203359360561036,26.603641840087622,100,1.0093613612853116,0.18595918161454672,False,35,climax,25,10,1.5,True,False,1.0,True,False
192,0.14898715932821036,28.605534591016387,0.4947916666666667,1.4762002011033935,2.0937614480603775,38.4052573932092,120,1.0215711114741057,0.1417598535259518,False,25,climax,25,10,1.5,True,False,1.0,True,False
151,0.13662331966291252,20.630121269099792,0.4900662251655629,1.4188764092442472,1.6688637676533804,30.204134720700985,103,1.2388612858810946,0.18779969973025815,False,25,climax,25,10,1.75,True,False,1.0,True,False
127,0.09443590235359284,11.99335959890629,0.48031496062992124,1.2723662459233096,1.0530556464946998,25.403477546549833,88,1.620291733250057,0.3230396410434542,False,25,climax,25,10,2.0,True,False,1.0,True,False
111,0.09283013765670232,10.304145279893959,0.4954954954954955,1.2706828833083041,0.9747622545986286,22.203039430449067,87,1.6686315262904974,0.37599727823088536,False,35,climax,25,10,1.75,True,False,1.0,True,False
108,0.08862757359620183,9.571777948389798,0.5,1.2463649088872024,0.9103028107473427,21.602957283680173,82,1.9179632002216946,0.40476603203979533,False,30,climax,25,10,2.0,True,False,1.0,True,False
93,0.07476337933416216,6.952994278077081,0.5053763440860215,1.2007851768226718,0.6977825413326506,18.602546549835704,77,2.208530824384779,0.5572175705582828,False,35,climax,25,10,2.0,True,False,1.0,True,False
