symbol,n,win_rate,avg_r,total_r,max_dd_r
TRX_USDT,46,0.6087,0.1942,8.93,3.0
PENDLE_USDT,27,0.5556,0.2709,7.32,1.69
ADA_USDT,31,0.6452,0.227,7.04,2.08
ZEN_USDT,36,0.6111,0.1939,6.98,2.76
DASH_USDT,43,0.6744,0.1537,6.61,1.77
CHZ_USDT,34,0.6471,0.1815,6.17,4.17
BCH_USDT,44,0.6364,0.14,6.16,4.12
SOL_USDT,23,0.5652,0.2482,5.71,2.31
HBAR_USDT,22,0.6818,0.2386,5.25,2.0
DOT_USDT,34,0.6176,0.1512,5.14,3.0
RENDER_USDT,11,0.7273,0.4606,5.07,1.0
UNI_USDT,36,0.6389,0.1342,4.83,1.51
BNB_USDT,33,0.5455,0.1317,4.34,3.0
WLD_USDT,25,0.6,0.1643,4.11,3.62
TAO_USDT,23,0.5652,0.1446,3.33,3.33
ATOM_USDT,29,0.6897,0.1092,3.17,2.25
ALT_USDT,21,0.6667,0.1479,3.11,1.12
XRP_USDT,33,0.6061,0.0895,2.95,2.11
SUI_USDT,32,0.5312,0.077,2.47,4.17
MORPHO_USDT,10,0.5,0.2274,2.27,2.12
JTO_USDT,17,0.6471,0.1258,2.14,1.0
SAGA_USDT,22,0.5909,0.0915,2.01,1.23
ASTER_USDT,6,0.6667,0.3345,2.01,1.6
LINK_USDT,25,0.52,0.0702,1.75,2.08
LTC_USDT,36,0.5556,0.0461,1.66,2.43
PEPE_USDT,23,0.4783,0.0658,1.51,2.2
SPK_USDT,7,0.7143,0.1608,1.13,1.0
FIL_USDT,48,0.6042,0.0214,1.03,4.41
ZEC_USDT,38,0.5526,0.0244,0.93,5.3
EIGEN_USDT,14,0.4286,0.0581,0.81,1.79
TON_USDT,24,0.6667,0.0279,0.67,4.79
FET_USDT,22,0.5455,0.0191,0.42,4.39
SEI_USDT,28,0.5357,0.0103,0.29,1.96
TIA_USDT,22,0.5909,0.0049,0.11,2.5
DOGE_USDT,42,0.5238,0.0016,0.07,3.6
GRT_USDT,34,0.5294,-0.007,-0.24,4.22
AVAX_USDT,34,0.5882,-0.0138,-0.47,7.04
INJ_USDT,27,0.5926,-0.0306,-0.83,4.09
ONDO_USDT,7,0.4286,-0.1405,-0.98,1.58
ETH_USDT,53,0.566,-0.0215,-1.14,4.78
NIL_USDT,11,0.3636,-0.1515,-1.67,1.87
PENGU_USDT,11,0.3636,-0.1707,-1.88,2.22
ORDI_USDT,29,0.5517,-0.0683,-1.98,2.54
AAVE_USDT,26,0.5385,-0.0842,-2.19,3.64
LPT_USDT,30,0.5333,-0.0821,-2.46,5.99
BTC_USDT,43,0.4884,-0.0702,-3.02,5.47
ARB_USDT,36,0.5,-0.0871,-3.14,5.99
ENA_USDT,24,0.375,-0.1394,-3.34,4.36
ICP_USDT,26,0.5,-0.1387,-3.6,4.52
NEAR_USDT,34,0.4412,-0.1071,-3.64,7.99
ARKM_USDT,23,0.4783,-0.1603,-3.69,4.98
APT_USDT,35,0.4286,-0.1553,-5.44,8.75
