symbol,entry_time,exit_time,entry_price,exit_price,stop_loss,net_r,win,bars_held,exit_reason,year
BCH_USDT,2021-02-23 08:00:00,2021-02-24 14:00:00,500.0,533.3,370.809286,0.2578,1,15,time_exit,2021
DASH_USDT,2021-03-25 00:00:00,2021-03-26 06:00:00,186.31,194.71,171.408571,0.5637,1,15,time_exit,2021
ZEC_USDT,2021-03-25 00:00:00,2021-03-26 06:00:00,118.21,127.16,107.474286,0.8337,1,15,time_exit,2021
DOT_USDT,2021-03-25 00:00:00,2021-03-26 06:00:00,28.7176,31.1511,24.928664,0.6423,1,15,time_exit,2021
BCH_USDT,2021-03-25 00:00:00,2021-03-26 06:00:00,456.2,476.26,417.911429,0.5239,1,15,time_exit,2021
FIL_USDT,2021-04-07 08:00:00,2021-04-08 14:00:00,145.4413,150.8301,127.318707,0.2974,1,15,time_exit,2021
NEAR_USDT,2021-04-18 02:00:00,2021-04-19 08:00:00,4.5701,5.0817,3.617814,0.5372,1,15,time_exit,2021
BTC_USDT,2021-04-18 02:00:00,2021-04-19 08:00:00,55014.46,56681.9,50698.023571,0.3863,1,15,time_exit,2021
TRX_USDT,2021-04-23 04:00:00,2021-04-24 10:00:00,0.09539,0.10595,0.075774,0.5383,1,15,time_exit,2021
CHZ_USDT,2021-04-23 06:00:00,2021-04-24 12:00:00,0.36269,0.4027,0.241694,0.3307,1,15,time_exit,2021
BTC_USDT,2021-05-12 22:00:00,2021-05-14 04:00:00,49631.32,49653.44,45681.832857,0.0056,1,15,time_exit,2021
FIL_USDT,2021-05-13 08:00:00,2021-05-14 14:00:00,114.7,121.61,91.21,0.2942,1,15,time_exit,2021
LTC_USDT,2021-05-19 12:00:00,2021-05-20 18:00:00,203.0,209.86,134.068571,0.0995,1,15,time_exit,2021
BNB_USDT,2021-05-19 12:00:00,2021-05-20 18:00:00,352.34,390.1,245.145714,0.3523,1,15,time_exit,2021
CHZ_USDT,2021-05-19 12:00:00,2021-05-20 18:00:00,0.26845,0.30509,0.16387,0.3504,1,15,time_exit,2021
