block_size,mc_runs,total_r_p05,total_r_p50,total_r_p95,dd_p05,dd_p50,dd_p95,pf_p05,pf_p50,prob_positive
1,5000,201.98771767471925,293.44091626634463,390.9473667248991,-18.167228335776166,-11.373715564762904,-7.756437892004267,2.096638762392821,2.6873221199959554,1.0
5,5000,189.68079985944067,291.88830482152355,399.82404613812565,-23.648054913792443,-14.308828504272057,-9.52365985105345,2.0216110978802426,2.6814778256922533,1.0
10,5000,180.32527926106437,292.2701351239568,412.3910026445628,-27.0034903034612,-16.025386258014663,-10.34491568147562,1.9660338013475884,2.685235068858815,1.0
20,5000,170.28990849850734,292.93031070817744,423.0979296667751,-26.144809750186475,-16.351334218421727,-11.155632524658209,1.9098195164506777,2.6813249877063337,1.0
50,5000,148.1424043321769,289.90656740543216,446.9573280745408,-22.165178392507293,-14.83481116283031,-12.289044686696457,1.790012131760438,2.6666706403650178,1.0
