combo,description,n,avg_r,win_rate,pf,total_r
D,Donchian only,2326,1.2442,0.19604471195184867,2.5547776294166034,2893.9245864028408
M,RSI_MR only,876,0.1371,0.547945205479452,1.578112034339125,120.10166031169143
C,ConsecDownDays only,313,0.3958,0.5271565495207667,2.077548621261643,123.87566265109902
