symbol,date,year,system,entry_price,net_r,has_don,has_rsi,has_cd
AAVE_USDT,2021-01-23,2021,Donchian,213.304,1.3174327983232221,1,0,0
AAVE_USDT,2021-01-24,2021,Donchian,264.401,1.7990956464891348,1,0,0
AAVE_USDT,2021-01-30,2021,Donchian,314.791,-1.0000000000000002,1,0,0
AAVE_USDT,2021-02-03,2021,Donchian,384.499,-1.0,1,0,0
AAVE_USDT,2021-02-04,2021,Donchian,466.582,-1.0,1,0,0
AAVE_USDT,2021-04-14,2021,Donchian,428.517,-1.0000000000000004,1,0,0
AAVE_USDT,2021-04-15,2021,Donchian,466.076,-0.9999999999999998,1,0,0
AAVE_USDT,2021-05-01,2021,Donchian,504.47,-1.0000000000000002,1,0,0
AAVE_USDT,2021-05-03,2021,Donchian,518.22,-1.0000000000000002,1,0,0
AAVE_USDT,2021-08-05,2021,Donchian,372.78,-1.0000000000000004,1,0,0
AAVE_USDT,2021-08-07,2021,Donchian,385.07,-1.0000000000000002,1,0,0
AAVE_USDT,2021-08-11,2021,Donchian,402.42,-1.0,1,0,0
AAVE_USDT,2021-08-13,2021,Donchian,427.5,-0.9999999999999996,1,0,0
AAVE_USDT,2021-12-06,2021,RSI_MR,184.6,1.179783247239947,0,1,0
AAVE_USDT,2022-03-29,2022,Donchian,222.7,-0.9999999999999996,1,0,0
AAVE_USDT,2022-04-01,2022,Donchian,244.6,-0.9999999999999997,1,0,0
AAVE_USDT,2023-01-17,2023,Donchian,85.6,-0.9999999999999999,1,0,0
AAVE_USDT,2023-04-14,2023,Donchian,82.5,-1.0,1,0,0
AAVE_USDT,2023-07-04,2023,Donchian,77.08,-1.0,1,0,0
AAVE_USDT,2023-07-19,2023,ConsecDownDays,71.71,-1.0000000000000002,0,0,1
AAVE_USDT,2023-10-01,2023,Donchian,72.21,-1.0000000000000004,1,0,0
AAVE_USDT,2023-10-22,2023,Donchian,79.27,2.259569605789373,1,0,0
