date,equity,event
2023-09-15,10000.0,start
2023-10-24,12934.0946,trade_close
2024-08-03,12900.8923,trade_close
2024-10-01,12867.5398,trade_close
2025-07-11,23019.3093,trade_close
2025-10-29,22982.3488,trade_close
