symbol,entry_time,exit_time,exit_reason,chandelier_active,net_r,risk_amount,pnl_usdt,equity_before,equity_after,peak_equity,dd_pct,kill_switch
BTC/USDT,2023-09-15 00:00:00+00:00,2023-10-24 00:00:00+00:00,degen_close,True,117.363786,25.0,2934.0946,10000.0,12934.0946,10000.0,0.0,False
BTC/USDT,2024-07-23 00:00:00+00:00,2024-08-03 00:00:00+00:00,stop,False,-1.026817,32.3352,-33.2024,12934.0946,12900.8923,12934.0946,0.0,False
BTC/USDT,2024-09-28 00:00:00+00:00,2024-10-01 00:00:00+00:00,stop,False,-1.034113,32.2522,-33.3525,12900.8923,12867.5398,12934.0946,-0.2567,False
BTC/USDT,2025-04-30 00:00:00+00:00,2025-07-11 00:00:00+00:00,degen_close,True,315.577637,32.1688,10151.7695,12867.5398,23019.3093,12934.0946,-0.5146,False
BTC/USDT,2025-10-26 00:00:00+00:00,2025-10-29 00:00:00+00:00,ema_cross,False,-0.642253,57.5483,-36.9605,23019.3093,22982.3488,23019.3093,0.0,False
