rsi_n,overbought,atr_mult,num_trades,win_rate,avg_r,pf,max_dd_r,total_r,avg_bars,pct_chandelier,pct_init_stop,pct_backstop
7,80,2.0,857,0.3396,0.2949,1.4613,33.86,252.73,15.3,6.3,63.2,30.5
7,80,3.0,803,0.4022,0.1797,1.3272,28.27,144.3,18.9,3.2,52.9,43.8
7,85,2.0,324,0.3735,0.6397,2.0374,13.96,207.27,14.2,9.9,61.4,28.7
7,85,3.0,307,0.443,0.4643,1.868,12.57,142.55,18.3,5.9,52.4,41.7
7,90,2.0,101,0.3762,1.5586,3.5971,7.29,157.42,13.5,17.8,59.4,22.8
7,90,3.0,98,0.3673,0.9362,2.5921,7.44,91.75,16.3,11.2,57.1,31.6
10,80,2.0,209,0.378,0.8438,2.39,10.89,176.35,14.7,8.6,59.8,31.6
10,80,3.0,202,0.4406,0.5785,2.0794,11.11,116.85,18.7,5.9,52.5,41.6
10,85,2.0,51,0.451,2.6332,5.9737,4.0,134.29,13.0,25.5,52.9,21.6
10,85,3.0,50,0.42,1.6561,3.9573,6.0,82.8,16.2,16.0,56.0,28.0
10,90,2.0,17,0.5294,7.1202,18.292,2.0,121.04,11.4,47.1,41.2,11.8
10,90,3.0,17,0.5294,4.8166,12.6975,3.0,81.88,15.8,29.4,41.2,29.4
14,80,2.0,34,0.5,3.6904,8.8421,4.0,125.47,14.4,23.5,47.1,29.4
14,80,3.0,34,0.4412,2.3314,5.7072,4.0,79.27,16.5,14.7,47.1,38.2
14,85,2.0,9,0.5556,11.2736,34.8208,1.0,101.46,15.0,44.4,33.3,22.2
14,85,3.0,9,0.5556,7.6332,23.8995,1.0,68.7,16.0,33.3,33.3,33.3
14,90,2.0,4,0.5,18.0131,37.0262,1.0,72.05,11.0,25.0,50.0,25.0
14,90,3.0,4,0.5,11.8421,24.6841,1.0,47.37,11.2,25.0,50.0,25.0
