symbol,side,filter_mode,don_n,don_exit_n,atr_mult,entry_time,exit_time,entry_price,exit_price,initial_stop,initial_risk,net_r,exit_reason,timeframe
PENDLE/USDT,LONG,ema50_slope,10,5,2.0,2024-03-23 00:00:00+00:00,2024-04-12 00:00:00+00:00,3.4623,6.0206,2.679114285714286,0.7831857142857143,3.2665304707878082,donchian_exit,1d
PENDLE/USDT,LONG,ema50_slope,10,5,3.0,2024-03-23 00:00:00+00:00,2024-04-12 00:00:00+00:00,3.4623,6.0206,2.2875214285714285,1.1747785714285714,2.1776869805252055,donchian_exit,1d
PENDLE/USDT,LONG,ema200_price,10,5,2.0,2024-03-23 00:00:00+00:00,2024-04-12 00:00:00+00:00,3.4623,6.0206,2.679114285714286,0.7831857142857143,3.2665304707878082,donchian_exit,1d
PENDLE/USDT,LONG,ema200_price,10,5,3.0,2024-03-23 00:00:00+00:00,2024-04-12 00:00:00+00:00,3.4623,6.0206,2.2875214285714285,1.1747785714285714,2.1776869805252055,donchian_exit,1d
PENDLE/USDT,LONG,ema50_slope,15,7,2.0,2024-03-23 00:00:00+00:00,2024-04-26 00:00:00+00:00,3.4623,5.381,2.679114285714286,0.7831857142857143,2.449865932181749,donchian_exit,1d
PENDLE/USDT,LONG,ema50_slope,15,7,3.0,2024-03-23 00:00:00+00:00,2024-04-26 00:00:00+00:00,3.4623,5.381,2.2875214285714285,1.1747785714285714,1.6332439547878326,donchian_exit,1d
PENDLE/USDT,LONG,ema200_price,15,7,2.0,2024-03-23 00:00:00+00:00,2024-04-26 00:00:00+00:00,3.4623,5.381,2.679114285714286,0.7831857142857143,2.449865932181749,donchian_exit,1d
PENDLE/USDT,LONG,ema200_price,15,7,3.0,2024-03-23 00:00:00+00:00,2024-04-26 00:00:00+00:00,3.4623,5.381,2.2875214285714285,1.1747785714285714,1.6332439547878326,donchian_exit,1d
BCH/USDT,LONG,ema50_slope,10,5,2.0,2024-03-24 00:00:00+00:00,2024-04-10 00:00:00+00:00,485.1,629.2,390.2428571428572,94.85714285714285,1.5191265060240968,donchian_exit,1d
BCH/USDT,LONG,ema50_slope,10,5,3.0,2024-03-24 00:00:00+00:00,2024-04-10 00:00:00+00:00,485.1,629.2,342.81428571428575,142.28571428571428,1.0127510040160645,donchian_exit,1d
BCH/USDT,LONG,ema200_price,10,5,2.0,2024-03-24 00:00:00+00:00,2024-04-10 00:00:00+00:00,485.1,629.2,390.2428571428572,94.85714285714285,1.5191265060240968,donchian_exit,1d
BCH/USDT,LONG,ema200_price,10,5,3.0,2024-03-24 00:00:00+00:00,2024-04-10 00:00:00+00:00,485.1,629.2,342.81428571428575,142.28571428571428,1.0127510040160645,donchian_exit,1d
BCH/USDT,LONG,ema50_slope,15,7,2.0,2024-03-24 00:00:00+00:00,2024-04-12 00:00:00+00:00,485.1,533.2,390.2428571428572,94.85714285714285,0.5070783132530123,donchian_exit,1d
BCH/USDT,LONG,ema50_slope,15,7,3.0,2024-03-24 00:00:00+00:00,2024-04-12 00:00:00+00:00,485.1,533.2,342.81428571428575,142.28571428571428,0.33805220883534154,donchian_exit,1d
BCH/USDT,LONG,ema200_price,15,7,2.0,2024-03-24 00:00:00+00:00,2024-04-12 00:00:00+00:00,485.1,533.2,390.2428571428572,94.85714285714285,0.5070783132530123,donchian_exit,1d
BCH/USDT,LONG,ema200_price,15,7,3.0,2024-03-24 00:00:00+00:00,2024-04-12 00:00:00+00:00,485.1,533.2,342.81428571428575,142.28571428571428,0.33805220883534154,donchian_exit,1d
BCH/USDT,LONG,ema50_slope,20,10,2.0,2024-03-24 00:00:00+00:00,2024-04-12 00:00:00+00:00,485.1,533.2,390.2428571428572,94.85714285714285,0.5070783132530123,donchian_exit,1d
BCH/USDT,LONG,ema50_slope,20,10,3.0,2024-03-24 00:00:00+00:00,2024-04-12 00:00:00+00:00,485.1,533.2,342.81428571428575,142.28571428571428,0.33805220883534154,donchian_exit,1d
BCH/USDT,LONG,ema200_price,20,10,2.0,2024-03-24 00:00:00+00:00,2024-04-12 00:00:00+00:00,485.1,533.2,390.2428571428572,94.85714285714285,0.5070783132530123,donchian_exit,1d
BCH/USDT,LONG,ema200_price,20,10,3.0,2024-03-24 00:00:00+00:00,2024-04-12 00:00:00+00:00,485.1,533.2,342.81428571428575,142.28571428571428,0.33805220883534154,donchian_exit,1d
ICP/USDT,LONG,ema200_price,10,5,2.0,2024-03-24 00:00:00+00:00,2024-04-09 00:00:00+00:00,15.129,16.064,12.152571428571427,2.976428571428572,0.3141348692104633,donchian_exit,1d
ICP/USDT,LONG,ema200_price,10,5,3.0,2024-03-24 00:00:00+00:00,2024-04-09 00:00:00+00:00,15.129,16.064,10.664357142857142,4.464642857142858,0.20942324614030886,donchian_exit,1d
APT/USDT,LONG,ema50_slope,10,5,2.0,2024-03-25 00:00:00+00:00,2024-04-02 00:00:00+00:00,17.3341,14.7011,13.571085714285715,3.763014285714285,-0.6997050237081973,donchian_exit,1d
APT/USDT,LONG,ema50_slope,10,5,3.0,2024-03-25 00:00:00+00:00,2024-04-02 00:00:00+00:00,17.3341,14.7011,11.689578571428571,5.644521428571428,-0.4664700158054648,donchian_exit,1d
