timeframe,don_n,don_exit_n,filter_mode,atr_mult,symbols,trades,total_r,avg_r,median_r,pf,max_dd_r,win_rate_pct
4h,10,5,ema50_slope,2.0,67,714,-43.94322513845796,-0.061545133247140005,-0.638799857549857,0.89038137007022,-83.9146777451167,25.630252100840334
4h,10,5,ema50_slope,3.0,67,685,-31.47136681677808,-0.04594360119237676,-0.3880903490759756,0.8874152803380863,-60.58783426879481,27.73722627737226
4h,10,5,ema200_price,2.0,67,762,-48.50144048847396,-0.06365018436807607,-0.6823865164510052,0.8903111315452592,-92.20393289304157,23.753280839895012
4h,10,5,ema200_price,3.0,67,730,-30.01235824078884,-0.041112819507929915,-0.4128075489306402,0.9014030597241375,-59.926060436565194,25.89041095890411
4h,15,7,ema50_slope,2.0,67,604,-40.20385277509416,-0.06656267015744066,-0.8719563037515117,0.8935555024494523,-79.73766455162439,23.178807947019866
4h,15,7,ema50_slope,3.0,67,558,-13.175535338268006,-0.023612070498688183,-0.456615013000614,0.9481627740049469,-53.69852678814868,26.881720430107524
4h,15,7,ema200_price,2.0,67,616,-14.584558787398375,-0.023676231797724635,-0.9999999999999072,0.9631590156676968,-70.77398494028765,22.727272727272727
4h,15,7,ema200_price,3.0,67,562,4.068643980351318,0.00723958003621231,-0.4777809909388847,1.015489324915542,-40.531845955393,26.690391459074732
4h,20,10,ema50_slope,2.0,67,531,-7.554952469330662,-0.014227782428118006,-0.9999999999999986,0.9783763468695061,-70.65653558466718,23.91713747645951
4h,20,10,ema50_slope,3.0,67,482,6.817021629127755,0.014143198400679988,-0.5430687118537896,1.0287985655098688,-45.091497177198775,29.045643153526974
4h,20,10,ema200_price,2.0,67,525,20.447180359307243,0.03894701020820427,-0.9999999999999986,1.0580619167410457,-58.02503059726277,23.42857142857143
4h,20,10,ema200_price,3.0,67,466,30.596682433256603,0.06565811680956353,-0.5348141131411517,1.1334055283985685,-32.02079495021144,28.54077253218884
4h,25,12,ema50_slope,2.0,67,494,-34.09443278707042,-0.06901707041917088,-0.9999999999999989,0.8989489952654788,-80.04124698485924,23.279352226720647
4h,25,12,ema50_slope,3.0,67,447,-9.803504085497156,-0.021931776477622275,-0.6268656716417892,0.9586188446149435,-54.863635234052765,27.96420581655481
4h,25,12,ema200_price,2.0,67,479,-5.547033690595484,-0.01158044611815341,-0.999999999999999,0.9834208527089273,-70.6004224006966,22.755741127348646
4h,25,12,ema200_price,3.0,67,429,12.536843827528083,0.029223412185380146,-0.6327683615819204,1.053799391913164,-40.93250130573847,26.806526806526808
4h,30,15,ema50_slope,2.0,67,450,-59.927842566157025,-0.13317298348034895,-0.9999999999999991,0.8155762681063456,-86.57864613218158,19.77777777777778
4h,30,15,ema50_slope,3.0,67,406,-40.46750549070326,-0.0996736588440967,-0.7157812985399177,0.8297055000241593,-70.12296734899431,23.15270935960591
4h,30,15,ema200_price,2.0,67,431,-57.752974837546304,-0.13399762143282204,-0.9999999999999993,0.819698950017041,-81.40702448163157,19.02552204176334
4h,30,15,ema200_price,3.0,67,381,-35.21680285028839,-0.09243255341283041,-0.7650273224043438,0.8464419940099233,-64.5620152061122,22.83464566929134
4h,40,20,ema50_slope,2.0,67,406,-67.8277756465451,-0.1670634868141505,-0.9999999999999992,0.7762559157489806,-100.13111714699932,19.458128078817737
4h,40,20,ema50_slope,3.0,67,354,-34.32749939339253,-0.09697033726947042,-0.7669104342128057,0.8407724335815999,-76.09561641204819,24.01129943502825
4h,40,20,ema200_price,2.0,67,368,-44.10350241174486,-0.11984647394495887,-0.9999999999999993,0.8398940372893205,-85.03060692912754,20.380434782608695
4h,40,20,ema200_price,3.0,67,323,-23.20579664013269,-0.07184457164127768,-0.8295266468056949,0.8842844589567164,-65.40690398863266,24.458204334365323
4h,55,27,ema50_slope,2.0,67,334,-74.22163415912847,-0.22222046155427685,-0.9999999999999992,0.7159093077818982,-108.33260612022141,15.868263473053892
4h,55,27,ema50_slope,3.0,67,287,-42.49706776170456,-0.1480734068352075,-0.9999999999999986,0.7763967015768306,-72.13856573494925,19.860627177700348
4h,55,27,ema200_price,2.0,67,303,-49.20487258642284,-0.16239231876707208,-0.9999999999999993,0.7880807881756051,-87.86040185001141,17.82178217821782
4h,55,27,ema200_price,3.0,67,258,-24.864120816647787,-0.09637256130483639,-0.9999999999999982,0.8501923461041946,-57.12933850595357,22.093023255813954
6h,10,5,ema50_slope,2.0,67,564,56.60971847876666,0.10037184127440897,-0.49588272972034086,1.2003238432320105,-31.40256709983762,31.028368794326237
6h,10,5,ema50_slope,3.0,67,535,52.210110836935925,0.09758899221857183,-0.30505836575875545,1.2843550680996516,-16.66417092438899,33.64485981308411
6h,10,5,ema200_price,2.0,67,488,46.66596766306156,0.09562698291610974,-0.672859961374404,1.1709408367674539,-35.974895830024344,27.66393442622951
6h,10,5,ema200_price,3.0,67,455,44.02613082014034,0.09676072707723152,-0.36330466510294507,1.2495762359027727,-18.25466354893835,30.54945054945055
6h,15,7,ema50_slope,2.0,67,494,49.24109119104764,0.09967832224908428,-0.589110817805177,1.1886674213020785,-43.8998976881111,31.57894736842105
6h,15,7,ema50_slope,3.0,67,468,37.626571704266695,0.08039865748774935,-0.3152772796922371,1.2114300304728876,-27.932995756956,33.97435897435898
6h,15,7,ema200_price,2.0,67,412,51.93907285621677,0.1260657108160601,-0.7588747552056173,1.216500478726427,-30.325315411207658,27.427184466019416
6h,15,7,ema200_price,3.0,67,382,40.6918832837391,0.10652325466947409,-0.4177596028878451,1.2523274472626709,-21.118417263886496,30.36649214659686
6h,20,10,ema50_slope,2.0,67,444,-28.417374732494658,-0.06400309624435734,-0.9999999999999799,0.8972246813390008,-68.16138083258127,25.0
6h,20,10,ema50_slope,3.0,67,411,-18.349724932112252,-0.04464653268153833,-0.47387078330474575,0.9055360124675584,-49.21304145637381,28.223844282238442
6h,20,10,ema200_price,2.0,67,371,-27.57618392382132,-0.07432933672189035,-0.9999999999999989,0.8890033581529588,-55.20557282590316,23.450134770889488
6h,20,10,ema200_price,3.0,67,339,-25.13424593028449,-0.07414231837842032,-0.6178861788617892,0.8614593408380533,-47.54007766683577,26.843657817109147
6h,25,12,ema50_slope,2.0,67,408,-27.275597556707453,-0.0668519547958516,-0.9999999999999989,0.8966136521220598,-72.5697358049867,25.0
6h,25,12,ema50_slope,3.0,67,373,-16.427907884769716,-0.044042648484637306,-0.5338753387533883,0.9105353133898936,-51.461968635864594,28.418230563002684
6h,25,12,ema200_price,2.0,67,333,-24.962201962409285,-0.07496156745468253,-0.9999999999999992,0.8905070632223245,-57.8171911081365,23.723723723723726
6h,25,12,ema200_price,3.0,67,299,-17.883603758757317,-0.0598113838085529,-0.6298676748582235,0.8900002522711082,-44.7781740535256,27.759197324414714
6h,30,15,ema50_slope,2.0,67,367,-23.307517249110603,-0.06350822138722235,-0.999999999999999,0.9040751401339688,-82.1826374763078,24.250681198910083
6h,30,15,ema50_slope,3.0,67,335,-16.49128674409069,-0.049227721624151316,-0.5668016194331984,0.9038743066031557,-56.17652177563279,27.46268656716418
6h,30,15,ema200_price,2.0,67,292,-14.74786182339621,-0.05050637610752127,-0.9999999999999992,0.9261879555958277,-55.00527467332898,23.63013698630137
6h,30,15,ema200_price,3.0,67,263,-11.603290738035263,-0.04411897619024815,-0.6140350877192996,0.9181853475311884,-40.58950944039037,27.376425855513308
