date,system,r,weight,vol_mult,pnl,equity,year
2023-01-01,S2,3.0317625526696204,0.3,0.75,716.2539030681978,60716.253903068195,2023
2023-01-01,S7,-1.0,0.2,0.75,-159.38016649555405,60556.87373657264,2023
2023-01-02,S8,5.166752252056694,0.0,0.75,0.0,60556.87373657264,2023
2023-01-02,S6,-1.0,0.2,0.75,-158.96179355850322,60397.911943014136,2023
2023-01-03,S7,-1.0,0.2,0.75,-158.54451885041215,60239.36742416373,2023
2023-01-03,S6,1.8817102702780732,0.2,0.75,297.55172043739617,60536.919144601125,2023
2023-01-04,S6,1.63620908940214,0.2,0.75,260.00902554059684,60796.92817014172,2023
2023-01-04,S7,-1.0,0.2,0.75,-159.59193644662207,60637.336233695096,2023
2023-01-05,S6,-1.0,0.2,0.75,-159.17300761344967,60478.16322608165,2023
2023-01-06,S1,15.98257576893877,0.05,0.75,634.329167145907,61112.492393227556,2023
2023-01-06,S2,3.2042078318177603,0.3,0.75,771.0299365713644,61883.52232979892,2023
2023-01-06,S1,15.98257576893877,0.05,0.75,649.0693679431669,62532.591697742086,2023
2023-01-06,S1,15.98257576893877,0.05,0.75,655.8771744244614,63188.468872166544,2023
2023-01-06,S1,15.98257576893877,0.05,0.75,662.756385028914,63851.22525719546,2023
2023-01-06,S6,-1.0,0.2,0.75,-167.60946630013814,63683.615790895325,2023
2023-01-06,S7,-1.0,0.2,0.75,-167.16949145110027,63516.44629944422,2023
2023-01-06,S6,-1.0,0.2,0.75,-166.73067153604114,63349.71562790818,2023
2023-01-06,S6,-1.0,0.2,0.75,-166.29300352325905,63183.422624384926,2023
2023-01-06,S6,-1.0,0.2,0.75,-165.85648438901046,63017.56613999591,2023
2023-01-06,S7,-1.0,0.2,0.75,-165.42111111748932,62852.145028878425,2023
2023-01-06,S6,-1.0,0.2,0.75,-164.98688070080593,62687.15814817762,2023
2023-01-06,S6,-1.0,0.2,0.75,-164.55379013896632,62522.604358038654,2023
2023-01-06,S6,-1.0,0.2,0.75,-164.1218364398515,62358.4825215988,2023
2023-01-06,S6,-1.0,0.2,0.75,-163.69101661919692,62194.79150497961,2023
2023-01-06,S7,-1.0,0.2,0.75,-163.2613277005715,62031.53017727903,2023
2023-01-06,S6,-1.0,0.2,0.75,-162.8327667153575,61868.69741056368,2023
2023-01-08,S7,-1.0,0.2,0.75,-162.40533070272969,61706.29207986095,2023
2023-01-09,S6,-1.0,0.2,0.75,-161.97901670963503,61544.31306315131,2023
2023-01-11,S6,-1.0,0.2,0.75,-161.55382179077222,61382.75924136054,2023
2023-01-11,S6,-1.0,0.2,0.75,-161.12974300857147,61221.62949835197,2023
2023-01-11,S6,-1.0,0.2,0.75,-160.70677743317395,61060.922720918796,2023
2023-01-11,S6,-1.0,0.2,0.75,-160.2849221424119,60900.637798776384,2023
2023-01-11,S6,-1.0,0.2,0.75,-159.86417422178803,60740.7736245546,2023
2023-01-11,S6,-1.0,0.2,0.75,-159.44453076445586,60581.32909379014,2023
2023-01-11,S6,-1.0,0.2,0.75,-159.02598887119916,60422.30310491894,2023
2023-01-13,S5,1.124765,0.15,0.75,133.79800563636442,60556.101110555304,2023
2023-01-13,S5,-0.705394,0.15,0.75,-84.09694857397125,60472.004161981335,2023
2023-01-13,S5,-0.326511,0.15,0.75,-38.87252489714872,60433.13163708419,2023
2023-01-13,S5,-1.446752,0.15,0.75,-172.13126580998545,60261.000371274204,2023
2023-01-13,S5,-0.554896,0.15,0.75,-65.83222024709904,60195.1681510271,2023
2023-01-13,S5,-3.679092,0.15,0.75,-436.0063868667253,59759.16176416037,2023
2023-01-13,S5,0.665875,0.15,0.75,78.34075955942963,59837.502523719806,2023
2023-01-13,S5,0.074636,0.15,0.75,8.79250018177194,59846.29502390158,2023
2023-01-13,S5,0.666941,0.15,0.75,78.58058482877387,59924.87560873035,2023
2023-01-13,S5,0.588416,0.15,0.75,69.41961259968002,59994.29522133003,2023
2023-01-13,S5,1.040816,0.15,0.75,122.93470030094632,60117.22992163098,2023
2023-01-13,S5,0.377087,0.15,0.75,44.63043220018305,60161.86035383116,2023
2023-01-13,S5,1.09346,0.15,0.75,129.5134072755473,60291.373761106704,2023
2023-01-13,S5,1.233093,0.15,0.75,146.36646467337107,60437.74022578008,2023
2023-01-13,S5,5.135443,0.15,0.75,611.0499346447795,61048.790160424855,2023
2023-01-13,S5,19.285909,0.15,0.75,2317.9696540757845,63366.75981450064,2023
2023-01-13,S5,-3.074273,0.15,0.75,-383.52572762805846,62983.23408687258,2023
2023-01-13,S5,1.646209,0.15,0.75,204.12702214324173,63187.36110901582,2023
2023-01-13,S5,-1.180745,0.15,0.75,-146.88481636368397,63040.476292652136,2023
2023-01-13,S5,-2.057117,0.15,0.75,-255.31071983099483,62785.16557282114,2023
2023-01-13,S5,-0.60596,0.15,0.75,-74.90168226943506,62710.26389055171,2023
2023-01-13,S5,-0.753632,0.15,0.75,-93.04403376784214,62617.219856783864,2023
2023-01-14,S1,-0.4256865432932034,0.0,0.75,-0.0,62617.219856783864,2023
2023-01-14,S1,0.9217690828067872,0.0,0.75,0.0,62617.219856783864,2023
2023-01-14,S1,0.9217690828067872,0.0,0.75,0.0,62617.219856783864,2023
2023-01-14,S1,0.9217690828067872,0.0,0.75,0.0,62617.219856783864,2023
2023-01-14,S1,-0.4256865432932034,0.0,0.75,-0.0,62617.219856783864,2023
2023-01-14,S1,0.9217690828067872,0.0,0.75,0.0,62617.219856783864,2023
2023-01-14,S1,-0.4256865432932034,0.0,0.75,-0.0,62617.219856783864,2023
2023-01-14,S1,-0.4256865432932034,0.0,0.75,-0.0,62617.219856783864,2023
2023-01-18,S7,-1.0,0.3,1.0,-328.74040424811534,62288.47945253575,2023
2023-01-18,S7,-1.0,0.3,1.0,-327.0145171258127,61961.46493540994,2023
2023-01-19,S7,-1.0,0.19999999999999998,1.0,-216.86512727393477,61744.599808136,2023
2023-01-19,S7,-1.0,0.19999999999999998,1.0,-216.106099328476,61528.493708807524,2023
2023-01-20,S1,-0.9999999999999992,0.08571428571428572,1.0,-92.29274056321121,61436.20096824431,2023
2023-01-20,S1,-0.7184664220388493,0.08571428571428572,1.0,-66.20977123997127,61369.99119700434,2023
2023-01-20,S1,-0.7184664220388493,0.08571428571428572,1.0,-66.13841699380109,61303.85278001054,2023
2023-01-20,S1,-0.7184664220388493,0.08571428571428572,1.0,-66.0671396460758,61237.78564036446,2023
2023-01-20,S1,-0.9999999999999992,0.08571428571428572,1.0,-91.85667846054662,61145.92896190391,2023
2023-01-20,S1,-0.9999999999999992,0.08571428571428572,1.0,-91.7188934428558,61054.210068461056,2023
2023-01-23,S1,-1.0,0.08571428571428572,1.0,-91.58131510269158,60962.62875335837,2023
2023-01-23,S1,-1.0,0.08571428571428572,1.0,-91.44394313003754,60871.18481022833,2023
2023-01-24,S1,4.133361074903037,0.08571428571428572,1.0,377.40387881674025,61248.58868904507,2023
2023-01-24,S1,4.133361074903037,0.08571428571428572,1.0,379.743798570068,61628.33248761514,2023
2023-01-24,S1,4.133361074903037,0.08571428571428572,1.0,382.098225923236,62010.43071353837,2023
2023-01-27,S5,4.464425,0.08571428571428572,1.0,415.2613757074328,62425.69208924581,2023
2023-01-27,S5,-2.791342,0.08571428571428572,1.0,-261.3771843116694,62164.31490493414,2023
2023-01-27,S5,-2.453893,0.08571428571428572,1.0,-228.8168657925203,61935.49803914162,2023
2023-01-27,S5,-0.962406,0.08571428571428572,1.0,-89.4106423887872,61846.08739675283,2023
2023-01-27,S5,-2.010073,0.08571428571428572,1.0,-186.47272564777975,61659.61467110505,2023
2023-01-27,S5,1.946903,0.08571428571428572,1.0,180.06793317302768,61839.68260427808,2023
2023-01-27,S5,-1.187107,0.08571428571428572,1.0,-110.1154801459751,61729.5671241321,2023
2023-01-27,S5,-3.305867,0.08571428571428572,1.0,-306.10460831992987,61423.46251581217,2023
2023-01-27,S5,0.11878,0.08571428571428572,1.0,10.943818316442254,61434.40633412862,2023
2023-01-27,S5,0.656652,0.08571428571428572,1.0,60.511538682177346,61494.917872810795,2023
2023-01-27,S5,5.015142,0.08571428571428572,1.0,462.60861811572613,61957.526490926524,2023
2023-01-27,S5,1.411654,0.08571428571428572,1.0,131.19388515153358,62088.72037607806,2023
2023-01-27,S5,-0.490163,0.08571428571428572,1.0,-45.65039016854933,62043.06998590951,2023
2023-01-27,S5,0.082773,0.08571428571428572,1.0,7.703236547915533,62050.77322245743,2023
2023-01-27,S5,0.758236,0.08571428571428572,1.0,70.57369512765486,62121.346917585084,2023
2023-01-27,S1,-1.0,0.08571428571428572,1.0,-93.18202037637762,62028.164897208706,2023
2023-01-27,S5,0.743499,0.08571428571428572,1.0,69.17681785936468,62097.34171506807,2023
2023-01-27,S5,0.751701,0.08571428571428572,1.0,70.01795079683757,62167.359665864904,2023
2023-01-27,S5,0.477423,0.08571428571428572,1.0,44.52019103063433,62211.87985689554,2023
2023-01-27,S5,0.148148,0.08571428571428572,1.0,13.824848365559042,62225.7047052611,2023
2023-01-27,S5,-1.153178,0.08571428571428572,1.0,-107.63597055090538,62118.0687347102,2023
2023-01-27,S5,-3.253381,0.08571428571428572,1.0,-303.1406168673003,61814.9281178429,2023
2023-01-27,S1,-1.0,0.08571428571428572,1.0,-92.72239217676436,61722.205725666136,2023
2023-01-27,S5,1.852971,0.08571428571428572,1.0,171.55418589853997,61893.75991156467,2023
2023-01-27,S5,-5.760475,0.08571428571428572,1.0,-534.8061849398557,61358.953726624815,2023
2023-01-27,S5,-3.310709,0.08571428571428572,1.0,-304.71246049998047,61054.24126612484,2023
2023-01-27,S5,-4.622489,0.08571428571428572,1.0,-423.3338379840121,60630.907428140825,2023
