date,equity,peak,dd_pct,open_pos,heat_pct,regime,pool
2021-01-01,3000.0,3000.0,0.0,0,0.0,BEAR,B
2021-01-02,3000.0,3000.0,0.0,0,0.0,MIXED,B
2021-01-03,3000.0,3000.0,0.0,0,0.0,BULL,B
2021-01-04,3000.0,3000.0,0.0,0,0.0,BULL,B
2021-01-05,3000.0,3000.0,0.0,0,0.0,BULL,B
2021-01-06,3000.0,3000.0,0.0,0,0.0,BULL,B
2021-01-07,3000.0,3000.0,0.0,0,0.0,BULL,B
2021-01-08,3000.0,3000.0,0.0,0,0.0,BULL,B
2021-01-09,3000.0,3000.0,0.0,0,0.0,BULL,B
2021-01-10,3000.0,3000.0,0.0,0,0.0,BULL,B
2021-01-11,3000.0,3000.0,0.0,0,0.0,BULL,B
2021-01-12,3000.0,3000.0,0.0,0,0.0,BULL,B
2021-01-13,3000.0,3000.0,0.0,0,0.0,BULL,B
2021-01-14,3000.0,3000.0,0.0,0,0.0,BULL,B
2021-01-15,3000.0,3000.0,0.0,0,0.0,BULL,B
2021-01-16,3000.0,3000.0,0.0,0,0.0,BULL,B
2021-01-17,3000.0,3000.0,0.0,0,0.0,BULL,B
2021-01-18,3000.0,3000.0,0.0,0,0.0,BULL,B
2021-01-19,3000.0,3000.0,0.0,0,0.0,BULL,B
2021-01-20,3000.0,3000.0,0.0,0,0.0,BULL,B
2021-01-21,3000.0,3000.0,0.0,0,0.0,BULL,B
2021-01-22,3000.0,3000.0,0.0,0,0.0,BULL,B
2021-01-23,3000.0,3000.0,0.0,0,0.0,BULL,B
2021-01-24,3000.0,3000.0,0.0,0,0.0,BULL,B
2021-01-25,3000.0,3000.0,0.0,0,0.0,BULL,B
2021-01-26,3000.0,3000.0,0.0,0,0.0,BULL,B
2021-01-27,3000.0,3000.0,0.0,1,0.25,MIXED,B
2021-01-28,3000.0,3000.0,0.0,1,0.25,BULL,B
2021-01-29,3000.0,3000.0,0.0,1,0.25,BULL,B
2021-01-30,3000.0,3000.0,0.0,1,0.25,BULL,B
2021-01-31,3000.0,3000.0,0.0,1,0.25,BULL,B
2021-02-01,3000.0,3000.0,0.0,1,0.25,BULL,B
2021-02-02,3000.0,3000.0,0.0,1,0.25,BULL,B
2021-02-03,3000.0,3000.0,0.0,1,0.25,BULL,B
2021-02-04,3000.0,3000.0,0.0,1,0.25,BULL,B
2021-02-05,3000.0,3000.0,0.0,1,0.25,BULL,B
2021-02-06,3000.0,3000.0,0.0,1,0.25,BULL,B
2021-02-07,3000.0,3000.0,0.0,1,0.25,BULL,B
2021-02-08,3000.0,3000.0,0.0,1,0.25,BULL,B
2021-02-09,3000.0,3000.0,0.0,1,0.25,BULL,B
2021-02-10,3000.0,3000.0,0.0,1,0.25,BULL,B
2021-02-11,3000.0,3000.0,0.0,1,0.25,BULL,B
2021-02-12,3000.0,3000.0,0.0,1,0.25,BULL,B
2021-02-13,3000.0,3000.0,0.0,1,0.25,BULL,B
2021-02-14,3000.0,3000.0,0.0,1,0.25,BULL,B
2021-02-15,3000.0,3000.0,0.0,1,0.25,BULL,B
2021-02-16,3000.0,3000.0,0.0,1,0.25,BULL,B
2021-02-17,3013.8159,3013.8159,0.0,1,0.25,BULL,B
2021-02-18,3013.8159,3013.8159,0.0,1,0.25,BULL,B
2021-02-19,3013.8159,3013.8159,0.0,1,0.25,BULL,B
2021-02-20,3013.8159,3013.8159,0.0,1,0.25,BULL,B
2021-02-21,3013.8159,3013.8159,0.0,2,0.5,BULL,B
2021-02-22,3013.8159,3013.8159,0.0,2,0.5,BULL,B
2021-02-23,3013.8159,3013.8159,0.0,2,0.5,BULL,B
2021-02-24,3013.8159,3013.8159,0.0,2,0.5,BULL,B
2021-02-25,3013.8159,3013.8159,0.0,2,0.5,BULL,B
2021-02-26,3013.8159,3013.8159,0.0,3,0.75,BULL,B
2021-02-27,3013.8159,3013.8159,0.0,3,0.75,BULL,B
2021-02-28,3013.8159,3013.8159,0.0,3,0.75,BULL,B
2021-03-01,3013.8159,3013.8159,0.0,3,0.75,BULL,B
2021-03-02,3013.8159,3013.8159,0.0,3,0.75,BULL,B
2021-03-03,3013.8159,3013.8159,0.0,3,0.75,BULL,B
2021-03-04,3013.8159,3013.8159,0.0,4,1.0,BULL,B
2021-03-05,3013.8159,3013.8159,0.0,4,1.0,BULL,B
2021-03-06,3013.8159,3013.8159,0.0,4,1.0,BULL,B
2021-03-07,3013.8159,3013.8159,0.0,4,1.0,BULL,B
2021-03-08,3013.8159,3013.8159,0.0,4,1.0,BULL,B
2021-03-09,3013.8159,3013.8159,0.0,4,1.0,BULL,B
2021-03-10,3015.3858,3015.3858,0.0,3,0.75,BULL,B
2021-03-11,3015.3858,3015.3858,0.0,3,0.75,BULL,B
2021-03-12,3015.3858,3015.3858,0.0,3,0.75,BULL,B
2021-03-13,3015.3858,3015.3858,0.0,3,0.75,BULL,B
2021-03-14,3011.9209,3015.3858,-0.1149,2,0.5,BULL,B
