year,v1_pct,v2_pct,v2_pool_a,v2_pool_b
2021,67.04,61.25,66.76,11.63
2022,-9.16,-5.42,-5.75,-1.06
2023,-1.95,0.68,0.85,-1.44
2024,105.28,57.23,60.37,16.08
2025,70.18,25.36,26.71,0.93
2026,-31.55,-5.32,-5.59,0.65
