timeframe,raw_trades,raw_max_simultaneous_open,avg_raw_open,max_raw_same_side,avg_raw_same_side
1d,438,48,26.490263459335623,47,21.81672394043528
4h,968,65,37.85012919896641,64,31.099741602067184
6h,776,60,34.376774193548385,58,29.989032258064515
8h,851,54,30.92827748383304,52,25.99647266313933
