timeframe,symbol,trades,total_r,avg_r,median_r,pf,max_dd_r,win_rate_pct,best_r,worst_r,max_losing_streak,avg_bars_held,trail_activation_rate_pct,avg_mfe_r
1d,0G/USDT,2,-2.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,2,11.0,0.0,1.1932208621173772
1d,1000CAT/USDT,8,-8.0,-1.0,-1.0,0.0,-7.0,0.0,-1.0,-1.0,8,18.75,0.0,0.3603090082036766
1d,1000CHEEMS/USDT,4,-4.0,-1.0,-1.0,0.0,-3.0,0.0,-1.0,-1.0,4,26.25,0.0,1.3755168014454653
1d,1000SATS/USDT,4,-4.0,-1.0,-1.0,0.0,-3.0,0.0,-1.0,-1.0,4,16.0,0.0,0.87350546742273
1d,1INCH/USDT,6,-2.1933066933066945,-0.36555111555111575,-1.0,0.5613386613386611,-3.0,16.666666666666664,2.8066933066933055,-1.0,4,69.33333333333333,16.666666666666664,2.041680053089218
1d,1MBABYDOGE/USDT,4,4.788126914496969,1.1970317286242422,1.188859656011937,3.3940634572484845,-1.0,50.0,3.4104076024730943,-1.0,1,102.0,50.0,2.8962102978304887
1d,A/USDT,3,1.9883206294566032,0.662773543152201,-1.0,1.9941603147283016,-1.0,33.33333333333333,3.988320629456603,-1.0,1,17.333333333333332,33.33333333333333,2.276452457900845
1d,AAVE/USDT,12,-5.389641050276491,-0.44913675418970755,-1.0,0.4610358949723509,-7.0,16.666666666666664,2.4987157534246585,-1.0,7,24.916666666666668,16.666666666666664,1.629946080083707
1d,ACE/USDT,2,3.053926022063595,1.5269630110317975,1.5269630110317975,4.053926022063595,-1.0,50.0,4.053926022063595,-1.0,1,246.0,50.0,2.2937205448280675
1d,ACH/USDT,14,-10.113172043010753,-0.7223694316436252,-1.0,0.22206368899917284,-9.113172043010753,7.142857142857142,2.8868279569892468,-1.0,9,34.57142857142857,7.142857142857142,1.0647034937837752
1d,ACM/USDT,9,-3.6798128342246033,-0.4088680926916226,-1.0,0.5400233957219246,-8.0,11.11111111111111,4.320187165775397,-1.0,8,40.22222222222222,11.11111111111111,1.1259305418606351
1d,ACX/USDT,5,-0.36779941980936526,-0.07355988396187305,-1.0,0.9080501450476587,-2.0,20.0,3.6322005801906347,-1.0,2,62.2,20.0,1.942179214621234
1d,ADA/USDT,13,-3.1297990760378256,-0.24075377507983273,-1.0,0.6870200923962174,-7.0,23.076923076923077,2.460423197492163,-1.0,7,18.692307692307693,23.076923076923077,1.699318539997455
1d,ADX/USDT,15,-1.6496304081076012,-0.10997536054050674,-1.0,0.8500335992629453,-6.853548387096774,26.666666666666668,3.2541806020066892,-1.0,5,33.53333333333333,26.666666666666668,1.856849283088342
1d,AGLD/USDT,6,-6.0,-1.0,-1.0,0.0,-5.0,0.0,-1.0,-1.0,6,23.833333333333332,0.0,0.7731091072100525
1d,AI/USDT,2,3.0655314371257463,1.5327657185628731,1.5327657185628731,4.065531437125746,-1.0,50.0,4.065531437125746,-1.0,1,207.5,50.0,2.692638459860536
1d,AIXBT/USDT,4,-4.0,-1.0,-1.0,0.0,-3.0,0.0,-1.0,-1.0,4,21.75,0.0,0.44498854565484336
1d,ALCX/USDT,6,1.1820061178982355,0.19700101964970593,-1.0,1.2955015294745589,-1.0,33.33333333333333,3.425967470555242,-1.0,2,58.666666666666664,33.33333333333333,2.393104845117137
1d,ALGO/USDT,4,1.1420145190562616,0.2855036297640654,-1.0,1.3806715063520871,-2.0,25.0,4.142014519056262,-1.0,2,47.5,25.0,3.504159012557653
1d,ALICE/USDT,12,-7.347246608140464,-0.612270550678372,-1.0,0.3320684901690487,-7.0,8.333333333333332,3.6527533918595356,-1.0,8,41.0,8.333333333333332,1.2164506981940235
1d,ALLO/USDT,3,0.38848547717842274,0.12949515905947426,-1.0,1.1942427385892114,-2.0,33.33333333333333,2.3884854771784227,-1.0,2,19.666666666666668,33.33333333333333,1.7967307437515085
1d,ALPINE/USDT,7,7.975359952050157,1.1393371360071654,-1.0,2.5950719904100312,-4.0,28.57142857142857,11.025402004194817,-1.0,5,39.714285714285715,28.57142857142857,4.617528650291135
1d,ALT/USDT,6,3.4382273376607655,0.5730378896101276,-1.0,1.8595568344151914,-4.0,33.33333333333333,4.008934408367836,-1.0,4,67.33333333333333,33.33333333333333,2.066376366821349
1d,AMP/USDT,6,0.6354415959219923,0.1059069326536654,-1.0,1.1588603989804982,-2.471103448275862,33.33333333333333,3.1065450441978544,-1.0,2,20.833333333333332,33.33333333333333,1.742061227521786
1d,ANIME/USDT,2,0.48249815770081117,0.24124907885040558,0.24124907885040558,1.4824981577008112,0.0,50.0,1.4824981577008112,-1.0,1,21.0,50.0,3.651349827091279
1d,ANKR/USDT,8,5.429626634383078,0.6787033292978848,-1.0,2.0859253268766156,-4.0,37.5,4.074880278624294,-1.0,4,48.0,37.5,2.3005217723725138
1d,APE/USDT,4,11.208107744359284,2.802026936089821,3.7037896713870415,12.208107744359284,-1.0,75.0,4.800528401585201,-1.0,1,91.5,75.0,5.018295029172425
1d,API3/USDT,1,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,1,18.0,0.0,1.3888535031847133
1d,APT/USDT,4,-4.0,-1.0,-1.0,0.0,-3.0,0.0,-1.0,-1.0,4,36.5,0.0,1.166288195866631
1d,ARB/USDT,5,-0.9006030824212656,-0.18012061648425312,-1.0,0.7748492293946836,-2.0,20.0,3.0993969175787344,-1.0,3,89.6,20.0,1.8585026153799014
1d,ARDR/USDT,12,-4.849656946826763,-0.40413807890223025,-1.0,0.5591220957430215,-11.0,8.333333333333332,6.150343053173237,-1.0,11,25.0,8.333333333333332,1.6317643273143851
1d,ARK/USDT,14,-14.0,-1.0,-1.0,0.0,-13.0,0.0,-1.0,-1.0,14,30.928571428571427,0.0,0.7150195243434153
1d,ARKM/USDT,2,-2.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,2,74.5,0.0,1.3834968530174014
1d,ARPA/USDT,6,-1.8928136419001222,-0.31546894031668704,-1.0,0.6214372716199755,-2.0,16.666666666666664,3.1071863580998778,-1.0,3,72.16666666666667,16.666666666666664,1.776094640788739
1d,ASR/USDT,6,6.42513415187104,1.0708556919785066,0.5407528156490806,3.141711383957013,-2.0,50.0,3.6897599074341922,-1.0,2,58.166666666666664,50.0,2.8925711993653653
1d,ASTR/USDT,1,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,1,173.0,0.0,2.6037527593818974
1d,AT/USDT,4,-4.0,-1.0,-1.0,0.0,-3.0,0.0,-1.0,-1.0,4,1.25,0.0,0.07953588877253953
1d,ATA/USDT,3,1.9767616191904054,0.6589205397301351,-1.0,1.9883808095952027,-1.0,33.33333333333333,3.9767616191904054,-1.0,1,216.33333333333334,33.33333333333333,2.4335710028671254
1d,ATOM/USDT,8,4.961079768453867,0.6201349710567333,-1.0,1.9922159536907735,-4.0,37.5,4.114789563393209,-1.0,4,51.25,37.5,2.02578373940879
1d,AUCTION/USDT,9,-1.9907110826393355,-0.2211901202932595,-1.0,0.7511611146700831,-7.0,11.11111111111111,6.0092889173606645,-1.0,8,18.333333333333332,11.11111111111111,2.270238961735091
1d,AUDIO/USDT,5,-0.5119680851063806,-0.10239361702127611,-1.0,0.8720079787234049,-2.0,20.0,3.4880319148936194,-1.0,3,86.4,20.0,1.4365567194892912
1d,AVA/USDT,4,18.585696765292038,4.6464241913230095,-1.0,7.195232255097346,-2.0,25.0,21.585696765292038,-1.0,3,33.75,25.0,8.613289227237859
1d,AVAX/USDT,6,7.250468269869316,1.2084113783115527,1.1213760718660681,3.4168227566231053,-2.0,50.0,3.712067330488382,-1.0,2,90.5,50.0,2.8139584748460873
1d,AWE/USDT,6,-3.4395744680851053,-0.5732624113475175,-1.0,0.3120851063829789,-4.0,16.666666666666664,1.5604255319148945,-1.0,4,33.333333333333336,16.666666666666664,1.4999623579459032
1d,AXL/USDT,2,-2.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,2,90.0,0.0,1.5661966622174233
1d,AXS/USDT,7,-1.304975671009263,-0.18642509585846614,-1.0,0.7825040548317895,-4.0,14.285714285714285,4.695024328990737,-1.0,4,78.0,14.285714285714285,2.0842849029635686
1d,BABY/USDT,4,-4.0,-1.0,-1.0,0.0,-3.0,0.0,-1.0,-1.0,4,18.0,0.0,0.5306702030060401
1d,BCH/USDT,11,-1.5016462788342468,-0.13651329807584062,-1.0,0.8122942151457192,-3.639158576051778,27.27272727272727,2.360841423948222,-1.0,3,32.27272727272727,27.27272727272727,1.6613110007982541
1d,BNB/USDT,9,2.738688090141294,0.30429867668236604,-1.0,1.4564480150235493,-4.10188750601664,33.33333333333333,4.261098005575804,-1.0,4,30.22222222222222,33.33333333333333,3.4054059020081495
1d,BTC/USDT,14,2.2547809006193713,0.1610557786156694,-1.0,1.2049800818744885,-5.0,21.428571428571427,6.037036366089416,-1.0,6,31.0,21.428571428571427,2.0027436553553892
1d,DOGE/USDT,4,1.0856442340209673,0.27141105850524183,-1.0,1.3618814113403224,-1.0,25.0,4.085644234020967,-1.0,2,38.0,25.0,2.8250315815219613
1d,DOT/USDT,16,-12.118830360846125,-0.7574268975528828,-1.0,0.19207797594359166,-15.0,6.25,2.881169639153875,-1.0,15,17.0625,6.25,1.0845601355668766
