timeframe,trades,total_r,avg_r,median_r,pf,max_dd_r,win_rate_pct,best_r,worst_r,max_losing_streak,avg_bars_held,trail_activation_rate_pct,avg_mfe_r
6h,776,112.36640522995565,0.14480206859530367,-1.0,1.1821173504537368,-35.25514395847914,20.489690721649485,15.173248882265312,-1.0,17,41.96005154639175,20.489690721649485,2.20783819371183
1d,438,-24.649676023893388,-0.05627779914130911,-1.0,0.9293705558054629,-85.57672102445484,20.319634703196346,21.585696765292038,-1.0,30,41.577625570776256,20.319634703196346,1.9545419884065487
8h,851,-66.72884416628473,-0.07841227281584574,-1.0,0.9050798802755552,-90.32401207641988,17.391304347826086,12.661040145985405,-1.0,17,32.45123384253819,17.391304347826086,1.9061174562481384
4h,968,-261.872584135159,-0.2705295290652469,-1.0,0.6778935004487588,-279.0314661843126,16.012396694214875,14.550617283950626,-1.0,27,36.752066115702476,16.012396694214875,1.717815253990005
