timeframe,month,trades,total_r,avg_r,median_r,pf,max_dd_r,win_rate_pct,best_r,worst_r,max_losing_streak,avg_bars_held,trail_activation_rate_pct,avg_mfe_r
1d,2024-05,3,-3.0,-1.0,-1.0,0.0,-2.0,0.0,-1.0,-1.0,3,3.0,0.0,0.12253001761269507
1d,2024-06,13,-13.0,-1.0,-1.0,0.0,-12.0,0.0,-1.0,-1.0,13,11.23076923076923,0.0,0.6875932864905457
1d,2024-07,13,5.6215835022158265,0.4324295001704482,-1.0,1.6246203891350919,-4.0,30.76923076923077,6.150343053173237,-1.0,4,23.46153846153846,30.76923076923077,2.6199369907549017
1d,2024-08,20,18.504801051792835,0.9252400525896418,0.48098012337217333,2.8504801051792836,-5.0,50.0,3.429292929292929,-1.0,5,41.0,50.0,2.6339557183429947
1d,2024-09,18,-11.018020921727917,-0.6121122734293287,-1.0,0.3113736923920053,-12.508083140877591,11.11111111111111,3.4900622191496753,-1.0,9,26.555555555555557,11.11111111111111,1.0156524430787952
1d,2024-10,25,-13.590476748476952,-0.543619069939078,-1.0,0.4091097065879586,-14.391005150062153,8.0,4.800528401585201,-1.0,12,33.52,8.0,1.5754753802551607
1d,2024-11,44,-16.062795651143343,-0.3650635375259851,-1.0,0.5658703878069367,-24.830373175794943,15.909090909090908,5.203971119133577,-1.0,12,49.36363636363637,15.909090909090908,2.014677318123511
1d,2024-12,44,46.851678488913606,1.0648108747480365,-1.0,2.6732742317469147,-14.971380909588646,36.36363636363637,21.585696765292038,-1.0,9,34.02272727272727,36.36363636363637,4.09959606532017
1d,2025-01,14,-14.0,-1.0,-1.0,0.0,-13.0,0.0,-1.0,-1.0,14,11.928571428571429,0.0,0.4126708968967799
1d,2025-02,12,-1.990052926790411,-0.16583774389920092,-1.0,0.8009947073209588,-6.0,16.666666666666664,4.320187165775397,-1.0,7,62.583333333333336,16.666666666666664,2.331803349852832
1d,2025-03,10,1.182666321206816,0.1182666321206816,-1.0,1.1478332901508521,-6.0,20.0,6.0092889173606645,-1.0,7,19.2,20.0,2.019344025213985
1d,2025-04,13,-3.508501092319012,-0.26988469940915477,-1.0,0.6810453552437262,-5.0,15.384615384615385,4.065531437125746,-1.0,6,51.15384615384615,15.384615384615385,1.5173805435270633
1d,2025-05,21,-21.0,-1.0,-1.0,0.0,-20.0,0.0,-1.0,-1.0,21,41.476190476190474,0.0,1.1246569773149904
1d,2025-06,14,-11.51750184229919,-0.8226787030213707,-1.0,0.11403831982313932,-10.51750184229919,7.142857142857142,1.4824981577008112,-1.0,11,14.142857142857142,7.142857142857142,0.9041888432650003
1d,2025-07,23,-5.808058047262065,-0.25252426292443764,-1.0,0.6943127343546281,-13.0,17.391304347826086,4.029664660361131,-1.0,13,49.30434782608695,17.391304347826086,2.0181389688844034
1d,2025-08,17,1.2222606836470735,0.07189768727335727,-1.0,1.1018550569705894,-7.639158576051778,29.411764705882355,4.261098005575804,-1.0,7,21.058823529411764,29.411764705882355,2.0879677406015893
1d,2025-09,21,-1.1041320459843984,-0.052577716475447546,-1.0,0.9386593307786444,-10.0,14.285714285714285,11.025402004194817,-1.0,10,25.428571428571427,14.285714285714285,1.965466396082528
1d,2025-10,34,55.28071672282397,1.6259034330242343,2.846760631841276,4.948622623058854,-3.0,58.82352941176471,4.695024328990737,-1.0,3,123.88235294117646,58.82352941176471,3.1446465044193377
1d,2025-11,20,-20.0,-1.0,-1.0,0.0,-19.0,0.0,-1.0,-1.0,20,5.7,0.0,0.6767091956849496
1d,2025-12,5,-5.0,-1.0,-1.0,0.0,-4.0,0.0,-1.0,-1.0,5,10.0,0.0,0.6247936227791533
1d,2026-01,11,-11.0,-1.0,-1.0,0.0,-10.0,0.0,-1.0,-1.0,11,36.27272727272727,0.0,0.8798034241522117
1d,2026-02,15,17.055214260312674,1.137014284020845,-1.0,3.1319017825390842,-7.0,46.666666666666664,4.684908392284902,-1.0,7,69.26666666666667,46.666666666666664,2.7375961048621633
1d,2026-03,6,-1.7458193979933108,-0.2909698996655518,-1.0,0.6508361204013379,-3.0,16.666666666666664,3.2541806020066892,-1.0,3,40.666666666666664,16.666666666666664,1.3892447606541263
1d,2026-04,10,-5.023238380809595,-0.5023238380809595,-1.0,0.44186240213226724,-6.0,10.0,3.9767616191904054,-1.0,7,73.3,10.0,1.0268103750287294
1d,2026-05,12,-12.0,-1.0,-1.0,0.0,-11.0,0.0,-1.0,-1.0,12,23.75,0.0,0.6070290183152081
4h,2025-12,120,-113.44251823835444,-0.9453543186529536,-1.0,0.03862272679360649,-112.44251823835442,1.6666666666666667,2.4582924435721276,-1.0,104,8.766666666666667,1.6666666666666667,0.4004941496619661
4h,2026-01,196,-23.109939673339486,-0.11790785547622187,-1.0,0.8489546426579119,-43.998424858528125,21.93877551020408,6.426478873239439,-1.0,15,34.58163265306123,21.93877551020408,2.0619996002118657
4h,2026-02,181,100.38953768082843,0.5546383297283338,-1.0,1.8031163014466274,-12.879017013232513,30.939226519337016,10.088634056023409,-1.0,10,34.049723756906076,30.939226519337016,2.4691062176602725
