n,atr_ch_mult,stop_mult,filter_mode,trades,total_r,avg_r,win_rate,profit_factor,max_dd_r,first_half_avg_r,second_half_avg_r,second_half_negative,top_month,top_month_pct,dec2024_flag,pass_cost_floor,zone_pass_rate,stability_zone_pass
20,3.0,2.0,ema200_price,216,53.99735920907554,0.24998777411609047,0.24537037037037038,1.3568279022760374,-52.54958452772997,0.6963909069570643,-0.19641535872488342,True,2024-12,2.6357088286076444,True,True,0.5,False
20,3.0,3.0,ema200_price,205,28.379156030906753,0.13843490746783782,0.2682926829268293,1.2460361693327546,-38.26096319356269,0.46825239940879865,-0.18818047290088058,True,2024-12,3.5613280351817056,True,False,0.0,False
20,5.0,2.0,ema200_price,91,-11.543524085518538,-0.12685191302767623,0.12087912087912088,0.8522481695863736,-34.50245589496267,0.4657540402098697,-0.7065751281513625,True,,0.0,False,False,0.0,False
20,5.0,3.0,ema200_price,83,5.2916933797261265,0.06375534192441117,0.20481927710843373,1.0880043093215788,-31.50413850691124,0.7998983386984722,-0.6548604406407437,True,2024-12,8.99035648181496,True,False,0.0,False
20,7.0,2.0,ema200_price,41,-9.691221859718324,-0.23637126487117863,0.0975609756097561,0.7380750848724776,-23.0,0.5654389070140838,-1.0,True,,0.0,False,False,0.0,False
20,7.0,3.0,ema200_price,38,-7.672546584136464,-0.2019091206351701,0.13157894736842105,0.757173820620612,-21.559307750973336,0.5729874298335196,-0.9768056711038597,True,,0.0,False,False,0.0,False
20,9.0,2.0,ema200_price,18,-15.196740047869667,-0.8442633359927593,0.05555555555555555,0.10607411483119598,-14.196740047869667,-0.6885266719855188,-1.0,True,,0.0,False,False,0.0,False
20,9.0,3.0,ema200_price,17,1.3635425045277798,0.08020838261928116,0.17647058823529413,1.0973958931805556,-8.0,0.12006457014465233,0.04478066037450685,False,2024-12,9.80060574580755,True,False,0.0,False
50,3.0,2.0,ema200_price,245,6.178460736374106,0.02521820708724125,0.17142857142857143,1.032525600084089,-89.82317907304001,-0.6031732687480369,0.6485008091352407,False,2024-12,7.69155383794529,True,False,0.3333333333333333,False
50,3.0,3.0,ema200_price,211,-7.198425677095486,-0.03411576150282221,0.2037914691943128,0.949422922338487,-60.72915514179852,-0.47168764262356705,0.399328083003576,False,,0.0,False,False,0.0,False
50,5.0,2.0,ema200_price,145,-12.38044779499117,-0.085382398586146,0.11724137931034483,0.8995116240223106,-71.68370999999642,-0.9790656642109509,0.7960586305232505,False,,0.0,False,False,0.0,False
50,5.0,3.0,ema200_price,125,-3.298496300214115,-0.02638797040171292,0.152,0.9647885051493524,-50.80210016453564,-0.7480664874539785,0.6838353320941674,False,,0.0,False,False,0.0,False
50,7.0,2.0,ema200_price,82,3.8008845725468046,0.04635225088471713,0.0975609756097561,1.0521666434337356,-42.0,-1.0,1.0927045017694343,False,2025-02,7.768611126429677,False,False,0.0,False
50,7.0,3.0,ema200_price,72,-8.997178394153156,-0.12496081102990494,0.125,0.8528402553388877,-32.98872484386583,-0.825558995453492,0.575637373393682,False,,0.0,False,False,0.0,False
50,9.0,2.0,ema200_price,52,-9.59342523517833,-0.1844889468303525,0.09615384615384616,0.7958845694642909,-24.0,-0.8951180530381234,0.5261401593774184,False,,0.0,False,False,0.0,False
50,9.0,3.0,ema200_price,39,-9.062283490118896,-0.23236624333638195,0.1282051282051282,0.7334622502906207,-18.0,-1.0,0.4968858254940553,False,,0.0,False,False,0.0,False
100,3.0,2.0,ema200_price,252,-60.708975434975954,-0.240908632678476,0.1626984126984127,0.7057233275278055,-129.0051358815099,-0.8879571513721751,0.4061398860152231,False,,0.0,False,False,0.0,False
100,3.0,3.0,ema200_price,185,-28.80670760717235,-0.15571193301174244,0.23243243243243245,0.7768799604688351,-72.28787708538253,-0.7554290733538828,0.4375566359288696,False,,0.0,False,False,0.0,False
100,5.0,2.0,ema200_price,180,-55.61666655964697,-0.3089814808869276,0.11666666666666667,0.6474227963440181,-111.35354487486875,-0.945564331052456,0.32760136927860073,False,,0.0,False,False,0.0,False
100,5.0,3.0,ema200_price,137,-35.85071214593221,-0.2616840302622789,0.16058394160583941,0.6696561726077715,-74.9636716052028,-0.9143988038185554,0.38157110889463136,False,,0.0,False,False,0.0,False
100,7.0,2.0,ema200_price,123,-44.51222022096057,-0.36188796927610223,0.08130081300813008,0.6044401223103807,-79.55608882841359,-0.9435424398100589,0.21038497753956492,False,,0.0,False,False,0.0,False
100,7.0,3.0,ema200_price,98,-32.845993223353204,-0.33516319615666534,0.1326530612244898,0.6108808310026885,-63.781867356720085,-0.9343238236065323,0.2639974312932016,False,,0.0,False,False,0.0,False
100,9.0,2.0,ema200_price,89,-28.523396991306743,-0.320487606643896,0.0898876404494382,0.6478592964036205,-57.55608882841359,-0.9217292915548544,0.26739315193570784,False,,0.0,False,False,0.0,False
100,9.0,3.0,ema200_price,66,-16.757887981055056,-0.2539073936523493,0.13636363636363635,0.7060019652446481,-44.37072588560906,-0.9203250268366382,0.41251023953193966,False,,0.0,False,False,0.0,False
150,3.0,2.0,ema200_price,259,-123.00561982548697,-0.47492517307137827,0.11196911196911197,0.4517679704281012,-157.99866034676094,-0.897736335694323,-0.055366404007071594,True,,0.0,False,False,0.0,False
150,3.0,3.0,ema200_price,201,-91.06617458207381,-0.4530655451844468,0.14427860696517414,0.42397809032410416,-113.85831966264949,-0.8731696002550919,-0.0371209362036101,True,,0.0,False,False,0.0,False
150,5.0,2.0,ema200_price,209,-108.96617582804033,-0.5213692623351213,0.09090909090909091,0.42458427402158244,-146.40015038442073,-0.9365399075425072,-0.11015262327256752,True,,0.0,False,False,0.0,False
150,5.0,3.0,ema200_price,169,-94.5494871363243,-0.5594644209249958,0.10650887573964497,0.3601197335434986,-111.85602877880712,-0.9387622473667514,-0.18462892185314345,True,,0.0,False,False,0.0,False
150,7.0,2.0,ema200_price,154,-86.95340999904712,-0.5646325324613449,0.07142857142857142,0.39193419581085925,-121.52841765961125,-0.9679015280468992,-0.16136353687579064,True,,0.0,False,False,0.0,False
150,7.0,3.0,ema200_price,124,-74.01460816820325,-0.5968920013564778,0.08870967741935484,0.3364789960656012,-96.51636125409225,-0.959941310549875,-0.23384269216308085,True,,0.0,False,False,0.0,False
150,9.0,2.0,ema200_price,109,-68.74709878719267,-0.6307073283228686,0.045871559633027525,0.33897020396930133,-85.7913780926026,-0.9776181128259741,-0.29010401262891017,True,,0.0,False,False,0.0,False
150,9.0,3.0,ema200_price,83,-47.56468488169768,-0.5730684925505745,0.060240963855421686,0.3712440453412626,-66.49606513605285,-0.9633186618549475,-0.19210999394392458,True,,0.0,False,False,0.0,False
200,3.0,2.0,ema200_price,252,-148.35392362149935,-0.5887060461170609,0.07539682539682539,0.3549332553467811,-169.67722765521876,-0.9235609417217389,-0.2538511505123829,True,,0.0,False,False,0.0,False
200,3.0,3.0,ema200_price,198,-114.1638403780339,-0.5765850524143126,0.09595959595959595,0.3207086347423884,-125.26956830581364,-0.8686348655296575,-0.2845352392989677,True,,0.0,False,False,0.0,False
200,5.0,2.0,ema200_price,218,-144.24430266592464,-0.6616711131464433,0.04128440366972477,0.30372450612388147,-166.43280929576565,-0.9680292365298249,-0.3553129897630617,True,,0.0,False,False,0.0,False
200,5.0,3.0,ema200_price,167,-110.05047922566214,-0.6589849055428871,0.05389221556886228,0.2752283344949958,-124.64946503922212,-0.9250637451888345,-0.39607367113081987,True,,0.0,False,False,0.0,False
200,7.0,2.0,ema200_price,170,-114.88417884854202,-0.6757892873443648,0.041176470588235294,0.2910211198800566,-141.00260967533345,-1.0,-0.35157857468872955,True,,0.0,False,False,0.0,False
200,7.0,3.0,ema200_price,129,-86.23545911973814,-0.6684919311607608,0.05426356589147287,0.2794641390776729,-105.65456351191376,-0.9789775548736525,-0.3627830093511443,True,,0.0,False,False,0.0,False
200,9.0,2.0,ema200_price,117,-72.57931843357403,-0.6203360549878122,0.03418803418803419,0.35474506796085087,-96.25093145262082,-1.0,-0.2471070920944753,True,,0.0,False,False,0.0,False
200,9.0,3.0,ema200_price,93,-60.80014792080044,-0.6537650314064564,0.043010752688172046,0.3087105679439017,-78.46467317107899,-0.9919721493332991,-0.3227538096057166,True,,0.0,False,False,0.0,False
350,3.0,2.0,ema200_price,148,-57.836456173277476,-0.3907868660356586,0.06756756756756757,0.5718664485764564,-112.50910543534832,-1.0,0.2184262679286828,False,,0.0,False,False,0.0,False
350,3.0,3.0,ema200_price,110,-43.37185479994663,-0.39428958909042394,0.09090909090909091,0.5444895428467226,-74.21385873765776,-0.9900312144847042,0.20145203630385633,False,,0.0,False,False,0.0,False
350,5.0,2.0,ema200_price,132,-56.40328874350311,-0.4272976419962357,0.06818181818181818,0.5414366768820885,-105.0978407584135,-1.0,0.14540471600752866,False,,0.0,False,False,0.0,False
350,5.0,3.0,ema200_price,94,-37.63072266423215,-0.40032683685353354,0.09574468085106383,0.5508284446506531,-71.47683056074713,-1.0,0.1993463262929326,False,,0.0,False,False,0.0,False
350,7.0,2.0,ema200_price,111,-49.57815047320911,-0.4466500042631451,0.04504504504504504,0.5277289202420508,-99.43028068579338,-1.0,0.09681874154983738,False,,0.0,False,False,0.0,False
350,7.0,3.0,ema200_price,73,-28.163800157499217,-0.38580548160957834,0.0684931506849315,0.5703352106209321,-61.319231784671416,-1.0,0.21178918493245355,False,,0.0,False,False,0.0,False
350,9.0,2.0,ema200_price,78,-26.853726389959352,-0.34427854346101733,0.02564102564102564,0.646661494868956,-72.0,-1.0,0.31144291307796534,False,,0.0,False,False,0.0,False
350,9.0,3.0,ema200_price,54,-17.076661306896774,-0.31623446864623656,0.037037037037037035,0.6573761590990018,-46.44553846659314,-1.0,0.36753106270752683,False,,0.0,False,False,0.0,False
