symbol,n,atr_ch_mult,stop_mult,filter_mode,entry_time,exit_time,entry_price,exit_price,initial_stop,exit_reason,net_r
1000CHEEMS/USDT,150,5.0,2.0,ema200_price,2025-10-09 00:00:00+00:00,2025-10-10 00:00:00+00:00,0.002013,0.0017867668214444975,0.0017867668214444975,initial_stop,-1.0
1000CHEEMS/USDT,150,5.0,3.0,ema200_price,2025-10-09 00:00:00+00:00,2025-10-10 00:00:00+00:00,0.002013,0.001673650232166746,0.001673650232166746,initial_stop,-1.0
1000CHEEMS/USDT,200,3.0,2.0,ema200_price,2025-10-08 00:00:00+00:00,2025-10-10 00:00:00+00:00,0.001741,0.0015177439071303827,0.0015177439071303827,initial_stop,-1.0
1000CHEEMS/USDT,200,3.0,3.0,ema200_price,2025-10-08 00:00:00+00:00,2025-10-17 00:00:00+00:00,0.001741,0.0014061158606955742,0.0014061158606955742,initial_stop,-1.0
1000CHEEMS/USDT,200,5.0,2.0,ema200_price,2025-10-09 00:00:00+00:00,2025-10-10 00:00:00+00:00,0.002013,0.001782260187594731,0.001782260187594731,initial_stop,-1.0
1000CHEEMS/USDT,200,5.0,3.0,ema200_price,2025-10-09 00:00:00+00:00,2025-10-10 00:00:00+00:00,0.002013,0.0016668902813920966,0.0016668902813920966,initial_stop,-1.0
1000SATS/USDT,20,3.0,2.0,ema200_price,2024-08-23 00:00:00+00:00,2024-08-27 00:00:00+00:00,0.0003899,0.0003209501332235742,0.0003209501332235742,initial_stop,-1.0
1000SATS/USDT,20,3.0,3.0,ema200_price,2024-08-23 00:00:00+00:00,2024-08-28 00:00:00+00:00,0.0003899,0.0002986,0.0002864751998353613,midline_exit,-0.8827669945183594
1000SATS/USDT,50,3.0,2.0,ema200_price,2024-08-23 00:00:00+00:00,2024-08-28 00:00:00+00:00,0.0003899,0.00031716019913156424,0.00031716019913156424,initial_stop,-1.0
1000SATS/USDT,50,3.0,3.0,ema200_price,2024-08-23 00:00:00+00:00,2024-08-30 00:00:00+00:00,0.0003899,0.0002807902986973464,0.0002807902986973464,initial_stop,-1.0
1000SATS/USDT,100,3.0,2.0,ema200_price,2024-08-23 00:00:00+00:00,2024-08-28 00:00:00+00:00,0.0003899,0.00029949734158459684,0.00029949734158459684,initial_stop,-1.0
1000SATS/USDT,100,3.0,3.0,ema200_price,2024-08-23 00:00:00+00:00,2024-10-01 00:00:00+00:00,0.0003899,0.000266,0.00025429601237689524,midline_exit,-0.9136899450506233
1INCH/USDT,20,3.0,2.0,ema200_price,2024-05-29 00:00:00+00:00,2024-06-07 00:00:00+00:00,0.4932,0.434176689290992,0.434176689290992,initial_stop,-1.0
