symbol,entry_time,entry_price,exit_price,raw_r,funding_cost_r,net_r,year,exit_reason,bars_held
IOTAUSDT,2020-03-13 00:00:00,0.1291,0.1474,0.19504401025754314,-0.05108885500107057,0.24613286525861372,2020,time_exit,20
IOTAUSDT,2022-01-22 00:00:00,0.779,0.8744,0.2955768876244532,-0.026618904527326008,0.32219579215177924,2022,time_exit,20
IOTAUSDT,2022-05-09 00:00:00,0.3888,0.24127695780437808,-1.0,0.00016862060075343435,-1.0001686206007534,2022,atr_stop,3
IOTAUSDT,2022-05-13 00:00:00,0.3156,0.3559,0.22990885130836902,-0.00976596869182313,0.23967482000019216,2022,time_exit,20
IOTAUSDT,2022-12-16 00:00:00,0.1644,0.1802,0.46097015073184344,0.01903647763676356,0.44193367309507986,2022,time_exit,20
IOTAUSDT,2023-08-17 00:00:00,0.1439,0.1727,1.1411165089627147,0.01458502989721261,1.126531479065502,2023,time_exit,20
IOTXUSDT,2021-08-26 00:00:00,0.0727,0.06631,-0.1926107738018346,0.0337761420100762,-0.2263869158119108,2021,time_exit,20
IOTXUSDT,2022-05-09 00:00:00,0.03891,0.03817,-0.03782917912530396,-0.0063909755201713705,-0.03143820360513259,2022,time_exit,20
IOTXUSDT,2023-06-10 00:00:00,0.01727,0.02001,0.6375209259677799,-0.022879917011991817,0.6604008429797716,2023,time_exit,20
JASMYUSDT,2022-05-11 00:00:00,0.00936,0.01352,0.46447397969849963,-0.009628218144994208,0.47410219784349383,2022,time_exit,20
JASMYUSDT,2022-10-11 00:00:00,0.005558,0.004233803447218704,-1.0,-0.01541049962495285,-0.9845895003750471,2022,atr_stop,10
JASMYUSDT,2022-10-22 00:00:00,0.004331,0.003911,-0.31402664665512264,-0.03673875556516691,-0.2772878910899557,2022,time_exit,20
JASMYUSDT,2023-06-10 00:00:00,0.003486,0.004174,0.5944269107205055,0.004665670421488818,0.5897612402990167,2023,time_exit,20
KAVAUSDT,2022-05-11 00:00:00,1.9055,2.9065,0.6059414428554079,-0.038184195439231156,0.644125638294639,2022,time_exit,20
KAVAUSDT,2022-11-09 00:00:00,0.8228,0.8616,0.10801992510433983,-0.05258016789392062,0.16060009299826045,2022,time_exit,20
KAVAUSDT,2022-12-19 00:00:00,0.6761,0.682,0.03308760954228492,-0.15007931677757944,0.18316692631986436,2022,time_exit,20
KAVAUSDT,2023-08-16 00:00:00,0.7271,0.6133901255722337,-1.0,-0.0013458174830472919,-0.9986541825169527,2023,atr_stop,1
KNCUSDT,2022-05-11 00:00:00,1.45,2.184,0.43803435782076644,-0.023026352903042988,0.46106071072380944,2022,time_exit,20
KNCUSDT,2022-10-13 00:00:00,0.96,0.862,-0.38614572391200286,0.0020689593320905365,-0.3882146832440934,2022,time_exit,20
KNCUSDT,2022-11-09 00:00:00,0.509,0.6208,0.43876557603535965,0.00609339908694317,0.4326721769484165,2022,time_exit,20
KSMUSDT,2022-01-26 00:00:00,164.96,176.1,0.1695406783754396,-0.018996990008903328,0.18853766838434294,2022,time_exit,20
KSMUSDT,2022-05-09 00:00:00,94.14,71.72,-0.5596863548333486,-0.11381534590144711,-0.4458710089319015,2022,time_exit,20
KSMUSDT,2022-06-13 00:00:00,46.24,49.48,0.13444432318657837,-0.03497155875478915,0.16941588194136753,2022,time_exit,20
LDOUSDT,2022-10-10 00:00:00,1.309,1.553,0.7373549680669563,0.006400921846510147,0.7309540462204461,2022,time_exit,20
LINKUSDT,2022-05-09 00:00:00,8.081,6.709,-0.47172685137127557,-0.006226242156669288,-0.4655006092146063,2022,time_exit,20
LINKUSDT,2023-06-12 00:00:00,5.156,6.538,1.5143490367792045,0.020662173303484573,1.4936868634757199,2023,time_exit,20
LPTUSDT,2022-06-13 00:00:00,8.401,8.203,-0.04797879185874041,-0.007318689552928472,-0.04066010230581194,2022,time_exit,20
LPTUSDT,2022-12-16 00:00:00,5.582,4.493,-0.7896732033849966,-0.012808167681656511,-0.7768650357033401,2022,time_exit,20
LPTUSDT,2023-01-06 00:00:00,4.442,7.538,3.2209586961801566,0.016750864362396298,3.2042078318177603,2023,time_exit,20
LPTUSDT,2023-03-11 00:00:00,4.975,6.98,1.0429684383920728,0.011439900622290666,1.031528537769782,2023,time_exit,20
LQTYUSDT,2023-05-08 00:00:00,1.2211,1.2945,0.13544602333497935,0.003788742207147414,0.13165728112783193,2023,time_exit,20
LQTYUSDT,2023-06-10 00:00:00,0.8334,0.9233,0.26960627491034106,0.008223124364536724,0.26138315054580435,2023,time_exit,20
LTCUSDT,2020-03-12 00:00:00,29.67,39.24,0.47271428333224336,-0.002689834725075371,0.47540411805731875,2020,time_exit,20
LTCUSDT,2022-05-12 00:00:00,64.38,62.66,-0.06587964441697106,-0.00794140006983244,-0.057938244347138616,2022,time_exit,20
LTCUSDT,2022-06-13 00:00:00,43.44,50.92,0.4775222679444383,-0.00019243263854285347,0.47771470058298116,2022,time_exit,20
LTCUSDT,2023-03-10 00:00:00,71.36,89.02,1.102611602605197,0.017124953647709155,1.085486648957488,2023,time_exit,20
LTCUSDT,2023-08-17 00:00:00,64.71,62.84,-0.1210773321583579,-0.0010494176206678643,-0.12002791453769004,2023,time_exit,20
MAGICUSDT,2023-08-17 00:00:00,0.5867,0.5064,-0.5088807444435254,0.007318334672329225,-0.5161990791158546,2023,time_exit,20
MAGICUSDT,2023-09-10 00:00:00,0.4565,0.5378,0.8129201297109337,0.006090389812560609,0.8068297398983731,2023,time_exit,20
MANAUSDT,2022-04-30 00:00:00,1.4302,0.9542263928954231,-1.0,0.00034945689743560694,-1.0003494568974356,2022,atr_stop,11
MANAUSDT,2022-05-12 00:00:00,0.7075,0.982,0.48920622691151155,-0.01675592366564539,0.505962150577157,2022,time_exit,20
MANAUSDT,2022-12-19 00:00:00,0.3022,0.3774,1.0712414813037188,-0.013697532450134896,1.0849390137538537,2022,time_exit,20
MANAUSDT,2023-06-10 00:00:00,0.3448,0.3846,0.39100375695409484,0.005151609443287424,0.38585214751080743,2023,time_exit,20
MANAUSDT,2023-08-17 00:00:00,0.2955,0.2952,-0.0051321765952284755,0.008033107596187365,-0.01316528419141584,2023,time_exit,20
MASKUSDT,2021-09-10 00:00:00,8.5735,8.9801,0.06670744769364559,0.008138779710853148,0.05856866798279244,2021,time_exit,20
MASKUSDT,2022-01-22 00:00:00,5.602,5.979,0.10985400709557691,0.005939055141056228,0.10391495195452069,2022,time_exit,20
MASKUSDT,2023-08-17 00:00:00,2.611,2.605,-0.008325853294277841,0.009974088876127602,-0.018299942170405443,2023,time_exit,20
MINAUSDT,2023-06-10 00:00:00,0.4163,0.4861,0.6119826437821556,0.010356954923795998,0.6016256888583597,2023,time_exit,20
MTLUSDT,2022-01-22 00:00:00,1.3628,1.6351,0.5372509049061659,-0.05187154842245045,0.5891224533286163,2022,time_exit,20
MTLUSDT,2022-11-09 00:00:00,0.585,0.7345,0.5626190958589536,-0.010646402012219261,0.5732654978711729,2022,time_exit,20
NEARUSDT,2020-11-02 00:00:00,0.6059,1.0804,1.608887042870374,-0.006417797692019116,1.6153048405623933,2020,time_exit,20
NEARUSDT,2022-06-14 00:00:00,3.377,3.519,0.07217619687550421,-0.02614344694717838,0.09831964382268259,2022,time_exit,20
NEARUSDT,2022-11-09 00:00:00,2.024,1.607,-0.5158479576684549,-0.015159161139575245,-0.5006887965288797,2022,time_exit,20
NEARUSDT,2023-06-10 00:00:00,1.2,1.385,0.6268007250707922,-0.015331803231745662,0.6421325283025379,2023,time_exit,20
NEARUSDT,2023-08-17 00:00:00,1.116,1.129,0.059707580022811776,-0.03942057535843122,0.099128155381243,2023,time_exit,20
NEOUSDT,2020-03-12 00:00:00,5.64,6.808,0.30509738810067594,0.0028798389048383024,0.30221754919583765,2020,time_exit,20
NEOUSDT,2021-12-04 00:00:00,29.579,28.944,-0.06034100269338327,0.0060758024370825186,-0.06641680513046579,2021,time_exit,20
NEOUSDT,2022-05-11 00:00:00,10.533,11.565,0.19310367621516453,-0.004566084822037341,0.19766976103720188,2022,time_exit,20
