stoch_n,oversold,smooth_d,hold_bars,atr_mult,filter_mode,num_trades,win_rate,avg_r,pf,max_dd_r,total_r
5,10,3,25,3.0,ema200_price_above,114,0.4035,0.2573,1.8327,10.11,29.33
5,15,1,10,2.0,none,3879,0.4656,0.0307,1.0844,31.95,119.17
5,15,1,10,2.0,ema200_price_above,1038,0.4942,0.0801,1.2381,11.39,83.19
5,15,1,10,3.0,none,3708,0.4825,0.0186,1.0719,22.29,68.81
5,15,1,10,3.0,ema200_price_above,1017,0.5005,0.037,1.1526,12.31,37.64
5,15,1,15,2.0,none,3214,0.4141,0.0079,1.0181,56.38,25.47
5,15,1,15,2.0,ema200_price_above,893,0.4625,0.1781,1.4515,12.82,159.04
5,15,1,15,3.0,none,3003,0.4466,0.0056,1.0178,41.67,16.81
5,15,1,15,3.0,ema200_price_above,878,0.4886,0.1077,1.378,8.37,94.59
5,15,1,20,2.0,none,2820,0.3943,0.0612,1.1251,34.07,172.54
5,15,1,20,2.0,ema200_price_above,791,0.426,0.2385,1.5427,14.51,188.64
5,15,1,20,3.0,none,2559,0.4435,0.0576,1.1627,28.62,147.52
5,15,1,20,3.0,ema200_price_above,765,0.4706,0.1696,1.5514,8.73,129.71
5,15,1,25,2.0,none,2561,0.3741,0.1379,1.2663,34.83,353.04
5,15,1,25,2.0,ema200_price_above,724,0.395,0.3017,1.6114,19.19,218.45
5,15,1,25,3.0,none,2275,0.4224,0.1085,1.2836,15.16,246.86
5,15,1,25,3.0,ema200_price_above,682,0.4384,0.2259,1.6298,12.98,154.04
5,15,3,10,2.0,none,2016,0.4643,0.0186,1.0529,34.93,37.53
5,15,3,10,2.0,ema200_price_above,397,0.4635,0.0735,1.2243,12.1,29.18
5,15,3,10,3.0,none,1941,0.4853,0.0198,1.0836,20.91,38.36
5,15,3,10,3.0,ema200_price_above,388,0.4742,0.0476,1.2136,6.59,18.48
5,15,3,15,2.0,none,1823,0.429,0.0027,1.0064,38.46,4.91
5,15,3,15,2.0,ema200_price_above,371,0.4232,0.0862,1.2175,11.22,31.97
5,15,3,15,3.0,none,1730,0.452,0.0025,1.0088,23.39,4.4
5,15,3,15,3.0,ema200_price_above,364,0.4478,0.0615,1.2264,7.5,22.37
5,15,3,20,2.0,none,1669,0.4116,0.0865,1.1865,29.15,144.45
5,15,3,20,2.0,ema200_price_above,342,0.3947,0.1433,1.3259,12.36,49.02
5,15,3,20,3.0,none,1540,0.4442,0.0481,1.1456,23.49,74.08
5,15,3,20,3.0,ema200_price_above,331,0.423,0.096,1.3072,8.64,31.79
5,15,3,25,2.0,none,1574,0.392,0.1395,1.2874,22.49,219.5
5,15,3,25,2.0,ema200_price_above,324,0.3488,0.2405,1.4873,12.02,77.91
5,15,3,25,3.0,none,1439,0.4309,0.0834,1.2381,14.26,120.03
5,15,3,25,3.0,ema200_price_above,314,0.3726,0.1531,1.4208,9.67,48.08
5,20,1,10,2.0,none,4604,0.4611,0.0138,1.0367,60.63,63.68
5,20,1,10,2.0,ema200_price_above,1285,0.4903,0.0474,1.1345,15.55,60.92
5,20,1,10,3.0,none,4339,0.4833,0.0081,1.0303,51.44,35.07
5,20,1,10,3.0,ema200_price_above,1249,0.498,0.0208,1.0833,12.31,26.04
5,20,1,15,2.0,none,3734,0.4191,0.0247,1.0564,53.99,92.2
5,20,1,15,2.0,ema200_price_above,1074,0.4479,0.1582,1.3861,16.49,169.94
5,20,1,15,3.0,none,3438,0.4412,0.0164,1.0515,40.09,56.21
5,20,1,15,3.0,ema200_price_above,1043,0.465,0.091,1.3027,10.64,94.87
5,20,1,20,2.0,none,3239,0.398,0.0736,1.1505,35.58,238.25
5,20,1,20,2.0,ema200_price_above,957,0.4305,0.2596,1.5807,12.93,248.45
5,20,1,20,3.0,none,2912,0.4323,0.06,1.1683,27.5,174.77
5,20,1,20,3.0,ema200_price_above,911,0.4621,0.1716,1.5378,12.7,156.28
5,20,1,25,2.0,none,2898,0.382,0.1257,1.2438,38.47,364.14
5,20,1,25,2.0,ema200_price_above,858,0.4044,0.2819,1.5729,14.52,241.86
5,20,1,25,3.0,none,2492,0.4213,0.0858,1.2193,19.81,213.81
5,20,1,25,3.0,ema200_price_above,786,0.4427,0.2264,1.6221,11.02,177.92
5,20,3,10,2.0,none,3076,0.4668,0.0392,1.1115,28.56,120.44
5,20,3,10,2.0,ema200_price_above,693,0.4978,0.1005,1.3242,8.78,69.65
5,20,3,10,3.0,none,2890,0.4865,0.0276,1.1148,19.32,79.86
5,20,3,10,3.0,ema200_price_above,675,0.5096,0.057,1.263,6.69,38.46
5,20,3,15,2.0,none,2660,0.4282,-0.0007,0.9983,72.01,-1.93
5,20,3,15,2.0,ema200_price_above,613,0.4519,0.1028,1.2803,15.35,63.0
5,20,3,15,3.0,none,2448,0.4534,0.0054,1.0183,41.54,13.22
5,20,3,15,3.0,ema200_price_above,600,0.48,0.0633,1.2423,12.98,37.98
5,20,3,20,2.0,none,2400,0.4017,0.0442,1.094,31.42,106.04
5,20,3,20,2.0,ema200_price_above,560,0.4125,0.1209,1.2845,13.81,67.72
5,20,3,20,3.0,none,2143,0.4428,0.0398,1.1185,20.39,85.37
5,20,3,20,3.0,ema200_price_above,542,0.4483,0.0847,1.2821,11.21,45.93
5,20,3,25,2.0,none,2206,0.3935,0.1502,1.3091,19.78,331.38
5,20,3,25,2.0,ema200_price_above,522,0.3716,0.1762,1.3646,20.28,92.0
5,20,3,25,3.0,none,1959,0.4176,0.0893,1.2461,18.93,174.88
5,20,3,25,3.0,ema200_price_above,502,0.3964,0.112,1.3142,14.21,56.24
5,25,1,10,2.0,none,5098,0.4553,0.0141,1.0372,76.17,71.63
5,25,1,10,2.0,ema200_price_above,1470,0.4646,0.0437,1.1204,19.32,64.24
5,25,1,10,3.0,none,4759,0.4717,0.009,1.0337,44.3,42.84
5,25,1,10,3.0,ema200_price_above,1425,0.4772,0.0269,1.108,12.24,38.39
5,25,1,15,2.0,none,4079,0.4244,0.0321,1.0736,67.89,131.09
5,25,1,15,2.0,ema200_price_above,1206,0.4378,0.1399,1.331,13.34,168.75
5,25,1,15,3.0,none,3717,0.4426,0.0147,1.0467,44.71,54.77
5,25,1,15,3.0,ema200_price_above,1158,0.4594,0.0843,1.2843,9.45,97.67
5,25,1,20,2.0,none,3493,0.3977,0.0826,1.1699,34.35,288.69
5,25,1,20,2.0,ema200_price_above,1058,0.4216,0.2616,1.566,14.59,276.79
5,25,1,20,3.0,none,3107,0.4316,0.0646,1.183,23.21,200.81
5,25,1,20,3.0,ema200_price_above,990,0.4616,0.1632,1.5048,12.5,161.62
5,25,1,25,2.0,none,3095,0.3829,0.1403,1.2741,32.12,434.36
5,25,1,25,2.0,ema200_price_above,948,0.3935,0.275,1.5526,14.05,260.67
5,25,1,25,3.0,none,2661,0.428,0.0893,1.233,16.76,237.61
5,25,1,25,3.0,ema200_price_above,860,0.45,0.2252,1.6429,6.95,193.63
5,25,3,10,2.0,none,4005,0.4582,0.0237,1.0657,35.62,95.03
5,25,3,10,2.0,ema200_price_above,991,0.4743,0.0686,1.2045,21.93,67.96
5,25,3,10,3.0,none,3695,0.4698,0.0123,1.0488,37.11,45.41
5,25,3,10,3.0,ema200_price_above,960,0.4844,0.0333,1.1401,15.35,32.0
5,25,3,15,2.0,none,3373,0.4231,-0.0004,0.9991,80.02,-1.29
5,25,3,15,2.0,ema200_price_above,857,0.4364,0.1029,1.253,24.23,88.2
5,25,3,15,3.0,none,3035,0.4458,0.005,1.0162,45.46,15.1
5,25,3,15,3.0,ema200_price_above,826,0.4588,0.0669,1.2326,16.6,55.26
5,25,3,20,2.0,none,2987,0.4048,0.0315,1.0666,42.67,94.18
5,25,3,20,2.0,ema200_price_above,762,0.4081,0.1566,1.3514,18.59,119.31
5,25,3,20,3.0,none,2610,0.4414,0.0288,1.084,40.11,75.07
5,25,3,20,3.0,ema200_price_above,722,0.4432,0.0952,1.3012,14.09,68.72
5,25,3,25,2.0,none,2700,0.3863,0.137,1.2785,22.84,369.78
5,25,3,25,2.0,ema200_price_above,683,0.3572,0.1707,1.3363,17.4,116.61
5,25,3,25,3.0,none,2330,0.4094,0.0854,1.2259,20.31,198.87
5,25,3,25,3.0,ema200_price_above,644,0.3789,0.1362,1.3502,13.72,87.71
7,10,1,10,2.0,none,2764,0.4721,0.032,1.0905,31.0,88.46
7,10,1,10,2.0,ema200_price_above,657,0.5175,0.1126,1.3662,7.24,73.98
7,10,1,10,3.0,none,2670,0.4891,0.0243,1.0998,24.08,65.0
7,10,1,10,3.0,ema200_price_above,650,0.5215,0.0603,1.274,5.97,39.21
7,10,1,15,2.0,none,2403,0.4153,-0.0195,0.9559,72.7,-46.76
7,10,1,15,2.0,ema200_price_above,593,0.4621,0.1192,1.3092,13.09,70.71
7,10,1,15,3.0,none,2266,0.4444,-0.0186,0.941,63.02,-42.14
7,10,1,15,3.0,ema200_price_above,584,0.476,0.0581,1.2051,10.16,33.93
7,10,1,20,2.0,none,2154,0.3979,0.0318,1.0654,37.17,68.59
