stoch_n,oversold,smooth_d,hold_bars,atr_mult,filter_mode,num_trades,win_rate,avg_r,pf,max_dd_r,total_r
10,20,1,15,2.0,none,3341,0.4181,-0.0174,0.9602,85.4,-58.28
10,20,1,15,2.0,ema200_price_above,841,0.4459,0.1159,1.2902,15.23,97.46
10,20,1,15,3.0,none,3013,0.4404,-0.0155,0.9507,58.06,-46.55
10,20,1,15,3.0,ema200_price_above,809,0.4771,0.0835,1.3013,11.36,67.53
10,20,1,20,2.0,none,2971,0.3985,0.0368,1.0757,38.7,109.25
10,20,1,20,2.0,ema200_price_above,756,0.414,0.1494,1.3371,22.29,112.98
10,20,1,20,3.0,none,2609,0.4484,0.0184,1.052,37.06,47.93
10,20,1,20,3.0,ema200_price_above,718,0.4596,0.1094,1.3446,13.61,78.58
10,20,1,25,2.0,none,2676,0.3834,0.1147,1.2285,24.35,307.05
10,20,1,25,2.0,ema200_price_above,677,0.3959,0.2093,1.4285,19.9,141.71
10,20,1,25,3.0,none,2324,0.4277,0.0627,1.1666,21.26,145.69
10,20,1,25,3.0,ema200_price_above,643,0.437,0.1351,1.3694,12.99,86.84
10,20,3,10,2.0,none,3058,0.4712,0.0033,1.0094,36.69,10.06
10,20,3,10,2.0,ema200_price_above,665,0.5008,0.0831,1.2595,9.12,55.29
10,20,3,10,3.0,none,2823,0.4825,0.0,1.0002,24.88,0.11
10,20,3,10,3.0,ema200_price_above,641,0.5023,0.0344,1.1447,6.75,22.04
10,20,3,15,2.0,none,2750,0.4273,-0.0172,0.9589,69.56,-47.42
10,20,3,15,2.0,ema200_price_above,623,0.4382,0.0763,1.1894,13.71,47.53
10,20,3,15,3.0,none,2460,0.4541,-0.0156,0.9474,52.46,-38.41
10,20,3,15,3.0,ema200_price_above,598,0.4682,0.0576,1.2043,11.64,34.47
10,20,3,20,2.0,none,2533,0.4208,0.0345,1.0752,43.38,87.29
10,20,3,20,2.0,ema200_price_above,574,0.4111,0.0907,1.2064,18.83,52.06
10,20,3,20,3.0,none,2222,0.4577,0.0239,1.072,25.75,53.01
10,20,3,20,3.0,ema200_price_above,547,0.4442,0.0652,1.2043,14.93,35.67
10,20,3,25,2.0,none,2317,0.3979,0.1315,1.2736,19.76,304.58
10,20,3,25,2.0,ema200_price_above,517,0.3752,0.1976,1.3977,20.64,102.15
10,20,3,25,3.0,none,2011,0.4217,0.0771,1.2125,18.91,154.99
10,20,3,25,3.0,ema200_price_above,497,0.4044,0.1316,1.352,12.78,65.41
10,25,1,10,2.0,none,4400,0.453,-0.0012,0.9967,63.16,-5.24
10,25,1,10,2.0,ema200_price_above,1105,0.4643,0.0141,1.0404,15.75,15.58
10,25,1,10,3.0,none,4066,0.4693,-0.0005,0.9981,36.74,-1.94
10,25,1,10,3.0,ema200_price_above,1063,0.476,0.0081,1.0335,11.99,8.59
10,25,1,15,2.0,none,3683,0.4103,-0.0225,0.9492,121.86,-82.8
10,25,1,15,2.0,ema200_price_above,970,0.4278,0.0488,1.1142,22.35,47.33
10,25,1,15,3.0,none,3328,0.4399,-0.0244,0.9224,95.33,-81.32
10,25,1,15,3.0,ema200_price_above,922,0.462,0.0429,1.1462,18.03,39.53
10,25,1,20,2.0,none,3260,0.3908,0.021,1.0428,40.86,68.57
10,25,1,20,2.0,ema200_price_above,870,0.3966,0.0923,1.1953,23.56,80.28
10,25,1,20,3.0,none,2834,0.4432,-0.0028,0.9922,50.15,-7.86
10,25,1,20,3.0,ema200_price_above,814,0.4496,0.0639,1.1876,13.22,51.99
10,25,1,25,2.0,none,2935,0.3847,0.124,1.2473,25.95,363.96
10,25,1,25,2.0,ema200_price_above,767,0.3872,0.1628,1.3228,14.56,124.86
10,25,1,25,3.0,none,2518,0.4206,0.0628,1.1663,20.73,158.03
10,25,1,25,3.0,ema200_price_above,710,0.4296,0.1449,1.3888,12.39,102.85
10,25,3,10,2.0,none,3769,0.4683,0.0121,1.0345,50.18,45.42
10,25,3,10,2.0,ema200_price_above,890,0.4865,0.0811,1.244,13.92,72.17
10,25,3,10,3.0,none,3450,0.482,0.0091,1.0375,29.85,31.31
10,25,3,10,3.0,ema200_price_above,850,0.4965,0.0409,1.1721,12.29,34.74
10,25,3,15,2.0,none,3299,0.4316,0.0069,1.0164,48.04,22.83
10,25,3,15,2.0,ema200_price_above,809,0.445,0.1052,1.2632,22.33,85.11
10,25,3,15,3.0,none,2911,0.4528,0.0005,1.0016,46.01,1.36
10,25,3,15,3.0,ema200_price_above,765,0.4693,0.0743,1.2646,14.65,56.82
10,25,3,20,2.0,none,2988,0.4217,0.0647,1.1398,28.67,193.38
10,25,3,20,2.0,ema200_price_above,726,0.4036,0.1496,1.3367,16.33,108.62
10,25,3,20,3.0,none,2569,0.4558,0.0345,1.1034,23.67,88.68
10,25,3,20,3.0,ema200_price_above,675,0.4459,0.1006,1.3221,12.62,67.88
10,25,3,25,2.0,none,2679,0.399,0.1229,1.2548,21.92,329.32
10,25,3,25,2.0,ema200_price_above,641,0.3651,0.2201,1.4503,16.44,141.09
10,25,3,25,3.0,none,2305,0.4278,0.0704,1.1957,19.01,162.35
10,25,3,25,3.0,ema200_price_above,612,0.3938,0.1442,1.3913,11.05,88.24
14,10,1,10,2.0,none,2304,0.4744,-0.0,0.9999,52.94,-0.08
14,10,1,10,2.0,ema200_price_above,453,0.5166,0.1409,1.4314,12.41,63.85
14,10,1,10,3.0,none,2185,0.4906,-0.0017,0.9933,46.31,-3.75
14,10,1,10,3.0,ema200_price_above,448,0.5268,0.0738,1.302,10.26,33.07
14,10,1,15,2.0,none,2076,0.4118,-0.0554,0.8756,147.86,-115.02
14,10,1,15,2.0,ema200_price_above,424,0.467,0.1045,1.2703,20.46,44.33
14,10,1,15,3.0,none,1911,0.4464,-0.0437,0.8627,108.47,-83.45
14,10,1,15,3.0,ema200_price_above,421,0.4941,0.0637,1.229,11.25,26.81
14,10,1,20,2.0,none,1942,0.4119,0.0231,1.0475,48.14,44.83
14,10,1,20,2.0,ema200_price_above,399,0.4236,0.1131,1.2535,27.4,45.12
14,10,1,20,3.0,none,1755,0.4593,0.0133,1.0378,36.89,23.36
14,10,1,20,3.0,ema200_price_above,391,0.468,0.0609,1.1909,14.01,23.81
14,10,1,25,2.0,none,1813,0.3629,0.1016,1.1943,49.88,184.28
14,10,1,25,2.0,ema200_price_above,368,0.3478,0.1724,1.3283,33.44,63.44
14,10,1,25,3.0,none,1622,0.4112,0.072,1.1884,23.41,116.77
14,10,1,25,3.0,ema200_price_above,360,0.3806,0.086,1.2175,24.58,30.95
14,10,3,10,2.0,none,1158,0.4888,0.0214,1.0619,18.65,24.79
14,10,3,10,2.0,ema200_price_above,132,0.4697,0.0484,1.1299,9.85,6.39
14,10,3,10,3.0,none,1092,0.5082,0.0261,1.1127,10.07,28.49
14,10,3,10,3.0,ema200_price_above,129,0.4961,0.026,1.0968,8.89,3.36
14,10,3,15,2.0,none,1106,0.4503,0.0218,1.0527,27.95,24.13
14,10,3,15,2.0,ema200_price_above,130,0.4,-0.1128,0.7569,20.96,-14.66
14,10,3,15,3.0,none,1026,0.4717,0.0012,1.0039,19.84,1.19
14,10,3,15,3.0,ema200_price_above,127,0.4173,-0.1013,0.707,17.19,-12.86
14,10,3,20,2.0,none,1078,0.4518,0.1588,1.351,17.73,171.14
14,10,3,20,2.0,ema200_price_above,128,0.3984,-0.0715,0.8646,18.3,-9.16
14,10,3,20,3.0,none,990,0.4859,0.1074,1.3345,13.31,106.33
14,10,3,20,3.0,ema200_price_above,126,0.4365,-0.0863,0.7901,15.09,-10.87
14,10,3,25,2.0,none,1044,0.4195,0.212,1.4415,17.7,221.36
14,10,3,25,2.0,ema200_price_above,123,0.3171,0.1144,1.1982,20.09,14.07
14,10,3,25,3.0,none,949,0.4626,0.1241,1.3581,10.66,117.74
14,10,3,25,3.0,ema200_price_above,121,0.3554,0.0543,1.1203,14.39,6.57
14,15,1,10,2.0,none,3011,0.4646,-0.0208,0.9442,95.86,-62.62
14,15,1,10,2.0,ema200_price_above,623,0.4992,0.0974,1.284,14.75,60.69
14,15,1,10,3.0,none,2811,0.4827,-0.0183,0.9306,72.63,-51.35
14,15,1,10,3.0,ema200_price_above,610,0.5131,0.0472,1.1862,11.23,28.79
14,15,1,15,2.0,none,2652,0.4114,-0.0376,0.9165,138.68,-99.68
14,15,1,15,2.0,ema200_price_above,577,0.4437,0.0903,1.2196,23.38,52.09
14,15,1,15,3.0,none,2385,0.4428,-0.0221,0.9299,80.21,-52.74
14,15,1,15,3.0,ema200_price_above,566,0.4717,0.0528,1.1807,17.13,29.91
14,15,1,20,2.0,none,2442,0.4009,0.0254,1.0513,36.53,61.99
14,15,1,20,2.0,ema200_price_above,534,0.4139,0.121,1.2638,24.4,64.61
14,15,1,20,3.0,none,2159,0.4479,0.012,1.0337,39.05,25.95
14,15,1,20,3.0,ema200_price_above,515,0.4602,0.0779,1.2389,16.13,40.12
14,15,1,25,2.0,none,2294,0.3692,0.0853,1.162,33.26,195.64
14,15,1,25,2.0,ema200_price_above,490,0.3551,0.1482,1.2814,24.84,72.64
14,15,1,25,3.0,none,1969,0.4195,0.0502,1.1288,33.29,98.82
14,15,1,25,3.0,ema200_price_above,469,0.3923,0.0888,1.2295,17.94,41.65
14,15,3,10,2.0,none,2165,0.4697,-0.0197,0.9459,49.52,-42.59
14,15,3,10,2.0,ema200_price_above,365,0.4767,0.0427,1.1211,13.69,15.6
14,15,3,10,3.0,none,2007,0.4893,-0.0171,0.9336,43.65,-34.24
14,15,3,10,3.0,ema200_price_above,356,0.4916,-0.0065,0.9763,12.39,-2.33
14,15,3,15,2.0,none,2008,0.4328,-0.0134,0.9684,43.25,-26.89
14,15,3,15,2.0,ema200_price_above,353,0.4391,-0.0052,0.9876,18.36,-1.85
14,15,3,15,3.0,none,1809,0.4561,-0.0251,0.9189,53.04,-45.44
14,15,3,15,3.0,ema200_price_above,344,0.468,-0.0253,0.9207,16.11,-8.71
14,15,3,20,2.0,none,1918,0.427,0.072,1.1552,17.69,138.03
14,15,3,20,2.0,ema200_price_above,338,0.3787,-0.0439,0.9106,25.5,-14.84
14,15,3,20,3.0,none,1706,0.4625,0.0434,1.1274,14.93,73.97
14,15,3,20,3.0,ema200_price_above,326,0.4049,-0.0611,0.8349,21.89,-19.91
14,15,3,25,2.0,none,1808,0.3894,0.1447,1.2963,20.76,261.61
14,15,3,25,2.0,ema200_price_above,315,0.327,0.0181,1.0336,26.31,5.69
14,15,3,25,3.0,none,1581,0.425,0.08,1.2168,19.77,126.49
14,15,3,25,3.0,ema200_price_above,305,0.3607,-0.026,0.938,25.77,-7.93
14,20,1,10,2.0,none,3576,0.4622,-0.0165,0.9555,86.05,-59.03
14,20,1,10,2.0,ema200_price_above,778,0.4743,0.0583,1.1679,11.05,45.35
14,20,1,10,3.0,none,3322,0.4783,-0.0169,0.9355,71.32,-56.09
14,20,1,10,3.0,ema200_price_above,752,0.4867,0.0258,1.1034,9.85,19.4
14,20,1,15,2.0,none,3100,0.4168,-0.022,0.95,109.26,-68.16
14,20,1,15,2.0,ema200_price_above,711,0.4262,0.0838,1.2041,14.53,59.58
14,20,1,15,3.0,none,2779,0.4484,-0.0192,0.9386,71.94,-53.32
14,20,1,15,3.0,ema200_price_above,687,0.4512,0.0532,1.1837,13.27,36.53
14,20,1,20,2.0,none,2802,0.4065,0.0123,1.0252,57.77,34.38
14,20,1,20,2.0,ema200_price_above,654,0.4098,0.0874,1.186,25.89,57.17
14,20,1,20,3.0,none,2459,0.4514,0.0086,1.0244,46.08,21.21
14,20,1,20,3.0,ema200_price_above,619,0.4459,0.0529,1.1576,19.67,32.76
14,20,1,25,2.0,none,2595,0.3734,0.0734,1.1417,31.54,190.54
14,20,1,25,2.0,ema200_price_above,593,0.3524,0.131,1.2459,23.33,77.7
14,20,1,25,3.0,none,2213,0.4257,0.0558,1.1469,28.64,123.49
14,20,1,25,3.0,ema200_price_above,556,0.3903,0.0805,1.2091,20.3,44.76
14,20,3,10,2.0,none,2952,0.4729,0.0055,1.0155,29.89,16.14
14,20,3,10,2.0,ema200_price_above,580,0.4741,0.0434,1.1269,15.74,25.19
14,20,3,10,3.0,none,2702,0.4852,-0.003,0.9877,29.62,-8.23
14,20,3,10,3.0,ema200_price_above,557,0.4829,-0.0006,0.9979,16.72,-0.31
14,20,3,15,2.0,none,2642,0.43,-0.007,0.9835,49.42,-18.39
14,20,3,15,2.0,ema200_price_above,545,0.4477,0.058,1.1416,15.37,31.58
14,20,3,15,3.0,none,2332,0.4567,-0.0087,0.971,41.48,-20.33
14,20,3,15,3.0,ema200_price_above,517,0.4739,0.0276,1.0912,13.84,14.29
14,20,3,20,2.0,none,2469,0.4196,0.0571,1.1227,28.25,140.98
14,20,3,20,2.0,ema200_price_above,511,0.4149,0.0767,1.1668,16.28,39.18
14,20,3,20,3.0,none,2148,0.4558,0.0259,1.0756,22.0,55.67
14,20,3,20,3.0,ema200_price_above,484,0.4483,0.0277,1.0799,12.73,13.4
14,20,3,25,2.0,none,2315,0.3974,0.178,1.3672,17.61,412.17
14,20,3,25,2.0,ema200_price_above,479,0.3633,0.152,1.2957,20.81,72.81
14,20,3,25,3.0,none,1974,0.4215,0.0875,1.2339,14.67,172.67
14,20,3,25,3.0,ema200_price_above,455,0.3868,0.0614,1.1526,17.26,27.91
14,25,1,10,2.0,none,4047,0.4534,-0.0249,0.9334,130.61,-100.77
14,25,1,10,2.0,ema200_price_above,947,0.4699,0.0475,1.1347,11.6,45.01
14,25,1,10,3.0,none,3728,0.4732,-0.0205,0.9224,90.68,-76.33
14,25,1,10,3.0,ema200_price_above,911,0.4852,0.0191,1.0747,10.14,17.37
14,25,1,15,2.0,none,3455,0.4194,-0.0151,0.9659,113.11,-52.09
14,25,1,15,2.0,ema200_price_above,838,0.4248,0.087,1.2093,17.73,72.87
14,25,1,15,3.0,none,3049,0.4447,-0.017,0.9462,74.87,-51.91
14,25,1,15,3.0,ema200_price_above,791,0.4437,0.0567,1.1928,17.01,44.86
14,25,1,20,2.0,none,3108,0.4022,0.0255,1.0519,68.7,79.24
14,25,1,20,2.0,ema200_price_above,771,0.4073,0.104,1.2173,17.49,80.16
14,25,1,20,3.0,none,2664,0.4422,0.0026,1.0074,51.17,7.06
14,25,1,20,3.0,ema200_price_above,714,0.4384,0.0685,1.2007,13.42,48.93
14,25,1,25,2.0,none,2837,0.3796,0.1282,1.2523,31.38,363.63
14,25,1,25,2.0,ema200_price_above,685,0.3679,0.1717,1.3273,19.38,117.64
14,25,1,25,3.0,none,2404,0.4218,0.0829,1.2193,21.33,199.2
14,25,1,25,3.0,ema200_price_above,635,0.4016,0.1164,1.308,13.04,73.93
14,25,3,10,2.0,none,3586,0.4565,-0.0074,0.9797,93.86,-26.37
14,25,3,10,2.0,ema200_price_above,788,0.4645,0.0622,1.1785,21.38,49.04
14,25,3,10,3.0,none,3284,0.4769,-0.0107,0.9574,61.41,-35.21
14,25,3,10,3.0,ema200_price_above,747,0.4766,0.0197,1.0753,14.1,14.7
14,25,3,15,2.0,none,3120,0.4292,-0.0027,0.9937,56.37,-8.32
14,25,3,15,2.0,ema200_price_above,708,0.4308,0.0701,1.1716,17.84,49.65
14,25,3,15,3.0,none,2737,0.4567,-0.0057,0.9812,43.31,-15.48
14,25,3,15,3.0,ema200_price_above,663,0.4555,0.0455,1.1543,12.32,30.15
14,25,3,20,2.0,none,2867,0.4137,0.0368,1.0773,39.0,105.6
14,25,3,20,2.0,ema200_price_above,656,0.3963,0.0872,1.1829,20.48,57.19
14,25,3,20,3.0,none,2448,0.4502,0.014,1.0401,34.96,34.15
14,25,3,20,3.0,ema200_price_above,598,0.4381,0.0547,1.1563,11.97,32.69
14,25,3,25,2.0,none,2644,0.3884,0.1423,1.286,19.06,376.15
14,25,3,25,2.0,ema200_price_above,607,0.3427,0.1358,1.2566,20.51,82.42
14,25,3,25,3.0,none,2235,0.4268,0.0757,1.2037,19.4,169.19
14,25,3,25,3.0,ema200_price_above,554,0.3809,0.0737,1.1861,14.84,40.84
20,10,1,10,2.0,none,2125,0.4687,-0.0255,0.9309,78.8,-54.17
20,10,1,10,2.0,ema200_price_above,340,0.4618,-0.01,0.9723,12.92,-3.39
20,10,1,10,3.0,none,2027,0.4983,-0.0027,0.9893,30.42,-5.46
20,10,1,10,3.0,ema200_price_above,336,0.4851,-0.028,0.896,15.15,-9.39
20,10,1,15,2.0,none,1901,0.4093,-0.0661,0.8541,148.07,-125.7
20,10,1,15,2.0,ema200_price_above,318,0.4214,-0.0743,0.8259,30.3,-23.62
20,10,1,15,3.0,none,1766,0.4371,-0.0569,0.8274,115.61,-100.41
20,10,1,15,3.0,ema200_price_above,313,0.4537,-0.065,0.7916,24.93,-20.33
20,10,1,20,2.0,none,1797,0.4096,-0.0025,0.9948,59.54,-4.55
20,10,1,20,2.0,ema200_price_above,304,0.375,-0.0917,0.8078,36.65,-27.87
20,10,1,20,3.0,none,1634,0.4535,-0.0077,0.9784,34.66,-12.63
20,10,1,20,3.0,ema200_price_above,298,0.4262,-0.0725,0.7926,25.26,-21.6
20,10,1,25,2.0,none,1705,0.3619,0.0855,1.1633,34.44,145.75
20,10,1,25,2.0,ema200_price_above,292,0.3082,-0.1269,0.7695,43.03,-37.04
20,10,1,25,3.0,none,1533,0.4031,0.0489,1.1239,22.61,74.99
20,10,1,25,3.0,ema200_price_above,287,0.3484,-0.1217,0.7165,39.96,-34.93
20,10,3,10,2.0,none,1285,0.4887,0.0248,1.0697,17.57,31.82
20,10,3,10,2.0,ema200_price_above,128,0.4609,-0.0357,0.9115,11.82,-4.57
20,10,3,10,3.0,none,1189,0.5114,0.0192,1.0777,11.9,22.82
20,10,3,10,3.0,ema200_price_above,126,0.4841,-0.05,0.837,11.03,-6.3
20,10,3,15,2.0,none,1207,0.4515,0.0448,1.1071,16.93,54.08
20,10,3,15,2.0,ema200_price_above,123,0.3821,-0.1787,0.6477,23.92,-21.98
20,10,3,15,3.0,none,1095,0.4703,0.0127,1.042,19.79,13.94
20,10,3,15,3.0,ema200_price_above,122,0.4098,-0.1763,0.5635,23.44,-21.51
20,10,3,20,2.0,none,1174,0.4566,0.1536,1.3426,13.18,180.28
20,10,3,20,2.0,ema200_price_above,121,0.3802,-0.1692,0.6868,23.77,-20.48
20,10,3,20,3.0,none,1052,0.4886,0.0982,1.2997,8.76,103.32
20,10,3,20,3.0,ema200_price_above,119,0.4118,-0.1753,0.6026,23.48,-20.87
20,10,3,25,2.0,none,1149,0.4195,0.2149,1.4464,14.14,246.9
20,10,3,25,2.0,ema200_price_above,118,0.3305,-0.1487,0.7444,23.68,-17.55
20,10,3,25,3.0,none,1011,0.455,0.1179,1.3293,11.72,119.23
20,10,3,25,3.0,ema200_price_above,116,0.3793,-0.1386,0.709,18.78,-16.07
20,15,1,10,2.0,none,2752,0.4593,-0.0523,0.8626,161.06,-144.01
20,15,1,10,2.0,ema200_price_above,502,0.4562,-0.0357,0.9035,25.75,-17.91
20,15,1,10,3.0,none,2574,0.4829,-0.0318,0.8804,99.24,-81.95
20,15,1,10,3.0,ema200_price_above,488,0.4734,-0.0491,0.8213,29.06,-23.97
20,15,1,15,2.0,none,2431,0.42,-0.0444,0.901,137.34,-108.02
20,15,1,15,2.0,ema200_price_above,462,0.4372,-0.0389,0.9106,27.87,-17.96
20,15,1,15,3.0,none,2214,0.4444,-0.0475,0.8559,123.42,-105.26
20,15,1,15,3.0,ema200_price_above,445,0.4652,-0.0489,0.8475,26.81,-21.76
20,15,1,20,2.0,none,2245,0.4,0.0106,1.0216,50.4,23.77
20,15,1,20,2.0,ema200_price_above,430,0.3721,-0.0473,0.903,34.56,-20.32
20,15,1,20,3.0,none,1997,0.4507,-0.0072,0.9801,42.99,-14.44
20,15,1,20,3.0,ema200_price_above,415,0.4169,-0.052,0.8563,25.89,-21.6
20,15,1,25,2.0,none,2122,0.368,0.092,1.1758,31.07,195.21
20,15,1,25,2.0,ema200_price_above,397,0.3123,-0.0014,0.9975,47.51,-0.56
20,15,1,25,3.0,none,1863,0.4133,0.0565,1.1429,27.9,105.2
20,15,1,25,3.0,ema200_price_above,381,0.357,-0.0211,0.9497,33.35,-8.03
20,15,3,10,2.0,none,2162,0.4838,-0.001,0.9971,31.59,-2.2
20,15,3,10,2.0,ema200_price_above,315,0.4889,0.0082,1.0245,17.72,2.58
20,15,3,10,3.0,none,1971,0.4932,-0.0124,0.9514,34.03,-24.48
20,15,3,10,3.0,ema200_price_above,308,0.5162,-0.0184,0.9282,16.17,-5.68
20,15,3,15,2.0,none,1963,0.4376,0.0033,1.0079,37.59,6.52
20,15,3,15,2.0,ema200_price_above,297,0.4276,-0.0936,0.7823,36.75,-27.79
20,15,3,15,3.0,none,1745,0.4527,-0.023,0.9275,54.01,-40.06
20,15,3,15,3.0,ema200_price_above,289,0.4602,-0.1073,0.6868,33.71,-31.02
20,15,3,20,2.0,none,1861,0.4315,0.0724,1.1578,28.68,134.65
20,15,3,20,2.0,ema200_price_above,288,0.3646,-0.1327,0.7282,48.68,-38.21
20,15,3,20,3.0,none,1620,0.4599,0.0351,1.1026,25.42,56.94
20,15,3,20,3.0,ema200_price_above,278,0.3741,-0.1501,0.6183,45.79,-41.72
20,15,3,25,2.0,none,1784,0.3907,0.13,1.2654,19.37,231.9
20,15,3,25,2.0,ema200_price_above,281,0.3203,-0.173,0.6873,53.42,-48.62
20,15,3,25,3.0,none,1532,0.4158,0.0602,1.1599,12.24,92.25
20,15,3,25,3.0,ema200_price_above,270,0.3481,-0.1803,0.5948,50.23,-48.67
20,20,1,10,2.0,none,3352,0.4663,-0.0224,0.9395,117.14,-75.11
20,20,1,10,2.0,ema200_price_above,663,0.4827,0.0427,1.1184,17.45,28.3
20,20,1,10,3.0,none,3103,0.486,-0.0163,0.9372,74.74,-50.71
20,20,1,10,3.0,ema200_price_above,638,0.5016,0.0175,1.0686,13.21,11.2
20,20,1,15,2.0,none,2877,0.431,-0.0082,0.9811,106.14,-23.56
20,20,1,15,2.0,ema200_price_above,596,0.443,0.0905,1.2202,17.04,53.95
20,20,1,15,3.0,none,2575,0.4528,-0.0212,0.9328,84.23,-54.66
20,20,1,15,3.0,ema200_price_above,571,0.4658,0.0489,1.1632,12.46,27.91
20,20,1,20,2.0,none,2626,0.4113,0.0318,1.0665,40.74,83.58
20,20,1,20,2.0,ema200_price_above,553,0.4051,0.113,1.2417,17.29,62.51
20,20,1,20,3.0,none,2287,0.4596,0.0112,1.0321,51.61,25.7
20,20,1,20,3.0,ema200_price_above,523,0.4417,0.0618,1.1793,12.42,32.31
20,20,1,25,2.0,none,2457,0.383,0.1093,1.2168,21.84,268.65
20,20,1,25,2.0,ema200_price_above,501,0.3413,0.1028,1.192,31.19,51.53
20,20,1,25,3.0,none,2111,0.4382,0.0746,1.1996,30.07,157.53
20,20,1,25,3.0,ema200_price_above,469,0.3859,0.0622,1.1565,21.14,29.16
20,20,3,10,2.0,none,2872,0.4659,-0.0125,0.9649,65.02,-35.8
20,20,3,10,2.0,ema200_price_above,493,0.4381,-0.0208,0.9418,19.36,-10.27
20,20,3,10,3.0,none,2625,0.4846,-0.0154,0.9387,59.94,-40.31
20,20,3,10,3.0,ema200_price_above,473,0.463,-0.044,0.841,23.83,-20.81
20,20,3,15,2.0,none,2518,0.4341,0.0138,1.0328,32.72,34.72
20,20,3,15,2.0,ema200_price_above,451,0.4368,0.0132,1.0312,15.89,5.96
20,20,3,15,3.0,none,2235,0.4604,-0.0023,0.9925,34.42,-5.13
20,20,3,15,3.0,ema200_price_above,427,0.4707,-0.014,0.957,13.37,-6.0
20,20,3,20,2.0,none,2348,0.4259,0.0556,1.1209,22.53,130.54
20,20,3,20,2.0,ema200_price_above,422,0.3934,-0.0575,0.8806,26.65,-24.28
20,20,3,20,3.0,none,2019,0.4586,0.0271,1.0796,26.86,54.76
20,20,3,20,3.0,ema200_price_above,397,0.4207,-0.0771,0.7939,32.05,-30.62
20,20,3,25,2.0,none,2218,0.3882,0.1395,1.2869,18.53,309.5
20,20,3,25,2.0,ema200_price_above,401,0.3466,-0.048,0.9081,29.78,-19.26
20,20,3,25,3.0,none,1899,0.4139,0.0621,1.1654,16.37,117.88
20,20,3,25,3.0,ema200_price_above,379,0.3747,-0.0867,0.7918,38.06,-32.86
20,25,1,10,2.0,none,3844,0.4631,-0.0335,0.9088,147.79,-128.85
20,25,1,10,2.0,ema200_price_above,798,0.4586,-0.021,0.9424,24.56,-16.77
20,25,1,10,3.0,none,3528,0.4819,-0.023,0.9094,94.75,-81.29
20,25,1,10,3.0,ema200_price_above,766,0.4726,-0.0326,0.8767,30.98,-24.98
20,25,1,15,2.0,none,3218,0.4198,-0.0235,0.9462,109.48,-75.66
20,25,1,15,2.0,ema200_price_above,704,0.4219,-0.01,0.9768,31.3,-7.04
20,25,1,15,3.0,none,2850,0.446,-0.0229,0.9276,84.33,-65.19
20,25,1,15,3.0,ema200_price_above,665,0.4451,-0.0205,0.9345,22.75,-13.67
20,25,1,20,2.0,none,2907,0.4052,0.0272,1.0562,35.33,78.99
20,25,1,20,2.0,ema200_price_above,649,0.3898,0.037,1.0756,24.0,24.03
20,25,1,20,3.0,none,2496,0.4463,0.0087,1.0246,35.58,21.73
20,25,1,20,3.0,ema200_price_above,604,0.4305,0.0078,1.0213,22.01,4.7
20,25,1,25,2.0,none,2682,0.3803,0.1357,1.2694,20.93,363.97
20,25,1,25,2.0,ema200_price_above,585,0.3402,0.0273,1.0501,39.05,15.95
20,25,1,25,3.0,none,2289,0.426,0.0809,1.2157,17.42,185.07
20,25,1,25,3.0,ema200_price_above,543,0.3702,-0.0086,0.9793,31.32,-4.66
20,25,3,10,2.0,none,3475,0.4599,-0.0283,0.9212,127.64,-98.21
20,25,3,10,2.0,ema200_price_above,693,0.4473,-0.0276,0.923,31.82,-19.12
20,25,3,10,3.0,none,3166,0.4848,-0.0242,0.904,95.21,-76.6
20,25,3,10,3.0,ema200_price_above,661,0.4644,-0.0442,0.835,33.2,-29.21
20,25,3,15,2.0,none,2956,0.4256,-0.0059,0.9861,72.83,-17.39
20,25,3,15,2.0,ema200_price_above,610,0.4295,-0.0207,0.95,21.6,-12.66
20,25,3,15,3.0,none,2629,0.4523,-0.0149,0.9519,68.57,-39.17
20,25,3,15,3.0,ema200_price_above,567,0.4586,-0.0285,0.9073,22.15,-16.15
20,25,3,20,2.0,none,2703,0.414,0.0398,1.0858,42.71,107.66
20,25,3,20,2.0,ema200_price_above,576,0.3924,0.0183,1.0382,18.17,10.53
20,25,3,20,3.0,none,2326,0.4463,0.0076,1.0218,42.0,17.67
20,25,3,20,3.0,ema200_price_above,531,0.42,-0.0099,0.9723,21.21,-5.28
20,25,3,25,2.0,none,2522,0.3807,0.149,1.3012,26.3,375.73
20,25,3,25,2.0,ema200_price_above,534,0.3184,0.0192,1.0354,35.15,10.26
20,25,3,25,3.0,none,2148,0.4162,0.0853,1.2268,19.66,183.3
20,25,3,25,3.0,ema200_price_above,486,0.3601,-0.0083,0.9799,28.72,-4.04
