symbol,timeframe,datetime,side,entry_time,entry_price,initial_stop,current_stop,old_stop,stop_changed,breakeven_active,chandelier_active,be_activated_this_bar,chand_activated_this_bar,chandelier_candidate,mfe_r,mae_r,close,high,low,atr
MLN/USDT,4h,2025-12-10 12:00:00+00:00,SHORT,2025-12-10 08:00:00+00:00,5.25,5.464285714285714,5.464285714285714,5.464285714285714,False,False,False,False,False,,0.14000000000000107,-0.23333333333333237,5.26,5.3,5.22,0.1057142857142858
SAHARA/USDT,4h,2025-12-10 12:00:00+00:00,SHORT,2025-12-10 08:00:00+00:00,0.0339,0.03549571428571428,0.03549571428571428,0.03549571428571428,False,False,False,False,False,,0.08773500447627652,-0.6454789615040306,0.03418,0.03493,0.03376,0.0008492857142857141
TRX/USDT,4h,2025-12-10 12:00:00+00:00,SHORT,2025-12-10 08:00:00+00:00,0.279,0.28214285714285714,0.28214285714285714,0.28214285714285714,False,False,False,False,False,,0.668181818181834,-0.031818181818178366,0.2782,0.2791,0.2769,0.0016428571428571404
MLN/USDT,4h,2025-12-10 16:00:00+00:00,SHORT,2025-12-10 08:00:00+00:00,5.25,5.464285714285714,5.464285714285714,5.464285714285714,False,False,False,False,False,,0.18666666666666673,-0.27999999999999803,5.3,5.31,5.21,0.10357142857142858
SAHARA/USDT,4h,2025-12-10 16:00:00+00:00,SHORT,2025-12-10 08:00:00+00:00,0.0339,0.03549571428571428,0.03549571428571428,0.03549571428571428,False,False,False,False,False,,0.08773500447627652,-0.6454789615040306,0.03448,0.03457,0.03398,0.0008335714285714281
TRX/USDT,4h,2025-12-10 16:00:00+00:00,SHORT,2025-12-10 08:00:00+00:00,0.279,0.28214285714285714,0.28214285714285714,0.28214285714285714,False,False,False,False,False,,0.7000000000000124,-0.031818181818178366,0.2785,0.2791,0.2768,0.0017142857142857157
MLN/USDT,4h,2025-12-10 20:00:00+00:00,SHORT,2025-12-10 08:00:00+00:00,5.25,5.464285714285714,5.464285714285714,5.464285714285714,False,False,False,False,False,,0.6533333333333314,-0.5133333333333345,5.17,5.36,5.11,0.1078571428571429
SAHARA/USDT,4h,2025-12-10 20:00:00+00:00,SHORT,2025-12-10 08:00:00+00:00,0.0339,0.03549571428571428,0.03549571428571428,0.03549571428571428,False,False,False,False,False,,0.08773500447627652,-0.6517457475380479,0.03414,0.03494,0.03379,0.0008707142857142847
SAPIEN/USDT,4h,2025-12-10 20:00:00+00:00,SHORT,2025-12-10 16:00:00+00:00,0.1427,0.15538571428571427,0.15538571428571427,0.15538571428571427,False,False,False,False,False,,0.33108108108107975,-0.14189189189189164,0.141,0.1445,0.1385,0.006221428571428568
TRX/USDT,4h,2025-12-10 20:00:00+00:00,SHORT,2025-12-10 08:00:00+00:00,0.279,0.28214285714285714,0.28214285714285714,0.28214285714285714,False,False,False,False,False,,0.7000000000000124,-0.5409090909090852,0.2801,0.2807,0.2783,0.0017500000000000016
