exit_time,symbol,timeframe,side,exit_reason,net_r,equity_r,peak_r,drawdown_r,breakeven_touched,chandelier_touched,mfe_r,mae_r
2025-12-11 00:00:00+00:00,SAHARA/USDT,4h,SHORT,STOP_BE_CHAND,-0.02,-0.02,-0.02,0.0,True,False,1.2408236347359014,-0.6517457475380479
2025-12-11 08:00:00+00:00,SAPIEN/USDT,4h,SHORT,INITIAL_STOP,-1.0199999999999994,-1.0399999999999994,-0.02,-1.0199999999999994,False,False,0.5202702702702701,-1.3164414414414414
2025-12-11 16:00:00+00:00,RAD/USDT,4h,SHORT,INITIAL_STOP,-1.0200000000000005,-2.0599999999999996,-0.02,-2.0399999999999996,False,False,0.1909090909090909,-2.2909090909090906
2025-12-11 20:00:00+00:00,SAGA/USDT,4h,SHORT,INITIAL_STOP,-1.0199999999999987,-3.0799999999999983,-0.02,-3.0599999999999983,False,False,0.21153846153846217,-1.173076923076924
2025-12-12 08:00:00+00:00,XUSD/USDT,4h,LONG,INITIAL_STOP,-1.019999999999889,-4.099999999999888,-0.02,-4.079999999999888,False,False,0.23333333333333334,-1.1666666666666665
2025-12-12 12:00:00+00:00,OSMO/USDT,4h,SHORT,INITIAL_STOP,-1.0200000000000005,-5.119999999999888,-0.02,-5.099999999999889,False,False,0.19178082191780693,-1.0068493150684947
2025-12-13 08:00:00+00:00,FET/USDT,4h,SHORT,INITIAL_STOP,-1.0200000000000002,-6.139999999999889,-0.02,-6.119999999999889,False,False,0.12508934953538245,-1.0957827019299495
2025-12-13 16:00:00+00:00,CFX/USDT,4h,SHORT,INITIAL_STOP,-1.02,-7.159999999999888,-0.02,-7.139999999999889,False,False,0.3309090909090929,-1.2981818181818148
2025-12-14 04:00:00+00:00,BIO/USDT,4h,SHORT,INITIAL_STOP,-1.0200000000000002,-8.179999999999888,-0.02,-8.159999999999888,False,False,0.18260869565217355,-1.0550724637681168
2025-12-14 04:00:00+00:00,SAHARA/USDT,4h,SHORT,INITIAL_STOP,-1.0200000000000007,-9.19999999999989,-0.02,-9.17999999999989,False,False,0.4446823697359036,-1.289079229122056
2025-12-14 08:00:00+00:00,TRX/USDT,4h,SHORT,STOP_BE_CHAND,1.2209090909090976,-7.979090909090791,-0.02,-7.959090909090792,True,True,2.672727272727283,-0.922727272727261
2025-12-14 12:00:00+00:00,LAYER/USDT,4h,SHORT,INITIAL_STOP,-1.0199999999999987,-8.99909090909079,-0.02,-8.97909090909079,False,False,0.584234930448221,-2.401854714064913
2025-12-15 00:00:00+00:00,LAYER/USDT,4h,SHORT,INITIAL_STOP,-1.0199999999999987,-10.019090909090789,-0.02,-9.99909090909079,False,False,0.009628610729022321,-1.7716643741403022
2025-12-15 12:00:00+00:00,ASTER/USDT,4h,SHORT,STOP_BE_CHAND,-0.02,-10.039090909090788,-0.02,-10.019090909090789,True,False,1.0681818181818201,-0.11363636363636383
2025-12-15 12:00:00+00:00,BTC/USDT,4h,SHORT,STOP_BE_CHAND,-0.02,-10.059090909090788,-0.02,-10.039090909090788,True,False,1.3285862791714453,-0.9245468891611768
2025-12-15 12:00:00+00:00,LTC/USDT,4h,SHORT,STOP_BE_CHAND,-0.02,-10.079090909090787,-0.02,-10.059090909090788,True,False,1.0558894230769242,-0.5973557692307694
2025-12-15 12:00:00+00:00,TIA/USDT,4h,SHORT,STOP_BE_CHAND,-0.02,-10.099090909090787,-0.02,-10.079090909090787,True,False,1.4072164948453632,-0.2164948453608251
2025-12-15 12:00:00+00:00,TON/USDT,4h,SHORT,STOP_BE_CHAND,-0.02,-10.119090909090787,-0.02,-10.099090909090787,True,False,1.338797814207646,-0.3442622950819672
2025-12-15 16:00:00+00:00,ETH/USDT,4h,SHORT,STOP_BE_CHAND,-0.02,-10.139090909090786,-0.02,-10.119090909090787,True,False,1.0801426525958535,-0.06319934241926034
2025-12-15 20:00:00+00:00,AAVE/USDT,4h,SHORT,INITIAL_STOP,-1.0199999999999987,-11.159090909090786,-0.02,-11.139090909090786,False,False,0.650549781593612,-1.204097002560628
2025-12-15 20:00:00+00:00,ASTER/USDT,4h,SHORT,STOP_BE_CHAND,-0.02,-11.179090909090785,-0.02,-11.159090909090786,True,False,1.0562659846547309,0.0
2025-12-16 04:00:00+00:00,MLN/USDT,4h,SHORT,STOP_BE_CHAND,1.786666666666665,-9.39242424242412,-0.02,-9.37242424242412,True,True,3.1266666666666643,-0.5133333333333345
2025-12-16 12:00:00+00:00,TON/USDT,4h,SHORT,INITIAL_STOP,-1.0199999999999985,-10.412424242424118,-0.02,-10.392424242424118,False,False,0.33409090909090783,-1.225
2025-12-16 16:00:00+00:00,LTC/USDT,4h,SHORT,INITIAL_STOP,-1.0199999999999991,-11.432424242424117,-0.02,-11.412424242424118,False,False,0.2737430167597802,-1.0345352971051283
2025-12-16 16:00:00+00:00,BIO/USDT,4h,SHORT,STOP_BE_CHAND,-0.02,-11.452424242424117,-0.02,-11.432424242424117,True,False,1.0123966942148752,-0.549586776859506
2025-12-16 20:00:00+00:00,NEAR/USDT,4h,SHORT,STOP_BE_CHAND,-0.02,-11.472424242424117,-0.02,-11.452424242424117,True,False,1.0469715698393078,-0.648949320148331
