symbol,timeframe,trades,total_net_r,avg_net_r,win_rate,profit_factor,max_drawdown_r,best_trade_r,worst_trade_r,be_touch_rate,chand_touch_rate
TON/USDT,2h,20,55.84982573542946,2.7924912867714733,0.25,6.640341480668024,-3.542344595582849,59.71109243697477,-1.0200000000000038,0.5,0.25
BIO/USDT,4h,18,17.476157478503104,0.9708976376946169,0.3888888888888889,3.4205204263854716,-2.040000000000001,14.568235294117642,-1.020000000000001,0.5555555555555556,0.3888888888888889
OSMO/USDT,4h,22,15.715894806387295,0.7143588548357861,0.22727272727272727,2.5199124570974183,-4.42992077464787,14.707941176470603,-1.0200000000000011,0.5454545454545454,0.2727272727272727
RENDER/USDT,4h,26,14.693163395279596,0.5651216690492152,0.23076923076923078,1.9541015191739992,-7.524327323162273,21.18488721804504,-1.0200000000000014,0.4230769230769231,0.23076923076923078
币安人生/USDT,4h,14,11.508992440467606,0.822070888604829,0.35714285714285715,3.2218132124454852,-2.0599999999999987,9.33297157622739,-1.0200000000000007,0.6428571428571429,0.42857142857142855
ICP/USDT,4h,21,10.58412469158928,0.5040059376947276,0.2857142857142857,2.680019792315759,-4.120000000000003,9.099111709286671,-1.0200000000000018,0.6666666666666666,0.23809523809523808
DOGS/USDT,2h,23,9.871281380709311,0.42918614698736135,0.13043478260869565,1.8659018755008163,-6.045202135774219,17.99648351648353,-1.0200000000000025,0.5217391304347826,0.21739130434782608
TAO/USDT,4h,17,8.249141379926069,0.48524361058388643,0.4117647058823529,2.0059928512104968,-3.7343657666836503,4.842686567164182,-1.020000000000001,0.5294117647058824,0.4117647058823529
PENDLE/USDT,2h,20,7.606840772018955,0.38034203860094773,0.3,1.7399650556438673,-4.100000000000003,6.768209606986904,-1.020000000000002,0.5,0.3
XPL/USDT,2h,22,7.247071911997498,0.32941235963624993,0.3181818181818182,1.5448926249622186,-4.08,10.15152103559871,-1.020000000000002,0.4090909090909091,0.3181818181818182
SUI/USDT,4h,24,5.689381055493527,0.23705754397889697,0.2916666666666667,1.5017090877860249,-6.674913957934989,5.997746478873243,-1.020000000000001,0.5416666666666666,0.2916666666666667
PENDLE/USDT,4h,23,4.934604300070727,0.21454801304655333,0.30434782608695654,1.5294639806942838,-5.200000000000001,4.096417910447759,-1.020000000000002,0.6086956521739131,0.30434782608695654
TIA/USDT,4h,20,4.437600562476443,0.22188002812382215,0.4,1.4802598011338142,-5.6951888341543535,4.896328600405672,-1.0200000000000018,0.55,0.4
JTO/USDT,4h,25,4.3754860977566965,0.17501944391026786,0.28,1.4555024628879836,-6.700772833723652,4.233424657534242,-1.0200000000000011,0.6,0.36
KITE/USDT,4h,24,3.8458581245614365,0.1602440885233932,0.25,1.4108822782651111,-3.0799999999999983,7.162451253481898,-1.0200000000000007,0.625,0.20833333333333334
WLD/USDT,2h,19,3.269119202219434,0.1720589053799702,0.3684210526315789,1.39673776725964,-2.08,2.9652941176470593,-1.0200000000000022,0.5789473684210527,0.3684210526315789
BIO/USDT,2h,23,3.2345146604975152,0.14063107219554413,0.21739130434782608,1.2421043907558023,-5.099540229885052,11.256595744680848,-1.0200000000000016,0.43478260869565216,0.2608695652173913
TRX/USDT,4h,25,3.1269511419861167,0.12507804567944467,0.32,1.2533996063197823,-4.100000000000005,3.8286486486486573,-1.020000000000008,0.52,0.28
ONDO/USDT,4h,29,3.000936544813749,0.10348057051081894,0.20689655172413793,1.1823169225281742,-14.380000000000006,13.096621983914185,-1.0200000000000018,0.4482758620689655,0.20689655172413793
WLFI/USDT,4h,22,2.0790950118168254,0.09450431871894661,0.2727272727272727,1.1836656370862921,-7.385033922105592,6.895730337078657,-1.0200000000000005,0.5,0.2727272727272727
SPK/USDT,2h,26,1.996400940316735,0.07678465155064365,0.19230769230769232,1.1748161944235318,-5.180000000000003,7.6165209719017275,-1.0200000000000027,0.5769230769230769,0.2692307692307692
PNUT/USDT,4h,25,1.782150958765879,0.07128603835063516,0.28,1.144186970773938,-4.274502923976608,6.387196969696972,-1.0200000000000018,0.52,0.28
TIA/USDT,2h,24,1.1471391932707498,0.04779746638628124,0.16666666666666666,1.0744895580045941,-6.120000000000003,9.19069692058345,-1.0200000000000031,0.375,0.16666666666666666
ENA/USDT,4h,24,0.9954614215194058,0.04147755922997524,0.3333333333333333,1.0964594400697099,-6.427998761503553,3.40004048582996,-1.0200000000000005,0.5833333333333334,0.375
INJ/USDT,2h,24,0.5660627869107007,0.023585949454612527,0.125,1.0543246436574572,-7.1906637168141625,4.528219584569727,-1.0200000000000027,0.5833333333333334,0.125
ZEC/USDT,2h,25,0.5318496145937348,0.021273984583749392,0.16,1.056459619383624,-8.299999999999999,6.5937701363073185,-1.0200000000000016,0.64,0.2
KITE/USDT,2h,25,0.5297701448525034,0.021190805794100136,0.32,1.042931130052877,-7.2,3.553746312684361,-1.020000000000002,0.52,0.32
TRX/USDT,2h,25,0.3990523318462609,0.015962093273850435,0.36,1.0479630206545987,-4.690656934306586,2.5307812499999613,-1.020000000000004,0.68,0.4
BFUSD/USDT,2h,3,0.3399999999983412,0.1133333333327804,0.3333333333333333,1.3269230769214164,-1.020000000000208,1.3799999999985493,-1.020000000000208,0.6666666666666666,0.0
TRUMP/USDT,2h,17,0.2598115880766956,0.015283034592746799,0.29411764705882354,1.0315305325335795,-5.140000000000003,2.4873280721533266,-1.020000000000002,0.5294117647058824,0.23529411764705882
VIC/USDT,4h,20,-0.010049318049481615,-0.0005024659024740807,0.25,0.9990243380534485,-7.441030927835053,2.912926829268298,-1.0200000000000011,0.5,0.35
JTO/USDT,2h,25,-0.06580234266180462,-0.002632093706472185,0.32,0.9938064787655866,-3.0799999999999983,2.643624511082138,-1.0200000000000011,0.56,0.36
INJ/USDT,4h,28,-0.2232079200753585,-0.007971711431262804,0.21428571428571427,0.9833922678515359,-9.280000000000008,5.188391608391612,-1.0200000000000018,0.5357142857142857,0.21428571428571427
FET/USDT,4h,26,-0.25325932858648276,-0.009740743407172413,0.2692307692307692,0.9799684630570106,-6.340663293629676,3.852911694510735,-1.0200000000000014,0.5,0.3076923076923077
NOT/USDT,2h,26,-0.3520983541972028,-0.013542244392200108,0.2692307692307692,0.9715590990147657,-6.685775908417914,5.037291666666674,-1.020000000000002,0.5384615384615384,0.23076923076923078
CHIP/USDT,2h,5,-0.5147622688703675,-0.1029524537740735,0.2,0.8059482538946473,-2.652706194104011,2.1379439252336434,-1.0200000000000014,0.4,0.4
LUNC/USDT,2h,28,-0.5945018105286861,-0.021232207518881645,0.17857142857142858,0.9522871741148727,-6.6023845804773,3.6024215246636753,-1.0200000000000016,0.5714285714285714,0.17857142857142858
PENGU/USDT,4h,28,-0.9020923919157171,-0.03221758542556132,0.2857142857142857,0.937354695005853,-10.938136350104198,3.915044450817323,-1.0200000000000014,0.5,0.25
DASH/USDT,2h,19,-1.1915566596885807,-0.06271350840466214,0.2631578947368421,0.8363246346581623,-3.139999999999999,1.8824005053695516,-1.0200000000000036,0.631578947368421,0.3157894736842105
