timeframe,side,time_filter,stop_mult,trades,total_r,avg_r,win_rate,profit_factor,max_dd_r,pass_cost_floor,zone_pass_rate,stability_zone_pass
1h,SHORT,second_half,2.0,18124,1336.5325198306016,0.07374379385514244,0.46557051423526813,1.2122777714979696,-65.58340134620164,False,0.0,False
1h,SHORT,second_half,3.0,18124,831.3486745683867,0.04587004384067462,0.48521297726771134,1.1860828157692775,-47.86119698542706,False,0.0,False
2h,LONG,first_half,1.5,9165,134.92220573524818,0.014721462709792492,0.38254228041462085,1.02734365581066,-209.2584931292113,False,0.0,False
2h,LONG,first_half,2.0,9165,89.55884971684165,0.009771833029660846,0.42749590834697215,1.0224639077279205,-163.68369413227262,False,0.0,False
2h,LONG,first_half,3.0,9165,91.62836717464859,0.009997639626257347,0.45684669939989087,1.0331839757397905,-82.95422931523377,False,0.0,False
2h,LONG,full,1.5,13674,385.98557618378106,0.028227700466855424,0.41056018721661547,1.0604926907362793,-131.94719698449495,False,0.0,False
2h,LONG,full,2.0,13674,291.96142737495006,0.021351574329014925,0.444493198771391,1.057400821001124,-97.88744281628443,False,0.0,False
2h,LONG,full,3.0,13674,236.27599038625095,0.017279215327354904,0.46628638291648383,1.0675615478339107,-64.7977741776293,False,0.0,False
2h,LONG,second_half,1.5,11280,678.3327624620534,0.06013588319699055,0.4698581560283688,1.1742895501088766,-44.0385400367328,False,0.0,False
2h,LONG,second_half,2.0,11280,622.1790016016025,0.05515771290794349,0.4907801418439716,1.2138364442646323,-30.851322683684486,False,0.0,False
2h,LONG,second_half,3.0,11280,476.05017451558894,0.04220302965563732,0.49929078014184397,1.2481779404717686,-17.785238837673703,False,0.0,False
2h,SHORT,first_half,1.5,10720,284.91786198182433,0.026578158766961225,0.42677238805970147,1.056304877617811,-133.02253034578047,False,0.0,False
2h,SHORT,first_half,2.0,10720,178.9845091679397,0.01669631615372572,0.4625,1.0438884469915841,-120.63220873744052,False,0.0,False
2h,SHORT,first_half,3.0,10720,85.6574001227763,0.007990429115930625,0.4896455223880597,1.0299723355460444,-79.10080826431917,False,0.0,False
2h,SHORT,full,1.5,17533,686.4120837554125,0.03914972245225646,0.439799235726915,1.0979456920214832,-73.70654666678433,False,0.0,False
2h,SHORT,full,2.0,17533,501.03681773891077,0.028576787642668727,0.46421034620430046,1.0902100558987509,-74.0357172744138,False,0.0,False
2h,SHORT,full,3.0,17533,311.43194117585585,0.017762615706145887,0.48177722009924145,1.080917168887526,-46.9838928702647,False,0.0,False
2h,SHORT,second_half,1.5,15264,882.04528673843,0.05778598576640658,0.4635089098532495,1.1799139943789885,-52.29351317838962,False,0.0,False
2h,SHORT,second_half,2.0,15264,746.2423703204361,0.04888904417717742,0.47667714884696016,1.200952250135314,-37.80234653669578,False,0.0,False
2h,SHORT,second_half,3.0,15264,528.9755697385318,0.034655108080354546,0.4827044025157233,1.21236816802401,-24.399987878166996,False,0.0,False
4h,LONG,first_half,1.5,6390,-2.4556522308108555,-0.00038429612375756735,0.43928012519561815,0.9990485202088037,-162.16030467025658,False,0.0,False
4h,LONG,first_half,2.0,6390,28.392157635426415,0.004443217157343727,0.46118935837245695,1.0142489965160764,-114.47486650213072,False,0.0,False
4h,LONG,first_half,3.0,6390,81.54566903741146,0.012761450553585518,0.47449139280125197,1.0626886845911026,-34.069724970697166,False,0.0,False
4h,LONG,full,1.5,9220,203.69676141818425,0.022092924231907184,0.45835140997830803,1.0644158403154893,-75.08000607694908,False,0.0,False
4h,LONG,full,2.0,9220,187.87503746740322,0.02037690211143202,0.4751626898047722,1.077334360337619,-51.066341769200676,False,0.0,False
4h,LONG,full,3.0,9220,201.93683809110826,0.02190204317690979,0.48524945770065075,1.127773677554247,-31.73118330146052,False,0.0,False
4h,LONG,second_half,1.5,7249,544.4336583516065,0.07510465696669975,0.511380880121396,1.360980152791686,-28.51117219220754,False,0.0,False
4h,LONG,second_half,2.0,7249,436.06105887513365,0.06015465014141725,0.5159332321699545,1.3904587833035245,-20.497722212752223,False,0.0,False
4h,LONG,second_half,3.0,7249,334.86524724156965,0.04619468164458127,0.518692233411505,1.472597653152109,-11.998860915062863,False,0.0,False
4h,SHORT,first_half,1.5,8378,170.6670351537325,0.020370856427993855,0.48197660539508236,1.0604853564490289,-65.44134648697813,False,0.0,False
4h,SHORT,first_half,2.0,8378,111.2502762276075,0.013278858465935486,0.49665791358319406,1.050966622058176,-47.496314236261114,False,0.0,False
4h,SHORT,first_half,3.0,8378,60.553389076941976,0.007227666397343277,0.5050131296252088,1.040851915815153,-35.007898183172856,False,0.0,False
4h,SHORT,full,1.5,13304,481.7217148830434,0.03620878794971763,0.4797053517739026,1.129144861042763,-37.956641046821176,False,0.0,False
4h,SHORT,full,2.0,13304,345.78794256954325,0.025991276501017985,0.4893265183403488,1.1206704284937767,-27.50686443416268,False,0.0,False
4h,SHORT,full,3.0,13304,221.64307045448487,0.016659882024540353,0.49488875526157544,1.1141419994848418,-25.458652145478425,False,0.0,False
4h,SHORT,second_half,1.5,11006,647.1685256682888,0.058801428826847975,0.4870070870434309,1.3097714339551845,-25.94204224974351,False,0.0,False
4h,SHORT,second_half,2.0,11006,490.83177910496283,0.04459674533027102,0.48855169907323276,1.3131325296695449,-17.366419315359565,False,0.0,False
4h,SHORT,second_half,3.0,11006,337.69118489563107,0.03068246273810931,0.4897328729783754,1.3228135672417254,-11.33830650522583,False,0.0,False
