timeframe,side,time_filter,stop_mult,trades,total_r,avg_r,win_rate,profit_factor,max_dd_r,pass_cost_floor,zone_pass_rate,stability_zone_pass
1h,LONG,first_half,1.5,11770,9.04630371458768,0.0007685899502623347,0.3004248088360238,1.00115059542574,-469.5928177801868,False,0.0,False
1h,LONG,first_half,2.0,11770,36.88708061176686,0.003133991555800073,0.365250637213254,1.0055369544938637,-350.16758621847,False,0.0,False
1h,LONG,first_half,3.0,11770,148.47924588067136,0.012615059123251601,0.4324553950722175,1.0304970569772138,-161.38140918376502,False,0.0,False
1h,LONG,full,1.5,17851,187.13292738457037,0.010483050102771294,0.3391406643885497,1.0179109945074387,-482.67790099029656,False,0.0,False
1h,LONG,full,2.0,17851,157.35980053719777,0.008815181252433912,0.39084645117920563,1.0180012380197352,-359.61854603214346,False,0.0,False
1h,LONG,full,3.0,17851,189.35805660459636,0.01060770021873264,0.44059156349784323,1.0298331308775392,-182.07218259258923,False,0.0,False
1h,LONG,second_half,1.5,14992,189.7747724104103,0.01265840264210314,0.3969450373532551,1.0260160215636935,-197.8124908384396,False,0.0,False
1h,LONG,second_half,2.0,14992,266.621481654332,0.017784250377156616,0.43810032017075773,1.0456457728569433,-146.4332592599605,False,0.0,False
1h,LONG,second_half,3.0,14992,333.8607268815512,0.0222692587300928,0.47018409818569906,1.0839252779652935,-76.55582695660217,False,0.0,False
1h,SHORT,first_half,1.5,12738,305.13689937398067,0.02395485157591307,0.34738577484691474,1.0396079946912042,-284.33271907265475,False,0.0,False
1h,SHORT,first_half,2.0,12738,238.03652881334892,0.018687119548857663,0.4024964672633066,1.03662269650274,-238.0504409368311,False,0.0,False
1h,SHORT,first_half,3.0,12738,104.17884841269523,0.008178587565763482,0.4578426754592558,1.0215250161384715,-171.02936269034234,False,0.0,False
1h,SHORT,full,1.5,20628,1047.446659785608,0.050777906718325,0.3811324413418654,1.0968515781454022,-156.38948883189363,False,0.0,False
1h,SHORT,full,2.0,20628,840.0633458493303,0.04072442048910851,0.4236474694589878,1.0939560522397203,-107.19282503374075,False,0.0,False
1h,SHORT,full,3.0,20628,515.8965903644994,0.02500953026781556,0.4622357960054295,1.0790830599316925,-94.92033354121702,False,0.0,False
1h,SHORT,second_half,1.5,18124,1485.7871643357935,0.08197898721782132,0.4311410284705363,1.1865682486565576,-96.99215472678452,False,0.0,False
