trade_id,symbol,timeframe,side,filter_mode,linreg_n,linreg_mult,stop_mult,entry_time,exit_time,entry_price,exit_price,initial_stop,initial_risk,exit_reason,bars_held,net_r,pnl_pct,mae_r,mfe_r
0,1000CHEEMS/USDT,1d,LONG,ema200_price,40,2.5,2.0,1970-01-01 00:29:24.460800+00:00,1970-01-01 00:29:24.806400+00:00,0.001273,0.001108,0.0010969,0.0001761,midline_exit,4,-0.9369676320272572,-12.961508248232523,-0.9653605905735378,0.37478705281090213
1,1000SATS/USDT,1d,LONG,ema200_price,40,2.5,2.0,1970-01-01 00:28:44.371200+00:00,1970-01-01 00:28:44.716800+00:00,0.0003899,0.0003204,0.00031514499999999997,7.4755e-05,midline_exit,4,-0.9297036987492476,-17.82508335470634,-0.9604708715136113,0.5069894990301652
2,1000SATS/USDT,1d,LONG,ema200_price,40,2.5,2.0,1970-01-01 00:28:53.184000+00:00,1970-01-01 00:28:53.702400+00:00,0.000316,0.00025990999999999997,0.00025990999999999997,5.609e-05,initial_stop,6,-1.0000000000000002,-17.75000000000001,-1.7864146906756997,0.3654840435015156
3,1INCH/USDT,1d,LONG,ema200_price,40,2.5,2.0,1970-01-01 00:28:36.854400+00:00,1970-01-01 00:28:37.718400+00:00,0.4595,0.4606,0.40958,0.049920000000000006,midline_exit,10,0.022035256410256204,0.23939064200217963,-0.8774038461538461,1.5164262820512817
4,1INCH/USDT,1d,LONG,ema200_price,40,2.5,2.0,1970-01-01 00:28:51.888000+00:00,1970-01-01 00:28:53.702400+00:00,0.3331,0.4751,0.296595,0.036504999999999996,midline_exit,21,3.8898780988905637,42.62984088862203,-0.6273113272154509,8.209834269278183
5,1INCH/USDT,1d,LONG,ema200_price,40,2.5,2.0,1970-01-01 00:29:12.192000+00:00,1970-01-01 00:29:13.142400+00:00,0.2955,0.312,0.27094999999999997,0.02455,midline_exit,11,0.6720977596741351,5.583756345177671,-0.9002036659877805,3.914460285132384
6,AAVE/USDT,1d,LONG,ema200_price,40,2.5,2.0,1970-01-01 00:28:36.595200+00:00,1970-01-01 00:28:37.372800+00:00,105.19,101.07,93.728,11.462000000000002,midline_exit,9,-0.3594486128075383,-3.916722121874705,-0.4510556621880999,0.8314430291397662
7,AAVE/USDT,1d,LONG,ema200_price,40,2.5,2.0,1970-01-01 00:28:40.915200+00:00,1970-01-01 00:28:41.606400+00:00,104.4,94.09,91.938,12.462000000000002,midline_exit,8,-0.8273150377146526,-9.875478927203062,-0.8802760391590433,0.19419033862943244
8,AAVE/USDT,1d,LONG,ema200_price,40,2.5,2.0,1970-01-01 00:28:44.112000+00:00,1970-01-01 00:28:44.716800+00:00,128.89,119.98,112.52849999999998,16.3615,midline_exit,7,-0.5445710967820788,-6.912871440763424,-0.7175381230327281,1.2150475200929025
9,AAVE/USDT,1d,LONG,ema200_price,40,2.5,2.0,1970-01-01 00:28:50.851200+00:00,1970-01-01 00:28:51.542400+00:00,173.71,155.88600000000002,155.88600000000002,17.82399999999999,initial_stop,8,-0.9999999999999996,-10.260779460019565,-1.0143626570915631,1.4463644524236992
10,AAVE/USDT,1d,LONG,ema200_price,40,2.5,2.0,1970-01-01 00:28:53.097600+00:00,1970-01-01 00:28:54.480000+00:00,235.39,339.73,205.5775,29.8125,midline_exit,16,3.499874213836479,44.32643697693193,-0.48100628930817524,5.516477987421385
11,AAVE/USDT,1d,LONG,ema200_price,40,2.5,2.0,1970-01-01 00:28:57.417600+00:00,1970-01-01 00:28:57.849600+00:00,370.8,316.56,299.9645,70.83550000000001,midline_exit,5,-0.7657177545157442,-14.627831715210359,-0.7765880102490981,0.02258754438099492
12,AAVE/USDT,1d,LONG,ema200_price,40,2.5,2.0,1970-01-01 00:29:06.662400+00:00,1970-01-01 00:29:07.440000+00:00,206.28,222.17,182.4085,23.871500000000005,midline_exit,9,0.6656473200259717,7.703121970137672,-0.16128018767149083,1.6270448023794062
13,AAVE/USDT,1d,LONG,ema200_price,40,2.5,2.0,1970-01-01 00:29:15.820800+00:00,1970-01-01 00:29:16.339200+00:00,345.61,317.56,307.5015,38.10849999999999,midline_exit,6,-0.7360562604143437,-8.116084604033446,-0.9257777136334423,1.0596061246178674
14,ACH/USDT,1d,LONG,ema200_price,40,2.5,2.0,1970-01-01 00:28:51.283200+00:00,1970-01-01 00:28:51.628800+00:00,0.02364,0.020650500000000002,0.020650500000000002,0.0029894999999999995,initial_stop,4,-0.9999999999999999,-12.645939086294412,-1.1506940960026768,0.2876735240006689
15,ACH/USDT,1d,LONG,ema200_price,40,2.5,2.0,1970-01-01 00:28:52.320000+00:00,1970-01-01 00:28:53.702400+00:00,0.02625,0.02913,0.0227765,0.0034734999999999987,midline_exit,16,0.8291348783647623,10.971428571428564,-0.36274650928458363,3.8750539801353128
16,ACH/USDT,1d,LONG,ema200_price,40,2.5,2.0,1970-01-01 00:28:57.936000+00:00,1970-01-01 00:28:58.022400+00:00,0.03857,0.034156,0.034156,0.004414,initial_stop,1,-1.0000000000000002,-11.444127560280016,-2.109198006343452,0.018124150430447832
17,ACH/USDT,1d,LONG,ema200_price,40,2.5,2.0,1970-01-01 00:28:58.108800+00:00,1970-01-01 00:28:58.540800+00:00,0.03761,0.031891499999999996,0.031891499999999996,0.0057185,initial_stop,5,-1.0000000000000002,-15.204732783834096,-1.2520765935122842,3.6687942642301317
18,ACH/USDT,1d,LONG,ema200_price,40,2.5,2.0,1970-01-01 00:29:04.588800+00:00,1970-01-01 00:29:06.144000+00:00,0.02741,0.02706,0.023133,0.004277,midline_exit,18,-0.08183306055646472,-1.2769062385990515,-0.9071779284545245,0.7248071077858308
19,ACH/USDT,1d,LONG,ema200_price,40,2.5,2.0,1970-01-01 00:29:12.969600+00:00,1970-01-01 00:29:13.142400+00:00,0.02702,0.024411,0.024411,0.0026089999999999993,initial_stop,2,-1.0000000000000002,-9.655810510732788,-1.0617094672288228,0.486776542736681
20,ACM/USDT,1d,LONG,ema200_price,40,2.5,2.0,1970-01-01 00:28:53.184000+00:00,1970-01-01 00:28:53.702400+00:00,1.953,1.7733500000000002,1.7733500000000002,0.17964999999999995,initial_stop,6,-0.9999999999999996,-9.198668714797742,-1.408293904814919,1.4305594210965764
21,ACM/USDT,1d,LONG,ema200_price,40,2.5,2.0,1970-01-01 00:29:13.574400+00:00,1970-01-01 00:29:13.747200+00:00,0.996,0.89505,0.89505,0.10095000000000001,initial_stop,2,-0.9999999999999998,-10.135542168674693,-1.1688954928182267,0.9707776126795451
22,ACM/USDT,1d,LONG,ema200_price,40,2.5,2.0,1970-01-01 00:29:13.833600+00:00,1970-01-01 00:29:14.006400+00:00,1.01,0.888,0.888,0.12200000000000003,initial_stop,2,-0.9999999999999998,-12.07920792079208,-1.0409836065573768,0.549180327868852
23,ACM/USDT,1d,LONG,ema200_price,40,2.5,2.0,1970-01-01 00:29:14.611200+00:00,1970-01-01 00:29:15.388800+00:00,1.07,1.088,0.9355,0.1345,midline_exit,9,0.13382899628252798,1.6822429906542036,-0.6096654275092942,1.687732342007434
24,ADA/USDT,1d,LONG,ema200_price,40,2.5,2.0,1970-01-01 00:28:50.937600+00:00,1970-01-01 00:28:53.270400+00:00,0.4065,1.1871,0.37098499999999995,0.035515,midline_exit,27,21.97944530480079,192.02952029520299,-0.07602421512037112,25.901731662677744
25,ADA/USDT,1d,LONG,ema200_price,40,2.5,2.0,1970-01-01 00:29:00.873600+00:00,1970-01-01 00:29:00.960000+00:00,1.135,0.998505,0.998505,0.136495,initial_stop,1,-1.0000000000000002,-12.025991189427321,-2.28726326971684,0.29085314480383945
