symbol,trades,total_r,avg_r,profit_factor,win_rate_pct,avg_mfe_r,avg_mae_r
XRP/USDT,8,40.20732509297188,5.025915636621485,12.060619462975167,37.5,8.286805671367567,-0.7442856270327463
ALGO/USDT,4,22.1518889094446,5.53797222736115,16.53026196479572,50.0,10.74951592279001,-0.6637794486239275
ADA/USDT,5,20.809256320688345,4.161851264137669,9.253277572489097,40.0,5.9559371006903,-0.8702200960640619
AMP/USDT,2,7.896186600463422,3.948093300231711,15.554805370824296,50.0,9.3497901726817,-0.7821816584957995
DOT/USDT,4,6.278772696844765,1.5696931742111913,3.4871199887682285,25.0,3.453721950840009,-1.0631312053585658
ATOM/USDT,2,5.815281204798772,2.907640602399386,6.8152812047987705,50.0,3.981097657137003,-1.0296213841052109
SUI/USDT,5,4.973617784751868,0.9947235569503736,5.973617784751866,80.0,2.3533393771704243,-0.4599220504702745
AVAX/USDT,4,4.874915158460364,1.218728789615091,6.908379979091323,50.0,2.9217939679725022,-0.5024463098922634
ANKR/USDT,1,4.755150287065182,4.755150287065182,inf,100.0,11.350894967916247,-0.9557581898007428
1INCH/USDT,3,4.584011114974955,1.5280037049916517,inf,100.0,4.546906945487282,-0.8016396131190259
DOGE/USDT,9,3.956770681042897,0.4396411867825441,1.7016255599173395,11.11111111111111,2.4162082849852418,-0.9349849021200745
LTC/USDT,6,3.6866819286834445,0.6144469881139074,2.5809485876406097,33.33333333333333,2.5482368286718344,-0.8819955231897092
ETH/USDT,5,3.1706978027447406,0.6341395605489482,2.5853489013723703,60.0,1.8169346201478511,-0.6377030030419457
BTC/USDT,7,3.1007675491394764,0.4429667927342109,3.460231164165663,71.42857142857143,1.5761701093777791,-0.7981635538334659
LINK/USDT,7,3.0920805982119903,0.44172579974457005,2.2660303641929764,42.857142857142854,1.8342574833986807,-0.5714365047699237
ASR/USDT,7,1.4508788805045243,0.20726841150064632,1.3195776413925753,14.285714285714285,2.9575825714479396,-0.9616968677606443
ASTR/USDT,1,1.3813116656993607,1.3813116656993607,inf,100.0,2.124201973302379,-0.6964596633778299
