symbol,trades,total_r,avg_r,profit_factor,win_rate_pct,avg_mfe_r,avg_mae_r
XRP/USDT,4,42.40255321981159,10.600638304952897,43.40255321981162,75.0,15.377328310201321,-0.47940416464723856
ALGO/USDT,2,23.22008354737484,11.61004177368742,inf,100.0,20.86041717685429,-0.36013906527933587
ADA/USDT,4,15.984124936518647,3.9960312341296618,8.992062468259325,50.0,7.435678868212047,-0.8562357452952524
AMP/USDT,1,9.424147187847838,9.424147187847838,inf,100.0,18.029038171937408,-0.938093367380344
ASR/USDT,4,8.382349813357038,2.0955874533392596,4.3877618678873,25.0,6.263209078167064,-1.1048877213058748
LINK/USDT,4,7.62916121864399,1.9072903046609975,8.629161218643988,75.0,3.9392303913975715,-0.7069220765986537
SUI/USDT,5,4.959574956305721,0.9919149912611441,5.95957495630572,80.0,2.468535882892454,-0.5156769200508665
DOGE/USDT,8,4.9315018076601325,0.6164377259575166,1.8418060328440269,12.5,2.956584920886044,-1.0811481854087261
LTC/USDT,3,4.723423117032295,1.5744743723440984,5.723423117032299,66.66666666666666,4.483592536001188,-0.7238087893062328
ANKR/USDT,1,4.420595958442745,4.420595958442745,inf,100.0,10.552289074095217,-0.8885146706245003
BTC/USDT,5,3.8432699073897454,0.768653981477949,4.403047421267851,60.0,1.8914043845890611,-0.4400968610776018
AVAX/USDT,3,3.6566918248524187,1.2188972749508062,8.31621662234254,33.33333333333333,3.674181420247873,-0.4680144368237597
ETH/USDT,5,3.460491944908905,0.692098388981781,2.7302459724544517,60.0,2.151413419321437,-0.6637938108282426
DOT/USDT,3,3.2919537754809074,1.0973179251603025,2.6459768877404537,33.33333333333333,4.413183121953499,-1.1237685341486514
TRX/USDT,9,3.0362984187175432,0.33736649096861593,1.4322963382648113,11.11111111111111,4.5374040642976885,-1.2403586720628157
ATOM/USDT,2,2.933515826568496,1.466757913284248,3.933515826568497,50.0,4.047923605995417,-1.04351467645304
AAVE/USDT,4,2.3617475848971727,0.5904368962242932,2.492828311956447,50.0,2.672451958334361,-0.8761915618355395
ARB/USDT,1,1.6377333122429607,1.6377333122429607,inf,100.0,4.66743119266055,-0.1511586523252138
ALCX/USDT,3,1.5694193289130012,0.5231397763043337,1.784709664456501,33.33333333333333,5.162602823297384,-1.038672197728478
1INCH/USDT,2,1.4857182345895146,0.7428591172947573,2.4857182345895135,50.0,5.082703333579848,-0.8350387895250493
UNI/USDT,5,0.1694233101775281,0.03388466203550562,1.042355827544382,20.0,1.856162871057452,-0.9817007934368387
AUDIO/USDT,2,0.10516934046345838,0.05258467023172919,1.1051693404634584,50.0,2.781755977334751,-0.904814162219393
ASTR/USDT,1,-1.0000000000000004,-1.0000000000000004,0.0,0.0,2.2062691801841297,-1.6878562034195528
ALT/USDT,1,-1.0000000000000007,-1.0000000000000007,0.0,0.0,1.8425726342633362,-1.5445216916117666
ALPINE/USDT,7,-1.012724350388425,-0.14467490719834641,0.8312126082685958,14.285714285714285,3.5150039480083266,-2.382967019208032
SOL/USDT,5,-1.1707088789463103,-0.23414177578926204,0.6097637070178966,40.0,1.3785161574731302,-0.8502498096501385
ARDR/USDT,4,-1.4353619687747197,-0.3588404921936799,0.28231901561264017,50.0,3.8940598174157737,-1.2310597730882238
NEAR/USDT,4,-1.501479164614719,-0.37536979115367974,0.47439656705429667,25.0,1.4834485377505644,-1.0325307289747663
ARKM/USDT,2,-1.6707317073170738,-0.8353658536585369,0.0,0.0,1.0539139543917724,-0.983239491286644
ATA/USDT,3,-1.7555555555555555,-0.5851851851851851,0.12222222222222197,33.33333333333333,0.8800662222768109,-1.3409416267947825
ACM/USDT,3,-1.984118041960668,-0.661372680653556,0.0,0.0,1.4687482646678374,-0.984543069357478
AI/USDT,2,-1.9999999999999993,-0.9999999999999997,0.0,0.0,0.952080436596218,-1.460516893770857
BCH/USDT,2,-1.9999999999999996,-0.9999999999999998,0.0,0.0,0.6220022844722892,-1.0943960922239069
AWE/USDT,2,-1.9999999999999996,-0.9999999999999998,0.0,0.0,2.888996498163858,-1.8766495076795986
ARK/USDT,2,-2.0,-1.0,0.0,0.0,0.06408264719589848,-1.2054124946068085
AXL/USDT,2,-2.000000000000001,-1.0000000000000004,0.0,0.0,0.14787090669469496,-1.841077067874162
APE/USDT,2,-2.000000000000001,-1.0000000000000004,0.0,0.0,1.683801309833465,-2.2341580290985137
ADX/USDT,4,-2.3848957024377997,-0.5962239256094499,0.20503476585406685,25.0,1.8890440134890254,-0.9700567870419204
AR/USDT,3,-3.0,-1.0,0.0,0.0,0.5851731456931798,-1.4518101598391338
API3/USDT,3,-3.0,-1.0,0.0,0.0,0.9655245596995806,-1.6485925939932937
ARPA/USDT,3,-3.0000000000000004,-1.0000000000000002,0.0,0.0,0.7879388959839203,-2.217913004038263
APT/USDT,3,-3.0000000000000004,-1.0000000000000002,0.0,0.0,0.43483562017462046,-3.976084364713713
ACH/USDT,6,-3.4326826270931816,-0.572113771182197,0.19417506122437844,16.666666666666664,1.4381956344560132,-1.0395471575581656
BNB/USDT,7,-3.6464235996359067,-0.5209176570908438,0.2707152800728184,28.57142857142857,1.4653235460721337,-1.6237360334924493
ICP/USDT,6,-4.068873703234737,-0.6781456172057895,0.12399272126628252,16.666666666666664,2.3338806693989724,-1.099946211424422
AUCTION/USDT,6,-4.637749341362439,-0.7729582235604066,0.07245013172751205,16.666666666666664,4.170933102037412,-1.4792361870984176
AXS/USDT,7,-4.993935244057516,-0.7134193205796452,0.16767745932374717,14.285714285714285,1.5716278818709501,-1.0924768889451815
AVA/USDT,6,-5.602547770700638,-0.9337579617834396,0.0,0.0,2.033812854931089,-1.4782249763467485
AGLD/USDT,6,-5.615828492815653,-0.9359714154692754,0.0,0.0,0.5423692203587157,-1.6030206102655356
ATM/USDT,8,-5.678891512427961,-0.7098614390534951,0.11605780858513592,12.5,1.7031472050415066,-1.3950512285170094
ALICE/USDT,6,-6.0,-1.0,0.0,0.0,0.20966566698718467,-2.7957190637739244
