year,n,pnl_usd,avg_r,win_rate
2021,9,29.199999999999996,0.13006666666666666,0.5555555555555556
2022,45,495.17,0.43185777777777773,0.5333333333333333
2023,36,368.27,0.3839166666666667,0.5833333333333334
2024,39,362.06,0.33607692307692305,0.7692307692307693
2025,40,288.45,0.2537275,0.525
2026,14,-157.14,-0.3910214285714285,0.2857142857142857
