symbol,entry_ts,r,funding,year,tf,lookback_n,hold_bars,atr_mult,ov_s7,ov_mc,ov_any
1000SHIBUSDT,1717473600000,-1.0,0.0001,2024,4h,15,30,2.0,False,True,True
1000SHIBUSDT,1717776000000,0.3334803387513261,0.00026866,2024,4h,15,30,2.0,False,True,True
1000SHIBUSDT,1718380800000,1.3716766202138853,0.0001,2024,4h,15,30,2.0,False,True,True
1000SHIBUSDT,1734552000000,1.2664898970808376,0.0001,2024,4h,15,30,2.0,False,False,False
1000SHIBUSDT,1748563200000,0.6283564078878379,0.0001,2025,4h,15,30,2.0,True,False,True
1000SHIBUSDT,1759838400000,4.646343621535592,0.0001,2025,4h,15,30,2.0,True,False,True
1000XECUSDT,1636574400000,-1.0,0.00083592,2021,4h,15,30,2.0,False,False,False
1000XECUSDT,1637913600000,-1.0,0.0002072,2021,4h,15,30,2.0,True,False,True
1000XECUSDT,1638590400000,-1.0,0.0001,2021,4h,15,30,2.0,True,False,True
1000XECUSDT,1650254400000,-1.0,0.0001,2022,4h,15,30,2.0,True,False,True
1000XECUSDT,1651348800000,-1.0,0.0001,2022,4h,15,30,2.0,True,False,True
1000XECUSDT,1652112000000,-1.0,0.0001,2022,4h,15,30,2.0,True,False,True
1000XECUSDT,1665619200000,-0.5809415165838058,0.0001,2022,4h,15,30,2.0,True,True,True
1000XECUSDT,1668384000000,-0.4645202110122344,0.0001,2022,4h,15,30,2.0,False,False,False
1000XECUSDT,1677801600000,0.6547437226097199,0.0001,2023,4h,15,30,2.0,False,True,True
1000XECUSDT,1678392000000,-1.0,0.0001,2023,4h,15,30,2.0,True,False,True
1000XECUSDT,1679500800000,-1.0,0.0001,2023,4h,15,30,2.0,False,False,False
1000XECUSDT,1679918400000,-1.0,0.0001,2023,4h,15,30,2.0,False,True,True
1000XECUSDT,1681891200000,0.7978649003684568,0.00029021,2023,4h,15,30,2.0,True,True,True
1000XECUSDT,1685980800000,-1.0,0.0001,2023,4h,15,30,2.0,True,False,True
1000XECUSDT,1686355200000,2.859102245752183,0.0001,2023,4h,15,30,2.0,True,False,True
1000XECUSDT,1692115200000,4.320447285716832,0.0001,2023,4h,15,30,2.0,True,False,True
1000XECUSDT,1696838400000,-1.0,0.0001,2023,4h,15,30,2.0,False,True,True
1000XECUSDT,1702886400000,-1.0,0.00021152,2023,4h,15,30,2.0,False,False,False
1000XECUSDT,1703606400000,-1.0,0.00051318,2023,4h,15,30,2.0,False,True,True
1000XECUSDT,1712937600000,1.4403812445179305,0.00014916,2024,4h,15,30,2.0,False,False,False
1000XECUSDT,1717776000000,0.4787714957327879,0.0001,2024,4h,15,30,2.0,False,False,False
1000XECUSDT,1718582400000,2.047727056998635,0.0001,2024,4h,15,30,2.0,False,False,False
1000XECUSDT,1729886400000,-1.0,0.0001,2024,4h,15,30,2.0,True,False,True
1000XECUSDT,1733774400000,0.2897297764758464,0.0001,2024,4h,15,30,2.0,False,False,False
1000XECUSDT,1734552000000,0.4022850704858017,0.0001,2024,4h,15,30,2.0,False,False,False
1000XECUSDT,1736251200000,-1.0,0.0001,2025,4h,15,30,2.0,False,True,True
1000XECUSDT,1737316800000,-1.0,0.0001,2025,4h,15,30,2.0,False,True,True
1000XECUSDT,1741046400000,-1.0,0.0001,2025,4h,15,30,2.0,False,False,False
1000XECUSDT,1743076800000,2.5044564851705746,0.0001,2025,4h,15,30,2.0,True,True,True
1000XECUSDT,1746316800000,-1.0,0.0001,2025,4h,15,30,2.0,True,False,True
1000XECUSDT,1749153600000,-1.0,0.0001,2025,4h,15,30,2.0,True,False,True
1000XECUSDT,1750075200000,1.407151283280894,0.0001,2025,4h,15,30,2.0,True,False,True
1000XECUSDT,1751284800000,-1.0,0.0001,2025,4h,15,30,2.0,True,False,True
1000XECUSDT,1754006400000,0.4023207924475603,0.0001,2025,4h,15,30,2.0,False,False,False
1000XECUSDT,1758499200000,2.4271402659153667,0.0001,2025,4h,15,30,2.0,True,True,True
1000XECUSDT,1760097600000,2.4105201065481827,0.0001,2025,4h,15,30,2.0,True,True,True
1000XECUSDT,1763568000000,-1.0,0.0001,2025,4h,15,30,2.0,False,True,True
1000XECUSDT,1768780800000,0.9515513128619122,0.0001,2026,4h,15,30,2.0,True,False,True
1000XECUSDT,1769688000000,2.2745019195396026,0.0001,2026,4h,15,30,2.0,True,False,True
1000XECUSDT,1772251200000,-1.0,0.0001,2026,4h,15,30,2.0,True,False,True
1000XECUSDT,1779940800000,-1.0,0.0001,2026,4h,15,30,2.0,False,False,False
1000XECUSDT,1780401600000,3.6822489945610912,0.0001,2026,4h,15,30,2.0,True,False,True
1INCHUSDT,1621425600000,0.75376166037534,0.00010823,2021,4h,15,30,2.0,False,False,False
1INCHUSDT,1626422400000,-1.0,0.0001,2021,4h,15,30,2.0,True,False,True
1INCHUSDT,1671177600000,0.8078627843886527,0.0001,2022,4h,15,30,2.0,True,False,True
1INCHUSDT,1677801600000,0.2673424324015227,0.0001,2023,4h,15,30,2.0,False,False,False
1INCHUSDT,1681891200000,1.3803493501857875,0.00010314,2023,4h,15,30,2.0,False,True,True
1INCHUSDT,1683504000000,0.4036162505954573,0.0001,2023,4h,15,30,2.0,True,False,True
1INCHUSDT,1685966400000,2.720440903234776,0.0001,2023,4h,15,30,2.0,True,False,True
1INCHUSDT,1686772800000,-1.0,0.0001,2023,4h,15,30,2.0,False,False,False
1INCHUSDT,1690185600000,-0.327276471246134,0.0001,2023,4h,15,30,2.0,False,True,True
1INCHUSDT,1692115200000,2.9991347276201346,0.0001,2023,4h,15,30,2.0,True,True,True
1INCHUSDT,1705996800000,-1.0,0.0001,2024,4h,15,30,2.0,False,False,False
1INCHUSDT,1712937600000,1.9975300595541827,0.00013847,2024,4h,15,30,2.0,False,True,True
1INCHUSDT,1720051200000,-1.0,0.0001,2024,4h,15,30,2.0,True,False,True
1INCHUSDT,1722816000000,-1.0,0.0001,2024,4h,15,30,2.0,True,False,True
1INCHUSDT,1724788800000,-1.0,0.0001,2024,4h,15,30,2.0,True,True,True
1INCHUSDT,1727798400000,-0.2668724772155499,0.0001,2024,4h,15,30,2.0,False,True,True
1INCHUSDT,1729886400000,-1.0,0.0001,2024,4h,15,30,2.0,True,True,True
1INCHUSDT,1734552000000,0.8070226524399029,0.0001,2024,4h,15,30,2.0,False,False,False
1INCHUSDT,1736251200000,1.1289498956658803,0.0001,2025,4h,15,30,2.0,False,True,True
1INCHUSDT,1737316800000,-1.0,0.0001,2025,4h,15,30,2.0,False,False,False
